ab initio,"ಹೊಸತಾಗಿ, ಮೊದಲಿನಿಂದ"
abatement,"ತಗ್ಗಿಸುವುದು, ಕಡಿಮೆಯಾಗುವುದು, ಅಂತ್ಯಗೊಳಿಸುವುದು, ವಿನಾಯಿತಿ"
abbreviation,"ಸಂಕೇತಾಕ್ಷರ, ಸಂಕ್ಷಿಪ್ತರೂಪ, ಸಂಕ್ಷೇಪಿಸುವುದು"
abduction,ಅಪಹರಣ
abeyance,"ತಡೆಹಿಡಿಯುವುದು, ತಹಕೂಪು, ನಿಲಂಬನೆ, ಅಮಾನತ್ತು"
ability,"ಅಳವು, ಸಾಮರ್ಥ್ಯ"
able,"ಸಮರ್ಥ, ಶಕ್ತಿ"
abnormal,"ವಿಪರೀತ, ವಿಕೃತ, ಅಸಾಮಾನ್ಯ"
abolition,"ತೆಗೆದು ಹಾಕುವುದು, ನಿರ್ಮೂಲನ, ನಿವಾರಣೆ"
abolitionof post,ಹುದ್ದೆಯ ರದ್ದತಿ
above mentioned,"ಮೇಲೆಹೇಳಲಾದ, ಉಪರ್ಯುಕ್ತ"
above quoted,"ಮೇಲೆ ಉದ್ಧರಿಸಿದ, ಮೇಲೆ ಉಲ್ಲೇಖಿಸಿದ"
above said,"ಮೇಲೆ ಉದ್ಧರಿಸಿದ, ಮೇಲೆ ಹೇಳಿರುವ"
absence,"ಗೈರು ಹಾಜರಿ, ಅಭಾವ"
absentee,ಗೈರು ಹಾಜರಾದವ
absentee statement,ಗೈರು ಹಾಜರಿತಖ್ತೆ
absenteeism,"ಗೈರು ಹಾಜರಿ, ಅಭಾವ"
absolute,"ನಿಚ್ಚಳ, ಸಂಪೂರ್ಣ, ಪರಮ, ಅಪ್ಪಟ, ನಿರಂಕುಶ, ನಿರುಪಾಧಿಕ"
absolute monopoly,ಏಕೈಕ ಸ್ವಾಮ್ಯ
absolute ownership,"ಸಂಪೂರ್ಣ ಸ್ವಾಮ್ಯ, ಸಂಪೂರ್ಣ ಒಡೆತನ"
absorption,"ಹೀರಿಕೊಳ್ಳುವಿಕೆ, ವಿಲೀನ ಗೊಳ್ಳುವಿಕೆ, ಮಗ್ನಗೊಳಿಸು"
abstract,"ಸಂಕ್ಷಿಪ್ತ, ಸಾರಾಂಶ, ಸಂಗ್ರಹ, ಗೋಷ್ವಾರೆ"
abstractstatement,ಸಂಕ್ಷಿಪ್ತ ವಿವರಪಟ್ಟಿ
absurd,ಅಸಂಬದ್ಧ
abundance,"ಹೇರಳ, ಸಮೃದ್ಧಿ"
abuse of power,ಅಧಿಕಾರ ದುರುಪಯೋಗ
abusive language,"ಬಯ್ಗುಳ ಭಾಷೆ, ನಿಂದಾತ್ಮಕ ಭಾಷೆ"
academic,"ಶೈಕ್ಷಣಿಕ, ತಾತ್ವಿಕ"
academic discussion,"ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ, ಶೈಕ್ಷಣಿಕ ಸಂವಾದ"
academic leave,ಶೈಕ್ಷಣಿಕ ರಜೆ
academic qualification,"ವಿದ್ಯಾರ್ಹತೆ, ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ"
academic record,ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ
accede,"ಒಪ್ಪು, ಸಮ್ಮತಿ, ಅಧಿಕಾರ ವಹಿಸಿಕೊ, ಸೇರು"
accept,"ಸ್ವೀಕರಿಸು, ಅಂಗೀಕರಿಸು, ಒಪ್ಪಿಕೋ"
acceptance,"ಸ್ವೀಕಾರ, ಅಂಗೀಕಾರ, ಒಪ್ಪಿಗೆ"
acceptance of office,ಅಧಿಕಾರ ಸ್ವೀಕಾರ
acceptance of tender,ಟೆಂಡರು ಸ್ವೀಕಾರ
access,ಪ್ರವೇಶಾವಕಾಶ
accession,"ಪದಾರೋಹಣ, ಪ್ರವೇಶ, ಅಂಗೀಕಾರ"
accessory,"ಉಪಸಾಧನ, ಪೂರಕ"
accident,"ಅಪಘಾತ, ಆಕಸ್ಮಿಕ"
acclimatization,"ಸನ್ನಿವೇಶಕ್ಕೆ ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ, ವಾತಾವರಣಕ್ಕೆ ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ"
accommodation,"ವಸತಿ, ಸ್ಥಳಾವಕಾಶ"
accompanist,"ಜೊತೆಗೂಡಿದವ, ಸಂಗಡಿಗ"
accord,"ಒಪ್ಪಂದ, ಒಪ್ಪಿಗೆ ನೀಡು"
accordance,"ಒಪ್ಪಿಗೆ, ಮಂಜೂರಾತಿ"
accordingly,ತದನುಸಾರವಾಗಿ
account,"ಹೊಣೆಯಾಗು, ಕಾರಣಕೊಡು, ಖಾತೆ, ಲೆಕ್ಕ, ಹೇಳಿಕೆ"
account for,"ಜವಾಬ್ದಾರಿಹೊರು, ಲೆಕ್ಕನೀಡು"
account head,ಲೆಕ್ಕಶೀರ್ಷಿಕೆ
accountability,"ಹೊಣೆಗಾರಿಕೆ, ಜವಾಬ್ದಾರಿ"
accountable,"ಹೊಣೆಗಾರನಾದ, ಜವಾಬ್ದಾರನಾದ"
accountancy,ಲೆಕ್ಕಶಾಸ್ತ್ರ
accountant,"ಲೆಕ್ಕಿಗ, ಲೆಕ್ಕಗುಮಾಸ್ತ"
accrued benefit,"ಸಂಚಿತಲಾಭ, ಕೂಡಿಬರುವಲಾಭ"
accrued pension,ಸಂಚಿತ ಪಿಂಚಣಿ
accumulation,"ಶೇಖರಣೆ, ಸಂಚಯನ"
accuracy,"ನಿಖರತೆ, ಖಚಿತತೆ"
accurate,"ನಿಖರವಾದ, ಕರಾರುವಾಕ್ಕಾದ, ಸರಿಯಾದ"
accuse,"ಆಪಾದಿಸು, ತಪ್ಪುಹೊರಿಸು, ದೋಷಾರೋಪಿಸು"
accused,ಆಪಾದಿತ
achievement,ಸಾಧನೆ
acknowledgement,"ಸ್ವೀಕೃತಿ, ರಸೀದಿ, ತಪ್ಪೊಪ್ಪಿಗೆ"
acknowledgement due,"ಷರತ್ಪಾವತಿ, ಸ್ವೀಕೃತಿನಿರೀಕ್ಷಿತ"
acquaintance,"ಪರಿಚಯ, ಗುರುತು"
acquisition,"ಗಳಿಕೆ, ಅರ್ಜನೆ, ಸ್ವಾಧೀನತೆ"
acquittance,"ವೇತನಪಾವತಿ, ಬಿಡುಗಡೆ"
