Punjabi,Hindi
ਪਰੇਸ਼ਾਨੀ,"उपशमन, कमी"
ਸੰਖੇਪ,संक्षिप्‍ति
ਅਗਵਾ,अपहरण
ਧਾਰਨਾ,प्रास्थगन
ਯੋਗਤਾ,योग्यता
ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ,"आदित:, आरंभ से"
ਯੋਗ,योग्य
ਅਸਧਾਰਨ,अपसामान्य
ਖਤਮ,"उन्मूलन, समाप्‍ति"
ਅਬੋਲੋਜੀਫ ਪੋਸਟ,पद समाप्‍ति
ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ,"ऊपर उल्लिखित, उपर्युक्‍त"
ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ,ऊपर उद्‍धृत
ਉਪਰੋਕਤ ਕਿਹਾ,उपर्युक्‍त
ਗੈਰਹਾਜ਼ਰੀ,"अनुपस्थिति, गैरहाजि़री, अभाव"
ਗੈਰਹਾਜ਼ਰ,"अनुपस्थित, ग़ैरहाजि़र"
ਗੈਰਹਾਜ਼ਰ,"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता"
ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ,अनुपस्थिति-विवरण
ਅਸੀਮ,"पूर्ण, निरपेक्ष"
ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ,पूर्ण एकाधिकार
ਸੰਪੂਰਨ ਮਾਲਕੀ,पूर्ण स्वामित्व
ਸਮਾਈ,"आमेलन, अवशोषण"
ਸਾਰ,सार
ਸੰਖੇਪ,सार-विवरण
ਬੇਹੂਦਾ,"अर्थहीन, बेतुका"
ਬਹੁਤਾਤ,प्रचुरता
ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ,शक्‍ति का दुरुपयोग
ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ,गाली-गलौज
ਅਕਾਦਮਿਕ,"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय"
ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ,शास्त्रीय चर्चा
ਅਕਾਦਮਿਕ ਛੁੱਟੀ,अकादमिक छुट्टी
ਅਕਾਦਮਿਕ ਯੋਗਤਾ,शैक्षिणिक अर्हता
ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ,"शैक्षिक रिकार्ड, शैक्षिक अभिलेख"
ਐੱਸ,"मान लेना, अधिमिलन होना"
ਸਵੀਕਾਰ ਕਰੋ,"स्वीकार करना, मानना"
ਮਨਜ਼ੂਰ,"स्वीकृति, प्रतिग्रहण"
ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,पद-स्वीकृति
ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,निविदा की स्वीकृति
ਪਹੁੰਚ,पहुंच
ਐਕਸੈਸਿੰਗ,"राज्यारोहण, पदारोहण, परिग्रहण"
ਸਹਾਇਕ,"अनुषंगी, उपसाधन"
ਹਾਦਸਾ,"दुर्घटना, संयोग"
ਅਨੁਕੂਲਤਾ,पर्यनुकूलन
ਰਿਹਾਇਸ਼,"आवास, निर्वाह, समंजन"
ਦੇ ਨਾਲ,संगकार
ਸਮਝੌਤਾ,"समझौता, प्रदान करना, देना"
ਦੇ ਅਨੁਸਾਰ,"अनुरूपता, संगति"
ਇਸ ਅਨੁਸਾਰ,तदनुसार
ਖਾਤਾ,"लेखा, खाता, हिसाब"
ਜਵਾਬਦੇਹੀ,जवाबदेही
ਜਵਾਬਦੇਹ,"जवाबदेह, देनदार"
ਖਾਤੇ ਦੀ,"लेखा विधि, लेखा कार्य"
ਲੇਖਾਕਾਰ,लेखाकार
