Odiya,Marathi
ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |,अजैविक पुनरुत्पादन
ପରମାନନ୍ଦ,अलौकिक
1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |,1. चौथे पोट 2. इवोमासोम
ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |,रंध्र वाढीचा अवयव
ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |,वाढ खुंटलेले बीज
1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |,1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार
1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |,1. अवांछित तण 2. पूर्ण तण
ଅବଶୋଷିତ କ୍ୟାସନ୍ |,शोषलेले केशन
ଅବଶୋଷଣ,शोषण
ଅବିଶ୍ୱାସୀ ସୋରିଷ |,Abyssinian मोहरी
1. ଆକାରିସାଇଡ୍ |,1. ऍकेरिसाइड
ସେଣ୍ଟ୍ରିପେଟାଲ୍ |,केंद्राभिमुख
ବୃଦ୍ଧି (କକ୍ଷ),प्रवर्धन (सेल)
ଅନୁମୋଦିତ ସହନଶୀଳତା |,मंजूर सहिष्णुता
1. ଅତିରିକ୍ତ 2.accessory 3.accessory,1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी
ଆଡାପ୍ଟେସନ୍,रुपांतर
ଜମା,जमा
1. ସଠିକତା 2. ସଠିକତା |,1. अचूकता 2. अचूकता
1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |,1. एसरव्हुलस 2. स्पोरोफाइट
1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |,1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन
1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |,1. आम्लीकरण 2. आम्लीकरण
1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |,1. ऍसिडोमीटर 2. ऍसिडीमीटर
ଅମ୍ଳତା |,आंबटपणा
ଏସିଡୋଫାଇଲ୍ |,ऍसिडोफाइल
ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |,ऍसिडिफाइड रॉक फॉस्फेट
ଅମ୍ଳଯୁକ୍ତ |,आम्लीकृत
ଜଳଜଳ,जलचर
ଅଧିଗ୍ରହଣ,संपादन
ଏକର,एकर
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1. क्षेत्रफळ 2. क्षेत्रफळ
ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |,अंतिम बिंदू गुणसूत्र
ଆଗକୁ ଦେଖିବା,पुढे दिसणारा
ଆକ୍ରୋସୋମ୍ |,acrosome
ଆକ୍ଟିନୋମାଇସେଟ୍ସ |,actinomycetes
ସକ୍ରିୟ କୋର୍ |,सक्रिय कोर
1. କ୍ରୋଧିତ 2. ତୀବ୍ର,1. उग्र 2. तीव्र
ଅନୁକୂଳତା,अनुकूलता
କଷ୍ଟମାଇଜେସନ୍,सानुकूलन
1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |,1. आसंजन 2. आसंजन
sebaceous,सेबेशियस
ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ,समायोजन समीकरण
ଆଡୋବ ମାଟି |,adobe माती
ବ୍ୟଭିଚାର,भेसळ करणारा
ଏକ୍ଟୋପିକ୍,एक्टोपिक
Isidiospore Isidium Spore |,Isidiospore Isidium बीजाणू
ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |,वायुगतिकीय प्रक्रिया
ଭେଣ୍ଟ୍ରାଲ୍ |,वेंट्रल
ବିମାନକୁ,वायुवीजन करणे
1. ବାୟୁ 2. ଆକାଶୀ |,1. हवा 2. आकाशी
