Assamese,Marathi
এচিড’ইড,ऍसिडॉइड
ইঅ’লিয়ান মাটি,एओलियन माती
গোট খোৱা,एकूण
সংগ্ৰহ,एकत्रीकरण
কৃষি বিজ্ঞান,कृषीशास्त्र
কৃষি বিজ্ঞান,कृषीशास्त्र
এ-দিগন্ত,A-क्षितिज
আও-দিগন্ত,Ao-क्षितिज
আও-দিগন্ত,Aoo-क्षितिज
মাটিৰ বায়ু ক্ষমতা,मातीची हवेची क्षमता
মাটিৰ বায়ুৰ পৰিমাণ,मातीतील हवेचे प्रमाण
এয়াৰ পিকনোমিটাৰ,एअर पिकनोमीटर
এলিটিক মাটি,ऍलिटिक माती
জলজ মাটি,गाळाची माती
এম্ফোলাইট’ইড,अॅम्फोलायटॉइड
এনিয়ন,आयन
"আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;","स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;"
আৰিছ,ऍरिस
আছলাৰ মিহি শিলৰ কাম,Ashlar दंड दगडी बांधकाम
আছলাৰ শিলৰ কাম,Ashlar दगडी बांधकाम
এজ’নেল মাটি,अझोनल माती
পিঠিৰ অভিনেতা,मागचा अभिनेता
পিছফালৰ খোলা,मागची कमान
বেক বেণ্ড,बॅक बँड
পিছফালৰ ব্ৰাছ,मागे ब्रश
বেক চেক,परत तपासणी
বেক কাউণ্টাৰ,मागे काउंटर
পিঠি কাটি থকা,परत कटिंग
বেক ড্ৰাফ্ট ডেম্পাৰ,बॅक ड्राफ्ट डँपर
বেক ড্ৰেইন,मागे निचरा
বেক ড্ৰপ,बॅक ड्रॉप
বেক ফিল,परत भरा
পিছফালৰ ফিলেট,बॅक फिलेट
বেক ফ্লেপ হিঞ্জ,बॅक फ्लॅप बिजागर
বেক ফ্ল&#39; সংযোগ,परत प्रवाह कनेक्शन
বেক ফ্ল’ প্ৰিভেণ্টাৰ,परत प्रवाह प्रतिबंधक
বেক গেজ,बॅक गेज
পিছফালৰ নালা,मागे गटार
পিছফালৰ অগ্নিকুণ্ড,मागे चूल
বেকিং,पाठीराखा
বেকিং বৰ্ড,बॅकिंग बोर्ड
পিঠিৰ চাপ,पाठीचा दाब
বেক প্ৰপ,बॅक प्रोप
পিছফালৰ দৃষ্টি,मागची दृष्टी
পিছফালৰ পানী,परत पाणी
বেফেল,गोंधळ
বেগৱৰ্ক,बॅगवर्क
বেলেষ্ট,गिट्टी
বল মাটি,बॉल क्ले
বল কন ক্লেম্প,बॉल कोन क्लॅम्प
কাঁইটীয়া তাঁৰ,काटेरी तार
বাৰ কুকুৰ,बार कुत्रा
বাৰ্জ বৰ্ড,बार्ज बोर्ड
বেৰিয়াম ছালফেট পৰীক্ষা,बेरियम सल्फेट चाचणी
বেৰেজ,बॅरेज
বেৰেট,बॅरेट
ভেঁটি,पाया
ভিত্তি বিনিময়,बेस एक्सचेंज
ভিত্তি লাইন,बेस लाइन
বেছমেণ্ট,तळघर
বেছমেণ্টৰ দেৱাল,तळघर भिंत
বেচ প্লেট,तळपट्टी
"বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য","बेस प्लेट, समायोज्य"
ভিত্তি পৰিপূৰকতা,बेस संपृक्तता
বেছ’ইড,बेसॉइड
বেট,वटवाघूळ
বাথ আৰু ডব্লিউ চি,बाथ आणि WC
বেটাৰ পেগ,पिठात पेग
বেটাৰ ঘাট,पिठात घाट
বেটাৰৰ নিয়ম,पिठात नियम
Baulk (বালক),बल्क (बाल्क)
উপসাগৰ,खाडी
বাহক,वाहक
বহন ক্ষমতা,सहन करण्याची क्षमता
বেয়াৰিং পাইল,पत्करणे ब्लॉकला
বহন স্তৰ,बेअरिंग स्ट्रॅटम
বিছনা,पलंग
বিচনাৰ বিমান,बेडिंग विमान
বিচনাৰ সংযোগ,बेड संयुक्त
বিচনাৰ শিল,बेड रॉक
শোৱনি কোঠা,बेड रूम
মৌমাখিৰ মোম,मेण
বেল বাকচ,बेल बॉक्स
বেলিং বাল্টি,बेलिंग बादली
বেলোফ্ৰেম,बेलोफ्राम
বেঞ্চযুক্ত ভেটি,बेंच केलेला पाया
বেঞ্চিং কৰা,बेंचिंग
বেঞ্চ মাৰ্ক,बेंच मार्क
লাভৰ খৰচ বিশ্লেষণ,लाभ खर्चाचे विश्लेषण
বাৰ্ম,बर्म
বেভেলড বন্ধ,Bevelled बंद
"খ-দিগন্ত,&quot;খ-","B-क्षितिज,&quot;B-"
বিয়াত,बायट
বাইণ্ডাৰ,बाईंडर
বান্ধি ৰখা সামগ্ৰী,बंधनकारक साहित्य
বায়টৰ তত্ত্ব,बायोटचा सिद्धांत
বিটুমিন,बिटुमेन
ক’লা কপাহী মাটি,काळी कापूस माती
ক&#39;লা পৃথিৱী,काळी पृथ्वी
ক’লা টাৰ্ফ মাটি,काळी हरळीची माती
ব্লেড,ब्लेड
ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট,ब्लास्ट फर्नेस स्लॅग सिमेंट
ব্লকযুক্ত গঠন,ब्लॉक रचना
বগী প্ৰতিৰোধ,बोगी प्रतिकार
বোগ-লোহাৰ অক্সাইড,बोग-लोह धातू
বান্ধোন,बाँड
বণ্ডেড সদস্য,बंधपत्रित सदस्य
বণ্ডেড পোষ্ট টেনচিং,बंध पोस्ट टेंशनिंग
বণ্ড ষ্টোন,बोंड दगड
বান্ধি থোৱা পানী,बांधलेले पाणी
বক্স নালা,पेटी गटर
ব্ৰেচ,ब्रेस
ইটা-অন-এজ,वीट-ऑन-एज
লজ্জাজনক,लगाम
উজ্জ্বলতা,तेज
বাদামী মাটি,तपकिरी माती
ভৱন,इमारत
বিল্ডিং জৰীপকাৰী,इमारत सर्वेक्षक
বাফাৰ,बफर
বাফাৰ বক্ৰ,बफर वक्र
বাফাৰিং,बफरिंग
বাফাৰিং ক্ষমতা,बफरिंग क्षमता
বাণ্ডাৰ,बंदर
বাট্ৰেছ,बट्रेस
গ-দিগন্ত,सी-क्षितिज
কেবল,केबल
কেবল মল্ডিং,केबल मोल्डिंग
কেবলিং,केबल टाकणे
কেবিন,केबिन
কেবিন হুক,केबिन हुक
কেবিনেট,कपाट
কেবল্টৰ চাকৰি এৰিছে,कॅबोल्ट सोडला
কেফেটেৰিয়া,कॅफेटेरिया
সঁজা,पिंजरा
পিঞ্জৰা নিৰ্মাণ,पिंजरा बांधकाम
কয়িনৰ সূত্ৰ,काईनचे सूत्र
কেইচন,कैसन
কেইচন ৰোগ,कॅसन रोग
কেইচন ফাউণ্ডেচন,Caisson पाया
কেইচন পাইল,Caisson ढीग
কেলকেয়াৰযুক্ত ইটা,चुनखडीची वीट
কেলকেয়াৰযুক্ত মাটি,चुनखडीयुक्त चिकणमाती
কেলকেয়াৰযুক্ত খোলা,चुनखडीयुक्त कवच
কেলচিফিকেশন,कॅल्सिफिकेशन
কেলচিনেচন,कॅल्सीनेशन
কেলচিন,कॅल्सीन
কেলচাইট,कॅल्साइट
কেলচিয়াম-এলুমিনেট চিমেণ্ট,कॅल्शियम-अल्युमिनेट सिमेंट
কেলচিয়াম-চিলিকেট ইটা,कॅल्शियम-सिलिकेट वीट
কেলচিয়াম-চিলিকেট হাইড্ৰেট,कॅल्शियम-सिलिकेट हायड्रेट
কালিচে,कॅलिचे
কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’,कॅलिफोर्निया बेअरिंग रेशो
কেলিপাৰ,कॅलिपर
কেলৰিমিটাৰ,कॅलरीमीटर
কেম্বাৰ,कांबर
খাল,कालवा
কেনপি,छत
কেন্টিলিভাৰ ফুটিং,कॅन्टिलिव्हर फूटिंग
কেপ,टोपी
ক্ষমতা,क्षमता
ail ট্ৰেকৰ ক্ষমতা,एइल ट्रॅकची क्षमता
কেপ কেবল,कॅप केबल
কেপিলাৰিটি,केशिका
কেপিলাৰী ব্ৰেক,केशिका ब्रेक
কেপিলাৰী প্ৰবাহ,केशिका प्रवाह
কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী,केशिका ओलावा किंवा केशिका पाणी
কেপিলাৰী ছিদ্ৰ স্থান,केशिका छिद्र जागा
কেপিলাৰী ছিদ্ৰতা,केशिका सच्छिद्रता
কেপিলাৰী স্থান,केशिका जागा
কেপচাৰ বেগ,वेग कॅप्चर करा
কাৰ্বনেচন,कार्बोनेशन
কাৰ্বন ব্লেক,कार्बन ब्लॅक
Castble অবাধ্য,कास्टबल रेफ्रेक्ट्री
কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু,कास्ट-इन-प्लेस किंवा कास्ट-इन-सिटू
কাষ্ট-ইন-প্লেচ পাইল,कास्ट-इन-प्लेस मेख
কেষ্টাৰ,एरंडेल
ঢালাই শিল,कास्ट दगड
অনুঘটক,उत्प्रेरक
কেটেনা,कॅटेना
মেকুৰীৰ মুখ,मांजरीचा चेहरा
মেকুৰীৰ মূৰ,मांजरीचे डोके
কেটিয়ন,कॅशन
মেকুৰী খোজ কাঢ়িব,मांजर चालणे
গহ্বৰৰ ক্ষতি,पोकळ्या निर्माण होणे नुकसान
চেলাইট,Celite
কোষীয় কংক্ৰিট,सेल्युलर कंक्रीट
কোষীয় নিৰ্মাণ,सेल्युलर बांधकाम
চিমেণ্ট,सिमेंट
"চিমেণ্ট, বিটুমিনাছ","सिमेंट, बिटुमिनस"
"চিমেণ্ট, উচ্চ শক্তি","सिमेंट, उच्च शक्ती"
"চিমেণ্ট, হাইড্ৰলিক","सिमेंट, हायड्रॉलिक"
