Punjabi,Odiya
ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ,AC ସମାନ ସର୍କିଟ |
ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ,ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |
ਪੂਰਨ ਜ਼ੀਰੋ,ସଂପୂର୍ଣ୍ଣ ଶୂନ
ਸਮਾਈ ਗੁਣਾਂਕ,ଶୋଷଣ ଗୁଣବତ୍ତା
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |
ਰੀਸੈਪਟਰ ਐਟਮ,ରିସେପ୍ଟର ପରମାଣୁ |
ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ,ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |
ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ,ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ
ਮੋਰੀ ਸਟੋਰੇਜ਼,ଗର୍ତ୍ତ ସଂରକ୍ଷଣ
ਸਰਗਰਮੀ ਊਰਜਾ,ସକ୍ରିୟ ଶକ୍ତି
ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ,ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
ਸਰਗਰਮ diode ਸਰਕਟ,ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |
ਸਰਗਰਮ ਫਿਲਟਰ,ସକ୍ରିୟ ଫିଲ୍ଟର୍ |
ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ,ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |
ਸਰਗਰਮ ਲੋਡ,ସକ୍ରିୟ ଭାର
ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ,ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |
ਸਰਗਰਮ ਖੇਤਰ,ସକ୍ରିୟ କ୍ଷେତ୍ର |
ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
ਜੋੜਨ ਵਾਲਾ,ଆଡର୍
ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ,ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |
ਪ੍ਰਵੇਸ਼,ଅନୁପ୍ରବେଶ
ਏਰੀਅਲ,ଆରିଏଲ
pep ਬਾਰੰਬਾਰਤਾ,ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
ੲੇ. ਸੀ,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
ਅਲਾਈਨਮੈਂਟ,ଶ୍ରେଣୀବଦ୍ଧତା |
ਐਲਗੋਰਿਦਮ,ଆଲଗୋରିଦମ |
