Kannada,Malayalam
ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
ವ್ಯಭಿಚಾರ,ഒഴിഞ്ഞുമാറുക
ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,അടിമത്തം നിർത്തലാക്കൽ
ಮೂಲನಿವಾಸಿಗಳು,ആദിവാസികൾ
ಅಬ್ರಹಾಂ ಯುಗ,അബ്രഹാം യുഗം
ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು,ഹാജരാകാത്ത ഭൂവുടമകൾ
ಅಕಾಡೆಮಿ,അക്കാദമി
ಅಕ್ರಾ ಸಮ್ಮೇಳನ,അക്ര സമ്മേളനം
ಸಂಚಯಗಳು,സമാഹരണങ്ങൾ
ಸಂಸ್ಕಾರ,സംസ്കരണം
ಅಸೆಲ್ಡಾಮಾ,അസെൽഡാമ
ಅಚೆಯನ್ (=ಅಚಿಯನ್),അച്ചായൻ (=അച്ചിയൻ)
ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
ಆಕ್ರೊಪೊಲಿಸ್,അക്രോപോളിസ്
ಆಕ್ಟಾ ಡೈರ್ನಾ,ആക്റ്റ ദിയുർന
ಆಕ್ಟಾ ಸೆನಾಟಸ್,ആക്റ്റ സെനറ്റസ്
ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,ആക്റ്റ് അഡീഷണൽ
ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
ವಸಾಹತು ಕಾಯಿದೆ,സെറ്റിൽമെന്റ് നിയമം
ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,പരസ്യ കരാർ മുദ്ര
ಅಡುಲಮೈಟ್ಸ್,അഡുല്ലമൈറ്റുകൾ
ಎದುರಾಳಿ,എതിരാളി
ಎದುರಾಳಿ,എതിരാളി
ಏಯಾನ್,അയോൺ
ಏರೋರಿಯಮ್,എയറേറിയം
ವೈಮಾನಿಕ ಯುದ್ಧ,ആകാശ യുദ്ധം
ಏಟೋಲಿಯನ್ ಲೀಗ್,എറ്റോലിയൻ ലീഗ്
ವಯಸ್ಸು,വയസ്സ്
ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ),വാർദ്ധക്യം (=വാർദ്ധക്യം)
ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ,പ്രായമാകൽ പ്രക്രിയ
ಅಗೆಲೈ,അഗെലൈ
ಅಶ್ವದಳದ ವಯಸ್ಸು,ധീരതയുടെ പ്രായം
ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು,എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം
ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು,പെരിക്കിൾസിന്റെ പ്രായം
ಕಾರಣದ ವಯಸ್ಸು,യുക്തിയുടെ പ്രായം
ಕೃಷಿಧರ್ಮ,കാർഷികവാദം
