English,Malayalam
A B amplifier,എ ബി ക്ലാസ് ആംപ്ലിഫയർ
aberration,അപഭ്രംശം
abnormal propagation,അസാധാരണമായ സംക്രമണം
abrupt,"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ"
absent spectrum,സ്പെക്ട്രം കാണുന്നില്ല
absolute,"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
absolute humidity,കേവല ഈർപ്പം
absolute motion,കേവല വേഗത
absolute observation,സമ്പൂർണ നിരീക്ഷണം
absolute temperature,കേവല താപനില
absolute zero,കേവല പൂജ്യം
absorb,ആഗിരണം ചെയ്യുക
absorber,"ആഗിരണം, ആഗിരണം"
absorbing power,ആഗിരണം ശേഷി
absorptance,ആഗിരണം
absorptive,ആഗിരണം ചെയ്യാവുന്ന
absorptivity,ആഗിരണം
abundance ratio,ഗുണിത അനുപാതം
accelerate,ത്വരിതപ്പെടുത്തുക
accelerated,തിടുക്കപ്പെട്ടു
acceleration,ത്വരണം
acceleration of gravity,ഗുരുത്വാകർഷണ ത്വരണം
accelerative,ആക്സിലറേറ്റർ
accelerator,ആക്സിലറേറ്റർ
accelerometer,ആക്സിലറോമീറ്റർ
accentuator,പ്രിസ്ട്രെസർ
acceptance test,സ്വീകാര്യമായ പരിശോധന
acceptor,സ്വീകർത്താവ്
acceptor molecule,ദാതാവിന്റെ തന്മാത്ര
access,"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത"
accessibility,പ്രവേശനക്ഷമത
accessory,"സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)"
access time,പ്രവേശന സമയം
accidental error,സന്ദർശക പിശക്
accommodation,ക്രമീകരിക്കൽ
accumulated,കുമിഞ്ഞുകൂടി
accumulation,"ശേഖരണം, ശേഖരണം"
accumulator,ശേഖരണം
accuracy,കൃത്യത
accurate,റിയാലിറ്റി
achromat,അക്രോമാറ്റിക് ലെൻസ്
achromatic,അക്രോമാറ്റിക്
achromatism,അക്രോമാറ്റിറ്റി
acoustical,അക്കോസ്റ്റിക്
acoustically insulated,ശബ്ദപ്രതിരോധം
acoustical phonon,അക്കോസ്റ്റിക് ഫോണോൺ
acoustical unit,ശബ്ദ യൂണിറ്റ്
acoustic,അക്കോസ്റ്റിക്
acoustic generator,ശബ്ദ ജനറേറ്റർ
action and reaction,പ്രവർത്തനവും പ്രതികരണവും
activation,സജീവമാക്കൽ
"activation ,energy",സജീവമാക്കൽ ഊർജ്ജം
activator,"ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ"
active,സജീവമാണ്
activity,ആക്ടിവിസം
actual stress,യഥാർത്ഥ സമ്മർദ്ദം
acute exposure,മന്ത്രിക്കുന്നു
add,സംഗ്രഹിക്കാനായി
addition,"തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)"
additional tone,"സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)"
additive,സങ്കലനം
adhesion,അഡീഷൻ
adhesional energy,പശ ഊർജ്ജം
adiabat,അടിയാബാറ്റ്
adiabatic,adiabatic
adiathermanous,ചൂട് ഇൻസുലേറ്റിംഗ്
adjacent,ബന്ധം
adjustable,ക്രമീകരിക്കാവുന്ന
admittance,നുഴഞ്ഞുകയറ്റം
adsorption,ആഗിരണം
advanced,മുന്നോട്ട്
advancing,പുരോഗമനപരമായ
aerial,"ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)"
aerial current,ആന്റിന സ്ട്രീം
aerial survey,ഏരിയൽ സർവേ
aerial velocity,വായു വേഗത
aerodynamic coefficient,എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്
aerodynamic,എയറോഡൈനാമിക്
aerodynamics,എയറോഡൈനാമിക്സ്
aeronautical,എയറോനോട്ടിക്കൽ
aeronautics,എയറോനോട്ടിക്സ്
aeropulse,എയർ പൾസ്
aerosphere,"അന്തരീക്ഷം, വാതകമണ്ഡലം"
afocal system,ഫോക്കസ് സിസ്റ്റം
after burning,തിരികെ ജ്വലനം
after glow,ബാക്ക് ലൈറ്റ്
aftershock,ഞെട്ടൽ
age,"പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക"
aged,സമയം ബാധിച്ചു
ageing (aging),"വാർദ്ധക്യം, വാർദ്ധക്യം"
aging (=ageing),സമയ പ്രഭാവം
aging test,സമയ ഫല പരിശോധന
agravic,ഗുരുത്വാകർഷണമില്ലാത്ത
aim,അനുരഞ്ജനം
airborne radar,"വായുവിലൂടെയുള്ള റഡാർ, ഏരിയൽ റഡാർ"
airborne target,"ആകാശ ലക്ഷ്യം, ആകാശ ലക്ഷ്യം"
air breather,എയർ റെസ്പിറേറ്റർ
air conditioning,എയർ കണ്ടീഷനിംഗ്
aircore transformer,എയർക്രൂ ട്രാൻസ്ഫോർമർ
aircraft,വിമാനം
alignment,വിന്യാസം
alignment error,വിന്യാസ പിശക്
alive circuit,ലൈവ് സർക്യൂട്ട്
all glass tube,മുഴുവൻ ഗ്ലാസ് ട്യൂബ്
all metal tube,മുഴുവൻ മെറ്റൽ ട്യൂബ്
allocate,പരിഹരിക്കാൻ
alloy,"മിസ്രതു (എഡി.), മിശ്രത്വാൻ (സി.ആർ.)"
alloying,മിശ്രത്വൻ
all-pervading medium,സർവ്വവ്യാപിയായ മാധ്യമം
all-wave antenna,ഓമ്‌നി ആന്റിന
almanac,പഞ്ചഭൂതം
alpha,ആൽഫ
alpha-activity,ആൽഫ പ്രവർത്തനം
alphabetical,ആൽഫാന്യൂമെറിക്
alpha ray,ആൽഫാ റേ
alteration,മാറ്റുക
alternating,"ഒന്നിടവിട്ട്, ഒന്നിടവിട്ട്"
alternator,ആൾട്ടർനേറ്റർ
altigraph,ആൾട്ടിമീറ്റർ
altimeter,ആൾട്ടിമീറ്റർ
altimetry,ആൾട്ടിമെട്രി
altitude,"ഉയരം, ഉയരം, ഉയരം, ഉയരം"
ALU (Arithmatic Logic Unit),അരിത്മെറ്റിക് റീസണിംഗ് യൂണിറ്റ് (ALU)
Amagat law,ഒരു ഭരണം
ambient,പരിസ്ഥിതി
amicron,അമ്ക്രോൺ
amméter,അമ്മീറ്റർ
ampere,ആമ്പിയർ
Ampere's rule,ആമ്പിയർ നിയമം
amphoteric ion,ഉഭയജീവി അയോൺ
amplification,ആംപ്ലിഫിക്കേഷൻ
amplifier,ആംപ്ലിഫയർ
amplitude,"ആംഗിൾ, അളവ്"
a. m. u. (atomic mass unit),എ. എം.യു. (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
analog (=analogue),അനുയോജ്യം
analogy,സാമ്യം
analyser,അനലിസ്റ്റ്
analysis,വിശകലനം
analytical,വിശകലനാത്മകമായ
anastigmatic,നോൺ-പോയിന്റ്
anastigmatism,അസാധാരണമായ
AND gate,വാതിലും
anechoic,നോൺ-അക്കോസ്റ്റിക്
anelasticity,അസാധാരണമായ ഇലാസ്തികത
aneroid,ജലരഹിതമായ
angle,കോൺ
Angstrom unit,angstrom യൂണിറ്റ്
angular,കോണിക
angular vernier,പ്രൊട്രാക്ടർ വെർനിയർ
anharmonic,തർക്കരഹിതമായ
anharmonicity,ബഹുമാനമില്ലാത്ത
anhysteresis,അക്രോമാറ്റിക് കാന്തികവൽക്കരണം
anhysteretic,മന്ദത
anion,അയോൺ
anisodimensional,അസമമായ
anisotropic,ഐസോട്രോപിക്
anisotropy,ഐസോട്രോപിസം
annihilation,ഇല്ലാതാക്കൽ
annunciator,ഗൂഢാലോചനക്കാർ
anode,ആനോഡ്
anodize,ആനോഡൈസേഷൻ
anomalous,പൊരുത്തമില്ലാത്ത
anoptic system,ഒപ്റ്റിക്കൽ സിസ്റ്റം
antenna,ആന്റിന
antibaryon,ആന്റിബെറിയോൺ
antibinding property,ബോണ്ടിംഗ് വിരുദ്ധ സ്വത്ത്
anitibonding,കൌണ്ടർ ബോണ്ട്
antiferroelectricity,റിവേഴ്സ് പവർ
antiferromagnetic,ഡയമാഗ്നറ്റിക്
antiferromagnetics,ഡയമാഗ്നറ്റിക് മെറ്റീരിയൽ
antifoggant,വിരുദ്ധ ബാഹ്യാവിഷ്ക്കാരമാണ്
antigravity,ആന്റിഗ്രാവിറ്റി
anti-lambda particle,ആന്റിലാംഡ കണിക
anti-lepton,അല്ലെലെപ്റ്റൺ
antimagnetic,ഡയമാഗ്നറ്റിക്
antimatter,പ്രതിദ്രവ്യം
antimissile,വിരുദ്ധ മിസൈൽ
antineutron,ആന്റിന്യൂട്രോൺ
antinode,സ്പന്ദിക്കുന്ന
antinucleon,ആന്റി ന്യൂക്ലിയോൺ
antiparticle,ആന്റിപാർട്ടിക്കിൾ
antiproton,ആന്റിപ്രോട്ടോൺ
antireflection,ആന്റി റിഫ്ലെക്റ്റീവ്
antisymmetric,ആന്റിസിമെട്രിക്
aperiodical,ആവർത്തിക്കാത്ത
aperiodicity,അനാക്രോണിസം
apertural disc,സുഷിരങ്ങളുള്ള സ്കാനിംഗ് ഡിസ്ക്
aperture,ദ്വാരക്
apex,"മുകളിൽ, മുകളിൽ, മുൻഭാഗം"
aphelion,"സൂര്യൻ ഉയർന്ന, സൂര്യൻ ഉയർന്ന, അപ്സർ"
aplanat,ഉദാസീനമായ ലേസ്
aplanatic,ദയനീയമല്ലാത്ത
aplanatism,വൈകല്യമില്ലാത്തത്
apochromatic,വളരെ അക്രോമാറ്റിക്
apogee,"ഭൂമി-ഉയരം, അപ്പോജി"
apolar,"ധ്രുവീയമല്ലാത്ത, വൃത്താകൃതിയിലുള്ള"
apolarity,പരധ്രുവത്വം
apparatus,ഉപകരണം
apparent,"വെർച്വൽ, വിഷ്വൽ"
apparent sun,ദൃശ്യ സൂര്യൻ
apparent time,ദൃശ്യ സമയം
appearance,ഉയർന്നുവരുന്ന രൂപം
appliance,അപേക്ഷ
applicability,പ്രയോഗക്ഷമത
applied,അപേക്ഷിച്ചു
appreciable,നിരീക്ഷിക്കാവുന്നതാണ്
approach,സമീപനം
approximate,"അടുത്ത്, ഏകദേശം"
approximation,ഏകദേശ കണക്ക്
aqueous tension,നീരാവി മർദ്ദം
arbitrary,സ്വമേധയാ
arc furnace,"ആർക്ക് ചൂള, ആർക്ക് ചൂള"
Archimedes principle,ആർക്കിമിഡീസിന്റെ നിയമം
