Malayalam,English
വിലക്ഷണമായ,Abnormal
ഉപേക്ഷിക്കുക,Abort
വധനം,Abrasion
ആകസ്മികമായ,Abrupt
കേവല ഫീൽഡ് ശക്തി,Absolute field strength
കേവല താപനില,Absolute temperature
യഥാർത്ഥ മൂല്യം,Absolute value
ഉള്ക്കൊള്ളുക,Absorb
ആഗിരണം കോ-കാര്യക്ഷമമാണ്,Absorption co-efficient
ആഗിരണം നഷ്ടം,Absorption loss
വേര്പെട്ടുനില്ക്കുന്ന,Abstract
ആക്സിലറോമീറ്റർ,Accelerometer
സ്വീകാര്യത പരിശോധന,Acceptance test
പ്രവേശനം,Access
പ്രവേശന നിയന്ത്രണം,Access control
പ്രവേശന പോയിന്റ്,Access point
ആക്സസ് സമയം,Access time
പ്രവേശനക്ഷമത,Accessibility
സഞ്ചിത സെൽ,Accumulator cell
കൃതത,Accuracy
സൂക്ഷ്മമായ,Accurate
അച്രോമാറ്റിക് ലെൻസ്,Achromatic lens
പുളിപ്പുള്ള,Acid
ആസിഡ് തെളിവ്,Acid proof
അസിഡിറ്റി,Acidity
അംഗീകാര ബിറ്റ്,Acknowledgement bit
അക്കോസ്റ്റിക്,Acoustic
അക്കോസ്റ്റിക് ആശയവിനിമയം,Acoustic communication
അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ,Acoustic diffusion
അക്കോസ്റ്റിക് ഇക്വൈസർ,Acoustic equalizer
അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്,Acoustic feedback
അക്ക ou സ്റ്റിക് ഫിൽട്ടർ,Acoustic filter
അക്കോസ്റ്റിക് ഇംപാസ്,Acoustic impedance
അക്കോസ്റ്റിക് മാസ്കിംഗ്,Acoustic masking
അക്കോസ്റ്റിക് പവർ,Acoustic power
അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി,Acoustic property
അക്കോട്ടിക് റിയാൻസ്,Acoustic reactance
അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്,Acoustic reflex
അക്കോസ്റ്റിക് ടൈൽ,Acoustic tile
അക്ക ou സ്റ്റിക് തരംഗം,Acoustic wave
ശബ്ദ ആഗിരണം,Acoustical absorption
അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം,Acoustical attenuation constant
അക്കോസ്റ്റിക്കൽ നനവ്,Acoustical damping
അക്കോസ്റ്റിക്കൽ കാലതാമസം,Acoustical delay line
അക്കോസ്റ്റിക്കൽ വക്രമാനം,Acoustical distortion
അക്കോസ്റ്റിക്കൽ നാളം,Acoustical duct
അക്കോസ്റ്റിക്കൽ എനർജി,Acoustical energy
അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്,Acoustical feedback
അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ,Acoustical filter
അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്,Acoustical impedance
അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം,Acoustical propagation constant
അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്,Acoustical resistance
ശബ്ദപരമായി ഇൻസുലേറ്റ്,Acoustically insulated
അക്കോസ്റ്റിക്സ്,Acoustics
കൈവശപ്പെടുത്തൽ,Acquisition
സംക്ഷേപം,Acronym
പ്രവർത്തന മേഖല,Action area
സജീവമാക്കിയ ഫിലമെന്റ്,Activated filament
സജീവമായ,Active
സജീവ ഏരിയ,Active area
സജീവ വിൻഡോ,Active window
പൊരുത്തപ്പെടലി,Adaptability
അഡാപ്റ്റർ (അഡാപ്റ്റർ),Adapter (adaptor)
അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ,Adaptive differential pulse code modulation
മേൽവിലാസ പുസ്തകം,Address book
വിലാസ ബസ്,Address bus
വിലാസ മിഴിവ്,Address resolution
തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ,Adjacent channel interference
തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി,Adjacent channel selectivity
അടുത്തുള്ള ആവൃത്തി,Adjacent frequency
തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ,Adjacent frequency channel
തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ,Adjacent picture carrier
തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ,Adjacent sound carrier
അടുത്തുള്ള സ്റ്റേഷൻ,Adjacent station
കമീകരിക്കുന്ന,Adjustable
ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ,Adjustable condenser
സമ്മർദ്ദം ക്രമീകരിക്കുന്നു,Adjusting pressure
റെഞ്ച് ക്രമീകരിക്കുന്നു,Adjusting wrench
കമപ്പെടുത്തല്,Adjustment
ഭരണാധിപന്,Administrator
നൂതന സാങ്കേതികവിദ്യ,Advanced technology
ഏരിയൽ,Aerial
ഏരിയൽ അറേ,Aerial array
ഏരിയൽ ബൂസ്റ്റർ,Aerial booster
ഏരിയൽ കറന്റ്,Aerial current
എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്,Aerial earthing switch
ഏരിയൽ കാര്യക്ഷമത,Aerial efficiency
ഏരിയൽ ഇതര,Aerial impedance
ഏരിയൽ ഉൾപ്പെടുത്തൽ,Aerial inductance
ഏരിയൽ ഇൻസുലേറ്റർ,Aerial insulator
ഏരിയൽ ലോഡിംഗ് കോയിൽ,Aerial loading coil
ഏരിയൽ ഫോട്ടോഗ്രഫി,Aerial photography
ഏരിയൽ പവർ,Aerial power
ആകാശ വികിരണ ഏലിസ്റ്റൻസ്,Aerial radiation reistance
ഏരിയൽ റിപ്രീൻസ്,Aerial reactance
എയറോഡൈനാമിക്സ്,Aerodynamics
നിര്വ്വഹണം,Agency
എയർ കംപ്രസ്സർ,Air compressor
എയർ കണ്ടൻസർ,Air condenser
വായു തണുപ്പിച്ചു,Air cooled
എയർ കോർഡ് കോയിൽ,Air cored coil
എയർ കണ്ടീഷനിംഗ്,Airconditioning
ആൽബിഡോ,Albedo
അൽഗോരിതം,Algorithm
അപരനാത്മകം,Aliasing
വിന്യസിക്കുന്നു,Aligning
വിന്യാപകമായ,Alignment
എല്ലാ തരംഗ ഏരിയലും,All wave aerial
പങ്കുവയ്ക്കല്,Allocation
അക്ഷരകമായ,Alphabetic
ആൽഫാന്യൂമെറിക്,Alphanumeric
ആൽഫാന്യൂമെറിക് പ്രതീകം,Alphanumeric character
ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ,Alphanumeric information
ഇതര കറന്റ് (A.C.),Alternating current (a.c.)
ഒന്നിടവിട്ടമ്മ,Alternation
പകര്പ്പ്,Alternator
ഉയരം,Altitude
അപ്പോഗിയുടെ ഉയരം,Altitude of the apogee
പെരിജിയുടെ ഉയരം,Altitude of the perigee
അമേച്വർ റേഡിയോ ആശയവിനിമയം,Amateur radio communication
അന്തരീതം,Ambience
അന്തരീക്ഷ മൈക്രോഫോൺ,Ambience microphone
അന്തരീക്ഷ അവസ്ഥ,Ambient condition
ആംബിയന്റ് ലൈറ്റിംഗ്,Ambient lighting
ആംബിയന്റ് ശബ്ദം,Ambient noise
ആംബിയന്റ് താപനില,Ambient temperature
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ്,American standard code
Ampere,Ampere
ആമ്പിയർ മീറ്റർ,Ampere meter
ആംപ്ലിഫിക്കേഷൻ,Amplification
ആംപ്ലിഫിക്കേഷൻ ഫാക്ടർ,Amplification factor
ആംപ്ലിഫയർ,Amplifier
ആംപ്ലിഫയർ നേട്ടം,Amplifier gain
ആംപ്ലിഫയർ ശബ്ദം,Amplifier noise
ഉപകരണങ്ങൾ ആംപ്ലിഫൈയിംഗ് ചെയ്യുന്നു,Amplifying equipment
Klystron ആംപ്ലിഫൈയിംഗ്,Amplifying klystron
ആംപ്ലിഫൈയിംഗ് യൂണിറ്റിംഗ്,Amplifying unit
വ്യാശമുള്ള,Amplitude
വ്യാപ്തി വികസനം,Amplitude distortion
ആംപ്ലിഡ്യൂഡ് ആസക്തി,Amplitude excursion
വ്യാപ്തി ഘടകം,Amplitude factor
ആംപ്ലിറ്റ്യൂഡ് ലിമിറ്റർ,Amplitude limiter
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റ് ചെയ്തു,Amplitude modulated
ആംപ്ലിറ്റ്ഇൻഡ് മോഡുലേഷൻ,Amplitude modulation
അനലോഗ് (അനലോഗ്),Analog (analogue)
അനലോഗ് സർക്യൂട്ട്,Analog circuit
അനലോഗ് കമ്പ്യൂട്ടർ,Analog computer
അനലോഗ് റേഡിയോ ഫ്രീക്വൻസി ചാനൽ,Analog radio frequency channel
അനലോഗ് പ്രാതിനിധ്യം,Analog representation
അനലോഗ് സിഗ്നൽ,Analog signal
ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്,Analog to digital
ഡിജിറ്റൽ കൺവെർട്ടറിലേക്കുള്ള അനലോഗ്,Analog to digital converter
അനലോഗ് വീഡിയോ,Analog video
അനസ്),Analogous
അനലോഗി,Analogy
വിശകലനം,Analysis
ഡാറ്റയുടെ വിശകലനം,Analysis of data
അനലിറ്റിക്കൽ സാന്ദ്രത,Analytical density
വിശകലനം ചെയ്യുക,Analyze
വിശകലന,Analyzer
അനുബന്ധ ഉപകരണങ്ങൾ,Ancilliary equipment
ഗേറ്റിലും,AND Gate
കൂട്ടിയിടിയുടെ കോണിൽ,Angle of collimation
ധ്രുവീകരണത്തിന്റെ കോണിൽ,Angle of polarization
ഭ്രമണത്തിന്റെ ആംഗിൾ,Angle of rotation
Angstrom (å),Angstrom (Å)
കോകാരുമായ,Angular
കോണീയ ത്വരണം,Angular acceleration
കോണീയരായ കോ-ഓർഡിനേറ്റുകൾ,Angular co-ordinates
കോണീയ വ്യതിചലനം,Angular deflection
കോണീയ ചിതറിപ്പോയത്,Angular dispersion
കോണീയ സ്ഥാനചലനം,Angular displacement
കോണീയ പിശക്,Angular error
കോണീയ ആവൃത്തി,Angular frequency
കോണീയ ആക്കം,Angular momentum
കോണീയ ചലനം,Angular motion
കോണീയ പ്രവേഗം,Angular velocity
ജീവസഞ്ചാരണം,Animation
ആനോഡ്,Anode
അനോഡ് ബാറ്ററി,Anode battery
ആനോഡ് സ്വഭാവം,Anode characteristic
അനോഡ് സർക്യൂട്ട്,Anode circuit
ആനോഡ് ഡിസ്പിപ്പ്,Anode dissipation
ആനോഡ് കാര്യക്ഷമത,Anode efficiency
ആനോഡ് ഇൻപുട്ട് പവർ,Anode input power
ആനോഡ് പരിഷ്കരണം,Anode modulation
ഏരിയെല്,Antenna
ആന്റിന ബീഫ്റ്റ്വിഡ്ത്ത്,Antenna beamwidth
ആന്റിന ബൂസ്റ്റർ,Antenna booster
ആന്റിന ട്രാനെറ്റ് സ്വിച്ച്,Antenna changeover switch
ആന്റിന കോയിൽ,Antenna coil
ആന്റിന കോൺഫിഗറേഷൻ,Antenna configuration
ആന്റിന കപ്ലർ,Antenna coupler
ആന്റിന ക്രോസ് പോളാർ പാറ്റേൺ,Antenna cross polar pattern
ആന്റിന കറന്റ്,Antenna current
ആന്റിന ഡയറക്റ്റബേഷൻ നേട്ടം,Antenna directivity gain
ആന്റിന ഡ്യുപ്ലെർസർ,Antenna duplexer
ആന്റിന ഫലപ്രദമായ പ്രദേശം,Antenna effective area
ആന്റിന കാര്യക്ഷമത,Antenna efficiency
ആന്റിന ഫീഡ്,Antenna feed
ആന്റിന ഫൂട്ട് പ്രിന്റ്,Antenna foot print
ആന്റിന നേട്ടം,Antenna gain
ആന്റിന ഉയരം,Antenna height
ആന്റിന ഇംപെഡൻസ്,Antenna impedance
ആന്റിന ഇൻഡക്റ്റൻസ്,Antenna inductance
ആന്റിന പാറ്റേൺ,Antenna pattern
ആന്റിന പ്ലെക്സർ,Antenna plexer
ആന്റിന പോളൈസേഷൻ,Antenna polarization
ആന്റിന പവർ,Antenna power
ആന്റിന പവർ ലാഭം,Antenna power gain
ആന്റിന റേഡിയേഷൻ പ്രതിരോധം,Antenna radiation resistance
ആന്റിന റിനോപ്പൻസ്,Antenna reactance
ആന്റിന റിഫ്ലക്ടർ,Antenna reflector
ആന്റിന റെസിസ്റ്റൻസ്,Antenna resistance
ആന്റിന പുന ons ണ്ടന്റ് ആവൃത്തി,Antenna resonant frequency
ആന്റിന സ്പെയ്സിംഗ്,Antenna spacing
ആന്റിന സ്വിച്ചിംഗ് റൂം,Antenna switching room
ആന്റിന ട്യൂണിംഗ് കോയിൽ,Antenna tuning coil
ആന്റിന ട്യൂണിംഗ് ഹട്ട്,Antenna tuning hut
അപ്പേണ്ടർ,Aperture
അപ്പോജി,Apogee
അപ്പോജി റോക്കറ്റ്,Apogee rocket
ഉപകരണങ്ങള്,Apparatus
കാണാവുന്ന,Apparent
ആപ്ലെറ്റ്,Applet
അപേക്ഷ,Application
ഏകദേശമായ,Approximate
ജല പരിഹാരം,Aquous solution
കമാനം,Arc
വാസ്തുവിദ,Architecture
ശബ്ദ റെക്കോർഡിംഗിന്റെ ആർക്കൈവൽ കൈമാറ്റം,Archival transfer of sound recording
ഗന്ഥരക്ഷാലയം,Archives
അരിത്മെറ്റിക് കോഡിംഗ്,Arithmetic coding
യക്ഷി,Armature
അർമേച്ചർ വിൻഡിംഗ്,Armature winding
ശേണി,Array
അറസ്റ്റർ,Arrester
കൃതില്,Articulation
ആർട്ടിഫക്റ്റ് (= ആർട്ടിഫാക്റ്റ്),Artifact (=artefact)
ആരോഹണം,Ascending
വീക്ഷണാനുപാതം,Aspect ratio
അസംബ്ലി,Assembler
ഉറപ്പിച്ചുപറയല്,Assertion
ചുമതല,Assignment
അസൈൻമെന്റ് ചാനൽ,Assignment channel
അസമമായ,Asymmetrical
അസിൻക്രണസ്,Asynchronous
അന്തരീക്ഷം,Atmosphere
അന്തരീക്ഷ നഷ്ടം,Atmospheric loss
അന്തരീക്ഷ ശബ്ദം,Atmospheric noise
അന്തരീക്ഷമർദ്ദം,Atmospheric pressure
അന്തരീക്ഷ പ്രചരണം,Atmospheric propagation
അന്തരീക്ഷ റേഡിയോ-വേവ്,Atmospheric radio-wave
അന്തരീക്ഷ,Atmospherics
പരമാണു,Atom
ആറ്റോമിക ഘടന,Atomic structure
ബന്ധം,Attachment
അറ്റൻവറൻസ്,Attenuation
അറ്റൻവേേഷൻ നഷ്ടം,Attenuation loss
ശബ്ദ തരംഗങ്ങളുടെ അറ്റൻവേഷൻ,Attenuation of sound waves
അറ്റൻവേറ്റർ,Attenuator
അറ്റൻവേറ്റർ പാഡ്,Attenuator-pad
സവിശേഷത പരിധി,Audibility threshold
ശ്രമത്തിനും,Audible
കേൾക്കാവുന്ന ആവൃത്തി,Audible frequency
കേൾക്കാവുന്ന ടോൺ,Audible tone
കേൾക്കാവുന്ന-സ്പെക്ട്രം,Audible-spectrum
സദസര്,Audience
ഓഡിയോ,Audio
ഓഡിയോ ആംപ്ലിഫയർ,Audio amplifier
ഓഡിയോ അനലൈസർ,Audio analyzer
ഓഡിയോ ബ്രോഡ്കാസ്റ്റിംഗ്,Audio broadcasting
ഓഡിയോ കേബിൾ,Audio cable
ഓഡിയോ ചെയിൻ,Audio chain
ഓഡിയോ കോഡെക്,Audio codec
ഓഡിയോ കംപ്രഷൻ,Audio compression
ഓഡിയോ കംപ്രസ്സർ,Audio compressor
ഓഡിയോ കൺസോൾ,Audio console
ഓഡിയോ വക്രീകരണം,Audio distortion
ഓഡിയോ ഡൈനാമിക് ശ്രേണി,Audio dynamic range
ഓഡിയോ ഫയൽ ഫോർമാറ്റ്,Audio file format
ഓഡിയോ ഫ്രെയിം ഫോർമാറ്റ്,Audio frame format
ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ,Audio frequency amplifier
ഓഡിയോ ഫ്രീക്വൻസി ജനറേറ്റർ,Audio frequency generator
ഓഡിയോ ഫ്രീക്വൻസി ശ്രേണി,Audio frequency range
ഓഡിയോ ഫ്രീക്വൻസി പ്രതികരണം,Audio frequency response
