Odiya,Marathi
ଆବେଲି ଗୋଷ୍ଠୀ |,abeli गट
ଆବେଲି ଗୋଷ୍ଠୀ |,अबेली गट
ହାତ,हात
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |","निरपेक्ष, निरपेक्ष, स्थिर, अचूक"
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,परिपूर्ण अभिसरण
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,परिपूर्ण त्रुटी
ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ,सर्वोच्च सर्वोच्च
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,परिपूर्ण सर्वात कमी
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,परिपूर्ण मूल्य
ସଂପୂର୍ଣ୍ଣ ବେଗ,परिपूर्ण वेग
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,अमूर्त बीजगणित
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,अमूर्त गट सिद्धांत
ତ୍ୱରଣ,प्रवेग
ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |,गुरुत्वाकर्षण प्रवेग
ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |,स्वीकार्य निवडकर्ता
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,स्वीकार्य गुणवत्ता पातळी
ଗ୍ରହଣୀୟ ପରିସର,स्वीकार्य परिसर
ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,वैध विश्वसनीयता पातळी
ଗ୍ରହଣ ନମୁନା,स्वीकृती नमुना
ସଂଗୃହିତ ତ୍ରୁଟି |,संचित त्रुटी
ସଠିକତା,अचूकता
ପ୍ରୟୋଗ ଶକ୍ତି,शक्ती लागू
"କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ","कृती, कृती"
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,क्रिया आणि प्रतिक्रिया
ବୀମା ବିଜ୍ଞାନ |,विमा विज्ञान
ତୀବ୍ର ତ୍ରିରଙ୍ଗା |,तीव्र त्रिकोण
acyclic,अॅसायक्लिक
ସଂକ୍ଷେପରେ,बेरीज करणे
ଆଡର୍,जोडणारा
"ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)","बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)"
ଯୋଗର ସୂତ୍ର,योगाचे सूत्र
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |,जटिल संख्यांची बेरीज
କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି,कार्यांची बेरीज
ମାଟ୍ରିକ୍ସର ରାଶି,मॅट्रिक्सची बेरीज
ବହୁଜନର ସମଷ୍ଟି |,बहुपदांची बेरीज
ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି,संभाव्यतेची बेरीज
ଭେକ୍ଟରର ରାଶି,वेक्टरची बेरीज
"ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ,","बेरीज प्रमेय, बेरी सिद्धांत"
ଯୋଗୀ ଗୋଷ୍ଠୀ |,मिश्रित गट
ଯୋଗୀ ଓଲଟା |,additive inverse
ଯୋଗନୀୟତା |,जोडणी
ଯୋଗନୀୟତା |,जोडणी
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,संलग्नता मॅट्रिक्स
"ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ","समीप, समीप, समीप"
ସଂଲଗ୍ନ କୋଣ,समीप कोन
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,समीप शिरोबिंदू
ସହଯୋଗ କରିବାକୁ,संबद्ध करणे
"ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର,",संलग्न संलग्न
ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |,सामान्य निर्धारक
ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |,संलग्न विभेदक समीकरण
ସଂଲଗ୍ନ ସମୀକରଣ,संलग्न समीकरण
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,एकसंध मॅट्रिक्स
ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |,मॅट्रिक्स सहप्रसरण
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,एकसंध मॅट्रिक्स
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,स्वीकार्य निर्णय कार्य
ଗ୍ରହଣୀୟ ଅନୁମାନ,स्वीकार्य गृहीतक
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,वायुगतिकीय शक्ती
ଏରୋଡାଇନାମିକ୍ସ |,वायुगतिकी
ଏକମାତ୍ର ଜ୍ୟାମିତି |,एकसंध भूमिती
ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |,एकसंध मॅपिंग
ଏକମାତ୍ର ପରିବର୍ତ୍ତନ,एकसंध परिवर्तन
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,एकूण चल
"ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା","बीजगणित, बीजगणित, बीजगणित, बीजगणित"
"ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |","बियाणे बंद, बीजारोपण"
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,बीजगणितीय समीकरण
ବୀଜ ବର୍ଣ୍ଣନା,बीजगणितीय अभिव्यक्ती
ବୀଜ ବର୍ଣ୍ଣିତ ଏକତା |,बीजगणितीय एकरूपता
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,बीजगणितीय कार्य
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,बीजगणितीय भूमिती
ବୀଜ ବର୍ଣ୍ଣିତ ବହୁଳତା |,बीजगणितीय बहुलता
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,बीजगणितीय प्रणाली
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,सर्व-पूर्णांक समस्या
"ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ୱାଟ ପ୍ରଶ୍ନ,",असाइनमेंट समस्या वॅट प्रश्न
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,वर्णक्रमानुसार नोटेशन
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,वर्णमाला वर्ण
ବିକଳ୍ପ କୋଣ,पर्यायी कोन
"ବ hom କଳ୍ପିକ ଏକମାତ୍ର ବିକଳ୍ପ ଫର୍ମ,",पर्यायी एकसंध पर्यायी फॉर्म
ବିକଳ୍ପ ଗୋଷ୍ଠୀ |,पर्यायी गट
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,पर्यायी मॅट्रिक्स
ବିକଳ୍ପ କ୍ରମ |,पर्यायी मालिका
ବିକଳ୍ପ ଅନୁମାନ,वैकल्पिक गृहीतक
ବିକଳ୍ପ ସର୍ବୋତ୍କୃଷ୍ଟ |,पर्यायी इष्टतम
ବିକଳ୍ପ ଫଳାଫଳ |,पर्यायी परिणाम
analog-digit କନଭର୍ଟର |,अॅनालॉग-अंकी कनवर्टर
"ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର,",अॅनालॉग संगणक
ବିଶ୍ଳେଷଣ |,विश्लेषण
କୋଭାରିଆନ୍ସ ବିଶ୍ଳେଷଣ |,सहप्रसरण विश्लेषण
ଗଣନା-ତଥ୍ୟ ବିଶ୍ଳେଷଣ |,गणन-डेटा विश्लेषण
ଭିନ୍ନତା ବିଶ୍ଳେଷଣ |,भिन्नता विश्लेषण
ଆନାଲିଟିକାଲ୍ ଜ୍ୟାମିତି |,विश्लेषणात्मक भूमिती
ବିଶ୍ଳେଷଣାତ୍ମକ କାର୍ଯ୍ୟ,विश्लेषणात्मक कार्य
କୋଣ,कोन
