Punjabi,Assamese
"1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ","১.এবাকাছ, ২. গণনা কৰি আছে"
ਅਸਧਾਰਨ ਅੰਤ,অস্বাভাৱিক অন্ত
ਰੁਕਾਵਟ,ইন্টাৰচেপ্ট
"1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ","১.নিৰপেক্ষ, ২. পৰম"
ਪੂਰਾ ਪਤਾ,নিৰপেক্ষ ঠিকনা
ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ,নিৰপেক্ষ ঠিকনাযোগ্যতা
ਪੂਰਨ ਅਸੈਂਬਲਰ,নিৰপেক্ষ এছেম্বলাৰ
"1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ","১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড"
ਪੂਰਨ ਹੁਕਮ,নিৰপেক্ষ আদেশ
"1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ","১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য"
ਪੂਰਨ ਹਦਾਇਤ,নিৰপেক্ষ নিৰ্দেশনা
ਪੂਰਨ ਮੋਡ,নিৰপেক্ষ ধৰণ
ਪੂਰਨ ਮਾਰਗ,নিৰপেক্ষ পথ
"1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং"
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,বিমূৰ্ত শ্ৰেণী
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,বিমূৰ্ত তথ্যৰ ধৰণ
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,বিমূৰ্ত মেচিন
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,বিমূৰ্ত চিহ্ন
ਸੰਖੇਪ ਸੰਟੈਕਸ,বিমূৰ্ত বাক্যবিন্যাস
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ,গ্ৰহণযোগ্যতা পৰীক্ষা
ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ,প্ৰৱেশ প্ৰমাণীকৰণ
"1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ","1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড"
ਪਹੁੰਚ ਕੰਟਰੋਲ,প্ৰৱেশ নিয়ন্ত্ৰণ
ਐਕਸੈਸ ਸਕੈਨਿੰਗ,অভিগম স্কেনিং
ਸਹਾਇਕ ਉਪਕਰਣ,আনুষংগিক বস্তু
ਲੇਖਾਕਾਰੀ,হিচাপ-নিকাচ
"1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ","1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,এক্যুলেটৰ
"1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ","১/ সঠিকতা, ২. শুদ্ধতা"
ਪਹੁੰਚ,প্ৰৱেশাধিকাৰ
ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ,অভিগম নিয়ন্ত্ৰণ বাইটসমূহ
ਪਹੁੰਚ ਸੂਚਕ,প্ৰৱেশ সূচক
ਪਹੁੰਚ ਕੁੰਜੀ,অভিগম কি&#39;
"1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ","1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স"
ਪਹੁੰਚ ਮੋਡ,অভিগম ধৰণ
ਪਹੁੰਚ ਅਧਿਕਾਰ,অভিগম বিশেষাধিকাৰসমূহ
ਪਹੁੰਚ ਸੁਰੱਖਿਆ,অভিগম সুৰক্ষা
"1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ","1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ"
