English,Tamil
A (Ampere unit of current),ஆம்பியர் (அலகு)
A (angstrom),ஆங்ஸ்ட்ரம்
A amplifier,ஏ-வகுப்பு பெருக்கி
A-N radio range,ஏஎன் ரேடியோ சஹே
A-scan presentation,ஒரு ஸ்கேனிங் விளக்கக்காட்சி
A-scope,ஒரு-தர்ஷ்
A-scope display,ஏ-ஸ்கோப் செயல்திறன்
A-T Cut crystal,ஏ-டி வளைந்த படிகம்
A.c-d.c. gain,"ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்"
A.M. (ante meridiem),நான்
A.m.u. (atomic mass unit),AMU (அணு நிறை அலகு)
Aard-vark,aard-vark*
Ab ampere,ab-ஆம்பியர்
AB amplifier,A-B வகுப்பு பெருக்கி
Ab initio,அட
AB power pack,ஏ-பி சக்தி பிடகா
Abac=alignment chart=nomograph,abc = சீரமைப்பு விளக்கப்படம் = nomograph
Abbe number (=Abbe constant),அபே எண் (அபே மாறிலி)
ABBE refractometer,அபே ரிஃப்ராக்டோமீட்டர்
Abbe sine condition,அபே சைன் நிலை
Abc (automatic bias compensation),தானியங்கி சார்பு இழப்பீடு
Abcoulomb,abcoulom
Aberration,"பிறழ்வு, பிறழ்வு"
Aberration corrector lens,பிறழ்வு திருத்தி லென்ஸ்
Aberration of light,வானம் பிறழ்வு
Abfarad,அபராட்
Abhenry,எபென்ரி
Abney effect (=Abney law),கருங்காலி விளைவு
Abnormal polarisation,அசாதாரண துருவமுனைப்பு
Abnormal propagation,அசாதாரண பரிமாற்றம்
Abnormal reflection,அமானுஷ்ய பிரதிபலிப்பு
Abnormal refraction,அசாதாரண ஒளிவிலகல்*
Abnormal resistance,அமானுஷ்ய எதிர்ப்பு
Abohm,ab-om
Abortion,"முன்னுரிமை, தோல்வி"
Abrupt,"இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக"
Abrupt jump,அடிக்கடி குதிக்கிறது
Abscissa,கை*
Absent reflection,பிரதிபலிப்பு இழந்தது
Absent spectrum,ஸ்பெக்ட்ரம் காணவில்லை
Absolute,"முழுமையான, முழுமையான, நிலையான, சரியான"
Absolute acceleration,முழுமையான முடுக்கம்
Absolute accuracy,முழுமையான உண்மை
Absolute address-specific address,முழுமையான முகவரி
Absolute altimeter,புவிசார்ந்த உயரமானி
Absolute altitude,புவியியல் உயரம்
Absolute ampere,முழுமையான ஆம்பியர்
Absolute boilling point,முழுமையான கொதிநிலை
Absolute bolometric luminosity,முழுமையான ஒளிர்வு
Absolute capacity,முழுமையான கொள்ளளவு
Absolute ceiling,முழுமையான உயரம்
Absolute colour index,முழுமையான நிறமி
Absolute configuration,"முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு"
Absolute coulomb,முழுமையான கூலம்
Absolute darkness,முழு இருள்
Absolute dating,முழுமையான திட்டமிடல்
Absolute density,முழுமையான அடர்த்தி*
Absolute drift,முழுமையான வடிகால்
Absolute e.m.u.,முழுமையான EMU (மின்காந்த அலகு)
Absolute e.s.u.,முழுமையான ESU (நிலையான அலகு)
Absolute efficiency,முழுமையான செயல்திறன்
Absolute electrometer,முழுமையான எலக்ட்ரோமீட்டர்
Absolute frequency,முழுமையான அதிர்வெண் முழுமையான அதிர்வெண்
Absolute humidity,முழுமையான ஈரப்பதம்
Absolute incidence,முழுமையான நிகழ்வு
Absolute index of refraction,முழுமையான ஒளிவிலகல் குறியீடு
Absolute instability,முழுமையான உறுதியற்ற தன்மை
Absolute intensity,முழுமையான உறுதியற்ற தன்மை
Absolute length,"முழுமையான தீவிரம், முழுமையான தீவிரம்"
Absolute limit of hysteresis,ஆஸ்தீனியாவின் முழுமையான வரம்பு
Absolute luminance threshold,முழுமையான வெளிச்சம் சன்னல்
Absolute luminosity curve,முழுமையான ஒளி வளைவு
Absolute magnitude,முழுமையான அளவு
Absolute manometer,முழுமையான காற்றழுத்தமானி
Absolute maximum,உச்ச உச்ச
Absolute maximum rating,முழுமையான தீவிர
Absolute minimum,முற்றிலும் குறைந்த
Absolute momentum,முழுமையான வேகம்
Absolute motion,முழுமையான வேகம்
Absolute music=pure music,முழுமையான இசை
Absolute observation,முழுமையான கவனிப்பு
Absolute ohm,முழுமையான ஓம்
Absolute orientation,முழுமையான நோக்குநிலை
Absolute permittivity,முழுமையான எலக்ட்ரோநெக்டிவிட்டி
Absolute pitch,முழுமையான ஈர்ப்பு
Absolute pressure = true pressure,முழுமையான அழுத்தம்
Absolute property,முழுமையான சொத்து
Absolute scalar,முழுமையான அளவிடல்
Absolute scale of temperature,வெப்பநிலையின் இறுதி அளவு*
Absolute simultancity,"absolute synchrony, absolute synchrony"
Absolute stress,முழுமையான மன அழுத்தம்
Absolute symmetry,முழுமையான சமச்சீர்
Absolute system of motion,முழுமையான இயக்க உடல்
Absolute system of units,முழுமையான அலகு அமைப்பு
Absolute temperature,முழுமையான வெப்பநிலை
Absolute time,முழுமையான நேரம்
Absolute unit,முழுமையான அலகுகள்
Absolute value,துல்லியமான மதிப்பு
Absolute value computer,முழு எண் கால்குலேட்டர்
Absolute velocity,முழுமையான வேகம்
Absolute viscosity,முழுமையான பாகுத்தன்மை
Absolute weight,முழுமையான எடை
Absolute zero,முழுமையான பூஜ்ஜியம்*
Absolute zero devisor,பூஜ்ஜியத்தின் முழுமையான வகுப்பான்
Absorb,உறிஞ்சி
Absorbance,உறிஞ்சுதல் குறியீடு*
Absorbed energy,உறிஞ்சப்பட்ட ஆற்றல்
Absorber,"உறிஞ்சும், உறிஞ்சும்"
Absorbing medium,உறிஞ்சும் ஊடகம்*
Absorbing power,உறிஞ்சும் திறன்
Absorptance,உறிஞ்சுதல்
Absorptiometer,உறிஞ்சும் அளவி*
Absorptiometry,உறிஞ்சும் அளவீடு*
Absorption,உறிஞ்சுதல்
Absorption band,உறிஞ்சுதல் - இசைக்குழு*
Absorption circuit,உறிஞ்சுதல் சுற்று
Absorption coeffieient,உறிஞ்சுதல் குணகம்
Absorption column,உறிஞ்சுதல் நெடுவரிசை
Absorption constant,உறிஞ்சுதல் மாறிலி
Absorption continua,உறிஞ்சுதல் தொடர்ச்சி
Absorption cross section,உறிஞ்சுதல் மண்டலம்
Absorption current,உறிஞ்சுதல் மின்னோட்டம்
Absorption curve (=transmission curve),உறிஞ்சுதல் வளைவு*
Absorption discontinuity,உறிஞ்சுதல் முறிவு
Absorption edge,உறிஞ்சுதல் மைய
Absorption factor,உறிஞ்சுதல் காரணி
Absorption filter,உறிஞ்சுதல் வடிகட்டி
Absorption flame photometry,உறிஞ்சுதல் ஃபிளேம் ஃபோட்டோமெட்ரி*
Absorption hygrometer,உறிஞ்சும் ஹைக்ரோமீட்டர்
Absorption index,உறிஞ்சுதல் அடுக்கு
Absorption limit,உறிஞ்சுதல் விளிம்பு
Absorption line,உறிஞ்சுதல் வரி
Absorption loss,உறிஞ்சுதல் இழப்பு
Absorption modulation=loss modulation,உறிஞ்சுதல் பண்பேற்றம்
Absorption of light,ஒளி உறிஞ்சுதல்
Absorption of radiant energy,கதிர்வீச்சு ஆற்றலை உறிஞ்சுதல்
Absorption peak,உறிஞ்சுதல் உச்சம்
Absorption photometry,உறிஞ்சுதல் ஒளி அளவீடு
Absorption ratio,உறிஞ்சுதல் விகிதம்
Absorption series,உறிஞ்சுதல் வரம்பு*
Absorption spectro photometry,உறிஞ்சும் நிறமாலை ஒளி அளவீடு*
Absorption spectrum,உறிஞ்சுதல் ஸ்பெக்ட்ரம்*
Absorption tube,"உறிஞ்சும் குழாய், உறிஞ்சும் குழாய்"
Absorption vavemeter,உறிஞ்சும் ஹைக்ரோமீட்டர்
Absorptive,உறிஞ்சக்கூடிய*
Absorptive attenuator,உறிஞ்சும் ஆவியாக்கி
Absorptive law,உறிஞ்சுதல் சட்டம்*
Absorptive medium,உறிஞ்சுதல் ஊடகம்
Absorptive power,"உறிஞ்சும் திறன், உறிஞ்சுதல்*"
Absorptivity,உறிஞ்சுதல்*
Abstract set=studio decoration,ஸ்டூடியோ அலங்காரம்
Abundance ratio,பன்மடங்கு விகிதம்
Abvolt,கைவிடு
Abwatt,பற்றி
Accelerate,முடுக்கி
Accelerate-stop distance,முடுக்கம்-நிறுத்த தூரம்
Accelerated,விரைந்தார்
Accelerated ageing test,விரைவான நேர விளைவு சோதனை
Accelerated flow,விரைவான ஓட்டம்
Accelerated motion,விரைவான வேகம்
Accelerated system,விரைவான உடல்
Accelerating balance,முடுக்கி எடை
Accelerating electrode,முடுக்கி மின்முனை*
Accelerating period,முடுக்கி நேரம்*
Accelerating phase,முடுக்கி கட்டம்
Accelerating rate,முடுக்கி விகிதம்
Accelerating voltage,முடுக்கி மின்னழுத்தம்*
Acceleration,முடுக்கம்
Acceleration blowout=rich extinction=flame out,துரிதப்படுத்தப்பட்ட எரிப்பு
Acceleration coefficient,முடுக்கம் குணகம்
Acceleration component,முடுக்கம் கூறு
Acceleration due to gravity,புவியீர்ப்பு காரணமாக முடுக்கம்
Acceleration factor,முடுக்கம் காரணி
Acceleration feedback,துரிதப்படுத்தப்பட்ட கட்டணம்
Acceleration of gravity,ஈர்ப்பு முடுக்கம்
Acceleration potential,முடுக்கம் சாத்தியம்
Acceleration principle,முடுக்கம் சட்டம்
Acceleration process,முடுக்கம் செயல்முறை
Acceleration space,முடுக்கம் மண்டலம்
Acceleration technique,முடுக்கம் முறை
Acceleration tolerance,"முடுக்கம் சகிப்புத்தன்மை, முடுக்கம் சகிப்புத்தன்மை"
Acceleration vector,முடுக்கம் திசையன்
Acceleration voltage,முடுக்கம்-மின்னழுத்தம்
Acceleration wave,முடுக்கம் அலை
Accelerative,முடுக்கி
Accelerator,"முடுக்கி, முடுக்கி*"
Accelerator equation,முடுக்கி சமன்பாடு
Accelerograph,முடுக்கி*
Accelerometer,முடுக்கமானி
Accelerometer matching,முடுக்கமானி பொருத்தம்
Accentuator,முன் அழுத்தம் கொடுப்பவர்
Acceptable character,சரியான எழுத்துக்கள்
Acceptance angle,ஏற்றுக்கொள்ளும் கோணம்
Acceptance specifications,ஏற்றுக்கொள்ளும் விவரக்குறிப்பு
Acceptance test,ஏற்றுக்கொள்ளக்கூடிய சோதனை
Acceptor,"ஏற்பவர்*, ஏற்பவர்"
Acceptor atom,ஏற்பி அணு
Acceptor bond,ஏற்பி பிணைப்பு
Acceptor circuit,பெறுதல் சுற்று
Acceptor level,ஏற்பி நிலை
Acceptor molecule,நன்கொடையாளர் மூலக்கூறு
Acceptor property,ஏற்பி சொத்து
Acceptor property level,ஏற்பி சொத்து நிலை
Accererating tube,முடுக்கி குழாய்
Access,"அணுகல், காத்திருப்பு, அணுகல்"
Access arm,புஜை அணுகவும்
Access mechanism,அணுகல் அமைப்பு
Access time,அணுகல் நேரம்
Accessibility,அணுகல்
Accessory,"கூடுதல், துணை, துணை (v, ), துணைக்கருவிகள்"
Accessory condition,கூடுதல் கட்டுப்பாடுகள்
Accidental coincidence,தற்செயல்
Accidental correction,தற்செயலான திருத்தம்
Accidental degeneracy,தற்செயலான உயிர் உருவாக்கம்
Accidental double refraction,தற்செயலான திசைதிருப்பல்
Accidental error,பார்வையாளர் பிழை
Accidental jamming,"திடீர் நிறுத்தம், திடீர் கவ்வி"
Accidental transmission,தற்செயலான பரிமாற்றம்
Accidental variation,சீரற்ற மாறுபாடு
Accommodation,சரிசெய்தல்
Accumbent,அமைந்துள்ளது
Accumulated error,திரட்டப்பட்ட பிழை
Accumulation,"திரட்சி, குவிப்பு"
Accumulation of energy,ஆற்றல் சேமிப்பு
Accumulator,திரட்டி*
Accuracy,துல்லியம்
Accurate,யதார்த்தம்
Accurate instrumental observation,உண்மையான கருவி கவனிப்பு
Accurate range marker,துல்லியமான வரம்பு குறிப்பான்
Accurate scanning,துல்லியமான ஸ்கேனிங்
Accustomisation,பயிற்சி
Acdelerating chamber,முடுக்கி செல்*
Achromat,நிறமற்ற லென்ஸ்*
Achromatic,நிறமற்ற*
Achromatic analyser,நிறமற்ற பகுப்பாய்வி
Achromatic antenna,அதிர்வெண் நடுநிலை ஆண்டெனா
Achromatic figure,நிறமற்ற வடிவம்
Achromatic fringe,நிறமற்ற விளிம்பு
Achromatic lens,நிறமற்ற லென்ஸ்*
Achromatic locus,நிறமற்ற புள்ளி பாதை
Achromatic object lens,நிறமற்ற லென்ஸ்
Achromatic prism,வண்ணப் பட்டகம்
Achromatic telescope,வண்ணமயமான தொலைநோக்கி
Achromaticity,நிறமற்ற தன்மை*
Achromatisation,நிறமாற்றம்*
Achromatism,நிறமற்ற தன்மை*
