Malayalam,Marathi
നിർത്തലാക്കിയ അവയവം,गर्भपात केलेला अवयव
നിർത്തലാക്കിയ വിത്ത്,गर्भपात बियाणे
ഗര്ഭഛിദം,गर्भपात
കേവല കള,परिपूर्ण तण
ആഗിരണം ചെയ്യപ്പെട്ട വ്യാജം,शोषून घेतलेले केशन
ആഗിരണം,शोषण
അബിസീനിയൻ കടുക്,अ‍ॅबिसिनियन मोहरी
Ala എഴുതിയത്,एकरिसाइड
അക്വെൻട്രിക്,उच्चारण
ആക്സന്റ്വേറ്റ് (സെൽ),उच्चारण (सेल)
അംഗീകരിച്ച സഹിഷ്ണുത,स्वीकारलेले सहिष्णुता
ഉപസാധനം,Ory क्सेसरी
ACCLIMATIES,सहनशीलता
കൂന്വാരം,संचय
കൃതത,अचूकता
Aiverulus,अ‍ॅसर्व्हुलस
അസഹീകരണം,एसीटिफिकेशन
അസിഡിറ്റി,आम्लता
ആദിമീറ്റര്,अ‍ॅसिडिमीटर
അസിഡിറ്റി,आंबटपणा
അഡോഫിലിക്,अ‍ॅसिडोफिलिक
അസിഡിലേറ്റഡ് റോക്ക് ഫോസ്ഫേറ്റ്,अ‍ॅसिड्युलेटेड रॉक फॉस्फेट
അയ്യോണിക്,अ‍ॅसिड्यूरिक
അക്വിഫർ,जलचर
കൈവശപ്പെടുത്തൽ,संपादन
ഏന്വുല്ല്,एकर
പസ്താര,एकर क्षेत्र
അക്രോസൻട്രിക് ക്രോമസോം,अ‍ॅक्रोसेन्ट्रिक गुणसूत्र
അക്രോപോറ്റൽ,अ‍ॅक्रोपेटल
അക്രോസോം,अ‍ॅक्रोसोम
ആക്റ്റിനോമൈസെറ്റുകൾ,अ‍ॅक्टिनोमाइसेट्स
സജീവ റൂട്ട് സോൺ,सक्रिय रूट झोन
തുളച്ചുകയറുന്ന,तीव्र
പൊരുത്തപ്പെടലി,अनुकूलता
പൊരുത്തപ്പെടുത്തൽ,रुपांतर
അഷൈൻ,आसंजन
അദിപ്പോസ്,Ip डिपोज
ക്രമീകരണ സമവാക്യം,समायोजन समीकरण
അഡോബ് മണ്ണ്,अ‍ॅडोब माती
പ്രത്യേകത,व्यभिचारी
സാഹസികത,साहसी
Aecidiossoror,एसीडिओस्पोर
ഓലിയൻ പ്രക്രിയ,आयओलियन प्रक्रिया
Aiolian,आयओलियन
ഓറേറ്റ്,वायुवीजन
ഏരിയൽ,हवाई
ഏയ്റോമീറ്റർ,एरोमीटर
എയറോസോൾ,एरोसोल
പകർച്ചവ്വാധം,एस्टिवेशन
Aetiiology (etiology),एटिओलॉजी (एटिओलॉजी)
വനനം,वनीकरण
പ്രക്ഷോഭക്തി,आंदोलन
ന്വര്,अ‍ॅगमार्क
കാർഷികം,कृषी
കാർഷിക ക്ലിനിക്,कृषी क्लिनिक
കാർഷിക തൊഴിലാളി,कृषी कामगार
കാർഷിക മാർക്കറ്റിംഗ്,कृषी विपणन
കാർഷിക സാങ്കേതികവിദ്യ,कृषी तंत्रज्ञान
കൃഷിപ്പണി,शेती
അഗ്രിസിൾവികൾച്ചർ,कृषी सांस्कृतिक
കാർഷികൈവൻവിറ്റി,अ‍ॅग्रोबायोडिव्हर्सिटी
അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ,अ‍ॅग्रोबायोलॉजिकल दोष
അഗ്രോബയോളജി,कृषीशास्त्र
അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന,अ‍ॅग्रोक्लिमॅटिक विविधता
അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്,अ‍ॅग्रोक्लिमॅटिक झोनिंग
അഗ്രോഫോറസ്ട്രി,अ‍ॅग्रोफोरेस्ट्री
ങ്ങളോട്,कृषीशास्त्र
അഗ്രോണമി,अ‍ॅग्रोनॉमी
അഗ്രോപസ്റ്റോറൽ,अ‍ॅग्रोपास्टोरल
കാർഷികസംരക്ഷണം,अ‍ॅग्रोप्रोसेसिंग
അഗ്രോസ്റ്റോസ്റ്റിയോളജി,अ‍ॅग्रोस्टोलॉजी
അഗ്രോട്ടിപ്പ്,अ‍ॅग्रोटाइप
എയർ പ്ലാന്റ്,एअर प्लांट
അക്കിയോച്ചി മണ്ണ്,अकिओची माती
ആൽബിനിസം,अल्बिनिझम
ആൽഫിസോളുകൾ,अल्फिसोल
ആല്ഗകൾ,एकपेशीय वनस्पती
ആൽഗൽ രോഗം,अल्गल रोग
ക്ഷാളി വെള്ളം,अल्कली पाणी
ആൽക്കലൈൻ,अल्कधर्मी
അല്ലലേ,अ‍ॅलेल
അല്ലോകെമിക്കലുകൾ,Lel लोकेमिकल्स
AllloMorph,Lel लोमॉर्फ
നിയോവദാതി,Lel लेलोपॅथी
ഓൺലൈൻ ക്രോപ്പിംഗ്,गल्ली पीक
അലോക്കർപി,वाटप
അലോഗാമി,अ‍ॅलोगॅमी
അലറിരം,अ‍ॅलोमेट्री
Allopolyplogid,Ol लोपोलिपॉइड
Allosynapsis (Allowsyndesis),Os लोसिनॅप्सिस (os लोसिंडेसिस)
ഇതര ബെയറിംഗ്,वैकल्पिक बेअरिंग
ഇതര ഭൂമി ഉപയോഗം,वैकल्पिक जमीन वापर
ആംബിയന്റ്സ്,सभोवतालचे
സൗഹാർഭോഗം,Meliorant
അമിറ്റോസിസ്,अमिटोसिस
അമിനിവൽക്കരണം,अमृत
അമ്മോണിഫിക്കേഷൻ,अमोनिफिकेशन
അമോമോണിഫയർ,अमोनिफायर
അമോഫ്,अमॉर्फ
ആംഫിമിക്സിസ്,अ‍ॅम्फिमिक्सिस
ആംഫോടെക്,अ‍ॅम्फोटेरिक
അനാബോളിസം,अ‍ॅनाबोलिझम
അയ്റോബ്,अनरोब
Aneuplogode,Eneuploid
ആംഗിൾ നടുക്കം,कोन लागवड
മൃഗസംരക്ഷണം,पशुसंवर्धन
മൃഗങ്ങളെ പ്രതിഫലിപ്പിക്കൽ,प्राणी नकार
ആത്യന്തിക .ർജ്ജം,एनिमेट एनर्जी
Anisoplode,एनिसोप्लॉइड
വാർഷിക സസ്യം,वार्षिक वनस्पती
ആണ്ടുതോറുമുള്ള,वार्षिक
ആന്തീസിസ്,अँथेसिस
ആന്ത്രാക്സ്,अँथ्रॅक्स
ആന്ത്രോപെനിക് ഘടകം,मानववंशिक घटक
ആന്റിബിയോസിസ്,प्रतिजैविक
രോഗനാശിനി,प्रतिजैविक
മറുമരുന്ന്,प्रतिजैविक
ആന്റിഓക്സിഡന്റുകൾ,अँटीऑक्सिडेंट्स
ആന്റിടോക്സിൻ,अँटीटॉक्सिन
അപര്യാഘാതം,अ‍ॅनुलस
ആഫിഡ്,Ph फिड
അഗ്രമുദിനം,एपिकल अंकुर
അഗ്ര ആധിപത്യം,एपिकल वर्चस्व
അപ്പോർച്ചർ (ബീ സൂപ്പർഡിംഗ്),एपिकल्चर (मधमाशी पाळणे)
അപ്പോമിക്സിസ്,अपोमिक्सिस
അപ്പോപ്ടോസിസ്,अ‍ॅपॉप्टोसिस
അനുബന്ധം,परिशिष्ट
വിശപ്പ്,भूक
പ്രയോഗിച്ചു,लागू
അക്വാട്ടിക് കള,जलीय तण
അർബോറിയൽ,आर्बोरियल
അർബോറൈസേഷൻ,आर्बोरायझेशन
ആർഎംജിയോ-ബൊട്ടാണിക്കൽ റെക്കോർഡുകൾ,आर्चीओ-बॉटॅनिकल रेकॉर्ड
ഏരിയ സ്ഥിതിവിവരക്കണക്കുകൾ,क्षेत्र आकडेवारी
പദേശം,क्षेत्र
വരണ്ട ആവാസവ്യവസ്ഥ,शुष्क इकोसिस्टम
വര്ഷ്ടിക്കുക,एरिल
സൗരഭം,सुगंध
ആരോമാറ്റിക് പ്ലാന്റ്,सुगंधित वनस्पती
ആരോമാറ്റിക് അരി,सुगंधित तांदूळ
അഴുക്കുചാല്,बाण
അശെപ്സിസ്,Asepsis
അസെപ്ലെവ്,Se सेप्टिक
അസുഖകരമായ പ്രചരണം,अलौकिक प्रसार
അസേ,परख
ആസ്തി,मालमत्ता
ഉറപ്പ്,आत्मसात
ചങ്ങാത്തം,असोसिएशन
രേണിംഗന്റ്,तुरट
അസിനാപ്സിസ്,एसिनॅप्सिस
Atawavism,अटाविझम
ആലേറ്ററിജർ,अ‍ॅटोमायझर
അട്രോഫി,अ‍ॅट्रोफी
ഓട്ടോഗാമി,ऑटोगॅमी
ഓട്ടോലിസിസ്,ऑटोलिसिस
യന്തവഹനം,ऑटोक्सिडेशन
ഓട്ടോപോളിപ്ലോയിഡ്,ऑटोपॉलिपॉइड
ഓക്സിൻസ്,ऑक्सिन
Awn (ബ്രിട്ട്),ओएन (ब्रिस्टल)
ബദാം കായ്,बदाम
കറ്റാർ,कोरफड
അമരന്തസ്,अमरॅन्थस
ആംമി,अम्मी
അഞ്ജൻ പുല്ല്,अंजान गवत
ആന്തറിയം,अँथुरियम
"ആരോള, ഇന്ത്യൻ നെല്ലിക്ക","अणला, भारतीय हंसबेरी"
ആപ്പിൾ,Apple पल
ആപ്രിക്കോട്ട്,जर्दाळू
Arbian ജാസ്മിൻ,अरबियन चमेली
Arcaunt,अरेका नट
അർജുൻ,अर्जुन
അസ്ഫോറ്റിഡ,असफोएटिडा
ആഷ് പൊറോട്ട,राख लबाडी
അശോക ട്രീ,अशोका वृक्ष
അഷെതർ കള (യൂഫോർബിയ),अश्थमा तण (युफोर्बिया)
ശതാവരിച്ചെടി,शतावरी
അവോക്കാഡോ,एवोकॅडो
പയറുവർഗ്ഗങ്ങൾ (ലൂസെർൻ),अल्फाल्फा (ल्युसर्न)
ഉറുമ്പുകൾ,मुंग्या
മുഞ്ഞ,Ph फिडस्
സൈനിക വേം,आर्मी जंत
കാർഷിക സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ,कृषी अर्थशास्त्रज्ञ
കാർഷിക വിപുലീകരണവാദി,कृषी विस्तारवादी
കാർഷിക ശാസ്ത്രജ്ഞൻ,कृषी वैज्ञानिक
കാർഷിക എഞ്ചിനീയർ,कृषी अभियंता
അഗ്രോബയോളജിസ്റ്റിക്,अ‍ॅग्रोबायोलॉजिस्ट
അഗ്രോണമിസ്റ്റ്,कृषीशास्त्रज्ञ
Agrofysicst,अ‍ॅग्रोफिसिकस्ट
മൃഗങ്ങളുടെ ബ്രീഡർ,प्राणी ब्रीडर
ബാസിലസ് വൈറസ്,बॅसिलस विषाणू
ബാസിലസ്,बॅसिलस
ബാക്ടീരിയ,जिवाणू
ബാക്ടറോമോക്സിൻ,बॅक्टेरियोटॉक्सिन
ബാഗസ്,बागसे
ബാലൻസ് ഷീറ്റ്,शिल्लक पत्रक
സമതുലിതമായ ബീജസങ്കലനം,संतुलित फर्टिलायझेशन
ബാർ ഡയഗ്രം,बार आकृती
കുര,साल
ബാരോമീമീറ്റർ,बॅरोमीटर
തരിശായ,वांझ
അടിത്തറ,पाया
പരന്നപാതം,बेसिन
അടിസ്ഥാനപരമായ,बासिपेटल
ബസിസ്റ്റർനം,बासेस्टर्नम
ബേ മൺസൂൺ,बे मॉन्सून
വഹിക്കുന്ന പ്ലാന്റ്,बेअरिंग प्लांट
കിടക്ക,बेड
അടിദേഡർ,बेडर
ശയ്യോപകരണങ്ങള്,बेडिंग
ബീറ്റ്റൂട്ട് മോളസ്,बीट गुळ
മണിനാദം,धनुष्य
അരപ്പട്ട,बेल्ट
ആനുകൂല്യ-വില വിശകലനം,लाभ-खर्च विश्लेषण
പക്ഷപാതപരമായ (സാമ്പിൾ),पक्षपाती (सॅम्पलिंग)
ബിനാത്തില്,द्विवार्षिक
ബിനോമിയൽ,द्विपक्षीय
ബയോജന്റ്,बायोएजेन्ट
ബയോക്രിമേറ്റ്,बायोक्लीमेट
ബയോ എനെർജി,बायोएनर्जी
ബയോണോമിക്സ്,बायोनोमिक्स
BIOREACTOR,बायोरिएक्टर
ബയോസ്ഫിയർ,जीवशास्त्र
ഉപകാരന്,बायोटिक
ബയോട്ടിവൈപ്പ്,बायोटाइप
ബൈസെക്ഷ്വൽ,उभयलिंगी
ബ്ലാഞ്ചിംഗ്,ब्लान्चिंग
സ്ഫോടനം,ब्लास्ट
സങ്കലനം,मिश्रण
വരണ്ടതാണ,ब्लाइट
പൊള്ളല്,फोड
നീല വിപ്ലവം,निळा क्रांती
ചുവടെ ചൂട് ചേമ്പർ,तळाशी उष्णता कक्ष
ചുവടെയുള്ള താപ രീതി,तळाशी उष्णता तंत्र
തണ്ണീര്,कोंडा
ശാചിനമായ,शाखा
ലഘുലേഖ,शाखा
