Odiya,Kannada
ଆବେଲି ଗୋଷ୍ଠୀ |,ಅಬೆಲಿ ಗುಂಪು
ଆବେଲି ଗୋଷ୍ଠୀ |,ಅಬೆಲಿ ಗುಂಪು
ହାତ,ಕೈ
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ"
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,ಸಂಪೂರ್ಣ ದೋಷ
ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ସଂପୂର୍ଣ୍ଣ ବେଗ,ಸಂಪೂರ್ಣ ವೇಗ
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
ତ୍ୱରଣ,ವೇಗವರ್ಧನೆ
ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
ଗ୍ରହଣୀୟ ପରିସର,ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ
ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
ଗ୍ରହଣ ନମୁନା,ಸ್ವೀಕಾರ ಮಾದರಿ
ସଂଗୃହିତ ତ୍ରୁଟି |,ಸಂಚಿತ ದೋಷ
ସଠିକତା,ನಿಖರತೆ
ପ୍ରୟୋଗ ଶକ୍ତି,ಅನ್ವಯಿಸಿದ ಬಲ
"କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ","ಕ್ರಿಯೆ, ಕಾರ್ಯ"
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
ବୀମା ବିଜ୍ଞାନ |,ವಿಮಾ ವಿಜ್ಞಾನ
ତୀବ୍ର ତ୍ରିରଙ୍ଗା |,ತೀವ್ರ ತ್ರಿಕೋನ
acyclic,ಅಸೈಕ್ಲಿಕ್
ସଂକ୍ଷେପରେ,ಒಟ್ಟುಗೂಡಿಸಲು
ଆଡର୍,ಸೇರಿಸುವವನು
"ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)","ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)"
ଯୋଗର ସୂତ୍ର,ಯೋಗದ ಸೂತ್ರ
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ
କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି,ಕಾರ್ಯಗಳ ಮೊತ್ತ
ମାଟ୍ରିକ୍ସର ରାଶି,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ
ବହୁଜନର ସମଷ୍ଟି |,ಬಹುಪದಗಳ ಮೊತ್ತ
ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି,ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ
ଭେକ୍ଟରର ରାଶି,ವಾಹಕಗಳ ಮೊತ್ತ
"ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ,","ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ"
ଯୋଗୀ ଗୋଷ୍ଠୀ |,ಸಂಯೋಜಕ ಗುಂಪು
ଯୋଗୀ ଓଲଟା |,ಸಂಯೋಜಕ ವಿಲೋಮ
ଯୋଗନୀୟତା |,ಸೇರಿಸುವಿಕೆ
ଯୋଗନୀୟତା |,ಸೇರಿಸುವಿಕೆ
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
"ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ","ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ"
ସଂଲଗ୍ନ କୋଣ,ಪಕ್ಕದ ಕೋನ
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,ಪಕ್ಕದ ಶೃಂಗ
ସହଯୋଗ କରିବାକୁ,ಸಂಯೋಜಿಸಲು
"ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର,",ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ
ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |,ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ
ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |,ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
ସଂଲଗ୍ନ ସମୀକରଣ,ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು
କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
ଗ୍ରହଣୀୟ ଅନୁମାନ,ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
ଏରୋଡାଇନାମିକ୍ସ |,ವಾಯುಬಲವಿಜ್ಞಾನ
ଏକମାତ୍ର ଜ୍ୟାମିତି |,ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ
ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |,ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್
ଏକମାତ୍ର ପରିବର୍ତ୍ତନ,ಏಕರೂಪದ ರೂಪಾಂತರ
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,ಒಟ್ಟು ವೇರಿಯಬಲ್
"ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା","ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ"
"ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |","ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ"
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
ବୀଜ ବର୍ଣ୍ଣନା,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
ବୀଜ ବର୍ଣ୍ଣିତ ଏକତା |,ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
ବୀଜ ବର୍ଣ୍ଣିତ ବହୁଳତା |,ಬೀಜಗಣಿತದ ಬಹುತ್ವ
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
"ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ୱାଟ ପ୍ରଶ୍ନ,",ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
ବିକଳ୍ପ କୋଣ,ಪರ್ಯಾಯ ಕೋನಗಳು
"ବ hom କଳ୍ପିକ ଏକମାତ୍ର ବିକଳ୍ପ ଫର୍ମ,",ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ
ବିକଳ୍ପ ଗୋଷ୍ଠୀ |,ಪರ್ಯಾಯ ಗುಂಪು
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ବିକଳ୍ପ କ୍ରମ |,ಪರ್ಯಾಯ ಸರಣಿ
ବିକଳ୍ପ ଅନୁମାନ,ಪರ್ಯಾಯ ಕಲ್ಪನೆ
ବିକଳ୍ପ ସର୍ବୋତ୍କୃଷ୍ଟ |,ಪರ್ಯಾಯ ಆಪ್ಟಿಮಮ್
