Odiya,Kannada
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
ଅବକ୍ଷୟ,ವ್ಯಭಿಚಾರ
ଦାସତ୍ୱ ରଦ୍ଦ,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
ଆଦିବାସୀ,ಮೂಲನಿವಾಸಿಗಳು
ଅବ୍ରହାମ ଏରା,ಅಬ್ರಹಾಂ ಯುಗ
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
ଏକାଡେମୀ |,ಅಕಾಡೆಮಿ
ଆକ୍ରା ସମ୍ମିଳନୀ |,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
ଆକ୍ରୁଏଲ୍ |,ಸಂಚಯಗಳು
ଆକଲଚ୍ୟୁଚର୍,ಸಂಸ್ಕಾರ
ଆକେଲଡାମା |,ಅಸೆಲ್ಡಾಮಾ
ଆଖିଆନ୍ (= ଆଚିଆନ୍),ಅಚೆಯನ್ (=ಅಚಿಯನ್)
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
ଆକ୍ରୋପଲିସ୍ |,ಆಕ್ರೊಪೊಲಿಸ್
ଆକ୍ଟା ଡିଆର୍ନା |,ಆಕ್ಟಾ ಡೈರ್ನಾ
ଆକ୍ଟା ସେନାଟସ୍ |,ಆಕ್ಟಾ ಸೆನಾಟಸ್
ଆକ୍ଟ ଆଡେଲ୍ |,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
ସମାଧାନ ନିୟମ,ವಸಾಹತು ಕಾಯಿದೆ
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
ଆଡୁଲାମାଇଟ୍ସ |,ಅಡುಲಮೈಟ್ಸ್
ଶତ୍ରୁ,ಎದುರಾಳಿ
ଶତ୍ରୁ,ಎದುರಾಳಿ
ଆଓନ୍,ಏಯಾನ್
ଏରାରିୟମ୍ |,ಏರೋರಿಯಮ್
ବାୟୁ ଯୁଦ୍ଧ |,ವೈಮಾನಿಕ ಯುದ್ಧ
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,ಏಟೋಲಿಯನ್ ಲೀಗ್
ବୟସ,ವಯಸ್ಸು
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ)
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ
ଆଗେଲାଇ |,ಅಗೆಲೈ
Ival ିଭାଲିର ବୟସ |,ಅಶ್ವದಳದ ವಯಸ್ಸು
ଜ୍ଞାନର ବୟସ |,ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು
ପେରିକଲ୍ସର ବୟସ |,ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು
କାରଣର ବୟସ |,ಕಾರಣದ ವಯಸ್ಸು
କୃଷିବାଦ,ಕೃಷಿಧರ್ಮ
କୃଷି ଆନ୍ଦୋଳନ |,ಕೃಷಿ ಚಳುವಳಿ
ଆଲବିଅନ୍ |,ಅಲ್ಬಿಯಾನ್
ଆଲବମ୍,ಆಲ್ಬಮ್
ଆଲଡରମ୍ୟାନ୍ |,ಆಲ್ಡರ್ಮನ್
ଭ୍ରାନ୍ତ ବାହୁ |,ಸೂಚಿಸುವ ತೋಳುಗಳು
ବନ୍ଧୁତା,ಸೌಹಾರ್ದತೆ
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್
ଆମ୍ଫିଥେଟର,ಆಂಫಿಥಿಯೇಟರ್
