English,Malayalam
A (Ampere unit of current),ആമ്പിയർ (യൂണിറ്റ്)
A (angstrom),ആംഗ്സ്ട്രം
A amplifier,എ-ക്ലാസ് ആംപ്ലിഫയർ
A-N radio range,എഎൻ റേഡിയോ സഹായ്
A-scan presentation,a-സ്കാനിംഗ് അവതരണം
A-scope,ഒരു-ദർശ്
A-scope display,എ-സ്കോപ്പ് പ്രകടനം
A-T Cut crystal,എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ
A.c-d.c. gain,"എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ"
A.M. (ante meridiem),രാവിലെ
A.m.u. (atomic mass unit),എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
Aard-vark,aard-vark*
Ab ampere,എബി-ആമ്പിയർ
AB amplifier,എ-ബി ക്ലാസ് ആംപ്ലിഫയർ
Ab initio,അദാ
AB power pack,എ-ബി ശക്തി പിടക
Abac=alignment chart=nomograph,abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്
Abbe number (=Abbe constant),അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം)
ABBE refractometer,അബെ റിഫ്രാക്റ്റോമീറ്റർ
Abbe sine condition,അബെ സൈൻ സംസ്ഥാനം
Abc (automatic bias compensation),ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം
Abcoulomb,abcoulom
Aberration,"അപഭ്രംശം, അപഭ്രംശം"
Aberration corrector lens,വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്
Aberration of light,ആകാശ വ്യതിയാനം
Abfarad,abfarad
Abhenry,എബൻറി
Abney effect (=Abney law),എബോണി പ്രഭാവം
Abnormal polarisation,അസാധാരണ ധ്രുവീകരണം
Abnormal propagation,അസാധാരണമായ സംക്രമണം
Abnormal reflection,അസാധാരണമായ പ്രതിഫലനം
Abnormal refraction,അസാധാരണ അപവർത്തനം*
Abnormal resistance,അസാധാരണമായ പ്രതിരോധം
Abohm,ab-om
Abortion,"മുൻതൂക്കം, പരാജയം"
Abrupt,"ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച"
Abrupt jump,പലപ്പോഴും ചാടുന്നു
Abscissa,കൈ*
Absent reflection,പ്രതിഫലനം നഷ്ടപ്പെട്ടു
Absent spectrum,സ്പെക്ട്രം കാണുന്നില്ല
Absolute,"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
Absolute acceleration,സമ്പൂർണ്ണ ത്വരണം
Absolute accuracy,കേവല യാഥാർത്ഥ്യം
Absolute address-specific address,സമ്പൂർണ്ണ വിലാസം
Absolute altimeter,ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ
Absolute altitude,ഭൂമിശാസ്ത്രപരമായ ഉയരം
Absolute ampere,കേവല ആമ്പിയർ
Absolute boilling point,സമ്പൂർണ്ണ തിളനില
Absolute bolometric luminosity,കേവല പ്രകാശം
Absolute capacity,കേവല കപ്പാസിറ്റൻസ്
Absolute ceiling,കേവല ഉയരം
Absolute colour index,കേവല പിഗ്മെന്റ്
Absolute configuration,"സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ"
Absolute coulomb,കേവല കൂലം
Absolute darkness,പൂർണ്ണമായ ഇരുട്ട്
Absolute dating,സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്
Absolute density,കേവല സാന്ദ്രത*
Absolute drift,സമ്പൂർണ്ണ ഡ്രെയിനേജ്
Absolute e.m.u.,സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്)
Absolute e.s.u.,സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്)
Absolute efficiency,സമ്പൂർണ്ണ കാര്യക്ഷമത
Absolute electrometer,കേവല ഇലക്ട്രോമീറ്റർ
Absolute frequency,കേവല ആവൃത്തി കേവല ആവൃത്തി
Absolute humidity,കേവല ഈർപ്പം
Absolute incidence,കേവല സംഭവങ്ങൾ
Absolute index of refraction,കേവല അപവർത്തന സൂചിക
Absolute instability,സമ്പൂർണ്ണ അസ്ഥിരത
Absolute intensity,സമ്പൂർണ്ണ അസ്ഥിരത
Absolute length,"കേവല തീവ്രത, കേവല തീവ്രത"
Absolute limit of hysteresis,അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി
Absolute luminance threshold,കേവല പ്രകാശം സിൽ
Absolute luminosity curve,കേവല പ്രകാശ വക്രം
Absolute magnitude,കേവലമായ അളവ്
Absolute manometer,കേവല ബാരോമീറ്റർ
Absolute maximum,പരമോന്നത പരമോന്നത
Absolute maximum rating,സമ്പൂർണ്ണ പരിധി
Absolute minimum,ഏറ്റവും താഴ്ന്നത്
Absolute momentum,കേവല ആക്കം
Absolute motion,കേവല വേഗത
Absolute music=pure music,കേവല സംഗീതം
Absolute observation,സമ്പൂർണ നിരീക്ഷണം
Absolute ohm,കേവല ഓം
Absolute orientation,കേവല ഓറിയന്റേഷൻ
Absolute permittivity,കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി
Absolute pitch,കേവല ഗുരുത്വാകർഷണം
Absolute pressure = true pressure,കേവല മർദ്ദം
Absolute property,സമ്പൂർണ്ണ സ്വത്ത്
Absolute scalar,കേവല സ്കെയിലർ
Absolute scale of temperature,താപനിലയുടെ കേവല സ്കെയിൽ*
Absolute simultancity,"കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം"
Absolute stress,സമ്പൂർണ്ണ സമ്മർദ്ദം
Absolute symmetry,കേവല സമമിതി
Absolute system of motion,കേവല ചലന ശരീരം
Absolute system of units,കേവല യൂണിറ്റ് സിസ്റ്റം
Absolute temperature,കേവല താപനില
Absolute time,കേവല സമയം
Absolute unit,കേവല യൂണിറ്റുകൾ
Absolute value,യഥാർത്ഥ മൂല്യം
Absolute value computer,പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ
Absolute velocity,കേവല വേഗത
Absolute viscosity,കേവല വിസ്കോസിറ്റി
Absolute weight,കേവല ഭാരം
Absolute zero,കേവല പൂജ്യം*
Absolute zero devisor,പൂജ്യത്തിന്റെ കേവല വിഭജനം
Absorb,ആഗിരണം ചെയ്യുക
Absorbance,ആഗിരണ സൂചിക*
Absorbed energy,ആഗിരണം ചെയ്ത ഊർജ്ജം
Absorber,"ആഗിരണം, ആഗിരണം"
Absorbing medium,ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*
Absorbing power,ആഗിരണം ശേഷി
Absorptance,ആഗിരണം
Absorptiometer,അബ്സോർപ്റ്റിയോമീറ്റർ*
Absorptiometry,അബ്സോർപ്റ്റിയോമെട്രി*
Absorption,ആഗിരണം
Absorption band,ആഗിരണം - ബാൻഡ്*
Absorption circuit,ആഗിരണം സർക്യൂട്ട്
Absorption coeffieient,ആഗിരണം ഗുണകം
Absorption column,ആഗിരണം കോളം
Absorption constant,ആഗിരണ സ്ഥിരത
Absorption continua,ആഗിരണ തുടർച്ച
Absorption cross section,ആഗിരണം മേഖല
Absorption current,ആഗിരണം കറന്റ്
Absorption curve (=transmission curve),ആഗിരണം വക്രം*
Absorption discontinuity,ആഗിരണം ഒടിവ്
Absorption edge,ആഗിരണം കോർ
Absorption factor,ആഗിരണം ഘടകം
Absorption filter,ആഗിരണം ഫിൽട്ടർ
Absorption flame photometry,അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*
Absorption hygrometer,ആഗിരണം ഹൈഗ്രോമീറ്റർ
Absorption index,ആഗിരണ ഘാതം
Absorption limit,ആഗിരണം നാമമാത്രമാണ്
Absorption line,ആഗിരണം ലൈൻ
Absorption loss,ആഗിരണം നഷ്ടം
Absorption modulation=loss modulation,ആഗിരണം മോഡുലേഷൻ
Absorption of light,പ്രകാശം ആഗിരണം
Absorption of radiant energy,റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം
Absorption peak,ആഗിരണം കൊടുമുടി
Absorption photometry,ആഗിരണം ഫോട്ടോമെട്രി
