Malayalam,Punjabi
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
ഒഴിഞ്ഞുമാറുക,ਨਿਮਰਤਾ
അടിമത്തം നിർത്തലാക്കൽ,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
ആദിവാസികൾ,ਆਦਿਵਾਸੀ
അബ്രഹാം യുഗം,ਅਬਰਾਹਮ ਯੁੱਗ
ഹാജരാകാത്ത ഭൂവുടമകൾ,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
അക്കാദമി,ਅਕੈਡਮੀ
അക്ര സമ്മേളനം,ਅਕਰਾ ਕਾਨਫਰੰਸ
സമാഹരണങ്ങൾ,ਪ੍ਰਾਪਤੀ
സംസ്കരണം,ਐਕਲਚਰੇਸ਼ਨ
അസെൽഡാമ,ਐਸੇਲਡਾਮਾ
അച്ചായൻ (=അച്ചിയൻ),ਅਚੀਅਨ (=ਅਚੀਅਨ)
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
അക്രോപോളിസ്,ਐਕ੍ਰੋਪੋਲਿਸ
ആക്റ്റ ദിയുർന,ਐਕਟਾ ਦਿਉਰਨਾ
ആക്റ്റ സെനറ്റസ്,ਐਕਟਾ ਸੇਨੇਟਸ
ആക്റ്റ് അഡീഷണൽ,ਐਕਟ ਐਡੀਸ਼ਨਲ
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
സെറ്റിൽമെന്റ് നിയമം,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
