Punjabi,Telugu
ਪਰੇਸ਼ਾਨੀ,తగ్గింపు
ਸੰਖੇਪ,సంక్షిప్తీకరణ
ਅਗਵਾ,అపహరణ
ਧਾਰਨਾ,Abeyance
ਯੋਗਤਾ,సామర్థ్యం
ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ,అబ్ ఇనిషియో
ਯੋਗ,సామర్థ్యం
ਅਸਧਾਰਨ,అసాధారణ
ਖਤਮ,రద్దు
ਅਬੋਲੋਜੀਫ ਪੋਸਟ,నిర్మూలన పోస్ట్
ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ,పైన పేర్కొన్నారు
ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ,పైన కోట్ చేయబడింది
ਉਪਰੋਕਤ ਕਿਹਾ,పైన చెప్పారు
ਗੈਰਹਾਜ਼ਰੀ,లేకపోవడం
ਗੈਰਹਾਜ਼ਰ,హాజరుకాని
ਗੈਰਹਾਜ਼ਰ,హాజరుకానితనం
ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ,హాజరుకాని ప్రకటన
ਅਸੀਮ,సంపూర్ణ
ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ,సంపూర్ణ గుత్తాధిపత్యం
ਸੰਪੂਰਨ ਮਾਲਕੀ,సంపూర్ణ యాజమాన్యం
ਸਮਾਈ,శోషణ
ਸਾਰ,నైరూప్య
ਸੰਖੇਪ,అబ్స్ట్రాక్ట్ స్టేట్మెంట్
ਬੇਹੂਦਾ,అసంబద్ధం
ਬਹੁਤਾਤ,సమృద్ధి
ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ,అధికార దుర్వినియోగం
ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ,దుర్వినియోగ భాష
ਅਕਾਦਮਿਕ,విద్యావేత్త
ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ,విద్యా చర్చ
ਅਕਾਦਮਿਕ ਛੁੱਟੀ,విద్యా సెలవు
ਅਕਾਦਮਿਕ ਯੋਗਤਾ,విద్యా అర్హత
ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ,విద్యా రికార్డు
ਐੱਸ,ACCEDE
ਸਵੀਕਾਰ ਕਰੋ,అంగీకరించండి
ਮਨਜ਼ੂਰ,అంగీకారం
ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,కార్యాలయం అంగీకారం
ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,టెండర్ అంగీకారం
ਪਹੁੰਚ,యాక్సెస్
ਐਕਸੈਸਿੰਗ,ప్రవేశం
ਸਹਾਇਕ,అనుబంధ
ਹਾਦਸਾ,ప్రమాదం
ਅਨੁਕੂਲਤਾ,అలవాటు
ਰਿਹਾਇਸ਼,వసతి
ਦੇ ਨਾਲ,తోడు
ਸਮਝੌਤਾ,ఒప్పందం
ਦੇ ਅਨੁਸਾਰ,అనుగుణంగా
ਇਸ ਅਨੁਸਾਰ,దీని ప్రకారం
ਖਾਤਾ,ఖాతా
ਜਵਾਬਦੇਹੀ,జవాబుదారీతనం
ਜਵਾਬਦੇਹ,జవాబుదారీతనం
ਖਾਤੇ ਦੀ,అకౌంటెన్సీ
ਲੇਖਾਕਾਰ,అకౌంటెంట్
ਲਈ ਖਾਤਾ,ఖాతా
ਖਾਤਾ ਸਿਰ,ఖాతా హెడ్
ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ,సేకరించిన ప్రయోజనం
ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ,పెన్షన్ పెన్షన్
ਇਕੱਠਾ,చేరడం
ਸ਼ੁੱਧਤਾ,ఖచ్చితత్వం
ਸਹੀ,ఖచ్చితమైనది
ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ,నిందించండి
