Telugu,English
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,Abbey of Westminster
పదవీ విరమణ,Abditory
బానిసత్వ నిర్మూలన,Abolition of slavery
ఆదివాసి,Aboriginal
అబ్రహం యుగం,Abraham Era
గైర్హాజరు భూస్వాములు,Absentee landlords
అకాడమీ,Academy
అక్ర సమావేశం,Accra conference
సంపాదన,Accruals
సంస్కారము,Acculturation
అసెల్డామా,Aceldama
అచెయన్ (=అచియన్),Achaean (=Achian)
అచీయన్ లీగ్ (=అచియన్ లీగ్),Achaean League (=Achian League)
అక్రోపోలిస్,Acropolis
ఆక్టా డియుర్నా,Acta Diurna
ఆక్టా సెనాటస్,Acta Senatus
యాక్టే అడిషనల్,Acte Additionel
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),Active record (=current record)
సాధించేవారి చర్య,Act of attainder
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,Act of Indemnity and oblivion
సెటిల్మెంట్ చట్టం,Act of Settlement
ప్రకటన ఒప్పంద ముద్ర,Ad contractus seal
అడుల్లామైట్స్,Adullamites
విరోధి,Adversary
విరోధి,Adversary
అయాన్,Aeon
ఏరోరియం,Aerarium
వైమానిక యుద్ధం,Aerial warfare
ఏటోలియన్ లీగ్,Aetolian League
వయస్సు,Age
వృద్ధాప్యం (=వృద్ధాప్యం),Ageing (=aging)
వృద్ధాప్య ప్రక్రియ,Ageing process
అగెలై,Agelai
శౌర్య యుగం,Age of chivalry
జ్ఞానోదయం వయస్సు,Age of Englightment
పెరికిల్స్ వయస్సు,Age of Pericles
కారణం వయస్సు,Age of reason
వ్యవసాయం,Agrarianism
వ్యవసాయ ఉద్యమం,Agrarian movement
అల్బియాన్,Albion
ఆల్బమ్,Album
ఆల్డర్మాన్,Alderman
అల్లుడు చేతులు,Allusive arms
సఖ్యత,Amity
యాంఫిక్యోనిక్ కౌన్సిల్,Amphictyonic Council
యాంఫిక్యోనిక్ లీగ్,Amphictyonic League
యాంఫీ థియేటర్,Amphitheatre
అమ్రి నల్ గ్రూప్ (కుండల),Amri Nal group (of pottery)
అనాక్రోనిజం,Anachronism
అనాక్రోనిస్టిక్,Anachronistic
పూర్వీకుడు,Ancestor
పూర్వీకుల ఆరాధన,Ancestor Worship
పూర్వీకులు,Ancestry
పూర్వీకులు,Ancestry
పూర్వీకులు,Ancestry
పూర్వీకులు,Ancestry
ప్రాచీన పాలన,Ancien regime
ప్రాచీన,Ancient
పురాతన బల్లాడ్,Ancient ballad
పురాతన నమ్మకం,Ancient belief
ప్రాచీన ఆచారం,Ancient custom
పురాతన చరిత్ర,Ancient history
పురాతన స్మారక చిహ్నాలు,Ancient monuments
ఉదంతము,Anecdote
ఏంజెలోట్,Angelot
ఏంజెలస్,Angelus
అంజివిన్ (=అంజెవిన్),Angevin (=anjevin)
కోణాలు,Angles
ఆంగ్లికన్,Anglican
ఆంగ్లికన్ కమ్యూనియన్,Anglican Communion
ఆంగ్లికనిజం,Anglicanism
