Punjabi,Malayalam
ਅਸਧਾਰਨ,വിലക്ഷണമായ
ਅਧੂਰਾ ਛੱਡਣਾ,ഉപേക്ഷിക്കുക
ਘ੍ਰਿਣਾ,വധനം
ਅਚਾਨਕ,ആകസ്മികമായ
ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ,കേവല ഫീൽഡ് ശക്തി
ਪੂਰਨ ਤਾਪਮਾਨ,കേവല താപനില
ਸਹੀ ਮੁੱਲ,യഥാർത്ഥ മൂല്യം
ਸੋਖਣਾ,ഉള്ക്കൊള്ളുക
ਸਮਾਈ ਸਹਿਕਾਰਤਾ,ആഗിരണം കോ-കാര്യക്ഷമമാണ്
ਸਮਾਈ ਨੁਕਸਾਨ,ആഗിരണം നഷ്ടം
ਸਾਰ,വേര്പെട്ടുനില്ക്കുന്ന
ਐਕਸੀਲਾਮੀਟਰ,ആക്സിലറോമീറ്റർ
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,സ്വീകാര്യത പരിശോധന
ਪਹੁੰਚ,പ്രവേശനം
ਐਕਸੈਸ ਕੰਟਰੋਲ,പ്രവേശന നിയന്ത്രണം
ਐਕਸੈਸ ਪੁਆਇੰਟ,പ്രവേശന പോയിന്റ്
ਐਕਸੈਸ ਟਾਈਮ,ആക്സസ് സമയം
ਪਹੁੰਚਯੋਗਤਾ,പ്രവേശനക്ഷമത
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ,സഞ്ചിത സെൽ
ਸ਼ੁੱਧਤਾ,കൃതത
ਸਹੀ,സൂക്ഷ്മമായ
ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼,അച്രോമാറ്റിക് ലെൻസ്
ਐਸਿਡ,പുളിപ്പുള്ള
ਐਸਿਡ ਦਾ ਸਬੂਤ,ആസിഡ് തെളിവ്
ਐਸਿਡਿਟੀ,അസിഡിറ്റി
ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ,അംഗീകാര ബിറ്റ്
ਧੁਨੀ,അക്കോസ്റ്റിക്
ਧੁਨੀ ਸੰਚਾਰ,അക്കോസ്റ്റിക് ആശയവിനിമയം
ਧੁਨੀ ਫੈਲਾਉਣ,അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ
ਧੁਨੀ ਬਰਾਬਰੀ,അക്കോസ്റ്റിക് ഇക്വൈസർ
ਧੁਨੀ ਫੀਡਬੈਕ,അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്
ਧੁਨੀ ਫਿਲਟਰ,അക്ക ou സ്റ്റിക് ഫിൽട്ടർ
ਧੁਨੀ ਰੁਕਾਵਟ,അക്കോസ്റ്റിക് ഇംപാസ്
ਧੁਨੀ ਮਾਸਕਿੰਗ,അക്കോസ്റ്റിക് മാസ്കിംഗ്
ਧੁਨੀ ਸ਼ਕਤੀ,അക്കോസ്റ്റിക് പവർ
ਧੁਨੀ ਸੰਪਤੀ,അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി
ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ,അക്കോട്ടിക് റിയാൻസ്
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ,അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്
ਧੁਨੀ ਟਾਈਲ,അക്കോസ്റ്റിക് ടൈൽ
ਧੁਨੀ ਲਹਿਰ,അക്ക ou സ്റ്റിക് തരംഗം
ਧੁਨੀ ਸਮਾਈ,ശബ്ദ ആഗിരണം
ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ,അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം
ਧੁਨੀ ਗਿੱਲੀ,അക്കോസ്റ്റിക്കൽ നനവ്
ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ,അക്കോസ്റ്റിക്കൽ കാലതാമസം
ਧੁਨੀ ਵਿਗਾੜ,അക്കോസ്റ്റിക്കൽ വക്രമാനം
ਧੁਨੀ ਨਲੀ,അക്കോസ്റ്റിക്കൽ നാളം
