Odiya,Bengali
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,ওয়েস্টমিনস্টারের অ্যাবে
ଅବକ୍ଷୟ,বর্জনীয়
ଦାସତ୍ୱ ରଦ୍ଦ,দাসত্বের সমাপ্তি
ଆଦିବାସୀ,আদিবাসী
ଅବ୍ରହାମ ଏରା,আব্রাহাম যুগ
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,অনুপস্থিত জমির মালিক
ଏକାଡେମୀ |,একাডেমী
ଆକ୍ରା ସମ୍ମିଳନୀ |,আকরা সম্মেলন
ଆକ୍ରୁଏଲ୍ |,সঞ্চয়
ଆକଲଚ୍ୟୁଚର୍,সংগ্রহ
ଆକେଲଡାମା |,অ্যাসেলডামা
ଆଖିଆନ୍ (= ଆଚିଆନ୍),আচিয়ান (=আচিয়ান)
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),আচিয়ান লীগ (=আচিয়ান লীগ)
ଆକ୍ରୋପଲିସ୍ |,অ্যাক্রোপলিস
ଆକ୍ଟା ଡିଆର୍ନା |,Acta Diurna
ଆକ୍ଟା ସେନାଟସ୍ |,Acta Senatus
ଆକ୍ଟ ଆଡେଲ୍ |,অ্যাক্ট অ্যাডিশনেল
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,প্রাপ্তির কাজ
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,ক্ষতিপূরণ এবং বিস্মৃতির আইন
ସମାଧାନ ନିୟମ,নিষ্পত্তির আইন
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,বিজ্ঞাপন চুক্তি সীল
ଆଡୁଲାମାଇଟ୍ସ |,আদুল্লামাইটস
ଶତ୍ରୁ,প্রতিপক্ষ
ଶତ୍ରୁ,প্রতিপক্ষ
ଆଓନ୍,Aeon
ଏରାରିୟମ୍ |,এরারিয়াম
ବାୟୁ ଯୁଦ୍ଧ |,বায়বীয় যুদ্ধ
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,এটোলিয়ান লীগ
ବୟସ,বয়স
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),বার্ধক্য (=বার্ধক্য)
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,বার্ধক্য প্রক্রিয়া
ଆଗେଲାଇ |,এগেলাই
Ival ିଭାଲିର ବୟସ |,বীরত্বের বয়স
ଜ୍ଞାନର ବୟସ |,এনলাইটমেন্টের বয়স
ପେରିକଲ୍ସର ବୟସ |,পেরিক্লেসের বয়স
କାରଣର ବୟସ |,কারণ বয়স
କୃଷିବାଦ,কৃষিবাদ
କୃଷି ଆନ୍ଦୋଳନ |,কৃষি আন্দোলন
ଆଲବିଅନ୍ |,অ্যালবিয়ন
ଆଲବମ୍,অ্যালবাম
ଆଲଡରମ୍ୟାନ୍ |,অল্ডারম্যান
ଭ୍ରାନ୍ତ ବାହୁ |,লোভনীয় অস্ত্র
ବନ୍ଧୁତା,বন্ধুত্ব
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,অ্যাম্ফিক্টোনিক কাউন্সিল
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,Amphictyonic লীগ
ଆମ୍ଫିଥେଟର,অ্যাম্ফিথিয়েটার
ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର),আমরি নল দল (মৃৎপাত্রের)
ଆନାକ୍ରୋନିଜିମ୍ |,অ্যানাক্রোনিজম
ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |,অ্যানাক্রোনিস্টিক
ପୂର୍ବପୁରୁଷ,পূর্বপুরুষ
ପୂର୍ବପୁରୁଷ ପୂଜା |,পূর্ব পুরুষের পুজা
ପିତୃପୁରୁଷ,বংশ
ପିତୃପୁରୁଷ,বংশ
ପିତୃପୁରୁଷ,বংশ
ପିତୃପୁରୁଷ,বংশ
ପ୍ରାଚୀନ ଶାସନ,প্রাচীন শাসন
ପ୍ରାଚୀନ,প্রাচীন
ପ୍ରାଚୀନ ବାଲାଡ୍ |,প্রাচীন গীতিনাট্য
ପ୍ରାଚୀନ ବିଶ୍ୱାସ,প্রাচীন বিশ্বাস
ପ୍ରାଚୀନ ପ୍ରଥା,প্রাচীন রীতি
ପ୍ରାଚୀନ ଇତିହାସ,প্রাচীন ইতিহাস
ପ୍ରାଚୀନ ସ୍ମାରକୀ,প্রাচীন স্মৃতিস্তম্ভ
ଉପନ୍ୟାସ,উপাখ্যান
ଆଞ୍ଜେଲଟ୍ |,অ্যাঞ্জেলট
ଆଞ୍ଜେଲସ୍ |,এঞ্জেলাস
ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍),অ্যাঞ্জেভিন (=এনজেভিন)
କୋଣ,কোণ
ଅଙ୍ଗଲିକାନ୍ |,অ্যাংলিকান
ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |,অ্যাংলিকান কমিউনিয়ন
ଅଙ୍ଗଲିକାନିଜିମ୍ |,অ্যাংলিকানিজম
ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |,অ্যাংলো-ফোব
ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |,অ্যাংলো-ফোবিয়া
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |,অ্যাংলো-স্যাক্সন
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |,অ্যাংলো-স্যাক্সোনিজম
ଆନ୍ନାଲିଷ୍ଟ |,অ্যানালিস্ট
ବାର୍ଷିକ,ইতিহাস
ସଂଲଗ୍ନ,সংযোজন
ଆଣ୍ଟେ-ବେଲମ୍ |,এন্টে-বেলাম
