Tamil,Malayalam
அபேலி குழு,അബെലി ഗ്രൂപ്പ്
அபேலி குழு,അബെലി ഗ്രൂപ്പ്
கை,കൈ
"முழுமையான, முழுமையான, நிலையான, துல்லியமான","കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ"
முழுமையான ஒருங்கிணைப்பு,കേവലമായ ഒത്തുചേരൽ
முழுமையான பிழை,സമ്പൂർണ്ണ പിശക്
உச்ச உச்ச,പരമോന്നത പരമോന്നത
முற்றிலும் குறைந்த,ഏറ്റവും താഴ്ന്നത്
துல்லியமான மதிப்பு,യഥാർത്ഥ മൂല്യം
முழுமையான வேகம்,കേവല വേഗത
சுருக்க இயற்கணிதம்,അമൂർത്ത ബീജഗണിതം
சுருக்க குழு கோட்பாடு,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
முடுக்கம்,ത്വരണം
ஈர்ப்பு முடுக்கம்,ഗുരുത്വാകർഷണ ത്വരണം
ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்,സ്വീകാര്യമായ സെലക്ടർ
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,സ്വീകാര്യമായ നിലവാരം
ஏற்றுக்கொள்ளக்கூடிய வளாகம்,സ്വീകാര്യമായ പരിസരം
சரியான நம்பகத்தன்மை நிலை,സാധുവായ വിശ്വാസ്യത നില
ஏற்பு மாதிரி,സ്വീകാര്യത സാമ്പിൾ
திரட்டப்பட்ட பிழை,സഞ്ചിത പിശക്
துல்லியம்,കൃത്യത
பயன்படுத்தப்படும் சக்தி,പ്രയോഗിച്ച ബലം
"செயல், செயல்","പ്രവൃത്തി, പ്രവൃത്തി"
செயல் மற்றும் எதிர்வினை,പ്രവർത്തനവും പ്രതികരണവും
காப்பீட்டு அறிவியல்,ഇൻഷുറൻസ് ശാസ്ത്രം
கடுமையான முக்கோணம்,നിശിത ത്രികോണം
அசைக்ளிக்,അസൈക്ലിക്
மொத்தத்தில்,സംഗ്രഹിക്കാനായി
சேர்ப்பான்,ചേർക്കുന്നയാൾ
"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)","തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)"
யோகா சூத்திரம்,യോഗയുടെ ഫോർമുല
கலப்பு எண்களின் கூட்டுத்தொகை,സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക
செயல்பாடுகளின் கூட்டுத்தொகை,പ്രവർത്തനങ്ങളുടെ ആകെത്തുക
மெட்ரிக்குகளின் கூட்டுத்தொகை,മെട്രിക്സുകളുടെ ആകെത്തുക
பல்லுறுப்புக்கோவைகளின் தொகை,ബഹുപദങ്ങളുടെ ആകെത്തുക
நிகழ்தகவுகளின் கூட்டுத்தொகை,സാധ്യതകളുടെ ആകെത്തുക
திசையன்களின் தொகை,വെക്റ്ററുകളുടെ ആകെത്തുക
"தொகை தேற்றம், பெர்ரி கோட்பாடு,","സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം"
சேர்க்கை குழு,സങ്കലന ഗ്രൂപ്പ്
தலைகீழ் சேர்க்கை,വിപരീത വിപരീതം
சேர்க்கை,കൂട്ടിച്ചേർക്കൽ
சேர்க்கை,കൂട്ടിച്ചേർക്കൽ
அருகாமை அணி,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
"அருகாமை, அருகாமை, அருகாமை","തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള"
அருகில் உள்ள கோணம்,അടുത്തുള്ള കോൺ
அருகில் உள்ள உச்சி,തൊട്ടടുത്തുള്ള ശീർഷകം
தொடர்புபடுத்த,സഹകരിക്കാൻ
"இணைக்கப்பட்ட உறை,",ഘടിപ്പിച്ച വലയം
பொதுவான தீர்மானிப்பான்,പൊതുവായ ഡിറ്റർമിനന്റ്
இணைக்கப்பட்ட வேறுபாடு சமன்பாடு,ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു
இணைக்கப்பட்ட சமன்பாடு,ഘടിപ്പിച്ച സമവാക്യം
ஒரே மாதிரியான அணி,ഏകീകൃത മാട്രിക്സ്
அணி ஒருங்கிணைப்பு,മാട്രിക്സ് കോവേരിയൻസ്
ஒரே மாதிரியான அணி,ഏകീകൃത മാട്രിക്സ്
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,സ്വീകാര്യമായ സിദ്ധാന്തം
காற்றியக்க விசை,എയറോഡൈനാമിക് ശക്തി
காற்றியக்கவியல்,എയറോഡൈനാമിക്സ്
ஒரே மாதிரியான வடிவியல்,ഏകതാനമായ ജ്യാമിതി
ஒரே மாதிரியான மேப்பிங்,ഏകതാനമായ മാപ്പിംഗ്
ஒரே மாதிரியான மாற்றம்,ഏകതാനമായ പരിവർത്തനം
மொத்த மாறி,മൊത്തം വേരിയബിൾ
"இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்","ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം"
"விதை மூடிய, விதை","സീഡി അടഞ്ഞ, വിത്ത്"
இயற்கணித சமன்பாடு,ബീജഗണിത സമവാക്യം
இயற்கணித வெளிப்பாடு,ബീജഗണിത പദപ്രയോഗം
இயற்கணித ஒருமைப்பாடு,ബീജഗണിത ഏകത
இயற்கணித செயல்பாடு,ബീജഗണിത പ്രവർത്തനം
இயற்கணித வடிவியல்,ബീജഗണിത ജ്യാമിതി
இயற்கணித பன்மை,ബീജഗണിത ബഹുത്വം
இயற்கணித அமைப்பு,ബീജഗണിത വ്യവസ്ഥ
அனைத்து முழு எண் பிரச்சனை,എല്ലാ-പൂർണ്ണസംഖ്യാ പ്രശ്നം
"ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி,",അസൈൻമെന്റ് പ്രശ്നം വാട്ട് ചോദ്യം
அகரவரிசைக் குறியீடு,അക്ഷരമാലാ ക്രമം
அகரவரிசை எழுத்து,അക്ഷരമാലാക്രമം
மாற்று கோணங்கள்,ഇതര കോണുകൾ
"மாற்று ஒரே மாதிரியான மாற்று வடிவம்,",ഇതര ഏകതാനമായ ഇതര രൂപം
மாற்று குழு,ഇതര ഗ്രൂപ്പ്
மாற்று அணி,ഇതര മാട്രിക്സ്
மாற்று தொடர்,ഇതര പരമ്പര
மாற்று கருதுகோள்,ഇതര സിദ്ധാന്തം
மாற்று உகந்தது,ബദൽ ഒപ്റ്റിമം
மாற்று முடிவு,ഇതര ഫലം
அனலாக்-இலக்க மாற்றி,അനലോഗ് അക്ക കൺവെർട്ടർ
"அனலாக் கணினி,",അനലോഗ് കമ്പ്യൂട്ടർ
பகுப்பாய்வு,വിശകലനം
இணைநிலை பகுப்பாய்வு,സഹവർത്തിത്വ വിശകലനം
கணக்கெடுப்பு-தரவு பகுப்பாய்வு,എണ്ണൽ-വിവര വിശകലനം
மாறுபாடு பகுப்பாய்வு,വ്യതിയാന വിശകലനം
பகுப்பாய்வு வடிவியல்,അനലിറ്റിക്കൽ ജ്യാമിതി
பகுப்பாய்வு செயல்பாடு,വിശകലന പ്രവർത്തനം
கோணம்,കോൺ
தொடுகோடு கோணம்,ടാൻജന്റ് കോൺ
விலகல் கோணம்,വ്യതിചലന കോൺ
மனச்சோர்வு கோணம்,വിഷാദം ആംഗിൾ
விலகல் கோணம்,വ്യതിയാനം കോൺ
விலகல் கோணம்,ഡിഫ്രാക്ഷൻ ആംഗിൾ
உயர கோணம்,എലവേഷൻ കോൺ
நிகழ்வு கோணம்,സംഭവത്തിന്റെ കോൺ
திட்ட கோணம்,പ്രൊജക്ഷൻ കോൺ
பிரதிபலிப்பு கோணம்,പ്രതിഫലനത്തിന്റെ കോൺ
ஒளிவிலகல் கோணம்,അപവർത്തന കോൺ
சுழற்சி கோணம்,റൊട്ടേഷൻ കോൺ
பிரதிபலிப்பு முழுமையான கோணம்,പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ
கோண முடுக்கம்,കോണീയ ത്വരണം
கோண வேகம்,കോണീയ പ്രവേഗം
கோண வேகம்,കോണീയ വേഗത
கோண வேகம்,കോണീയ പ്രവേഗം
மோதிர விரல்,മോതിര വിരൽ
பதில்,ഉത്തരം
எதிர் வழித்தோன்றல்,കൌണ്ടർ ഡെറിവേറ്റീവ്
ஐசோமெட்ரிக் செயல்பாடு,ഐസോമെട്രിക് ഫംഗ്ഷൻ
"மறைக்கக்கூடிய, பொருந்தக்கூடிய, பொருந்தக்கூடிய","കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ"
"விண்ணப்ப விண்ணப்பம்,",അപേക്ഷ അപേക്ഷ
பயன்பாட்டு டைனமிக் நிரலாக்கம்,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
பயன்படுத்தப்படும் வடிவியல்,പ്രയോഗിച്ച ജ്യാമിതി
பயன்பாட்டு கணிதம்,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
பயன்பாட்டு புள்ளிவிவரங்கள்,പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ
"தோராயமாக, தோராயமாக","ഏകദേശം, ഏകദേശം"
தோராயமாக தொடர்ச்சியான செயல்பாடு,ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം
"மேக்ரோ முறை, தோராய முறை","മാക്രോ രീതി, ഏകദേശ രീതി"
தோராயமான தீர்வு,ഏകദേശ പരിഹാരം
தோராயமான பிரச்சனை,ഏകദേശ പ്രശ്നം
தோராயமான சொத்து,ഏകദേശ സ്വത്ത്
திறன் சோதனை,അഭിരുചി പരീക്ഷ
ஆர்கான் வரைபடம்,ആർഗോൺ ഡയഗ്രം
தன்னார்வ,സ്വമേധയാ
"சீரற்ற, சீரற்ற","ക്രമരഹിതമായ, ക്രമരഹിതമായ"
தன்னிச்சையான மாறிலி,ഏകപക്ഷീയമായ സ്ഥിരാങ്കം
இலவச உறுப்பு,സ്വതന്ത്ര ഘടകം
தன்னிச்சையான புள்ளி,ഏകപക്ഷീയമായ പോയിന്റ്
ஆர்க்கிமிடின் சட்டம்,ആർക്കിമിഡീസിന്റെ നിയമം
ஆர்க்கிமிடிஸ் சட்டம்,ആർക്കിമിഡീസിന്റെ നിയമം
"வில்-நீளம், வில்-நீளம்","കമാനം നീളം, കമാനം നീളം"
வட்ட வில்,സർക്കിൾ ആർക്ക്
தலைகீழ் சைன் விநியோகம்,വിപരീത സൈൻ വിതരണം
தலைகீழ் சைன் மாற்றம்,വിപരീത സൈൻ പരിവർത്തനം
"பகுதி, பகுதி","പ്രദേശം, പ്രദേശം"
பிராந்திய கட்டமைப்பு,പ്രാദേശിക കോൺഫിഗറേഷൻ
ஒரு கலப்பு எண்ணின் கோணம்,ഒരു സങ്കീർണ്ണ സംഖ്യയുടെ കോൺ
எண்கணித சராசரி,ഗണിത അർത്ഥം
டிஜிட்டல் செயல்பாடு,ഡിജിറ്റൽ പ്രവർത്തനം
டிஜிட்டல் அலகு,ഡിജിറ്റൽ യൂണിറ്റ്
"கட்டமைப்பு, ஏற்பாடு","കോൺഫിഗറേഷൻ, ക്രമീകരണം"
"வரிசை, வரிசை","അറേ, അറേ"
செயற்கை செயற்கைக்கோள்,കൃത്രിമ ഉപഗ്രഹം
செயற்கை மாறி,കൃത്രിമ വേരിയബിൾ
ஏறுவதற்கு,കയറാൻ
ஏறுமுகம்,ആരോഹണം
அளவின் ஏறுவரிசை,മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം
ஏறும் தரம்,ആരോഹണ ഗ്രേഡ്
அசெம்பிளர் மொழி,അസംബ്ലർ ഭാഷ
"ஒதுக்கீட்டுச் சிக்கல் ஒதுக்கீட்டுக் கேள்வி,",അസൈൻമെന്റ് പ്രശ്നം അസൈൻമെന്റ് ചോദ്യം
துணை விதி,സഹകാരി നിയമം
ஆபரேட்டர்களின் துணை விதி,ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം
துணை செயல்பாடு,അനുബന്ധ പ്രവർത്തനം
தோழமை,കൂട്ടുകെട്ട്
சராசரியாக கருதப்படுகிறது,അർത്ഥമാക്കുന്നത്
நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது,പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു
"கற்பனை செய்து, ஒப்புக்கொண்ட,","സങ്കല്പിച്ചു, സമ്മതിച്ചു"
ஜோதிடம்,ജ്യോതിഷം
"விண்வெளி பொறியாளர் விண்வெளி பொறியாளர்,",ബഹിരാകാശ എഞ്ചിനീയർ ബഹിരാകാശ എഞ്ചിനീയർ
வானியலாளர்*,ജ്യോതിശാസ്ത്രജ്ഞൻ*
வானியல் கடிகாரம்,ജ്യോതിശാസ്ത്ര ഘടികാരം
வானியல்,ജ്യോതിശാസ്ത്രം
சமச்சீரற்ற வளைவு,അസമമായ വക്രം
சமச்சீரற்ற தன்மை,അസമമിതി
அறிகுறியற்ற,അസിംപ്റ്റോട്ടിക്
மோசமாக்கும்,വഷളാക്കുന്നു
முற்போக்கான மதிப்பீட்டாளர்,പുരോഗമന എസ്റ്റിമേറ്റർ
பிற்போக்கு சார்பு மதிப்பீட்டாளர்,റിട്രോഗ്രേഡ് ബയസ്ഡ് എസ്റ്റിമേറ്റർ
பிற்போக்கு நடத்தை,പിന്തിരിപ്പൻ പെരുമാറ്റം
தீவிர விநியோக செயல்பாடு,ആക്രമണാത്മക വിതരണ പ്രവർത്തനം
மேல்நோக்கி பரவியது,മുകളിലേക്ക് വ്യാപിച്ചു
வளிமண்டல அழுத்தம்,അന്തരീക്ഷമർദ്ദം
"தற்செயலாக,",ക്രമരഹിതമായി
சொத்து*,സ്വത്ത്*
பண்பு-மாதிரி-பொறிமுறை,ആട്രിബ്യൂട്ട്-സാമ്പിൾ-മെക്കാനിസം
ஆக்மென்ட் மேட்ரிக்ஸ்,വർദ്ധിപ്പിച്ച മാട്രിക്സ്
தன்னியக்க தொடர்பு குணகம்,ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്
தன்னியக்க தொடர்பு செயல்பாடு,ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ
இணை மாறுபாடு,സഹവർത്തിത്വം
தானியங்கி கணினி,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ
தன்னியக்க பின்னடைவு,സ്വയം റിഗ്രഷൻ
துணை சமன்பாடு,സഹായ സമവാക്യം
சராசரி மாதிரி எண் வளைவு (MPC வளைவு),ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (MPC കർവ്)
"கோட்பாடு, கோட்பாடு","സിദ്ധാന്തം, സിദ്ധാന്തം"
கோட்பாடு அணுகுமுறை,axiom സമീപനം
நிகழ்தகவு கோட்பாடு,സംഭാവ്യത സിദ്ധാന്തം
அச்சு,അച്ചുതണ്ട്
புஜக்ஷா,ഭുജാക്ഷ
பூமி அச்சு,ഭൂമിയുടെ അച്ചുതണ്ട്
சுழற்சி அச்சு,ഭ്രമണ അക്ഷം
சுழற்சி அச்சு,ഭ്രമണ അക്ഷം
சுழல் அச்சு,സ്പിൻ അക്ഷം
பிந்தைய மாற்று,പോസ്റ്റ് മാറ്റിസ്ഥാപിക്കൽ
பின்னர்,പിന്നീട്
பின் செருகும் சூத்திரம்,തിരികെ ചേർക്കൽ സൂത്രവാക്യം
"சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை","ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്"
சீரான வடிவமைப்பு,സമതുലിതമായ ഡിസൈൻ
இருப்பு தாள்,ബാലൻസ് ഷീറ്റ്
ஏவுகணை,മിസൈൽ
"பந்துவீச்சு, ஆயுதம்","ബാലിസ്റ്റിക്സ്, ആയുധം"
"நெடுவரிசை, பட்டை, கோப், பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, வரி, வரி, சோதனை வரி, விளிம்பு","നിര, വടി, കോബ്, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ലൈൻ, ലൈൻ, ടെസ്റ്റ് ലൈൻ, എഡ്ജ്"
"அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை","അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം"
அடிப்படை கோணம்,അടിസ്ഥാന കോൺ
"மடக்கையின் அடிப்படை, மடக்கையின் அடிப்படை","ലോഗരിതം അടിസ്ഥാനം, ലോഗരിതം അടിസ്ഥാനം"
"அடிப்படை, அடிப்படை,","അടിസ്ഥാന, അടിസ്ഥാന"
அடிப்படை ஒத்திசைவான தீர்வு,അടിസ്ഥാന യോജിച്ച പരിഹാരം
