Hindi,Gujarati
विफलन,ગર્ભપાત
विफलन कालद,ગર્ભપાત સમય
निरपेक्ष पता,અબાધિત સંબોધન
निरपेक्ष पताभिगमन,પૂર્ણ સંબોધન
निरपेक्ष कोडांतरक,સંપૂર્ણ સંમેલન
निरपेक्ष कूट,પૂર્ણ સંહિતા
निरपेक्ष कूटलेखन,પૂર્ણ સંહિતા
निरपेक्ष समादेश,પૂર્ણ આદેશ
निरपेक्ष निर्देशांक,સંપૂર્ણ સંકલન
निरपेक्ष आंकड़े,અબાધિત આંકડા
निरपेक्ष त्रुटि,નિરપેક્ષ ભૂલ
निरपेक्ष व्यंजक,પૂર્ણ અભિવ્યક્તિ
निरपेक्ष अनुदेश,અબાધિત સૂચના
निरपेक्ष भारक,અબાધિત લોડર
निरपेक्ष आदेश,સંપૂર્ણ
निरपेक्ष क्रमादेशन,પૂર્ણ કાર્યક્રમ
निरपेक्ष पद,અબાધિત મુદત
निरपेक्ष मान,અબાધિત મૂલ્ય
निरपेक्ष सदिश,અબાધિત વેક્ટર
" सारांश , अमूर्त",નિષ્ક્રિય
" सारांशन , अमूर्तकरण ,  साराहरण",યોગ્યતા
अमूर्त प्रतीक,સાર -સારાંશ
त्वरण अवधि,પ્રવેગશ ગાળો
त्वरण काल,પ્રવેગકોનો સમય
उच्चारण चिह्न,ઉચ્ચારણ
स्वीकरण परीक्षण,સ્વીકૃતિ કસોટી
अभिगम,પ્રવેશ
अभिगम बाहु,પ્રવેશ હાથ
अभिगम व्यवस्था,પ્રવેશ -વ્યવસ્થા
अभिगम प्राधिकारक,પ્રવેશ સત્તાવાર
अभिगम शुल्क,પ્રવેશ -ખર્ચ
अभिगम वर्ग,પ્રવેશ -વર્ગ
अभिगम आँकड़ासंचय प्रबंध,પ્રવેશ -આધાર વ્યવસ્થાપન
अभिगम परिवेश,પર્યાવરણ
अभिगम अंतराल,પ્રવેશ અંતર
अभिगम सूचक,પ્રવેશ -સૂચિ
अभिगम लाइन,પ્રવેશ -રેખા
अभिगम यांत्रिकत्व,પ્રવેશ -પદ્ધતિ
अभिगम विधि,પ્રવેશ પદ્ધતિ
अभिगम विधि नेमका,પ્રવેશ -પદ્ધતિ
अभिगम विधा,પ્રવેશ -પદ્ધતિ
अभिगम अधिकार,પ્રવેશ -હક
अभिगम क्रमवीक्षण,પ્રવેશ -સ્કેન
अभिगम काल,પ્રવેશ સમય
लेखा कार्य,નામું
लेखाकार्य वित्त तंत्र,હિસાબ -પદ્ધતિ પદ્ધતિ
लेखा यंत्र,હિસાબ -વ્યવસ્થા
खाता संख्या,ખાતા નંબર
संचयी पुनरुत्पादक,સંચયી પ્રજનનકર્તા
संचायक,એકઠા કરનાર
संचायक पंजी,સંચિત રજિસ્ટર
संचायक विस्थापन अनुदेश,સંચય -પાળી સૂચના
परिशुद्धता,ચોકસાઈ
परिशुद्धता नियंत्रण संप्रतीक,ચોકસાઈ નિયંત્રણ
परिशुद्धता नियंत्रण तंत्र,ચોકસાઈ નિયંત્રણ પદ્ધતિ
उत्कृष्ठ मार्गदर्शी,પાસાનો પાસાનો પો
पावती संप्रतीक,પાત્ર સ્વીકારવું
ध्वनिक युग्मक,ધ્વનિકર્તા
ध्वनिक युग्मन,ધ્વનિ -જોડાણ
ध्वनिक विलंब लाइन,ધ્વનિ વિલંબ રેખા
ध्वनिक स्मृति,ધ્વનિમૂર્તિ
ध्वनिक मोडेम,ધ્વનિ -મોડેમ
ध्वनिक संकेत,ધ્વનિ સંકેત
ध्वनिक भंडारण,ધ્વનિ સંગ્રહ
परिवर्णी शब्द,ટૂંકાક્ષર
क्रिया,ક્રિયા
क्रिया चक्र,કાર્ય -ચક્ર
क्रिया लाइन,ક્રિયા -રેખ
क्रिया संदेश,ક્રિયા
क्रिया विनिर्देश,કાર્ય -સ્પષ્ટીકરણ
सक्रियण,સક્રિય
सक्रिय,સક્રિય
सक्रिय संचिका,સક્રિય ફાઈલ
सक्रिय लाइन,સક્રિય રેખા
सक्रिय कड़ी,સક્રિય કડી
सक्रिय प्रधान संचिका,સક્રિય માસ્ટર ફાઇલ
सक्रिय प्रधान मद,સક્રિય મુખ્ય વસ્તુ
सक्रिय उपग्रह,સક્રિય ઉપગ્રહ
सक्रिय केन्द्र,સક્રિય કેન્દ્ર
सक्रिय भंडारण,સક્રિય સંગ્રહ
सक्रियता,પ્રવૃત્તિ
सक्रियता स्तर,પ્રવૃત્તિ સ્તરે
सक्रियता भारण,પ્રવૃત્તિ લોડિંગ
सक्रियता अनुपात,પ્રવૃત્તિ ગુણોત્તર
निरपेक्ष पता,વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું)
निरपेक्ष कूट,વાસ્તવિક કોડ (= સંપૂર્ણ કોડ)
वास्तविक आँकडा स्थानांतरण दर,વાસ્તવિક ડેટા ટ્રાન્સફર રેટ
वास्तविक दशमलव बिन्दु,વાસ્તવિક દશાંશ બિંદુ
प्रभावी अनुदेश,વાસ્તવિક સૂચના (= અસરકારક સૂચના)
वास्तविक कुंजी,ખરેખર ચા
वास्तविक काल,વાસ્તવિક સમય
वास्तविक कार्य काल,વાસ્તવિક કામનો સમય
प्रवर्तक संकेत,કાર્યકારી સંકેત
अनुकूलनीयता,અનુકૂલનક્ષમતા
अनुकूलित्र,અનુકૂલન
अनुकूली प्रणाल नियतन,અનુકૂલનશીલ ચેનલ ફાળવણી
अनुकूली समाकलन,અનુકૂલનશીલ એકીકરણ
अनुकूली अनुप्रस्थ तुल्यकारक,અનુકૂલનશીલ બરાબરી
योजित प्रविष्ट,ઉમેરાયેલ નોંધ
योज्य,પરિવર્તન
