ab initio,"ആദ്യം മുതല്‍ക്ക്, ആരംഭത്തിലെ"
abatement,"പരിത്യജനം, ഉപേക്ഷിക്കൽ, കയ്യൊഴിയൽ"
abbreviation,"സംക്ഷേപം, സംക്ഷേപണം, സംക്ഷേപം"
abduction,"ബലമായി തട്ടിക്കൊണ്ടു പോകൽ, അപഹരണം"
abeyance,നി൪ത്തിവയ്ക്കൽ
ability,"കഴിവ്, പ്രാപ്തി"
able,"കഴിവുള്ള, പ്രാപ്തിയുള്ള"
abnormal,"അപസാമാനുമായ, അസാധാരണമായ"
abolition,"നി൪ത്തലാക്കൽ, സമാപനം, ഉന്മൂലനം"
abolitionof post,തസ്തിക നിര്‍ത്തലാക്കൽ
above mentioned,മേല്‍പ്പറഞ്ഞ
above quoted,മേൽ ഉദ്ധരിച്ച
above said,മേല്‍പ്പറഞ്ഞ
absence,അസാന്നിധ്യം
absentee,"ഹാജരില്ലാത്ത ആൾ, അസന്നിഹിത൯"
absentee statement,ഹാജരില്ലാത്തവരെക്കുറിച്ചുള്ള വിവരണം
absenteeism,ഹാജരാകാതിരിക്കുന്ന പ്രവണത
absolute,"നിരപേക്ഷമായ, നിരുപാധികമായ"
absolute monopoly,നിരുപാധികമായ കുത്തക
absolute ownership,പൂര്‍ണ്ണമായ ഉടമസ്ഥാവകാശം
absorption,"ലയനം, ആഗിരണം, അവശോഷണം"
abstract,"അബ്സ്ട്രാക്റ്റ്, സംക്ഷേപം, സാരം"
abstractstatement,സംക്ഷിപ്തപ്രസ്താവന
absurd,"അബദ്ധമായ, പരിഹാസ്യമായ"
abundance,"ആധിക്യം, ധാരാളിത്തം"
abuse of power,അധികാര ദു൪വിനിയോഗം
abusive language,"ആക്ഷേപവാക്ക്, തെറി"
academic,"അക്കാദമീയം, അക്കാദമിക്, വിദ്യാസംബന്ധി, സിദ്ധാന്തപരം"
academic discussion,സിദ്ധാന്തപരമായ ചര്‍ച്ച
academic leave,വിദ്യാഭ്യാസ അവധി
academic qualification,വിദ്യാഭ്യാസ യോഗ്യത
academic record,വിദ്യഭ്യാസപരമായ രേഖ
accede,"സമ്മതിക്കുക, യോജിക്കുക, പ്രവേശിക്കുക"
accept,"സ്വീകരിക്കുക, അംഗീകരിക്കുക, പ്രതിഗ്രഹിക്കുക"
acceptance,"സ്വീകരിക്കൽ, പ്രതിഗ്രഹണം"
acceptance of office,"സ്വീകരിക്കൽ, പ്രതിഗ്രഹണം, ഉദ്യോഗം ഏറ്റെടുക്കൽ, ഉദ്യോഗസ്വീകാരം"
acceptance of tender,"സ്വീകരിക്കൽ, പ്രതിഗ്രഹണം, ടെ൯ഡ൪ സ്വീകാരം, ദ൪ഘാസ് സ്വീകാരം"
access,പ്രവേശം
accession,"സ്ഥാനപ്രാപ്തി, പരിഗ്രഹണം, ഉപചയം, അധിമിലനം"
accessory,"അനുബന്ധം, ഉപസാധനം, സഹായകോപകരണം, പങ്കാളി"
accident,"അപകടം, യാദൃച്ഛികം, അവിചാരിതസംഭവം, ആകസ്മികസംഭവം"
acclimatization,"പദ്യനുകൂലനം, കാലാവസ്ഥയുമായി പൊരുത്തപ്പെടുക"
accommodation,"വാസം, സ്ഥലസൌകര്യം, താമസസൌകര്യം"
accompanist,കൂടെപ്പോകുന്നയാൾ
accord,"അനുകൂലത, യോജിപ്പ്, അഭിപ്രായ ഐക്യം, യോജിക്കുക"
accordance,"യോജിക്കൽ, പൊരുത്തം, ചേ൪ച്ച"
accordingly,"അതനുസരിച്ച്, അപ്രകാരം, അതുപോലെ"
account,"അക്കൌണ്ട്, കണക്ക്, ലേഖ"
account for,"കാരണം പറയുക, കണക്ക് കൊടുക്കുക"
account head,ലേഖാ ശീര്‍ഷകം
accountability,ഉത്തരവാദം
accountable,"കണക്കുവയ്ക്കാവുന്ന, ഉത്തരവാദിയായ"
accountancy,"കണക്ക്, കണക്കെഴുത്ത്, അക്കൌണ്ടന്‍സി"
accountant,അക്കൌണ്ടന്‍റ്
accrued benefit,ഉപചിതമായ ലാഭം
accrued pension,ഉപചിതമായ പെന്‍ഷ൯
accumulation,"സഞ്ചയനം, ശേഖരം"
accuracy,"കൃത്യത, വാസ്തവികത, കണിശത"
accurate,കൃത്യമായ
accuse,"ആരോപണം, കുറ്റം ചുമത്തുക"
accused,"പ്രതി, കുറ്റാരോപണവിധേയ൯, അഭിയുക്ത൯"
achievement,നേട്ടം
acknowledgement,"സ്വീകാര്യം, പറ്റുചീട്ട്, കൈപ്പറ്റ്, അക്നോളഡ്ജ്മെന്‍റ്, സമ്മതപത്രം"
acknowledgement due,"സ്വീകാര്യം, പറ്റുചീട്ട്, കൈപ്പറ്റ്, അക്നോളഡ്ജ്മെന്‍റ് ഡ്യൂ"
