Kannada,Bengali
ಆಂಪಿಯರ್ (ಘಟಕ),অ্যাম্পিয়ার (একক)
ಆಂಗ್ಸ್ಟ್ರಮ್,অ্যাংস্ট্রাম
ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್,A-শ্রেণীর পরিবর্ধক
ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್,এএন রেডিও সহায়
ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ,একটি-স্ক্যানিং উপস্থাপনা
a-ದರ್ಶ್,a-দর্শ
ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ,A-স্কোপ কর্মক্ষমতা
A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್,A-T বাঁকা স্ফটিক
"ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ","এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন"
ಬೆಳಗ್ಗೆ,am
AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),এএমইউ (পারমাণবিক ভর একক)
aard-vark*,আর্ড-ওয়ার্ক*
ಅಬ್-ಆಂಪಿಯರ್,ab-ampere
A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್,A-B শ্রেণীর পরিবর্ধক
ಅದಾ,adah
ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ,A-B শক্তি পিটক
abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್,abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ
ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ),আবে নম্বর (আবে ধ্রুবক)
ಅಬೆ ವಕ್ರೀಕಾರಕ,abe রিফ্র্যাক্টোমিটার
ಅಬೆ ಸೈನ್ ರಾಜ್ಯ,অ্যাবে সাইন স্টেট
ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ,স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ
abcoulom,abcoulom
"ವಿಪಥನ, ವಿಪಥನ","aberration, aberration"
ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ,বিকৃতি সংশোধনকারী লেন্স
ಆಕಾಶ ವಿಪಥನ,আকাশ বিকৃতি
abfarad,আবফারদ
ಎಬೆನ್ರಿ,ইবেনরি
ಎಬೊನಿ ಎಫೆಕ್ಟ್,আবলুস প্রভাব
ಅಸಹಜ ಧ್ರುವೀಕರಣ,অস্বাভাবিক মেরুকরণ
ಅಸಹಜ ಪ್ರಸರಣ,অস্বাভাবিক সংক্রমণ
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ,অলৌকিক প্রতিফলন
ಅಸಹಜ ವಕ್ರೀಭವನ*,অস্বাভাবিক প্রতিসরণ*
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ,অস্বাভাবিক প্রতিরোধ
ab-om,ab-om
"ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ","preponderance, ব্যর্থতা"
