Odiya,Punjabi
ଅବକାଶର ପୃଷ୍ଠ |,ਐਬੈਕਸਿਅਲ ਸਤਹ
ପେଟ,ਪੇਟ
ପେଟର ଆର୍ଟା |,ਪੇਟ AORTA
ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |,ਪੇਟ ਗੰਗਾਲੀਆ
ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |,ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ
ଆବର୍ଗନ,ਅਸਧਾਰਨ
ଆବିସ୍,ਅੱਛਾ
ଆବିଙ୍ଗଡନ୍ କଇଁଛ |,ਅਬਿੰਗਡਨ ਕਛੂਆ
Abognescesis,ਅਬੀਓਜੀਨੇਸਿਸ
ଅବିଟ,ਅਬੀਓਟਿਕ
ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |,ਅਬੀਓਟਿਕ ਕਾਰਕ
ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |,ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ
ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |,ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ
ଅବସିସିକ୍ ଏସିଡ୍ |,Abscisic ਐਸਿਡ
ଅବସିସନ,ਵਿਵੇਕ
ଶୋଷଣ,ਸੋਖਣਾ
ଅବଶୋଷଣ ଶିଖର |,ਸਮਾਈ ਪੀਕ
ଶୋଷଣ,ਸਮਾਈ
ଆକାସିଆ କ୍ୟାଚଚୁ |,ਅੱਕੀਆ ਕੈਟੂਯੂ
ଆକାରିଆ ଆରବୀ |,ਅਕਾਰੀਆ ਅਰਬੀ
ଆକ୍ରିନ,ਐਕਾਪ੍ਰਿਨ
ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |,ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |,ਸਹਾਇਕ ਅੰਗ
ସୁକମ୍ଲାଇଜେସନ୍,ਅਨੁਕੂਲਤਾ
ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |,ਅਹਿਮ
ଆବାସ (ଧ୍ୟାନ),ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ)
ଆଖିରେ ରହିବା,ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼
ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |,ਅਦਭੁਤ ਵਾਧਾ
ଜମା,ਇਕੱਠਾ
ଜମାକାରୀ ପଦାର୍ଥର ଜମା |,ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
ମାଟିର ଜମା |,ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
Acellululula |,ਐਸੀਲੂਲਰ
ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |,ਐਸੀਲੂਲਰ ਜੀਵ
ଏସିଟାବୁଲମ୍,ਐਸੀਟੌਮੂਲਮ
ACTalDeyDee,ਐਸੀਟਲਾਈਡਾਈਡ
ACETIL କୋଏନୋଜିମ୍ |,ਐਸੀਟੇਲ ਰੀਜ਼ਨ
ଆଖିନିନା |,ਅਮੀਥਿਨਾ
ଅହିଯାଉଥିବା ପ୍ରକାର |,ਅੱਕੇ
ଅହିଯେ,ਅਕੇਸ਼ੀ
ଅଖ୍ଲଣିଡୋସପୋରିଆ |,AchlamyDosporeae
ଅମ୍ଳ ବର୍ଷା,ਐਸਿਡ ਬਾਰਸ਼
ଅମ୍ଳୀୟ,ਤੇਜਾਬ
ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |,ਤੇਜ਼ਾਬ ਗੈਸ
ଅମ୍ଳତା,ਐਸਿਡਿਟੀ
ଆଖର ସେଲ୍ |,ਐਕਸੀਨਰ ਸੈੱਲ
ଆକ୍ୱେମିଲେଟ୍ |,ਆਕੋਲੀਓਮੈਟ
ଆକୋନିଟମ୍,ਐਕੋਨਿਟਮ
ଆକ୍ୟୁନ୍ ପୋକ |,ਐਕੋਰਨ ਕੀੜਾ
ଆକାଶବାଣୀ ଜୋନିଂ |,ਧੁਨੀ ਜ਼ੋਨਿੰਗ
ଅର୍ଜନ ବର୍ଣ୍ଣ,ਪਾਤਰ ਪਾਤਰ
ଅଜାଣତର କାରଣ,ਸੀਮਤ ਸੀਮਤ
ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |,ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼)
ଅକାନିଆ,ਅਰੇਂੀਆ
ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ,ਐਸੀਰੇਸਾਈਨ ਡਾਇ
ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ
ଆକ୍ରୋମିଅନ୍ |,ਐਕਰੋਮਰ
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,ਅਸ਼ੋਕਲ ਤਰਤੀਬ
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,ਐਕਰੋਪੇਟਲ ਆਰਡਰ
ଆକ୍ରୋସିନ୍ |,ਐਕਰੋਸਿਨ
ଆକ୍ଟିନ୍ |,ਐਕਟਿਨ
ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |,ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ
ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |,ਐਕਟਿਨੀਮੋਰਿਕ
ଆକ୍ଟିନୋମିସେସିସ୍ |,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
କାର୍ଯ୍ୟ ସମ୍ଭାବନା,ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ
ସକ୍ରିୟ ସ୍ଲେଜ୍ |,ਸਰਗਰਮ ਸਲੱਜ
ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |,ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ
ସକ୍ରିୟ ଶକ୍ତି,ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ
ସକ୍ରିୟ ଶୋଷଣ,ਐਕਟਿਵ ਸਮਾਈ
ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |,ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ
ସକ୍ରିୟ ବିକିରଣ |,ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ
ସକ୍ରିୟ ସାଇଟ୍,ਐਕਟਿਵ ਸਾਈਟ
କାର୍ଯ୍ୟକର୍ତ୍ତା,ਐਕਟੀਵੇਟ
ଆକ୍ରମିନେଟ୍ |,ਅਮੀਮਿਨੇਟ
ଆଡାମାସିଆ |,ਐਡਮਜ਼ੀਆ
ଅନୁକେତ,ਅਨੁਕੂਲਤਾ
ଆଡାପ୍ଟେସନ୍,ਅਨੁਕੂਲਤਾ
ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |,ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ
ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |,ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ
ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |,ਅਨੁਕੂਲ ਗੁਣ
ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |,ਅਨੁਕੂਲ ਛੋਟ
ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |,ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ
ଆଡାପ୍ଟିଭ୍ ଗୁଣ |,ਅਨੁਕੂਲ ਗੁਣ
ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |,ਏਕੈਕਸੀਅਲ ਸਤਹ
ନିଶା ବ୍ୟାଧି |,ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ
ଆଡେନିନ୍,ਐਡੀਨੇਨ
ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |,ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ
Adenehiopophisisisis,ਐਡੀਨੋਹਾਇਪਿਸਿਸ
ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |,ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ
