English,Kannada
A C equivalent circuit,ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್
A to D converter,ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
Absolute zero,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
Absorption coefficient,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
Absorption spectrum,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ
Acceptor atom,ಗ್ರಾಹಕ ಪರಮಾಣು
A C coupling,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ
Accumulation of electron,ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು
Accumulation of holes,ರಂಧ್ರ ಸಂಗ್ರಹಣೆ
Activation energy,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
Active amplifier,ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್
Active diode circuit,ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್
Active filter,ಸಕ್ರಿಯ ಫಿಲ್ಟರ್
Active high pass filter,ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್
Active load,ಸಕ್ರಿಯ ಲೋಡ್
Active low pass filter,ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್
Active region,ಸಕ್ರಿಯ ಪ್ರದೇಶ
Adaptive electronics,ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
Adder,ಸೇರಿಸುವವನು
Adjustable band width,ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
Admittance,ನುಗ್ಗುವಿಕೆ
Aerial,ಏರಿಯಲ್
Agility frequency,ಪೆಪ್ ಆವರ್ತನ
Air conditioner,ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ
Alignment,ಜೋಡಣೆ
Algorithm,ಅಲ್ಗಾರಿದಮ್
All pass filter,ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್
Alloy junction,ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್
Attenuation,ಕ್ಷೀಣತೆ
Alternating current (AC),ಪರ್ಯಾಯ ಪ್ರವಾಹ
Ambient temperature,ಹೊರಗಿನ ತಾಪಮಾನ
Ambipolar,ಬೈಪೋಲಾರ್
Amplification,ವರ್ಧನೆ
Amplifier,ಆಂಪ್ಲಿಫಯರ್
Amplifier efficiency,ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ
Amplitude,ಆಯಾಮಗಳು
Amplitude altenuation,ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ
Amplitude modulated oscillator,ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ
Amplitude modulation,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್
Amplitude modulator,ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್
Angstrom unit,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
Analog circuit,ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್
Analog computer,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
Analog filter,ಅನಲಾಗ್ ಫಿಲ್ಟರ್
Analog multimeter,ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್
Analog switch,ಅನಲಾಗ್ ಸ್ವಿಚ್
AND gate,ಮತ್ತು ಗೇಟ್
Angular frequency,ಕೋನೀಯ ಆವರ್ತನ
Anion,"ಅಯಾನ್, ಅಯಾನ್"
Annealing temperature,ಅನೆಲಿಂಗ್ ತಾಪಮಾನ
Anode,ಆನೋಡ್
Anode amplifier,ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್
Anodization,ಅನೋಡೈನ್
Antenna,ಆಂಟೆನಾ
Antenna elements,ಆಂಟೆನಾ ಘಟಕ
Anti-reflection coating,ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ
Anti-log amplifier,ಪ್ರತಿಲೋಜಿನ್ ಆಂಪ್ಲಿಫಯರ್
Anti-resonant circuit,ಆಂಟಿರೆಸೋನೆಂಟ್ ಸರ್ಕ್ಯೂಟ್
Aperture time,ದ್ವಾರಕ ಕಾಲ
Apparent power,ವರ್ಚುವಲ್ ಶಕ್ತಿ
Apparent wiring,ತಂತಿ ಸಂಪರ್ಕ
Approximate voltage gain,ಅಂದಾಜು ವೋಲ್ಟೇಜ್ ಲಾಭ
Armstrong modulator,ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ಮಾಡ್ಯುಲೇಟರ್
Arrays of antenna,ಆಂಟೆನಾ ರಚನೆ
Aspect ratio,"ಗಾತ್ರ ಅನುಪಾತ, ಆಕಾರ ಅನುಪಾತ"
Astable circuit (free running circuit),ತೇಲುವ ಸರ್ಕ್ಯೂಟ್ (ಉಚಿತ ಆಪರೇಟಿಂಗ್ ಸರ್ಕ್ಯೂಟ್)
Astable multivibrator,ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
Astable multivibrator,ತೇಲುವ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
Asymmetrical junction,ಅಸಮಪಾರ್ಶ್ವದ ಜಂಕ್ಷನ್
Asynchronous counters,ಅಸಮಕಾಲಿಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
Atom,ಪರಮಾಣು
Atomic number,ಪರಮಾಣು ಸಂಖ್ಯೆ
Atomic structure,ಪರಮಾಣು ರಚನೆ
Audio amplifier,ಆಡಿಯೋ ಆಂಪ್ಲಿಫಯರ್
