Tamil,Odiya
அசாதாரணமானது,ଅସ୍ୱାଭାବିକ |
கருக்கலைப்பு,ପରିତ୍ୟାଗ
சிராய்ப்பு,ଅଳିଆ ଆବେଗ
திடீரென்று,ଆକସ୍ମିକ
முழுமையான புல வலிமை,ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |
முழுமையான வெப்பநிலை,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
துல்லியமான மதிப்பு,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
உறிஞ்சும்,ଶୋଷଣ
உறிஞ்சுதல் சக செயல்திறன்,ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |
உறிஞ்சுதல் இழப்பு,ଶୋଷଣୀୟ କ୍ଷତି |
சுருக்கம்,ବିସ୍ତୃତ
முடுக்கமானி,ଆକ୍ସଲେରୋମିଟର |
ஏற்பு சோதனை,ଗ୍ରହଣ ପରୀକ୍ଷା
அணுகல்,ପ୍ରବେଶ
நுழைவு கட்டுப்பாடு,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
அணுகல் புள்ளி,ପ୍ରବେଶ ବିନ୍ଦୁ
அணுகல் நேரம்,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
அணுகல்,ଅଭିଗମ୍ୟତା |
குவிப்பான் செல்,ଆକ୍ୟୁଲେଟର କକ୍ଷ |
துல்லியம்,ସଠିକତା
துல்லியமானது,ସଠିକ୍
முடிச்சு லென்ஸ்,ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |
அமிலம்,ଏସିଡ୍ |
அமில ஆதாரம்,ଏସିଡ୍ ପ୍ରମାଣ |
அமிலத்தன்மை,ଅମ୍ଳତା
ஒப்புதல் பிட்,ସ୍ୱୀକୃତି ବିଟ୍
ஒலி,ଆକାଶବାଣୀ |
ஒலி தொடர்பு,ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |
ஒலி பரவல்,ଆକାଶବାଣୀ ବିସ୍ତାର
ஒலி சமநிலைப்படுத்தி,ଆକାଶବାଣୀ ସମାନତା |
ஒலி கருத்து,ଆକାଶବାଣୀ ମତାମତ |
ஒலி வடிகட்டி,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
ஒலி மின்மறுப்பு,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ஒலி முகமூடி,ଆକାଶବାଣୀ ମାସ୍କିଂ |
ஒலி சக்தி,ଆକାଶବାଣୀ ଶକ୍ତି |
சட்டவிரோத சொத்து,ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |
ஒலி எதிர்வினை,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
ஒலி ரிஃப்ளெக்ஸ்,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |
ஒலி ஓடு,ଆକାଶବାଣୀ ଟାଇଲ୍ |
ஒலி அலை,ଆକାଶବାଣୀ ତରଙ୍ଗ |
ஒலியியல் உறிஞ்சுதல்,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
ஒலியியல் விழிப்புணர்வு மாறிலி,ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |
ஒலியியல் ஈரமாக்குதல்,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
ஒலியியல் தாமத வரி,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
ஒலியியல் விலகல்,ଆକାଶବାଣୀ ବିକୃତି |
ஒலியியல் குழாய்,ଆକାଶବାଣୀ ନଳୀ |
ஒலியியல் ஆற்றல்,ଆକାଶବାଣୀ ଶକ୍ତି |
ஒலியியல் கருத்து,ଆକାଶବାଣୀ ମତାମତ |
ஒலியியல் வடிகட்டி,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
ஒலியியல் மின்மறுப்பு,ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |
ஒலியியல் பரப்புதல் மாறிலி,ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |
ஒலியியல் எதிர்ப்பு,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ஒலியியல் ரீதியாக காப்பிடப்பட்டது,ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |
ஒலியியல்,ଆକାଶବାଣୀ |
கையகப்படுத்தல்,ଅଧିଗ୍ରହଣ
சுருக்கம்,ଆକ୍ରୋନିମ୍ |
செயல் பகுதி,କ୍ରିୟା କ୍ଷେତ୍ର
செயல்படுத்தப்பட்ட இழை,ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |
செயலில்,ସକ୍ରିୟ
செயலில் உள்ள பகுதி,ସକ୍ରିୟ କ୍ଷେତ୍ର
செயலில் சாளரம்,ସକ୍ରିୟ ୱିଣ୍ଡୋ |
தகவமைப்பு,ଅନୁକେତ
அடாப்டர் (அடாப்டர்),ଆଡାପ୍ଟର (ଆଡାପ୍ଟର)
தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்,ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |
முகவரி புத்தகம்,ଠିକଣା ବହି
முகவரி பஸ்,ଠିକଣା ବସ୍
முகவரி தீர்மானம்,ଠିକଣା ରେଜୋଲୁସନ
அருகிலுள்ள சேனல் குறுக்கீடு,ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |
அருகிலுள்ள சேனல் தேர்வு,ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ
அருகிலுள்ள அதிர்வெண்,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |
அருகிலுள்ள அதிர்வெண் சேனல்,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |
அருகிலுள்ள படம் கேரியர்,ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |
