Bengali,Hindi
অ্যাবায়োটিক প্রজনন,अजीवात् जनन
প্যারানরমাল,अपसामान्य
1. চতুর্থ পেট 2. Evomasome,1. चतुर्थ आमाशय 2. ऐवोमैसम
স্টোমাটাল বৃদ্ধি অঙ্গ,रुद्ध-वृद्धि अंग
স্তব্ধ বৃদ্ধি বীজ,रुद्ध वृद्धि बीज
1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ,1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध
1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা,1. अवांछित अपतृण 2. पूर्ण खरपतवार
শোষিত ক্যাটান,अवशोषित धनायन
শোষণ,अवशोषण
আবিসিনিয়ান সরিষা,ऐबिसिनी सरसों
1. অ্যাক্যারিসাইড,1.एकेरेसनाशी 2. चिचड़ीनाशी
কেন্দ্রমুখী,अकेंद्री
পরিবর্ধন (কোষ),प्रवर्धन (कोशिका)
অনুমোদিত সহনশীলতা,स्वीकृत सह्यता
1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক,1.अतिरिक्त 2. सहायक 3. गौण
অভিযোজন,पर्यनुकूलन
সঞ্চয়,संचय
1. শূন্যতা 2. নির্ভুলতা,1.vयथार्थता 2. परिशुद्धता
1. অ্যাসারভাউলাস 2. স্পোরোফাইট,1. एसर्वुलस 2. बीजाणुपात्र
1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন,1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन
1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন,1. अम्लीकरण 2. अम्लन
1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার,1.अम्लतामापी 2. एसिडीमीटर
অম্লতা,अम्लता
অ্যাসিডোফাইল,अम्लरागी
অম্লীয় রক ফসফেট,अम्लीकृत रॉक फॉस्फेट
অ্যাসিডযুক্ত,अम्लसह
aquifer,जलभृत
অধিগ্রহণ,अधिग्रहण
একর,एकड़
1. এলাকা 2. এলাকা,1.क्षेत्रफल 2. रकबा
শেষ বিন্দু ক্রোমোজোম,उपांत बिंदु क्रोमोसोम
দূরদর্শী,अग्राभिसारी
acrosome,ऐक्रोसोम
actinomycetes,एक्टिनोमाइसिटीज
সক্রিয় কোর,सक्रिय मूलक्षेत्र
1. উগ্র 2. তীব্র,1.उग्र 2. तीव्र
অভিযোজনযোগ্যতা,अनुकूलनशीलता
কাস্টমাইজেশন,अनुकूलन
1. আনুগত্য 2. আনুগত্য,1. आसंजन 2. अभिलाग
sebaceous,वसामय
সমন্বয় সমীকরণ,समायोजन समीकरण
adobe মাটি,ऐडोब मृदा
ভেজাল,अपमिश्रक
ectopic,अपस्थानिक
ইসিডিওস্পোর ইসিডিয়াম স্পোর,इसीडियोस्पोर इसीडियम बीजाणु
এরোডাইনামিক প্রক্রিয়া,वातोढ़ प्रक्रिया
ventral,वातोढ़
বায়ু করা,वातन करना
1. বায়ু 2. আকাশী,1. वायव 2. आकाशी
1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার,1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप
এরোসল,ऐरोसोल
1. পুষ্পমঞ্জরী 2. গ্রীষ্মকালীন সুপ্ততা,1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता
রোগের বিজ্ঞান,रोग हेतु विज्ञान
বনায়ন,वनरोपण
1. আন্দোলন 2. অশান্তি,1. विलोडन 2. प्रक्षोभन
এগমার্ক,ऐगमार्क
1. জমি সংক্রান্ত 2. কৃষি,1. भूमि संबंधी 2. कृषि संबंधी
কৃষি ক্লিনিক,कृषि निदानालय
1. কৃষি শ্রম 2. কৃষি শ্রম,1. कृषि श्रम 2. खेतिहर मजदूर
কৃষি বিপণন,कृषि विपणन
কৃষি প্রযুক্তি,कृषि प्रद्योगिकी
1. কৃষি 2. চাষাবাদ 3. কৃষি বিজ্ঞান,1. कृषि 2. खेतीबारी 3. कृषि विज्ञान
কৃষি বনায়ন,कृषि वनवर्धन
কৃষি জীববৈচিত্র্য,कृषि जैविक विविधता
কৃষি জৈব ত্রুটি,कृषि जैविक दोष
কৃষি জীববিজ্ঞান,कृषि जैविकी
কৃষি-জলবায়ু বৈচিত্র্য,कृषि जलवायुवीय विविधता
কৃষি জলবায়ু অঞ্চল সৃষ্টি,कृषिजलवायुवीय जोन निर्माण
কৃষি বনবিদ্যা,कृषिवानिकी
কৃষিবিদ্যা,सस्य मृदा विज्ञान
কৃষিবিজ্ঞান,सस्य विज्ञान
কৃষি যাজক,कृषि पशुचारणिक
ফসল প্রক্রিয়াকরণ,फसल प्रसंस्करण
ঘাস বিজ্ঞান,घास विज्ञान
ফসলের ধরন,सस्य प्ररूप
এপিফাইট,अधिपादप
aikiochi মাটি,ऐकिओची मृदा
বর্ণান্ধতা,वर्णकहीनता
আলফিসল,एल्फिसॉल
শৈবাল,शैवाल
শেওলা রোগ,शैवाल रोग
ক্ষার জল,क्षार जल
ক্ষারীয়,क्षारीय
বিকল্প,विकल्पी
অ্যালেলো রসায়ন,एलीलो रसायन
অ্যালিল,युग्मविकल्पी
অ্যালিলোপ্যাথি,एलीलोपैथी
ভেথি ফসল,वीथी सस्यन
পরিপূর্ণতা,परनिषेक-फलता
নিষিক্তকরণ,परनिषेचन
1. আপেক্ষিকতা 2. অ্যালোমেট্রি,1. सापेक्षमिति 2. ऐलोमैट्री
multiploidy,परबहुगुणित
1. প্যারাজিগোসিটি,1. परयुग्मन 2. अपायुग्लन
1. বিকল্প বছরের ফাংশন 2. বিকল্প ফাংশন,1. एकातंर वर्ष फलन 2. एकांतरित फलन
বিকল্প ভূমি ব্যবহার,वैकल्पिक भूमि उपयोग
পরিবেশ,परिवेश
সংস্কারক,सुधारक
মাইটোসিস,असूत्रीविभाजन
আমীনান,ऐमीनन
ammonion,अमोनियन
amniferous,अमोनीकारक
1. অকার্যকর রূপ 2. অরূপী,1.अप्रभावी रूप  2.अरूपी
উভচর মিশ্রণ,उभय मिश्रण
amphoteric,उभयधर्मी
মজুদ,उपचय
1. অ্যানেরোবিক 2. অ্যানেরোবিক জীব,1. अवायुजीव 2. अनाक्सी जीव
হ্যাপ্লয়েড,असुगुणित
কৌণিক রোপণ,कोणीय रोपण
পশুপালন,पशुपालन
প্রাণীর মলমূত্র,पशु उच्छिष्ट
জীবন্ত শক্তি,सजीव ऊर्जा
অস্বাভাবিক,असमगुणित
এক বছর বয়সী উদ্ভিদ,एकवर्षीय पादप
বার্ষিক,वार्षिक
1. পরমানন্দ 2. উচ্ছ্বাস,1. परागोद्भव 2. प्रफुल्लन
অ্যানথ্রাক্স,ऐन्थ्रेक्स
নৃতাত্ত্বিক কারণ,मानवजनिक कारक
বেঁচে থাকা,प्रतिजीविता
1. অ্যান্টিবায়োটিক 2. অ্যান্টিবায়োটিক,1.प्रतिजैविक2.  ऐन्टीबायोटिक
বিকর্ষণকারী,प्रतिकारक
অ্যান্টিঅক্সিডেন্ট,प्रतिऑक्सीकारक
অ্যান্টিটক্সিন,प्रतिआविष
অনামিকা আঙুল,वलयिका
1. এফিড 2. মাহু 3. চেপা,1. ऐफिड 2. माहू 3. चेपा
শীর্ষ কুঁড়ি,शीर्ष कलिका
সর্বোচ্চ কার্যকারিতা,शिखाग्र प्रभाविता
মৌমাছি পালন,मधुमक्खी पालन
অযৌনতা,असंगजनन
apoptosis,एपोप्टोसिस
পরিশিষ্ট,उपांग
ক্ষুধার্ত,क्षुधावर्धक
প্রয়োগ করা,अनुप्रयुक्त
জলজ আগাছা,जलीय खरपतवार
1. গাছ 2. গাছের বাসিন্দা,1. वृक्षीय 2. वृक्षवासी
শাখা,शाखायन
প্রোটোবোটানিকাল রেকর্ড,आद्य वानस्पतिक अभिलेख
জোন নম্বর,क्षेत्रांकड़
1. এলাকা 2. এলাকা,1. क्षेत्र 2. क्षेत्रफल
শুষ্ক বাস্তুতন্ত্র,शुष्क पारितंत्र
cotyledon,बीजचोल
সৌরভ,सौरभ
সুগন্ধি উদ্ভিদ,सुगंधी पादप
সুগন্ধি চাল,सुगंधित चावल
ইক্ষু পুষ্পন,इक्षु पुष्पन
অ্যাসেপটিক,अपूति
1. অ্যাসেপটিক 2. অ্যাসেপটিক,1.अपूतित 2. अजर्म
অস্ত্রোপচার,अलैंगिक प्रवर्धन
আকার,आमाप
সম্পদ,परिसंपत्ति
1. আত্তীকরণ 2. আত্তীকরণ,1. स्वांगीकरण 2. आत्मसात्करण
1. সমিতি 2. সমিতি,1. साहचर्य 2. संघ
1. কলাম 2. কৃপণতা,1. स्तंभक 2. कषाय
হেটেরোজাইগোসিটি,असूत्रयुग्मन
1. পূর্বপুরুষ 2. অ্যাটাভিজম,1. पूर्वजता 2. ऐटाविज्म
কণা,कणित्र
1. অনিশ্চয়তা 2. দুর্বলতা,1.अपुष्टि 2. क्षीणता
স্ব জোড়া,स्वयुग्मन
অটোলাইসিস,स्वलयन
1. স্বতঃস্ফূর্ত জারণ 2. স্বতঃস্ফূর্ত জারণ,1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन
স্বয়ং মাল্টিপ্লেক্সড,स्वबहुगुणित
অক্সিন,ऑक्सिन
1. কাঁপানো 2. টোড,1. शूक 2. तूड़
পেনাল ভাইরাস,दंड विषाणु
1. ব্যাসিলাস 2. ব্যাসিলাস,1. दंडाणु 2. बैसिलस
1. ব্যাকটেরিয়া 2. ব্যাকটেরিয়া,1. जीवाणु 2. बैक्टीरिया
ব্যাকটেরিয়াল টক্সিন,जीवाणु आविष
ব্যাগাস,खोई
ব্যালেন্স শীট,तुलन-पत्र
সুষম সার ব্যবহার,संतुलित उर्वरक उपयोग
বার গ্রাফ,दंड आरेख
বাকল,छाल
1. ব্যারোমিটার 2. ব্যারোমিটার,1. वायुदाबमापी 2. बैरोमीटर
1. গুঞ্জন 2. অদৃশ্য 3. অনুর্বর,1. बजर 2. अकृष्य 3. बांझ
1. বেস 2. বেস 3. কাপং,1. आधार 2. बेस 3. कपांग
1. টালা 2. বেসিন,1.थाला 2. द्रोणी
তালাবিসারি,तलाभिसारी
1. বেসিস্টেরনাম 2. রুট ধারক,1. बेसिस्टर्नम 2. मूलाधारक
উপসাগরীয় বর্ষা,खाड़ी मानसून
ফলের উদ্ভিদ,फलदायी पौधा
বিছানা,क्यारी
বিছানা উদ্ভিদ,क्यारी - पौधा
বিছানাপত্র,क्यारी बनाना
বীট গুড়,चुकंदर शीरा
বেল,धौंकनी
1. স্ট্রিপ 2. ভূখণ্ড,1. पट्टी 2. इलाका
লাভ-খরচ বিশ্লেষণ,लाभ-लागत विश्लेषण
উচ্চাকাঙ্ক্ষী (স্যাম্পলিং),अभिनत (प्रतिचयन)
দ্বিবার্ষিক গাছপালা,द्विवर्षीय पादप
দ্বিপদ,द्विपद
বায়োফ্যাক্টর,जैवकारक
জৈবিক জলবায়ু,जीव जलवायु
জৈব শক্তি,जैव ऊर्जा
প্রাণীজগতের বাস্তুসংস্থান,जीव पारिस्थितिकी
1. বায়ো-প্রসেসর 2. বায়ো-চুল্লি,1. जैव-प्रक्रियापात्र 2. बायो रिएक्टर
জীবজগৎ,जीव-मंडल
জৈবিক,जीवीय
প্রাণীজগত,जीव प्ररूप
ডিভিলিঙ্গি,दविलिंगी
ধওলান,धवलन
1. প্রধবাসন (রোগ) 2. দমকা রোগ,1.  प्रध्वसं (रोग) 2.  झोंका रोग
মিশ্রন,संमिश्रण
1. আংমারী (রোগ) 2. ব্লাইট (রোগ),1. अंगमारी (रोग) 2.  ब्लाइट (रोग)
1. ফোস্কা 2. ফোস্কা 3. বিস্ফোরণ 4. ফোস্কা,1. छाला 2. फफोला 3. उद्वर्त 4. ब्लिस्टर
নীল বিপ্লব,नीली क्रांति
প্ল্যানার হিটিং চেম্বার,तलीय ताप चैंबर
প্ল্যানার হিটিং প্রযুক্তি,तलीय ताप तकनीक
তুষ,चोकर
শাখা,शाखन
1. ডালপালা 2. উপশাখা,1. टहनी 2. उपशाखा
বংশবৃদ্ধি,नस्ल
প্রজনন,प्रजनन
প্রাথমিক অঙ্কুর চিকিত্সা,शीघ्र अंकुरण उपचार
1. বাচ্চা 2. ডিম 3. ভ্রূণ,1. शाव 2. अंड 3. भ्रूण
উদীয়মান,कलिकायन
বাজেট,बजट
1.অ্যাম্ফোটেরিক 2. বাফার,1.उभयप्रतिरोधी 2. बफर
মিষ্টি আলু,शल्ककंद
বান্ট (রোগ),बंट (रोग)
1. উপজাত 2. উপজাত,1. उपजात 2. उपोत्पाद
c আর্দ্রতা স্পেসিফিকেশন বক্ররেখা,c नमी विशिष्टता वक्र
তেল পিষ্টক,खली
1. চুন 2. ক্যালসিয়াম,1. चूनेदार 2.कैल्सियमी
ক্যালসিয়ন,कैल्सीयन
ফসফেট অপসারণ,फॉस्फेट का निस्तापन
1. কিনাটা 2. কালটা,1. किणता 2. कैलसता
1.ক্যালাস 2. রশ্মি,1.कैलस 2. किण
1. সেপালস 2. ক্যালিক্স,1. बाह्यदल पुंज 2.कैलिक्स
বহির্মুখী শেষ,वाह्यदल अंत
এধা,एधा
ক্যানকার (ব্যাকটেরিয়াজনিত রোগ),कैंकर (जीवाणु रोग)
ক্যানিং,डिब्बाबंदी
আকাশ,वितान
অর্থায়ন,पूंजी
পরাগায়ন (ডুমুরের),परागण (अंजीर का)
1. ক্যাপসুল 2. ক্যাপসুল 3. ক্যাপসুল,1. संपुट 2. संपुटिका 3. कैप्सूल
কার্বনাইজড,कार्बोनीकृत
কার্বনান,कार्बनन
ক্যারাপেস,अंडप
ব্রেসলেট,मणिबंध
1. ঢালাই (লোহা) 2. ক্ষিপ্তি (পোকা),1. ढलाई (लोहे की) 2. क्षिप्ति (कीट)
catabolism,अपचय
প্ররোচনা,उत्प्रेरण
1. শুঁয়োপোকা 2. শুঁয়োপোকা,1. इल्ली 2. सूंडी
গ d. এন. ক সংগ্রহ,सी ड़ी. एन. ए. संग्रह
পরিসীমা,सीमा
1. কোষ 2. কোষ,1. कोशिका 2. कोष्ठिका
কেন্দ্রীয় ফ্রন্ট সিস্টেম,केंद्रीय अग्रग प्रणाली
1. পয়েন্ট 2. ফোকাস,1. सबिंदु 2. सकेंद्र
কেন্দ্রীকরণ,अपकेंद्रण
সেন্ট্রিফিউজ,अपकेंद्रक
তারকা কেন্দ্র,तारककेंद्र
এপিজেনেটিক,केंद्रजनिक
কেন্দ্রজা,केंद्रजा
তাঁত,लूम
1. সিরিয়াল 2. সিরিয়াল,1. धान्य 2. सीरियल
1. সার্টিফিকেশন 2. সার্টিফিকেশন,1. प्रमाणीकरण 2. प्रमाणन
প্রত্যয়িত বীজ,प्रमाणित बीज
1. খড় 2. কুট্টি 3. শলক সহপাত্র,1. भूसा 2. कुट्टी 3. शल्क सहपत्र
1. নিভাগ 2. কৈলাজা,1. निभाग 2. कैलाजा
কাইমোগ্রাফি,रसानुवर्तन
1. কিয়াজমা 2. ব্যস্ত,1. किआज्मा 2. व्यत्यस्त
সুপার কুলিং ঘন্টা,अतिशीतन घंटे
তুষারপাত ক্ষতি,शीतज क्षति
1. ভিচিরোটাকি 2. কাইমেরা,1.  विचित्रोतकी 2. काइमेरा
সবুজ porridge,हरित दली
1. পাতা 2. সবুজ,1. पर्णहरित 2. हरितक
