Kannada,Tamil
ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ,கைவிடப்பட்ட உறுப்பு
ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ,நிறுத்தப்பட்ட விதை
ಗರ್ಭಪಾತ,கருக்கலைப்பு
ಸಂಪೂರ್ಣ ಕಳೆ,முழுமையான களை
ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್,உறிஞ்சப்பட்ட கேஷன்
ಹೀರುವಿಕೆ,உறிஞ்சுதல்
ಪ್ರಪಾತದ ಸಾಸಿವೆ,அபிசீனிய கடுகு
ಉಜ್ಜೆ,அகரைடு
ಉಪನಾಮದ,உச்சரிப்பு
ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ),உச்சநிலை (செல்)
ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ,ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை
ಪರಿಕರ,துணை
ಒಗ್ಗೂಡಿಸುವಿಕೆ,பழக்கவழக்கமயமாக்கல்
ಸಂಗ್ರಹಣೆ,குவிப்பு
ನಿಖರತೆ,துல்லியம்
ಕಸಚೂಕು,அசெருலஸ்
ಸಮಗ್ರೀಕರಣ,அசிடிபிகேஷன்
ಆಮ್ಲೀಕರಣ,அமிலமயமாக்கல்
ಆಚಿಮೀಟರ್ ಚೀಟಿ,அமிலமீட்டர்
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,அமிலத்தன்மை
ಸಿಹಿನೀರಿನ,அமிலத்தன்மை கொண்ட
ಆಮ್ಲೀಯ,அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்
ಸಂಚೇಮದ,அமிலத்தன்மை
ಜಲಚರಗಳು,நீர்வாழ்
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,கையகப்படுத்தல்
ಎಕರೆ,ஏக்கர்
ಎಕರೆ,ஏக்கர் தூரம்
ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು,அக்ரோசென்ட்ரிக் குரோமோசோம்
ಖುಷಿಯ,அக்ரோபெட்டல்
ಸುಣ್ಣ,சக்ரோசோம்
ಅಂಧ,ஆக்டினோமைசீட்கள்
ಸಕ್ರಿಯ ಮೂಲ ವಲಯ,செயலில் ரூட் மண்டலம்
ತೀವ್ರ,கடுமையான
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,தகவமைப்பு
ರೂಪಾಂತರ,தழுவல்
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,ஒட்டுதல்
ಅಡಿ,கொழுப்பு
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,சரிசெய்தல் சமன்பாடு
ಮಣ್ಣು,அடோப் மண்
ವ್ಯಭಿಚಾರಮಾಡುವ,கலப்படம்
ಸಾಹಸದ,சாகச
ಅಕ್ಸಿಯೊಸ್ಪೋರ್,Aecidiospore
ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ,ஏலியன் செயல்முறை
ಅಯೋಲಿಯನ್,ஏயோலியன்
