Tamil,Punjabi
கருக்கலைப்பு,ਅਧੂਰਾ ਛੱਡਣਾ
டைமரை நிறுத்துங்கள்,ਅਧੂਰਾ ਛੱਡੋ
முழுமையான முகவரி,निरपेक्ष an s
முழுமையான முகவரி,ਪੂਰਨ ਪਤਾ
முழுமையான அசெம்பிளர்,ਸੰਪੂਰਨ ਸੰਜਮ
முழுமையான குறியீடு,ਸੰਪੂਰਨ ਕੋਡ
முழுமையான குறியீட்டு முறை,ਸੰਪੂਰਨ ਕੋਡਿੰਗ
முழுமையான கட்டளை,ਸੰਪੂਰਨ ਕਮਾਂਡ
முழுமையான ஒருங்கிணைப்பு,ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ
முழுமையான தரவு,ਸੰਪੂਰਨ ਡੇਟਾ
முழுமையான பிழை,ਪੂਰੀ ਗਲਤੀ
முழுமையான வெளிப்பாடு,ਪੂਰਨ ਸਮੀਕਰਨ
முழுமையான அறிவுறுத்தல்,ਪੂਰਨ ਹਦਾਇਤ
முழுமையான ஏற்றி,ਸੰਪੂਰਨ ਲੋਡਰ
முழுமையான வரிசை,ਸੰਪੂਰਨ ਕ੍ਰਮ
முழுமையான நிரலாக்க,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
முழுமையான சொல்,ਸੰਪੂਰਨ ਅਵਧੀ
துல்லியமான மதிப்பு,ਸਹੀ ਮੁੱਲ
முழுமையான திசையன்,ਸੰਪੂਰਨ ਵੈਕਟਰ
சுருக்கம்,ਸਾਰ
சுருக்கம்,ਐਬਸਟ੍ਰੈਕਟਿੰਗ
சுருக்க சின்னம்,ਸੰਖੇਪ ਪ੍ਰਤੀਕ
முடுக்கம் காலம்,ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ
முடுக்கம் நேரம்,ਪ੍ਰਵੇਗ ਟਾਈਮ
உச்சரிப்பு,ਲਹਿਜ਼ਾ
ஏற்பு சோதனை,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
அணுகல்,ਪਹੁੰਚ
அணுகல் கை,ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ
அணுகல் ஏற்பாடு,ਐਕਸੈਸ ਪ੍ਰਬੰਧ
அணுகல் அதிகாரம்,ਪਹੁੰਚ ਅਥਾਰਟੀ
அணுகல் கட்டணம்,ਐਕਸੈਸ ਚਾਰਜ
அணுகல் வகுப்பு,ਐਕਸੈਸ ਕਲਾਸ
தரவு அடிப்படை நிர்வாகத்தை அணுகவும்,ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ
அணுகல் சூழல்,ਐਕਸੈਸ ਵਾਤਾਵਰਣ
அணுகல் இடைவெளி,ਐਕਸੈਸ ਪਾੜਾ
அணுகல் அட்டவணை,ਐਕਸੈਸ ਇੰਡੈਕਸ
அணுகல் வரி,ਐਕਸੈਸ ਲਾਈਨ
அணுகல் பொறிமுறை,ਐਕਸੈਸ ਵਿਧੀ
அணுகல் முறை,ਐਕਸੈਸ ਵਿਧੀ
அணுகல் முறை வழக்கமான,ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ
அணுகல் பயன்முறை,ਐਕਸੈਸ ਮੋਡ
அணுகல் உரிமை,ਸਹੀ ਪਹੁੰਚ
அணுகல் ஸ்கேன்,ਐਕਸੈਸ ਸਕੈਨ
அணுகல் நேரம்,ਐਕਸੈਸ ਟਾਈਮ
கணக்கியல்,ਲੇਖਾ
கணக்கியல் நிதி அமைப்பு,ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ
கணக்கியல் இயந்திரம்,ਲੇਖਾ ਮਸ਼ੀਨ
கணக்கு எண்,ਅਕਾਊਂਟ ਨੰਬਰ
திரட்டுதல் இனப்பெருக்கம்,ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ
குவிப்பான்,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ
குவிப்பான் பதிவு,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ
திரட்டல் ஷிப்ட் வழிமுறை,ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ
துல்லியம்,ਸ਼ੁੱਧਤਾ
துல்லியம் கட்டுப்பாட்டு தன்மை,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ
துல்லியம் கட்டுப்பாட்டு அமைப்பு,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ
ஏஸ் பைலட்,ਏਸ ਪਾਇਲਟ
தன்மையை ஒப்புக் கொள்ளுங்கள்,ਅੱਖਰ ਮੰਨੋ
ஒலி கப்ளர்,ਧੁਨੀ ਕਥਾ
ஒலி இணைப்பு,ਧੁਨੀ
ஒலி தாமத வரி,ਧੁਨੀ ਦੇਰੀ ਨਾਲ
ஒலி நினைவகம்,ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ
ஒலி மோடம்,ਧੁਨੀ ਮਾਡਮ
ஒலி சமிக்ஞை,ਧੁਨੀ ਸੰਕੇਤ
ஒலி சேமிப்பு,ਧੁਨੀ ਸਟੋਰੇਜ
சுருக்கம்,ਐਕਰੋਨਾਈਮ
செயல்,ਕਾਰਵਾਈ
செயல் சுழற்சி,ਐਕਸ਼ਨ ਚੱਕਰ
செயல் வரி,ਐਕਸ਼ਨ ਲਾਈਨ
செயல் செய்தி,ਐਕਸ਼ਨ ਸੰਦੇਸ਼
செயல் விவரக்குறிப்பு,ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ
செயல்படுத்தல்,ਸਰਗਰਮੀ
செயலில்,ਕਿਰਿਆਸ਼ੀਲ
செயலில் உள்ள கோப்பு,ਐਕਟਿਵ ਫਾਈਲ
செயலில் வரி,ਐਕਟਿਵ ਲਾਈਨ
செயலில் இணைப்பு,ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ
செயலில் உள்ள முதன்மை கோப்பு,ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ
செயலில் உள்ள முதன்மை உருப்படி,ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ
செயலில் உள்ள செயற்கைக்கோள்,ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ
செயலில் நிலையம்,ਐਕਟਿਵ ਸਟੇਸ਼ਨ
செயலில் சேமிப்பு,ਐਕਟਿਵ ਸਟੋਰੇਜ
செயல்பாடு,ਸਰਗਰਮੀ
செயல்பாட்டு நிலை,ਸਰਗਰਮੀ ਪੱਧਰ
செயல்பாடு ஏற்றுதல்,ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ
செயல்பாட்டு விகிதம்,ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ
உண்மையான முகவரி (= முழுமையான முகவரி),ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ)
உண்மையான குறியீடு (= முழுமையான குறியீடு),ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ)
உண்மையான தரவு பரிமாற்ற வீதம்,ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ
உண்மையான தசம புள்ளி,ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ
உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்),ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ)
உண்மையான விசை,ਅਸਲ ਕੁੰਜੀ
உண்மையான நேரம்,ਅਸਲ ਸਮਾਂ
உண்மையான வேலை நேரம்,ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ
செயல்பாட்டு சமிக்ஞை,ਅਦਾਕਾਰੀ ਸੰਕੇਤ
தகவமைப்பு,ਅਨੁਕੂਲਤਾ
பின்னல்,ਅਡੈਪਟਰ
தகவமைப்பு சேனல் ஒதுக்கீடு,ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ
தகவமைப்பு ஒருங்கிணைப்பு,ਅਨੁਕੂਲ ਏਕੀਕਰਣ
தகவமைப்பு குறுக்குவெட்டு சமநிலை,ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ
நுழைவு சேர்க்கப்பட்டது,ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ
கூடுதல்,ਐਡੇਂਡ
அடி,ਐਡਰਰ
சேர்க்கை துணைப்பிரிவு,ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ
கோப்பைச் சேர்க்கவும்,ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ
கூடுதல் எழுத்து (= சிறப்பு எழுத்து),ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ)
கூடுதலாக ரெக்கார்டர்,ਜੋੜ ਰਿਕਾਰਡਰ
கூடுதலாக அட்டவணை,ਜੋੜ ਸਾਰਣੀ
சேர்க்கை பண்புக்கூறு,ਜੋੜ
