Gujarati,Punjabi
એસિડોઇડ,ਐਸਿਡੌਇਡ
એઓલિયન માટી,ਏਓਲੀਅਨ ਮਿੱਟੀ
એકંદર,ਕੁੱਲ
એકત્રીકરણ,ਐਗਰੀਗੇਸ਼ਨ
કૃષિશાસ્ત્ર,ਖੇਤੀ ਵਿਗਿਆਨ
કૃષિવિજ્ઞાન,ਖੇਤੀ ਵਿਗਿਆਨ
A-ક્ષિતિજ,ਏ-ਹੋਰੀਜ਼ਨ
Ao-ક્ષિતિજ,ਆਉ-ਦਿਮਾਗ
Aoo-ક્ષિતિજ,ਆਉ—ਅੰਦਾਜ਼
માટીની હવા ક્ષમતા,ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ
જમીનની હવાની સામગ્રી,ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ
એર પિકનોમીટર,ਏਅਰ ਪਿਕਨੋਮੀਟਰ
એલિટિક માટી,ਐਲੀਟਿਕ ਮਿੱਟੀ
કાંપવાળી માટી,ਐਲਵੀਅਲ ਮਿੱਟੀ
એમ્ફોલિટોઇડ,ਐਮਫੋਲੀਟੋਇਡ
આયન,ਐਨੀਅਨ
"દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;","ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;"
એરિસ,ਅਰਿਸ
Ashlar દંડ ચણતર,ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ
Ashlar ચણતર,ਐਸ਼ਲਰ ਚਿਣਾਈ
એઝોનલ માટી,ਅਜੋਨਲ ਮਿੱਟੀ
પાછળનો અભિનેતા,ਪਿਛਲਾ ਅਦਾਕਾਰ
પાછળની કમાન,ਪਿਛਲਾ arch
બેક બેન્ડ,ਬੈਕ ਬੈਂਡ
પાછળ બ્રશ,ਪਿੱਛੇ ਬੁਰਸ਼
બેક ચેક,ਵਾਪਸ ਜਾਂਚ
બેક કાઉન્ટર,ਪਿੱਛੇ ਕਾਊਂਟਰ
પાછળ કટીંગ,ਵਾਪਸ ਕੱਟਣਾ
બેક ડ્રાફ્ટ ડેમ્પર,ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ
બેક ડ્રેઇન,ਬੈਕ ਡਰੇਨ
બેક ડ્રોપ,ਬੈਕ ਡਰਾਪ
પાછળ ભરો,ਵਾਪਸ ਭਰੋ
બેક ફીલેટ,ਬੈਕ ਫਿਲਲੇਟ
બેક ફ્લૅપ મિજાગરું,ਬੈਕ ਫਲੈਪ ਹਿੰਗ
બેક ફ્લો કનેક્શન,ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ
બેક ફ્લો નિવારક,ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ
બેક ગેજ,ਬੈਕ ਗੇਜ
પાછળ ગટર,ਪਿਛਲਾ ਗਟਰ
બેક હર્થ,ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ
બેકિંગ,ਬੈਕਿੰਗ
બેકિંગ બોર્ડ,ਬੈਕਿੰਗ ਬੋਰਡ
પાછળ ધકેલાતું દબાણ,ਪਿੱਠ ਦਾ ਦਬਾਅ
બેક પ્રોપ,ਬੈਕ ਪ੍ਰੋਪ
પાછળની દૃષ્ટિ,ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ
પાછું પાણી,ਵਾਪਸ ਪਾਣੀ
બેફલ,ਘਬਰਾਹਟ
બેગવર્ક,ਬੈਗਵਰਕ
બેલાસ્ટ,ਬੈਲਸਟ
બોલ માટી,ਬਾਲ ਮਿੱਟੀ
બોલ શંકુ ક્લેમ્બ,ਬਾਲ ਕੋਨ ਕਲੈਂਪ
કાંટાળો તાર,ਕੰਡਿਆਲੀ ਤਾਰ
બાર કૂતરો,ਬਾਰ ਕੁੱਤਾ
બાર્જ બોર્ડ,ਬਾਰਜ ਬੋਰਡ
બેરિયમ સલ્ફેટ ટેસ્ટ,ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ
બેરેજ,ਬੈਰਾਜ
બેરેટ,ਬੈਰੇਟ
પાયો,ਅਧਾਰ
આધાર વિનિમય,ਬੇਸ ਐਕਸਚੇਂਜ
બેઝ લાઇન,ਬੇਸ ਲਾਈਨ
ભોંયરું,ਬੇਸਮੈਂਟ
ભોંયરું દિવાલ,ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ
બેઝ પ્લેટ,ਬੇਸ ਪਲੇਟ
"બેઝ પ્લેટ, એડજસ્ટેબલ","ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ"
આધાર સંતૃપ્તિ,ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ
બેસોઇડ,ਬੇਸੌਇਡ
બેટ,ਬੱਲਾ
સ્નાન અને WC,ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ
સખત મારપીટ,ਬੈਟਰ ਪੈਗ
સખત મારપીટ પિયર,ਬੈਟਰ ਪੀਅਰ
સખત મારપીટનો નિયમ,ਬੈਟਰ ਨਿਯਮ
બૉલ્ક (બાલ્ક),ਬਾਲਕ (ਬਾਲਕ)
ખાડી,ਬੇ
ધારક,ਧਾਰਕ
બેરિંગ ક્ષમતા,ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ
બેરિંગ ખૂંટો,ਬੇਅਰਿੰਗ ਪਾਇਲ
બેરિંગ સ્ટ્રેટમ,ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ
પથારી,ਬਿਸਤਰਾ
પથારીનું વિમાન,ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼
બેડ સંયુક્ત,ਬਿਸਤਰਾ ਜੋੜ
બેડ રોક,ਬੈੱਡ ਰੌਕ
બેડ રૂમ,ਬੈੱਡ ਰੂਮ
મીણ,ਮੋਮ
બેલ બોક્સ,ਘੰਟੀ ਬਾਕਸ
બેલિંગ ડોલ,ਘੰਟੀ ਵਾਲੀ ਬਾਲਟੀ
બેલોફ્રેમ,ਬੇਲੋਫ੍ਰਾਮ
બેન્ચ્ડ ફાઉન્ડેશન,ਬੈਂਚਡ ਫਾਊਂਡੇਸ਼ਨ
બેન્ચિંગ,ਬੈਂਚਿੰਗ
બેન્ચ માર્ક,ਬੇਂਚਮਾਰਕ
લાભ ખર્ચ વિશ્લેષણ,ਲਾਭ ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
બેર્મ,ਬਰਮ
બેવેલ્ડ બંધ,Bevelled ਬੰਦ
"B-ક્ષિતિજ,&quot;B-","ਬੀ-ਹੋਰੀਜ਼ਨ,&quot;ਬੀ-"
બાયટ,ਬਾਇਟ
બાઈન્ડર,ਬਿੰਦਰ
બંધનકર્તા સામગ્રી,ਬਾਈਡਿੰਗ ਸਮੱਗਰੀ
બાયોટનો સિદ્ધાંત,ਬਾਇਓਟ ਦਾ ਸਿਧਾਂਤ
બીટુમેન,ਬਿਟੂਮਨ
કાળી કપાસની માટી,ਕਾਲੀ ਕਪਾਹ ਦੀ ਮਿੱਟੀ
કાળી પૃથ્વી,ਕਾਲੀ ਧਰਤੀ
કાળી જડિયાંવાળી જમીન,ਕਾਲੀ ਮੈਦਾਨ ਵਾਲੀ ਮਿੱਟੀ
બ્લેડ,ਬਲੇਡ
બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ,ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ ਸੀਮਿੰਟ
બ્લોકી માળખું,ਬਲਾਕੀ ਬਣਤਰ
બોગી પ્રતિકાર,ਬੋਗੀ ਪ੍ਰਤੀਰੋਧ
બોગ-આયર્ન ઓર,ਬੋਗ-ਲੋਹੇ ਦਾ ਧਾਤ
બોન્ડ,ਬਾਂਡ
બંધાયેલા સભ્ય,ਬੰਧੂਆ ਮੈਂਬਰ
બોન્ડેડ પોસ્ટ ટેન્શનિંગ,ਬੰਧੂਆ ਪੋਸਟ ਤਣਾਅ
બોન્ડ પથ્થર,ਬੰਧਨ ਪੱਥਰ
બંધાયેલ પાણી,ਬੰਨ੍ਹ ਪਾਣੀ
બોક્સ ગટર,ਬਾਕਸ ਗਟਰ
તાણવું,ਬ੍ਰੇਸ
ઈંટ પર ધાર,ਇੱਟ-ਤੇ-ਕਿਨਾਰੇ
બ્રિડલ,ਲਗਾਮ
તેજ,ਚਮਕ
બ્રાઉન માટી,ਭੂਰੀ ਮਿੱਟੀ
બિલ્ડીંગ,ਬਿਲਡਿੰਗ
બિલ્ડીંગ સર્વેયર,ਬਿਲਡਿੰਗ ਸਰਵੇਅਰ
બફર,ਬਫਰ
બફર વળાંક,ਬਫਰ ਕਰਵ
બફરિંગ,ਬਫਰਿੰਗ
બફરિંગ ક્ષમતા,ਬਫਰਿੰਗ ਸਮਰੱਥਾ
બંદર,ਬੰਦਰ
બટ્રેસ,ਬਟਰਸ
સી-ક્ષિતિજ,ਸੀ-ਹੋਰੀਜ਼ਨ
કેબલ,ਕੇਬਲ
કેબલ મોલ્ડિંગ,ਕੇਬਲ ਮੋਲਡਿੰਗ
કેબલિંગ,ਕੇਬਲਿੰਗ
કેબિન,ਕੈਬਿਨ
કેબિન હૂક,ਕੈਬਿਨ ਹੁੱਕ
કેબિનેટ,ਕੈਬਨਿਟ
કેબોલ્ટે છોડી દીધું,ਕੈਬੋਲਟ ਨੇ ਛੱਡ ਦਿੱਤਾ
કાફેટેરિયા,ਕੈਫੇਟੇਰੀਆ
કેજ,ਪਿੰਜਰਾ
પાંજરાનું બાંધકામ,ਪਿੰਜਰੇ ਦੀ ਉਸਾਰੀ
કાઈનનું સૂત્ર,ਕੈਨ ਦਾ ਫਾਰਮੂਲਾ
કેસોન,ਕੈਸਨ
કેસોન રોગ,ਕੈਸਨ ਦੀ ਬਿਮਾਰੀ
કેસોન ફાઉન્ડેશન,ਕੈਸਨ ਫਾਊਂਡੇਸ਼ਨ
Caisson ખૂંટો,ਕੈਸਨ ਢੇਰ
કેલ્કેરિયસ ઈંટ,ਕੈਲੇਰੀਅਸ ਇੱਟ
કેલ્કેરિયસ માટી,ਚੂਨੇ ਵਾਲੀ ਮਿੱਟੀ
કેલ્કેરિયસ પોપડો,ਛਾਲੇਦਾਰ ਛਾਲੇ
કેલ્સિફિકેશન,ਕੈਲਸੀਫਿਕੇਸ਼ਨ
કેલ્સિનેશન,ਕੈਲਸੀਨੇਸ਼ਨ
કેલ્સિન,ਕੈਲਸੀਨ
