Marathi,Malayalam
अ‍ॅबॅक्सियल पृष्ठभाग,നിബാക്സിയൽ ഉപരിതലം
ओटीपोट,അടിവയറ്
ओटीपोटात महाधमनी,വയറുവേദന അയോട്ടോ
ओटीपोटात गॅंग्लिया,വയറിലെ ഗാംഗ്ലിയ
एबेलमोशस एस्क्युल्टस,Abelmoschus എസ്സുലന്റസ്
विकृती,വെറുക്കല്
अबीज,അബി)
अबिंगडॉन कासव,അബിങ്ഡൺ ആമ
अ‍ॅबिओजेनेसिस,അബിയോജെനിസിസ്
अ‍ॅबिओटिक,അബിയോട്ടിക്
अ‍ॅबिओटिक फॅक्टर,അശുഭാപ്തി ഘടകം
असामान्य मूत्र,അസാധാരണമായ മൂത്രം
अबो ब्लड ग्रुप,അബോ രക്തം ഗ്രൂപ്പ്
अ‍ॅबसिसिक acid सिड,അബ്സിസിക് ആസിഡ്
फलंदाजी,നിര്വഹണം
शोषून घ्या,ഉള്ക്കൊള്ളുക
शोषण शिखर,ആഗിരണം കൊടുമുടി
शोषण,ആഗിരണം
बाभूळ कॅटेचू,അക്കേഷ്യ കാറ്റെച്ചു
अकारिया अरबीका,അക്കാര്യ അറബിക്ക
अकाप्रिन,അകാപ്രിൻ
स्वीकार्य लैंगिक वर्तन,സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം
Ory क्सेसरी ग्रंथी,ആക്സസറി ഗ്രന്ഥി
Ory क्सेसरी ग्रंथी,ആക്സസറി ഗ്രന്ഥി
Ory क्सेसरीसाठी अवयव,ആക്സസറി അവയവം
सहनशीलता,ACCLIMATIES
अनुकूलित करा,അക്ലിമിലൈസ്
निवास (लक्ष केंद्रित करणे),താമസം (ഫോക്കസിംഗ്)
डोळ्याची निवासस्थान,കണ്ണിന്റെ താമസം
संवर्धन वाढ,പ്രകടിപ്പിക്കുന്ന വളർച്ച
संचय,കൂന്വാരം
सेंद्रिय पदार्थाचे संचय,ജൈവവസ്തുക്കളുടെ ശേഖരണം
मातीचे संचय,മണ്ണിന്റെ ശേഖരണം
सेल्युलर,അസെലുലാർ
एसेल्युलर जीव,അസെല്ലുലാർ ജീവികൾ
एसीटाबुलम,Aecetabulum
एसीटाल्डिहाइड,അസെറ്റൽഡിഹൈഡ്
एसिटिल कोएन्झाइम,അസെറ്റി കൊവെൻസിഎംഇ
अकॅटिना,അച്ചാതിന
अचेने प्रकार,നെച്ചെൻ തരം
अचेने,അച്ചീൻ
अक्लमिडोस्पोरिया,ആൾമെംഡിഡോസ്പോര്പോറിയ
आम्ल वर्षा,അമ്ല മഴ
अम्लीय,അസിഡിറ്റി
अम्लीय वायू,അസിഡിറ്റിക് വാതകം
आंबटपणा,അസിഡിറ്റി
एसीनार सेल,അക്കിനാർ സെൽ
एकोलोमेट,അക്കോമോമോമറ്റ്
On कोनिटम,അക്കോണിറ്റം
अ‍ॅकॉर्न वर्म,ആക്രമണാത്മക പുഴു
ध्वनिक झोनिंग,അക്കോസ്റ്റിക് സോണിംഗ്
अधिग्रहित वर्ण,സ്വന്തമാക്കിയ പ്രതീകം
वसूल केलेली प्रतिकारशक्ती,പ്രതിരോധശേഷി നേടി
अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स),ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്)
एकरानिया,അങ്കാരിയ
Rid सिडिन डाई,അക്രിക്കൈൻ ഡൈ
अ‍ॅक्रोसेन्ट्रिक,അക്രോസെന്റ്
अ‍ॅक्रोमियन,അക്രോമീൻ
अ‍ॅक्रोपेटल सीक्वेन्स,അക്രോരേറ്റൽ സീക്വൻസ്
अ‍ॅक्रोपेटल ऑर्डर,അക്രോപോളൽ ഓർഡർ
अ‍ॅक्रोसिन,അക്രോസിൻ
अ‍ॅक्टिन,ആക്ടിൻ
अ‍ॅक्टिन-सारखी प्रथिने,ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ
अ‍ॅक्टिनोमॉर्फिक,ആക്ടിനോമോർഫിക്
अ‍ॅक्टिनोमाइसेट्स,ആക്റ്റിനോമൈസെറ്റുകൾ
कृती संभाव्यता,പ്രവർത്തന സാധ്യത
सक्रिय गाळ,സജീവമാക്കിയ സ്ലഡ്ജ്
सक्रिय गाळ फ्लॉक,സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്
सक्रियता ऊर्जा,സജീവമാക്കൽ .ർജ്ജം
सक्रिय शोषण,സജീവമായ ആഗിരണം
सक्रिय प्रतिकारशक्ती,സജീവ പ്രതിരോധശേഷി
सक्रिय रेडिएशन,സജീവ വികിരണം
सक्रिय साइट,സജീവ സൈറ്റ്
अ‍ॅक्टिव्हिन,ആധ്രിക്കുക
Umicate,അക്യുമിനേറ്റ്
अ‍ॅडम्सिया,ആദാംസിയ
अनुकूलता,പൊരുത്തപ്പെടലി
रुपांतर,പൊരുത്തപ്പെടുത്തൽ
हलकी व्यवस्थेशी जुळवून घेणे,ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ
पाण्याची कमतरता रुपांतर,ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ
अनुकूली वैशिष्ट्ये,അഡാപ്റ്റീവ് സവിശേഷതകൾ
अनुकूली प्रतिकारशक्ती,അഡാപ്റ്റീവ് പ്രതിരോധശേഷി
अनुकूली रेडिएशन,അഡാപ്റ്റീവ് വികിരണം
अनुकूली गुण,അഡാപ്റ്റീവ് സ്വഭാവം
अ‍ॅडॅक्सियल पृष्ठभाग,അഡാക്സിയൽ ഉപരിതലം
व्यसनाधीन डिसऑर्डर,ആസക്തി നിഴൽ
En डेनिन,ആദൈൈൻ
En डेनोकोर्टिकोट्रोपिन,Adenocortiopin
En डेनोहायपोफिसिस,ആദിനോഹൈപഫിസിസ്
En डेनोसिन डायफॉस्फेट,Adenosin diphosphate
En डेनोसिन डिमिनेस,Adenosine deaminase
