Kannada,Gujarati
ಆಸಿಡಾಯ್ಡ್,એસિડોઇડ
ಅಯೋಲಿಯನ್ ಮಣ್ಣು,એઓલિયન માટી
ಒಟ್ಟು,એકંદર
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,એકત્રીકરણ
ಕೃಷಿಶಾಸ್ತ್ರ,કૃષિશાસ્ત્ર
ಕೃಷಿಶಾಸ್ತ್ರ,કૃષિવિજ્ઞાન
ಎ-ಹಾರಿಜಾನ್,A-ક્ષિતિજ
Ao-ಹಾರಿಜಾನ್,Ao-ક્ષિતિજ
Aoo-ಹಾರಿಜಾನ್,Aoo-ક્ષિતિજ
ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ,માટીની હવા ક્ષમતા
ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ,જમીનની હવાની સામગ્રી
ಏರ್ ಪಿಕ್ನೋಮೀಟರ್,એર પિકનોમીટર
ಆಲಿಟಿಕ್ ಮಣ್ಣು,એલિટિક માટી
ಮೆಕ್ಕಲು ಮಣ್ಣು,કાંપવાળી માટી
ಆಂಫೋಲಿಟಾಯ್ಡ್,એમ્ફોલિટોઇડ
ಅಯಾನ್,આયન
"ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;","દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;"
ಅರ್ರಿಸ್,એરિસ
ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು,Ashlar દંડ ચણતર
ಆಶ್ಲರ್ ಕಲ್ಲು,Ashlar ચણતર
ಅಜೋನಲ್ ಮಣ್ಣು,એઝોનલ માટી
ಹಿಂದೆ ನಟ,પાછળનો અભિનેતા
ಹಿಂದಿನ ಕಮಾನು,પાછળની કમાન
ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್,બેક બેન્ડ
ಬ್ಯಾಕ್ ಬ್ರಷ್,પાછળ બ્રશ
ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ,બેક ચેક
ಹಿಂದಿನ ಕೌಂಟರ್,બેક કાઉન્ટર
ಬೆನ್ನು ಕತ್ತರಿಸುವುದು,પાછળ કટીંગ
ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್,બેક ડ્રાફ્ટ ડેમ્પર
ಬ್ಯಾಕ್ ಡ್ರೈನ್,બેક ડ્રેઇન
ಬ್ಯಾಕ್ ಡ್ರಾಪ್,બેક ડ્રોપ
ಹಿಂದೆ ಭರ್ತಿ,પાછળ ભરો
ಬ್ಯಾಕ್ ಫಿಲೆಟ್,બેક ફીલેટ
ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್,બેક ફ્લૅપ મિજાગરું
ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ,બેક ફ્લો કનેક્શન
ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ,બેક ફ્લો નિવારક
ಬ್ಯಾಕ್ ಗೇಜ್,બેક ગેજ
ಹಿಂಭಾಗದ ಗಟಾರ,પાછળ ગટર
ಹಿಂಬದಿ ಒಲೆ,બેક હર્થ
ಹಿಮ್ಮೇಳ,બેકિંગ
ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್,બેકિંગ બોર્ડ
ಬೆನ್ನಿನ ಒತ್ತಡ,પાછળ ધકેલાતું દબાણ
ಬ್ಯಾಕ್ ಪ್ರಾಪ್,બેક પ્રોપ
ಹಿಂದಿನ ದೃಷ್ಟಿ,પાછળની દૃષ્ટિ
ಹಿಂಬದಿ ನೀರು,પાછું પાણી
ಅಡ್ಡಿಪಡಿಸು,બેફલ
ಬ್ಯಾಗ್ವರ್ಕ್,બેગવર્ક
ನಿಲುಭಾರ,બેલાસ્ટ
ಬಾಲ್ ಕ್ಲೇ,બોલ માટી
ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್,બોલ શંકુ ક્લેમ્બ
ಮುಳ್ಳುತಂತಿ,કાંટાળો તાર
ಬಾರ್ ನಾಯಿ,બાર કૂતરો
ಬಾರ್ಜ್ ಬೋರ್ಡ್,બાર્જ બોર્ડ
ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ,બેરિયમ સલ્ફેટ ટેસ્ટ
ಬ್ಯಾರೇಜ್,બેરેજ
ಬ್ಯಾರೆಟ್,બેરેટ
ಬೇಸ್,પાયો
ಮೂಲ ವಿನಿಮಯ,આધાર વિનિમય
ಬೇಸ್ ಲೈನ್,બેઝ લાઇન
ನೆಲಮಾಳಿಗೆ,ભોંયરું
ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ,ભોંયરું દિવાલ
ಬೇಸ್ ಪ್ಲೇಟ್,બેઝ પ્લેટ
"ಬೇಸ್ ಪ್ಲೇಟ್, ಹೊಂದಾಣಿಕೆ","બેઝ પ્લેટ, એડજસ્ટેબલ"
ಮೂಲ ಶುದ್ಧತ್ವ,આધાર સંતૃપ્તિ
ಬಸಾಯಿಡ್,બેસોઇડ
ಬ್ಯಾಟ್,બેટ
ಬಾತ್ ಮತ್ತು WC,સ્નાન અને WC
ಬ್ಯಾಟರ್ ಪೆಗ್,સખત મારપીટ
ಬ್ಯಾಟರ್ ಪಿಯರ್,સખત મારપીટ પિયર
ಬ್ಯಾಟರ್ ನಿಯಮ,સખત મારપીટનો નિયમ
ಬಾಲ್ಕ್ (ಬಾಲ್ಕ್),બૉલ્ક (બાલ્ક)
ಕೊಲ್ಲಿ,ખાડી
ಬೇರರ್,ધારક
ತಾಳಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,બેરિંગ ક્ષમતા
ಬೇರಿಂಗ್ ಪೈಲ್,બેરિંગ ખૂંટો
ಬೇರಿಂಗ್ ಸ್ಟ್ರಾಟಮ್,બેરિંગ સ્ટ્રેટમ
ಹಾಸಿಗೆ,પથારી
ಹಾಸಿಗೆ ವಿಮಾನ,પથારીનું વિમાન
ಬೆಡ್ ಜಂಟಿ,બેડ સંયુક્ત
ಬೆಡ್ ರಾಕ್,બેડ રોક
ಮಲಗುವ ಕೋಣೆ,બેડ રૂમ
ಜೇನುಮೇಣ,મીણ
ಬೆಲ್ ಬಾಕ್ಸ್,બેલ બોક્સ
ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್,બેલિંગ ડોલ
ಬೆಲ್ಲೋಫ್ರಾಮ್,બેલોફ્રેમ
ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ,બેન્ચ્ડ ફાઉન્ડેશન
ಬೆಂಚಿಂಗ್,બેન્ચિંગ
ಮಾನದಂಡ,બેન્ચ માર્ક
