Odiya,Punjabi
ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
ଘୃଣ୍ୟତା |,ਵਿਗਾੜ
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,ਅਸਧਾਰਨ ਸੰਚਾਰ
"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ ,, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |","ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,ਪੂਰਨ ਨਮੀ
ସଂପୂର୍ଣ୍ଣ ଗତି,ਪੂਰਨ ਗਤੀ
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,ਪੂਰਨ ਨਿਰੀਖਣ
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,ਪੂਰਨ ਤਾਪਮਾਨ
ସଂପୂର୍ଣ୍ଣ ଶୂନ,ਪੂਰਨ ਜ਼ੀਰੋ
ଶୋଷଣ,ਸੋਖਣਾ
"ଶୋଷକ, ଶୋଷକ","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
ଅବଶୋଷଣ କ୍ଷମତା |,ਸਮਾਈ ਸਮਰੱਥਾ
ଅବସାଦ |,ਸਮਾਈ
ଶୋଷକ,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
ଶୋଷଣ,ਸਮਾਈ
ବହୁଗୁଣ ଅନୁପାତ |,ਗੁਣਾ ਅਨੁਪਾਤ
ତ୍ୱରାନ୍ୱିତ କର |,ਤੇਜ਼ ਕਰੋ
ଶୀଘ୍ର ଶୀଘ୍ର,ਜਲਦੀ
ତ୍ୱରଣ,ਪ੍ਰਵੇਗ
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
ତ୍ୱରକ,ਐਕਸਲੇਟਰ
ତ୍ୱରକ,ਐਕਸਲੇਟਰ
ଆକ୍ସିଲେରୋମିଟର,ਐਕਸਲੇਰੋਮੀਟਰ
ସମ୍ମାନ,prestresser
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
ଗ୍ରହଣକାରୀ,ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ
ଦାତା ଅଣୁ,ਦਾਨੀ ਅਣੂ
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ"
ଅଭିଗମ୍ୟତା,ਪਹੁੰਚਯੋਗਤਾ
"ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)"
ପ୍ରବେଶ ସମୟ,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
ପରିଦର୍ଶକ ତ୍ରୁଟି |,ਵਿਜ਼ਟਰ ਗਲਤੀ
ଆଡଜଷ୍ଟେସନ୍,ਵਿਵਸਥਾ
ସଂଗୃହିତ,ਇਕੱਠਾ ਕੀਤਾ
"ଜମା, ଜମା","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
ଜମାକାରୀ,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
ସଠିକତା,ਸ਼ੁੱਧਤਾ
ବାସ୍ତବତା,ਅਸਲੀਅਤ
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
ଆକ୍ରୋମାଟିକ୍ |,ਅਕ੍ਰੋਮੈਟਿਕ
