Punjabi,Tamil
ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ,ஏசி சமமான சுற்று
ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ,எண் மாற்றிக்கு ஒப்புமை
ਪੂਰਨ ਜ਼ੀਰੋ,முழுமையான பூஜ்ஜியம்
ਸਮਾਈ ਗੁਣਾਂਕ,உறிஞ்சுதல் குணகம்
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ,உறிஞ்சுதல் நிறமாலை
ਰੀਸੈਪਟਰ ਐਟਮ,ஏற்பி அணு
ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ,மாற்று மின்னோட்ட இணைப்பு
ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ,எலக்ட்ரான் அறுவடை
ਮੋਰੀ ਸਟੋਰੇਜ਼,துளை சேமிப்பு
ਸਰਗਰਮੀ ਊਰਜਾ,செயல்படுத்தும் ஆற்றல்
ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ,செயலில் பெருக்கி
ਸਰਗਰਮ diode ਸਰਕਟ,செயலில் உள்ள டையோடு சுற்று
ਸਰਗਰਮ ਫਿਲਟਰ,செயலில் வடிகட்டி
ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ,செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி
ਸਰਗਰਮ ਲੋਡ,செயலில் சுமை
ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ,செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி
ਸਰਗਰਮ ਖੇਤਰ,செயலில் உள்ள பகுதி
ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,தகவமைப்பு மின்னணுவியல்
ਜੋੜਨ ਵਾਲਾ,சேர்ப்பான்
ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ,சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு
ਪ੍ਰਵੇਸ਼,ஊடுருவல்
ਏਰੀਅਲ,ஏரியல்
pep ਬਾਰੰਬਾਰਤਾ,பெப் அதிர்வெண்
ੲੇ. ਸੀ,காற்றுச்சீரமைப்பி
ਅਲਾਈਨਮੈਂਟ,சீரமைப்பு
ਐਲਗੋਰਿਦਮ,அல்காரிதம்
ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ,அனைத்து பாஸ் வடிகட்டி
ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ,அலாய் சந்திப்பு
ਧਿਆਨ,தணிவு
ਬਦਲਵੇਂ ਮੌਜੂਦਾ,மாறுதிசை மின்னோட்டம்
ਅੰਬੀਨਟ ਤਾਪਮਾਨ,சுற்றுப்புற வெப்பநிலை
ਬਾਈਪੋਲਰ,இருமுனை
ਵਾਧਾ,பெருக்கம்
ਐਂਪਲੀਫਾਇਰ,பெருக்கி
ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ,பெருக்கி செயல்திறன்
ਮਾਪ,பரிமாணங்கள்
ਐਪਲੀਟਿਊਡ attenuation,வீச்சு குறைதல்
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ,அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ,வீச்சு பண்பேற்றம்
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ,வீச்சு மாடுலேட்டர்
ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ,angstrom அலகு
ਐਨਾਲਾਗ ਸਰਕਟ,அனலாக் சுற்று
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,அனலாக் கணினி
ਐਨਾਲਾਗ ਫਿਲਟਰ,அனலாக் வடிகட்டி
ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ,அனலாக் மல்டிமீட்டர்
ਐਨਾਲਾਗ ਸਵਿੱਚ,அனலாக் சுவிட்ச்
ਅਤੇ ਗੇਟ,மற்றும் வாயில்
ਕੋਣੀ ਬਾਰੰਬਾਰਤਾ,கோண அதிர்வெண்
"anion, anion","அயனி, அயனி"
ਐਨੀਲਿੰਗ ਤਾਪਮਾਨ,அனீலிங் வெப்பநிலை
ਐਨੋਡ,நேர்மின்முனை
ਐਨੋਡ ਐਂਪਲੀਫਾਇਰ,அனோட் பெருக்கி
anodyne,அனோடைன்
ਐਂਟੀਨਾ,ஆண்டெனா
ਐਂਟੀਨਾ ਕੰਪੋਨੈਂਟ,ஆண்டெனா கூறு
ਵਿਰੋਧੀ ਪ੍ਰਤੀਬਿੰਬ ਪਰਤ,எதிர்ப்பு பிரதிபலிப்பு பூச்சு
ਐਂਟੀਲੌਗਿਨ ਐਂਪਲੀਫਾਇਰ,ஆன்டிலோகின் பெருக்கி
antiresonant ਸਰਕਟ,எதிரொலி சுற்று
ਦੁਆਰਕ ਕਾਲ,துவாரகர் காலம்
ਵਰਚੁਅਲ ਪਾਵਰ,மெய்நிகர் சக்தி
ਤਾਰ ਕੁਨੈਕਸ਼ਨ,கம்பி இணைப்பு
ਲਗਭਗ ਵੋਲਟੇਜ ਲਾਭ,தோராயமான மின்னழுத்த ஆதாயம்
armstrong modulator,ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்
ਐਂਟੀਨਾ ਐਰੇ,ஆண்டெனா வரிசை
"ਆਕਾਰ ਅਨੁਪਾਤ, ਆਕਾਰ ਅਨੁਪਾਤ","அளவு விகிதம், தோற்ற விகிதம்"
ਫਲੋਟਿੰਗ ਸਰਕਟ (ਮੁਫ਼ਤ ਓਪਰੇਟਿੰਗ ਸਰਕਟ),மிதக்கும் சுற்று (இலவச இயக்க சுற்று)
ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,தானியங்கி மல்டிவிபிரேட்டர்
ਫਲੋਟਿੰਗ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,மிதக்கும் மல்டிவிபிரேட்டர்
ਅਸਮਿਤ ਜੰਕਸ਼ਨ,சமச்சீரற்ற சந்திப்பு
ਅਸਿੰਕ੍ਰੋਨਸ ਕੈਲਕੁਲੇਟਰ,ஒத்திசைவற்ற கால்குலேட்டர்
ਪ੍ਰਮਾਣੂ,அணுக்கரு
ਪਰਮਾਣੂ ਨੰਬਰ,அணு எண்
ਪਰਮਾਣੂ ਬਣਤਰ,அணு அமைப்பு
ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ,ஒலி பெருக்கி
ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ,ஒலி பெருக்கி
ਆਡੀਓ ਕੈਸੇਟ,ஆடியோ கேசட்
ਆਡੀਓ ਸਰਕਟ,ஒலி சுற்று
ਸੁਣਨਯੋਗ ਬਾਰੰਬਾਰਤਾ,கேட்கக்கூடிய அதிர்வெண்
ਆਟੋਮੈਟਿਕ ਵੋਲਟੇਜ ਕੰਟਰੋਲ,தானியங்கி மின்னழுத்த கட்டுப்பாடு
ਬਰਫ਼ਬਾਰੀ,பனிச்சரிவு
ਔਸਤ ਖੋਜੀ,சராசரி கண்டுபிடிப்பான்
ਧੁਰੀ ਮੋਡ,அச்சு முறை
ਧੁਰੀ ਅਨੁਪਾਤ,அச்சு விகிதம்
ਐਂਟੀਨਾ,ஆண்டெனா
ਵਾਪਸ ਇਲੈਕਟ੍ਰੋਮੋਟਿਵ ਫੋਰਸ,பின் மின்னோட்ட விசை
ਪਿਛਲਾ ਖੇਤਰ,பின் பகுதி
ਵਾਪਸ ਸਕੈਟਰ,மீண்டும் சிதறல்
ਪਿਛੋਕੜ ਚਾਰਜ,பின்னணி கட்டணம்
ਪਾਸੇ ਦਾ ਰੌਲਾ,பக்க சத்தம்
ਪਿਛਾਖੜੀ,பின்னடைவு
ਪਿਛਲਾ ਕਿਰਨ,பின்புற கதிர்வீச்சு
ਬੈਕਵਰਡ ਡਾਇਡ / ਬੈਕਵਰਡ ਡਾਇਡ,பின்னோக்கி டையோடு / பின்தங்கிய டையோடு
ਬੈਕਵਰਡ ਵੇਵ ਔਸਿਲੇਟਰ,பின்னோக்கி அலை ஆஸிலேட்டர்
"ਰੁਕਾਵਟ, ਰੁਕਾਵਟ","தடை, தடை"
ਰੁਕਾਵਟ,தடை
ਸੰਤੁਲਿਤ ਪੁਲ,சீரான பாலம்
ਸੰਤੁਲਿਤ ਮੋਡਿਊਲੇਟਰ,சமநிலை மாடுலேட்டர்
ਸੰਤੁਲਿਤ ਮੋਡਿਊਲੇਟਰ,சமநிலை மாடுலேட்டர்
ਸੰਤੁਲਿਤ ਸਰਕਟ,சமநிலை சுற்று
ਸੰਤੁਲਿਤ ਗਰੇਡੀਐਂਟ ਡਿਟੈਕਟਰ,சமச்சீர் சாய்வு கண்டறிதல்
ਮੌਜੂਦਾ ਸਟੈਬੀਲਾਈਜ਼ਰ ਪ੍ਰਤੀਰੋਧ,தற்போதைய நிலைப்படுத்தி எதிர்ப்பு
ਬੋਲੋਮੀਟਰ,போலோமீட்டர்
ਬੋਲੋਮੀਟਰ ਪੁਲ,போலோமீட்டர் பாலம்
ਗੁਬਾਰਾ,பலூன்
ਕੇਲਾ ਜੈਕ,வாழை பலா
ਕੇਲੇ ਦਾ ਪਲੱਗ,வாழை பிளக்
"ਪੱਟੀ, ਪੱਟੀ","பட்டை, கட்டு"
ਬੈਂਡ ਡਰਾਈਵਰ,இசைக்குழு இயக்கி
ਬੈਂਡ ਊਰਜਾ,இசைக்குழு ஆற்றல்
ਬੈਂਡ ਗੈਪ,பட்டை இடைவெளியை
ਬੈਡਪਾਰਕ ਐਂਪਲੀਫਾਇਰ,பேட்பார்க் பெருக்கி
ਬੈਂਡ ਪਾਸ ਫਿਲਟਰ,பேண்ட் பாஸ் வடிகட்டி
ਬੌਡ ਰੇਟ ਜਨਰੇਟਰ,பாட் ரேட் ஜெனரேட்டர்
banddispersion,பட்டை பரவல்
ਬੈਂਡ ਰੋਧਕ,இசைக்குழு மின்தடை
ਬੈਂਡ ਤੋੜਨ ਵਾਲਾ ਫਿਲਟਰ,பேண்ட் பிரேக்கர் வடிகட்டி
ਬੈਂਡ ਦਾ ਵਿਸਥਾਰ,இசைக்குழு விரிவாக்கம்
ਬੈਂਡ ਰੀਮੂਵਰ ਫਿਲਟਰ,பேண்ட் ரிமூவர் வடிகட்டி
ਬੈਂਡ ਐਕਸਪੈਂਸ਼ਨ ਡਿਫਲੈਕਸ਼ਨ ਗੁਣਕ,பேண்ட் விரிவாக்கம் விலகல் பெருக்கி
ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ ਦੂਰੀ ਗੁਣਕ,பேண்ட் நீட்டிப்பு தூரம் பெருக்கி
"ਬੀਮ ਕੈਪਸੀਟਰ, ਬੈਂਕ ਕੈਪਸੀਟਰ","பீம் மின்தேக்கி, வங்கி மின்தேக்கி"
"ਬਾਰਕਰ ਕੋਡ, ਬਾਰਕਰ ਕੋਡ","குரைக்கும் குறியீடு, குரைக்கும் குறியீடு"
barravaugen ਮਾਪਦੰਡ,barravaugen அளவுகோல்
ਬੈਰਟਰ,பார்ப்பனர்
ਰੁਕਾਵਟ,தடை
ਇਨਸੂਲੇਟਿੰਗ ਕੈਪਸੀਟਰ,இன்சுலேடிங் மின்தேக்கி
ਰੁਕਾਵਟ ਊਰਜਾ,தடை ஆற்றல்
ਰੋਧਕ ਵੋਲਟੇਜ,மின்தடை மின்னழுத்தம்
ਬਾਰਟਲੇਟ ਵਿੰਡੋ,பார்ட்லெட் ஜன்னல்
"ਅਧਾਰ, ਅਧਾਰ","அடிப்படை, அடிப்படை"
ਅਧਾਰ ਬੈਂਡ,அடிப்படை இசைக்குழு
ਬੇਸ ਬੈਂਡ ਪ੍ਰਸਾਰਣ,அடிப்படை இசைக்குழு பரிமாற்றம்
ਬੇਸ ਚਾਰਜ,அடிப்படை கட்டணம்
ਅਧਾਰ ਮੌਜੂਦਾ,அடிப்படை மின்னோட்டம்
ਅਧਾਰ ਮੌਜੂਦਾ ਸਰੋਤ,அடிப்படை தற்போதைய ஆதாரம்
ਅਧਾਰ ਕੱਟਣਾ,அடிப்படை வெட்டுதல்
ਆਧਾਰ ਮਦਨ,ஆதார் மதன்
ਬੇਸ ਐਮੀਟਰ ਫੀਡ,அடிப்படை உமிழ்ப்பான் ஊட்டம்
ਬੇਸ ਐਮੀਟਰ ਜੰਕਸ਼ਨ,அடிப்படை உமிழ்ப்பான் சந்திப்பு
ਅਧਾਰ ਟੀਕਾ,அடிப்படை ஊசி
ਜ਼ਮੀਨੀ ਲਾਈਨ,தரை வரி
ਅਧਾਰ ਪ੍ਰਤੀਰੋਧ,அடிப்படை எதிர்ப்பு
ਅਧਾਰ ਸਰੋਤ,அடிப்படை ஆதாரம்
ਅਧਾਰ ਵਿਸਤਾਰ ਪ੍ਰਤੀਰੋਧ,அடிப்படை விரிவாக்க எதிர்ப்பு
ਅਧਾਰ ਵਿਸਤਾਰ ਪ੍ਰਤੀਰੋਧ,அடிப்படை விரிவாக்க எதிர்ப்பு
ਅਧਾਰ ਮੋਟਾਈ,அடிப்படை தடிமன்
ਅਧਾਰ ਪਹੁੰਚ,அடிப்படை அணுகல்
"ਬੇਸ ਵਿਡਥ ਮੋਡੂਲੇਸ਼ਨ, ਬੇਸ ਐਕਸਪੈਂਸ਼ਨ ਮੋਡੂਲੇਸ਼ਨ","அடிப்படை அகல பண்பேற்றம், அடிப்படை விரிவாக்க மாடுலேஷன்"
ਆਧਾਰ ਕੁਲੈਕਟਰ ਸੰਧੀ,அடிப்படை சேகரிப்பாளர் ஒப்பந்தம்
ਗੰਧ,வாசனை
ਬਾਸ ਬਾਰੰਬਾਰਤਾ,பாஸ் அதிர்வெண்
ਬੈਟਰੀ,மின்கலம்
ਬੌਡ,பாட்
ਬੌਡ ਦਰ,பாட் விகிதம்
ਬੌਡ ਰੇਟ ਜਨਰੇਟਰ,பாட் ரேட் ஜெனரேட்டர்
ਬੋਡੋ ਕੋਡ,போடோ குறியீடு
"ਸੰਕੇਤ, ਬੀਕਨ","சமிக்ஞை, கலங்கரை விளக்கம்"
"ਮਨਿਕਾ, ਬੀਡ","மாணிக்கா, பீட்"
manic capacitor,பித்து மின்தேக்கி
ਮਾਨਿਕਰ੍ਤਾਪਿ ਪ੍ਰਤਿਰੋਧਕਃ,மணிகர்தாபி எதிர்ப்பாளர்கள்
"ਬੀਮ ਐਂਟੀਨਾ, ਬੀਮ ਐਂਟੀਨਾ","பீம் ஆண்டெனா, பீம் ஆண்டெனா"
ਬੀਮ ਡਿਟੈਕਟਰ,பீம் டிடெக்டர்
ਬੀਮ ਪਾਵਰ ਹੋਜ਼,பீம் சக்தி குழாய்
ਬੀਮ ਸਵਿਚਿੰਗ ਨੋਜ਼ਲ,பீம் மாறுதல் முனைகள்
ਬੀਮ ਦਾ ਵਿਸਥਾਰ,கற்றை விரிவாக்கம்
ਬੀਟ ਬਾਰੰਬਾਰਤਾ,துடிப்பு அதிர்வெண்
ਬੀਟ-ਫ੍ਰੀਕੁਐਂਸੀ ਔਸਿਲੇਟਰ,துடிப்பு-அதிர்வெண் ஆஸிலேட்டர்
ਪਲਸ ਔਸਿਲੇਟਰ,துடிப்பு ஆஸிலேட்டர்
ਘੰਟੀ,மணி
ਝੁਕਣ ਦਾ ਨੁਕਸਾਨ,வளைக்கும் இழப்பு
ਬੇਸਲ ਫਿਲਟਰ,பெசல் வடிகட்டி
ਬੀਟਾ,பீட்டா
b-h ਵਕਰ,b-h வளைவு
"ਪੱਖਪਾਤ, ਪੱਖਪਾਤ","சார்பு, சார்பு"
ਪੱਖਪਾਤ ਮੌਜੂਦਾ,சார்பு மின்னோட்டம்
ਪੱਖਪਾਤ ਪ੍ਰਤੀਰੋਧ,சார்பு எதிர்ப்பு
ਡਬਲ ਐਂਟੀਨਾ,இரட்டை ஆண்டெனா
ਦੋ-ਦਿਸ਼ਾਵੀ ਲੋਡ ਕਰੰਟ,இருதரப்பு சுமை மின்னோட்டம்
ਦੋ-ਦਿਸ਼ਾਵੀ ਐਂਟੀਨਾ,இருதரப்பு ஆண்டெனா
ਦੋ-ਦਿਸ਼ਾਵੀ ਰੋਸ਼ਨੀ ਐਮੀਟਿੰਗ ਡਾਇਓਡ,இருதரப்பு ஒளி உமிழும் டையோடு
ਦੋ-ਦਿਸ਼ਾਵੀ thyristor,இருதரப்பு தைரிஸ்டர்
bi FET ਤਕਨਾਲੋਜੀ,இரு FET தொழில்நுட்பம்
ਦੋ ਬਿੰਦੂ ਟ੍ਰਾਂਸਫਾਰਮਰ,இரு புள்ளி மின்மாற்றி
ਡਬਲ ਫਿਊਜ਼ਨ,இரட்டை இணைவு
ਦੁਵੱਲੀ ਸਰਕਟ,இருதரப்பு சுற்று
ਬਾਈਨਰੀ,பைனரி
ਬਾਈਨਰੀ ਜੋੜ,பைனரி தொகை
ਬਾਈਨਰੀ ਸਰਕਟ,பைனரி சுற்று
ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ,பைனரி குறியிடப்பட்ட தசம
ਬਾਈਨਰੀ ਕੋਡਡ ਡੈਸੀਮਲ ਸਿਸਟਮ,பைனரி குறியிடப்பட்ட தசம அமைப்பு
ਬਾਈਨਰੀ ਡਾਈਪੋਲ ਕੈਪਸੀਟਰ,பைனரி இருமுனை மின்தேக்கி
ਬਾਈਨਰੀ ਕੈਲਕੁਲੇਟਰ,பைனரி கால்குலேட்டர்
ਬਾਈਨਰੀ ਕੈਲਕੁਲੇਟਰ,பைனரி கால்குலேட்டர்
ਬਾਈਨਰੀ ਡੀਕੋਡਰ,பைனரி குறிவிலக்கி
ਬਾਈਨਰੀ ਪੌੜੀ,பைனரி ஏணி
ਬਾਈਨਰੀ ਪਾਥੋਮੀਟਰ,பைனரி பாத்தோமீட்டர்
ਬਾਈਨਰੀ ਸਥਿਤੀ,இருமை நிலை
ਬਾਈਨਰੀ-ਦਸ਼ਮਲਵ ਡੀਕੋਡਰ,பைனரி-தசம குறிவிலக்கி
ਬਾਈਨਰੀ ਲੋਡ,பைனரி சுமை
ਬਾਈਨਰੀ ਸ਼ਬਦ,பைனரி வார்த்தைகள்
ਬਾਈਪੋਲਰ,இருமுனை
ਬਾਇਪੋਲਰ ਕੈਪੇਸੀਟਰ,இருமுனை மின்தேக்கி
ਦੋਧਰੁਵੀ ਜੰਤਰ,இருமுனை சாதனம்
ਦੋਧਰੁਵੀ ਸਰੋਤ,இருமுனை மூல
ਬਾਈਪੋਲਰ ਟਰਾਂਜ਼ਿਸਟਰ,இருமுனை டிரான்சிஸ்டர்
ਬਾਈਪੋਲਰ ਜੰਕਸ਼ਨ ਟਰਾਂਜ਼ਿਸਟਰ,இருமுனை சந்திப்பு டிரான்சிஸ்டர்
ਚਤੁਰਭੁਜ ਫਿਲਟਰ,இருபடி வடிகட்டி
ਡਬਲ ਸਥਿਤੀ,இரட்டை நிலை
ਦੋ-ਪੜਾਅ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,இரண்டு-நிலை மல்டிவைபிரேட்டர்
ਦੋ-ਦਿਸ਼ਾਵੀ ਰੀਲੇਅ,இருதரப்பு ரிலே
ਦੋ-ਪੜਾਅ ਰਾਜ,இரண்டு கட்ட நிலை
ਦੋ-ਸਥਿਤੀ ਟਰਿੱਗਰ,இரண்டு நிலை தூண்டுதல்
ਬਿੱਟ ਗਲਤੀ,பிட் பிழை
ਬਿੱਟ ਗਲਤੀ ਦਰ,பிட் பிழை விகிதம்
ਬਿੱਟ ਗਲਤੀ,பிட் பிழை
ਬਿਟਕਲ ਗਲਤੀ,பிட்கல் பிழை
ਅੰਨ੍ਹੇ ਬਾਕਸ,குருட்டு பெட்டி
ਸੰਘਣੀ ਨਬਜ਼,அமுக்கப்பட்ட துடிப்பு
ਸਕੱਤਰ,சுரப்பவர்
secretory inhibitor,சுரக்கும் தடுப்பான்
ਅੰਨ੍ਹਾਪਨ,குருட்டுத்தன்மை
ਖੰਡ ਚਿੱਤਰ,பிரிவு வரைபடம்
ਰੁਕਾਵਟ ਨੂੰ ਰੋਕਣਾ,தடுப்பு மின்தடை
ਟੁਕੜਾ ਟ੍ਰਾਂਸਫਰ,துண்டு பரிமாற்றம்
ਰੁਕਾਵਟ,இடைமறிக்கவும்
ਬਲਾਕਿੰਗ ਕੈਪਸੀਟਰ,மின்தடை மின்தேக்கி
ਬਲਾਕਿੰਗ ਕੈਪਸੀਟਰ,தடுப்பான் மின்தேக்கி
ਬਲਾਕਿੰਗ ਔਸਿਲੇਟਰ,தடுக்கும் ஆஸிலேட்டர்
ਰੋਧਕ ਔਸਿਲੇਟਰ,மின்தடை ஆஸிலேட்டர்
ਰੋਧਕ ਵੋਲਟੇਜ,மின்தடை மின்னழுத்தம்
ਉਡਾਉਣ ਵਾਲਾ,ஊதுபவர்
ਬੋਡ ਚਿੱਤਰ,போட் வரைபடம்
voltzmann ਸਬੰਧ,வோல்ட்ஸ்மேன் உறவு
