Punjabi,Hindi
ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ,ए.सी. समतुल्य परिपथ
ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ,अनुरूप से अंकीय परिवर्तक
ਪੂਰਨ ਜ਼ੀਰੋ,परम शून्य
ਸਮਾਈ ਗੁਣਾਂਕ,अवशोषण गुणांक
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ,अवशोषण स्पेक्ट्रम
ਰੀਸੈਪਟਰ ਐਟਮ,ग्राही परमाणु
ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ,प्रत्यावर्ती धारा युग्मन
ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ,इलेक्ट्रॉन संचयन
ਮੋਰੀ ਸਟੋਰੇਜ਼,होल संचयन
ਸਰਗਰਮੀ ਊਰਜਾ,सक्रियण ऊर्जा
ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ,सक्रिय प्रवर्धक
ਸਰਗਰਮ diode ਸਰਕਟ,सक्रिय डायोड परिपथ
ਸਰਗਰਮ ਫਿਲਟਰ,सक्रिय फिल्टर
ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ,सक्रिय उच्च आवृत्ति पारक फिल्टर
ਸਰਗਰਮ ਲੋਡ,सक्रिय लोड
ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ,सक्रिय निमन आवृत्ति पारक फिल्टर
ਸਰਗਰਮ ਖੇਤਰ,सक्रिय क्षेत्र
ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,अनुकूली इलेक्ट्रॉनिकी
ਜੋੜਨ ਵਾਲਾ,योजक
ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ,समायोजी बैंड विस्तार
ਪ੍ਰਵੇਸ਼,प्रवेश्यता
ਏਰੀਅਲ,एरियल
pep ਬਾਰੰਬਾਰਤਾ,स्फूर्ति आवृत्ति
ੲੇ. ਸੀ,वातानुकूलक
ਅਲਾਈਨਮੈਂਟ,संरेखन
ਐਲਗੋਰਿਦਮ,आल्गोरिदम
ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ,समस्त पारक फिल्टर
ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ,मिश्रधातु संधि
ਧਿਆਨ,क्षीणन
ਬਦਲਵੇਂ ਮੌਜੂਦਾ,प्रत्यावर्ती धारा
ਅੰਬੀਨਟ ਤਾਪਮਾਨ,परिवेश ताप
ਬਾਈਪੋਲਰ,उभयध्रुवीय
ਵਾਧਾ,प्रवर्धन
ਐਂਪਲੀਫਾਇਰ,प्रवर्धक
ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ,प्रवर्धक दक्षता
ਮਾਪ,आयाम
ਐਪਲੀਟਿਊਡ attenuation,आयाम क्षीणन
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ,आयाम मॉडुलित ए.एम. दोलित्र
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ,आयाम मॉडुलन
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ,आयाम मॉडुलक
ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ,एंगस्ट्रॉम इकाई
ਐਨਾਲਾਗ ਸਰਕਟ,अनुरूप परिपथ
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,अनुरूप कंप्यूटर
ਐਨਾਲਾਗ ਫਿਲਟਰ,अनुरूप फिल्टर
ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ,अनुरूप बहुमापी
ਐਨਾਲਾਗ ਸਵਿੱਚ,अनुरूप स्विच
ਅਤੇ ਗੇਟ,AND गेट
ਕੋਣੀ ਬਾਰੰਬਾਰਤਾ,कोणीय आवृत्ति
"anion, anion","ऋणायन, एनॉयन"
ਐਨੀਲਿੰਗ ਤਾਪਮਾਨ,अनीलन तापमान
ਐਨੋਡ,ऐनोड
ਐਨੋਡ ਐਂਪਲੀਫਾਇਰ,ऐनोड प्रवर्धक
anodyne,ऐनोडी करण
ਐਂਟੀਨਾ,ऐन्टेना
ਐਂਟੀਨਾ ਕੰਪੋਨੈਂਟ,ऐन्टेना घटक
ਵਿਰੋਧੀ ਪ੍ਰਤੀਬਿੰਬ ਪਰਤ,परावर्तन रोधी लेपन
ਐਂਟੀਲੌਗਿਨ ਐਂਪਲੀਫਾਇਰ,प्रतिलघुगुणक प्रवर्धक
antiresonant ਸਰਕਟ,प्रतिअनुनादी परिपथ
ਦੁਆਰਕ ਕਾਲ,द्वारक काल
ਵਰਚੁਅਲ ਪਾਵਰ,आभासीय शक्ति
ਤਾਰ ਕੁਨੈਕਸ਼ਨ,तार संयोजन
ਲਗਭਗ ਵੋਲਟੇਜ ਲਾਭ,सन्निकट वोल्टता लब्धि
armstrong modulator,आर्मस्ट्रांग माडुलक
ਐਂਟੀਨਾ ਐਰੇ,ऐन्टेना-व्यूह
"ਆਕਾਰ ਅਨੁਪਾਤ, ਆਕਾਰ ਅਨੁਪਾਤ","आकार अनुपात, अभिमुखता अनुपात"
ਫਲੋਟਿੰਗ ਸਰਕਟ (ਮੁਫ਼ਤ ਓਪਰੇਟਿੰਗ ਸਰਕਟ),अस्थायी परिपथ (मुक्तचालित परिपथ)
ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,स्वचालित बहुकंपित्र
ਫਲੋਟਿੰਗ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,अस्थायी बहुकंपित्र
ਅਸਮਿਤ ਜੰਕਸ਼ਨ,असममित संधि
