Malayalam,English
"1.അബാക്കസ്, 2. എണ്ണുന്നു",abacus
അസാധാരണമായ അവസാനം,abnormal termination
തടസ്സപ്പെടുത്തുക,abort
"1. കേവലം, 2. പരമോന്നത",absolute
സമ്പൂർണ്ണ വിലാസം,absolute address
സമ്പൂർണ്ണ വിലാസക്ഷമത,absolute addressing
കേവല അസംബ്ലർ,absolute assembler
"1. കേവല കോഡ്, 2. കേവല കോഡ്",absolute code
സമ്പൂർണ്ണ കമാൻഡ്,absolute command
"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ",absolute data
സമ്പൂർണ്ണ നിർദ്ദേശം,absolute instruction
കേവല മോഡ്,absolute mode
കേവല പാത,absolute path
"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്",absolute programming
അമൂർത്ത ക്ലാസ്,abstract class
അമൂർത്ത ഡാറ്റ തരം,abstract data type
അമൂർത്ത യന്ത്രം,abstract machine
അമൂർത്ത ചിഹ്നം,abstract symbol
അമൂർത്തമായ വാക്യഘടന,abstract syntax
സ്വീകാര്യത പരിശോധന,acceptance testing
പ്രവേശന സർട്ടിഫിക്കേഷൻ,access authentication
"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്",access code
പ്രവേശന നിയന്ത്രണം,access control
ആക്സസ് സ്കാനിംഗ്,access scan
സാധനങ്ങൾ,accessory
അക്കൌണ്ടിംഗ്,account
"1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ",account ID
ശേഖരണം,accumulator
"1. കൃത്യത, 2. കൃത്യത",accuracy
പ്രവേശനം,acess
ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ,acess control byte
പ്രവേശന സൂചകം,acess index
ആക്സസ് കീ,acess key
"1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്",acess matrix
ആക്സസ് മോഡ്,acess mode
പ്രവേശനാവകാശങ്ങൾ,acess privilege
ആക്സസ് സുരക്ഷ,acess security
"1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ",acess server
പ്രവേശന സമയം,acess time
അംഗീകാരം,acknowledgement
ശബ്ദശാസ്ത്രം,acoustics
"1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി",acronym
പ്രവർത്തന സന്ദേശം,action message
സജീവമാക്കൽ,activation
സജീവ സെർവർ പേജ്,active server page (ASP)
സജീവ പതിപ്പ്,active version
അസൈക്ലിക്,acyclic
"1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്",acyclic graph
അഡാ കമ്പ്യൂട്ടർ ഭാഷ,Ada language
"1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ",adapter
ആകെ),add
തുക ഫയൽ,add file
"1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം",add operation
ചേർക്കുന്നയാൾ,adder
അറിയുക,address
വിലാസം ബസ്,address bus
വിലാസ ഫയൽ,address file
വിലാസ ഫോർമാറ്റ്,address format
വിലാസ ജനറേറ്റർ,address generator
വിലാസ ലൈൻ,address line
വിലാസ മാപ്പിംഗ്,address mapping
വിലാസ സൂചകം,address pointer
വിലാസ രജിസ്റ്റർ,address register
വിലാസ തകർച്ച,address resolution
വിലാസ വിവർത്തനം,address translation
"1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി",addressed memory
അഭിസംബോധന,addressing
"1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം",adequacy criteria
ബന്ധം,adjoint
"1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം",administration
"1. മാനേജർ, 2. കണ്ട്രോളർ",administrator
അഡോബ് അക്രോബാറ്റ്,adobe acrobat
അഡോബ് ഫോട്ടോഷോപ്പ്,adobe photoshop
ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്),Advance Business Application Programming (ABAP)
"1. വിപുലമായ ഡാറ്റ, 2. വിപുലമായ ഡാറ്റ",advanced data
വിപുലമായ വിവര സംവിധാനം,advanced information system
അഡ്വാൻസ്ഡ് ടെക്നോളജി (AT),advanced technology (AT)
നടപടി,agent
സമാഹരണം,aggregation
വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം,airborne computer system
ആൽഡസ് പേജ് മേക്ക്,aldus page maker
മുന്നറിയിപ്പ് ബോക്സ്,alert box
അൽഗോൾ (കമ്പ്യൂട്ടർ ഭാഷ),algol
"1. അൽഗോരിതം , 2. അൽഗോരിതം",algorithm
"1. അൽഗോരിതം വിശകലനം, 2. അൽഗോരിതം വിശകലനം",algorithm analysis
അൽഗോരിതം കാര്യക്ഷമത,algorithm efficiency
"1. ഏലിയാസ്, 2. വിളിപ്പേര്, 3. അല്ലെങ്കിൽ",alias
വിന്യാസം,alignment
"1. വിഹിതം, 2. വിഹിതം",allocation
"1. അക്ഷരമാല, 2. അക്ഷരമാല ക്രമത്തിൽ",alphabetic
ആൽഫാന്യൂമെറിക്,alphanumeric
"1. ആൽഫാന്യൂമെറിക് കീബോർഡ് ,2. ആൽഫാന്യൂമെറിക് കീബോർഡ്",alphanumeric key board
ആൽഫ-ടെസ്റ്റിംഗ് (ഒന്നാം ലെവൽ ടെസ്റ്റ്),alpha-test
"1. ആൽഫ പതിപ്പ്, 2. ആൽഫ രൂപം",alpha-version
alt കീ,alt key
ആൾട്ടാവിസ്റ്റ,altavista
ബഹുസ്വരത,ambiguity
അവ്യക്തമായ വ്യാകരണം,ambiguous grammar
അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡീസ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI),American National Standards Institute (ANSI)
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കട്ട് (ascii),American Standard Code For Information Interchange (ASCII)
"1. സാദൃശ്യം, 2. അനലോഗ്",analog
"1. അനലോഗ് കമ്പ്യൂട്ടർ, 2. അനലോഗ് കമ്പ്യൂട്ടർ",analog computer
"1. അനലോഗ് ഉപകരണം, 2. അനലോഗ് ഉപകരണം",analog device
"1. അനലോഗ് മോഡം, 2. അനലോഗ് മോഡം",analog modem
അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ,Analog To Digital Converter (ADC)
അവസാനം (ഡിജിറ്റൽ/പ്ലെയിൻ ലോജിക് &#39;ഉം&#39; ഉപയോഗിച്ചു),AND
അവസാന സർക്യൂട്ട്,AND circuit
അവസാന ഗേറ്റും ഗേറ്റും,AND gate
എൻഡ് അല്ല ഓപ്പറേഷൻ (ഒഴിവാക്കൽ),AND not operation (Exclusion)
"1. ആനിമേഷൻ, 2. വൈബ്രേഷൻ",animation
കുറിപ്പ്,annotation
പൊരുത്തക്കേട്,anomaly
മുമ്പത്തെ,antecedent
മുൻകൂർ പേജിംഗ്,anticipatory paging
എതിർ-സമമിതി,anti-symmetric
ആൻറിവൈറൽ പ്രോഗ്രാം,antivirus program
"1. ആപ്ലെറ്റ്, 2. അപേക്ഷ",applet
ആപ്ലിക്കേഷൻ ഡെവലപ്പർ,application developer
ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്,application programming
"1. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ്, 2. ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)",application programming interface (API)
