Hindi,Malayalam
अपसामान्य,വിലക്ഷണമായ
विफलन,ഉപേക്ഷിക്കുക
" अपघर्षण , घिसाई",വധനം
" असंलग्न , अचानक, सहसा   , विच्छिन्न",ആകസ്മികമായ
निरपेक्ष क्षेत्र सामर्थ्य,കേവല ഫീൽഡ് ശക്തി
परम ताप,കേവല താപനില
निरपेक्ष मान,യഥാർത്ഥ മൂല്യം
"अवशोषित करना, अवशोषण करना",ഉള്ക്കൊള്ളുക
अवशोषण गुणांक,ആഗിരണം കോ-കാര്യക്ഷമമാണ്
अवशोषण हानि,ആഗിരണം നഷ്ടം
" अमूर्त , सारांश, सार, संक्षेप",വേര്പെട്ടുനില്ക്കുന്ന
त्वरणमापी,ആക്സിലറോമീറ്റർ
स्वीकृति परीक्षण,സ്വീകാര്യത പരിശോധന
अभिगम,പ്രവേശനം
अभिगम नियंत्रण,പ്രവേശന നിയന്ത്രണം
अभिगम बिंदु,പ്രവേശന പോയിന്റ്
अभिगम काल,ആക്സസ് സമയം
अभिगम्यता,പ്രവേശനക്ഷമത
संचायक सेल,സഞ്ചിത സെൽ
यथार्थता,കൃതത
यथार्थ,സൂക്ഷ്മമായ
अवर्णक लेन्स,അച്രോമാറ്റിക് ലെൻസ്
"अम्ल, ऐसिड",പുളിപ്പുള്ള
अम्लसह,ആസിഡ് തെളിവ്
अम्लता,അസിഡിറ്റി
"पावती द्वयंक, पावती बिट",അംഗീകാര ബിറ്റ്
ध्वानिक,അക്കോസ്റ്റിക്
ध्वानिक संचार,അക്കോസ്റ്റിക് ആശയവിനിമയം
ध्वानिक विसरण,അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ
ध्वानिक समकारी,അക്കോസ്റ്റിക് ഇക്വൈസർ
"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश",അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്
"ध्वानिक फिल्टर, ध्वानिक निस्यंदक",അക്ക ou സ്റ്റിക് ഫിൽട്ടർ
ध्वानिक प्रतिबाधा,അക്കോസ്റ്റിക് ഇംപാസ്
"ध्वानिक आवरण, ध्वानिक प्रच्छादन",അക്കോസ്റ്റിക് മാസ്കിംഗ്
ध्वानिक षक्ति,അക്കോസ്റ്റിക് പവർ
ध्वानिक गुणधर्म,അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി
ध्वानिक प्रतिघात,അക്കോട്ടിക് റിയാൻസ്
ध्वानिक प्रतिवर्त,അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്
ध्वानिक टाइल,അക്കോസ്റ്റിക് ടൈൽ
ध्वानिक तरंग,അക്ക ou സ്റ്റിക് തരംഗം
ध्वानिक अवशोषण गुणांक,ശബ്ദ ആഗിരണം
ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक,അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം
ध्वानिक अवमंदन,അക്കോസ്റ്റിക്കൽ നനവ്
ध्वानिक विलंब लाइन,അക്കോസ്റ്റിക്കൽ കാലതാമസം
ध्वानिक विरूपण,അക്കോസ്റ്റിക്കൽ വക്രമാനം
ध्वनि-वाहिनी,അക്കോസ്റ്റിക്കൽ നാളം
ध्वानिक ऊर्जा,അക്കോസ്റ്റിക്കൽ എനർജി
ध्वानिक पुनर्निवेश,അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്
"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक",അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ
ध्वानिक प्रतिबाधा,അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്
ध्वानिक संचरण नियतांक,അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം
ध्वानिक प्रतिरोध,അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്
ध्वानिकतः रुद्ध,ശബ്ദപരമായി ഇൻസുലേറ്റ്
"ध्वानिकी, ध्वनि विज्ञान",അക്കോസ്റ്റിക്സ്
"अधिग्रहण, अर्जन, उपार्जन",കൈവശപ്പെടുത്തൽ
संक्षिप्त रूप,സംക്ഷേപം
कार्य क्षेत्र,പ്രവർത്തന മേഖല
"सक्रियकृत तंतु, सक्रियित तंतु",സജീവമാക്കിയ ഫിലമെന്റ്
सक्रिय,സജീവമായ
सक्रिय क्षेत्र,സജീവ ഏരിയ
सक्रिय विंडो,സജീവ വിൻഡോ
अनुकूलनीयता,പൊരുത്തപ്പെടലി
"अनुकूलक, अनुकूलित्र",അഡാപ്റ്റർ (അഡാപ്റ്റർ)
अनुकूली विभेदी स्पंद कोड मॉडुलन,അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ
"पता पुस्तिका, एड्रेस बुक",മേൽവിലാസ പുസ്തകം
"पता बस, एड्रेस बस",വിലാസ ബസ്
"पता विभेदन, एड्रेस विभेदन",വിലാസ മിഴിവ്
"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण",തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ
"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता",തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി
आसन्न आवृत्ति,അടുത്തുള്ള ആവൃത്തി
आसन्न आवृत्ति चैनल,തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ
"आसन्न चित्र वाहक, संलग्न वीडियो वाहक",തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ
आसन्न ध्वनि वाहक,തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ
"निकटवतब स्टेशन, निकटवतब केंद्र",അടുത്തുള്ള സ്റ്റേഷൻ
समायोज्य,കമീകരിക്കുന്ന
समायोज्य संधारित्र,ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ
समायोज्य दाब,സമ്മർദ്ദം ക്രമീകരിക്കുന്നു
समायोजी रिंच,റെഞ്ച് ക്രമീകരിക്കുന്നു
समायोजन,കമപ്പെടുത്തല്
" प्रशासक , नियंत्रक",ഭരണാധിപന്
उन्नत प्रौद्योगिकी,നൂതന സാങ്കേതികവിദ്യ
"एरियल (ऐन्टेना), आकाशी, वायव, हवाई",ഏരിയൽ
एरियल व्यूह,ഏരിയൽ അറേ
"एरियल वर्धक, ऐन्टेना वर्धक",ഏരിയൽ ബൂസ്റ്റർ
ऐन्टेना धारा,ഏരിയൽ കറന്റ്
ऐन्टेना भूसंपर्कक स्विच,എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്
ऐन्टेना दक्षता,ഏരിയൽ കാര്യക്ഷമത
ऐन्टेना प्रतिबाधा,ഏരിയൽ ഇതര
ऐन्टेना प्रेरकत्व,ഏരിയൽ ഉൾപ്പെടുത്തൽ
ऐन्टेना विद्तरोधी,ഏരിയൽ ഇൻസുലേറ്റർ
ऐन्टेना भारण कुंडली,ഏരിയൽ ലോഡിംഗ് കോയിൽ
आकाषी फोटोग्राफी,ഏരിയൽ ഫോട്ടോഗ്രഫി
ऐन्टेना षक्ति,ഏരിയൽ പവർ
आकाशी विकिरण प्रतिरोध,ആകാശ വികിരണ ഏലിസ്റ്റൻസ്
ऐन्टेना प्रतिघात,ഏരിയൽ റിപ്രീൻസ്
वायुगतिकी,എയറോഡൈനാമിക്സ്
"एजेंसी, अभिकरण",നിര്വ്വഹണം
वायु संपीडक,എയർ കംപ്രസ്സർ
वायु संधारित्र,എയർ കണ്ടൻസർ
वायुशीतित,വായു തണുപ്പിച്ചു
वायु क्रोडित कुंडली,എയർ കോർഡ് കോയിൽ
वातानुकूलन,എയർ കണ്ടീഷനിംഗ്
ऐल्बीडो,ആൽബിഡോ
"कलन विधि, एल्गोरिथ्म",അൽഗോരിതം
एलियासिंग,അപരനാത്മകം
संरेखण,വിന്യസിക്കുന്നു
संरेखण,വിന്യാപകമായ
सर्व तरंग एरियल,എല്ലാ തരംഗ ഏരിയലും
नियतन,പങ്കുവയ്ക്കല്
"वर्णक्रमीय, वर्णक्रमिक",അക്ഷരകമായ
अक्षरांकीय,ആൽഫാന്യൂമെറിക്
अक्षरांकीय संप्रतीक,ആൽഫാന്യൂമെറിക് പ്രതീകം
अक्षरांकीय सूचना,ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ
प्रत्यावतब धारा (ए सी),ഇതര കറന്റ് (A.C.)
प्रत्यावर्तन,ഒന്നിടവിട്ടമ്മ
"प्रत्यावर्तक, प्रत्यावर्तित्र",പകര്പ്പ്
" तुंगता , उन्नतांश         , शीर्षलंब",ഉയരം
अपभू-तुंगता,അപ്പോഗിയുടെ ഉയരം
उपभू-तुंगता,പെരിജിയുടെ ഉയരം
अव्यावसायिक रेडियो संचार,അമേച്വർ റേഡിയോ ആശയവിനിമയം
परिवेश,അന്തരീതം
परिवेश माइक्रोफोन,അന്തരീക്ഷ മൈക്രോഫോൺ
परिवेशी दशा,അന്തരീക്ഷ അവസ്ഥ
परिवेश प्रकाश व्यवस्था,ആംബിയന്റ് ലൈറ്റിംഗ്
परिवेशी रव,ആംബിയന്റ് ശബ്ദം
"परिवेशी ताप, परिवेश ताप",ആംബിയന്റ് താപനില
