Bengali,Kannada
আবেলি গ্রুপ,ಅಬೆಲಿ ಗುಂಪು
আবেলি গ্রুপ,ಅಬೆಲಿ ಗುಂಪು
হাত,ಕೈ
"পরম, পরম, ধ্রুবক, সুনির্দিষ্ট","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ"
পরম মিলন,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
পরম ত্রুটি,ಸಂಪೂರ್ಣ ದೋಷ
সর্বোচ্চ সর্বোচ্চ,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
পরম সর্বনিম্ন,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
পরম মান,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
পরম বেগ,ಸಂಪೂರ್ಣ ವೇಗ
বিমূর্ত বীজগণিত,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
বিমূর্ত গ্রুপ তত্ত্ব,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
ত্বরণ,ವೇಗವರ್ಧನೆ
মহাকর্ষীয় ত্বরণ,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
গ্রহণযোগ্য নির্বাচক,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ
গ্রহণযোগ্য মানের স্তর,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
গ্রহণযোগ্য প্রাঙ্গনে,ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ
বৈধ নির্ভরযোগ্যতা স্তর,ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
গ্রহণযোগ্যতা নমুনা,ಸ್ವೀಕಾರ ಮಾದರಿ
সঞ্চিত ত্রুটি,ಸಂಚಿತ ದೋಷ
সঠিকতা,ನಿಖರತೆ
প্রযুক্ত বল,ಅನ್ವಯಿಸಿದ ಬಲ
"কর্ম, কাজ","ಕ್ರಿಯೆ, ಕಾರ್ಯ"
কর্ম এবং প্রতিক্রিয়া,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
বীমা বিজ্ঞান,ವಿಮಾ ವಿಜ್ಞಾನ
তীব্র ত্রিভুজ,ತೀವ್ರ ತ್ರಿಕೋನ
অ্যাসাইক্লিক,ಅಸೈಕ್ಲಿಕ್
যোগফল,ಒಟ್ಟುಗೂಡಿಸಲು
যোগকারী,ಸೇರಿಸುವವನು
"যোগফল, যোগ, যোগফল (গ.), যোগ (v.)","ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)"
যোগের সূত্র,ಯೋಗದ ಸೂತ್ರ
জটিল সংখ্যার যোগফল,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ
ফাংশনের যোগফল,ಕಾರ್ಯಗಳ ಮೊತ್ತ
ম্যাট্রিক্সের যোগফল,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ
বহুপদীর সমষ্টি,ಬಹುಪದಗಳ ಮೊತ್ತ
সম্ভাবনার যোগফল,ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ
ভেক্টরের সমষ্টি,ವಾಹಕಗಳ ಮೊತ್ತ
"যোগ উপপাদ্য, বেরি তত্ত্ব,","ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ"
সংযোজনকারী গ্রুপ,ಸಂಯೋಜಕ ಗುಂಪು
সংযোজন বিপরীত,ಸಂಯೋಜಕ ವಿಲೋಮ
যোগযোগ্যতা,ಸೇರಿಸುವಿಕೆ
যোগযোগ্যতা,ಸೇರಿಸುವಿಕೆ
অন্তিক ম্যাট্রিক্স,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
"সংলগ্ন, সংলগ্ন, সংলগ্ন","ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ"
সংলগ্ন কোণ,ಪಕ್ಕದ ಕೋನ
সংলগ্ন শীর্ষবিন্দু,ಪಕ್ಕದ ಶೃಂಗ
যুক্ত করা,ಸಂಯೋಜಿಸಲು
"সংযুক্ত ঘের,",ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ
সাধারণ নির্ধারক,ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ
সংযুক্ত ডিফারেনশিয়াল সমীকরণ,ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
সংযুক্ত সমীকরণ,ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ
