Kannada,Marathi
"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ","1.अॅबॅकस, 2. मोजणी"
ಅಸಹಜ ಅಂತ್ಯ,असामान्य शेवट
ತಡೆಹಿಡಿಯಿರಿ,इंटरसेप्ट
"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ","1. निरपेक्ष, 2. सर्वोच्च"
ಸಂಪೂರ್ಣ ವಿಳಾಸ,परिपूर्ण पत्ता
ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ,परिपूर्ण पत्ता योग्यता
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,परिपूर्ण असेंबलर
"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್","1. संपूर्ण कोड, 2. परिपूर्ण कोड"
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,निरपेक्ष आज्ञा
"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ","1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा"
ಸಂಪೂರ್ಣ ಸೂಚನೆ,परिपूर्ण सूचना
ಸಂಪೂರ್ಣ ಮೋಡ್,परिपूर्ण मोड
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,परिपूर्ण मार्ग
"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग"
ಅಮೂರ್ತ ವರ್ಗ,अमूर्त वर्ग
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,अमूर्त डेटा प्रकार
ಅಮೂರ್ತ ಯಂತ್ರ,अमूर्त मशीन
ಅಮೂರ್ತ ಚಿಹ್ನೆ,अमूर्त चिन्ह
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,अमूर्त वाक्यरचना
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,स्वीकृती चाचणी
ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ,प्रवेश प्रमाणपत्र
"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್","1. प्रवेश कोड, 2. प्रवेश कोड"
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,प्रवेश नियंत्रण
