Bengali,Marathi
"1.অ্যাবাকাস, 2. গণনা","1.अॅबॅकस, 2. मोजणी"
অস্বাভাবিক সমাপ্তি,असामान्य शेवट
পথিমধ্যে রোধ করা,इंटरसेप्ट
"1. পরম, 2. সর্বোচ্চ","1. निरपेक्ष, 2. सर्वोच्च"
পরম ঠিকানা,परिपूर्ण पत्ता
পরম ঠিকানাযোগ্যতা,परिपूर्ण पत्ता योग्यता
পরম সংযোজনকারী,परिपूर्ण असेंबलर
"1. পরম কোড, 2. পরম কোড","1. संपूर्ण कोड, 2. परिपूर्ण कोड"
পরম আদেশ,निरपेक्ष आज्ञा
"1. পরম পরিসংখ্যান, 2. পরম তথ্য","1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा"
পরম নির্দেশ,परिपूर्ण सूचना
পরম মোড,परिपूर्ण मोड
পরম পথ,परिपूर्ण मार्ग
"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং","1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग"
বিমূর্ত ক্লাস,अमूर्त वर्ग
বিমূর্ত তথ্য প্রকার,अमूर्त डेटा प्रकार
বিমূর্ত মেশিন,अमूर्त मशीन
বিমূর্ত প্রতীক,अमूर्त चिन्ह
বিমূর্ত বাক্য গঠন,अमूर्त वाक्यरचना
স্বীকৃতি পরীক্ষা,स्वीकृती चाचणी
অ্যাক্সেস সার্টিফিকেশন,प्रवेश प्रमाणपत्र
"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড","1. प्रवेश कोड, 2. प्रवेश कोड"
প্রবেশাধিকার নিয়ন্ত্রণ,प्रवेश नियंत्रण
অ্যাক্সেস স্ক্যানিং,प्रवेश स्कॅनिंग
আনুষাঙ্গিক,उपकरणे
অ্যাকাউন্টিং,लेखा
"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ","1. खाते आयडी, 2. लेखा ओळख"
সঞ্চয়কারী,संचयक
"1. নির্ভুলতা, 2. সঠিকতা","1. अचूकता, 2. अचूकता"
অ্যাক্সেস,प्रवेश
অ্যাক্সেস নিয়ন্ত্রণ বাইট,प्रवेश नियंत्रण बाइट्स
অ্যাক্সেস সূচক,प्रवेश सूचक
অ্যাক্সেস কী,प्रवेश की
"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স","1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स"
অ্যাক্সেস মোড,प्रवेश मोड
সুযোগ সুবিধা,प्रवेश विशेषाधिकार
অ্যাক্সেস নিরাপত্তা,प्रवेश सुरक्षा
"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার","1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर"
প্রবেশাধিকার সময়,प्रवेश वेळ
স্বীকৃতি,पोचपावती
ধ্বনিবিদ্যা,ध्वनीशास्त्र
