Assamese,Bengali
ৱেষ্টমিনিষ্টাৰৰ এবে,ওয়েস্টমিনস্টারের অ্যাবে
এবডিটৰী,বর্জনীয়
দাসত্ব বিলুপ্ত কৰা,দাসত্বের সমাপ্তি
আদিবাসী,আদিবাসী
আব্ৰাহাম যুগ,আব্রাহাম যুগ
অনুপস্থিত ঘৰৰ মালিক,অনুপস্থিত জমির মালিক
একাডেমী,একাডেমী
আক্ৰা সন্মিলন,আকরা সম্মেলন
এক্ৰুৱেল,সঞ্চয়
সংস্কৃতিকৰণ,সংগ্রহ
এচেলডামা,অ্যাসেলডামা
আখিয়ান (=আচিয়ান),আচিয়ান (=আচিয়ান)
আচায়ান লীগ (=আচিয়ান লীগ),আচিয়ান লীগ (=আচিয়ান লীগ)
এক্ৰ&#39;পলিছ,অ্যাক্রোপলিস
এক্টা ডিউৰ্না,Acta Diurna
এক্টা চেনেটাছ,Acta Senatus
এক্টে এডিচনেল,অ্যাক্ট অ্যাডিশনেল
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
প্ৰাপ্তিৰ কাৰ্য্য,প্রাপ্তির কাজ
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,ক্ষতিপূরণ এবং বিস্মৃতির আইন
বন্দোবস্তৰ আইন,নিষ্পত্তির আইন
এড কন্ট্ৰেক্টাছ ছীল,বিজ্ঞাপন চুক্তি সীল
এডুলামাইটছ,আদুল্লামাইটস
বিৰোধী,প্রতিপক্ষ
বিৰোধী,প্রতিপক্ষ
ইয়ন,Aeon
এৰেৰিয়াম,এরারিয়াম
আকাশী যুদ্ধ,বায়বীয় যুদ্ধ
এটলিয়ান লীগ,এটোলিয়ান লীগ
বয়স,বয়স
বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা),বার্ধক্য (=বার্ধক্য)
বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া,বার্ধক্য প্রক্রিয়া
আগেলাই,এগেলাই
অশ্বাৰোহীৰ যুগ,বীরত্বের বয়স
এজ অৱ ইংলাইটমেণ্ট,এনলাইটমেন্টের বয়স
পেৰিক্লিছৰ বয়স,পেরিক্লেসের বয়স
যুক্তিৰ বয়স,কারণ বয়স
কৃষিবাদ,কৃষিবাদ
কৃষি আন্দোলন,কৃষি আন্দোলন
এলবিয়ন,অ্যালবিয়ন
এলবাম,অ্যালবাম
এলডাৰমেন,অল্ডারম্যান
আলোকসজ্জা বাহু,লোভনীয় অস্ত্র
এমিটি,বন্ধুত্ব
এম্ফিক্টয়নিক কাউন্সিল,অ্যাম্ফিক্টোনিক কাউন্সিল
এম্ফিক্টয়নিক লীগ,Amphictyonic লীগ
এম্ফিথিয়েটাৰ,অ্যাম্ফিথিয়েটার
অমৰি নল গোট (মৃৎশিল্পৰ),আমরি নল দল (মৃৎপাত্রের)
এনাক্ৰ’নিজম,অ্যানাক্রোনিজম
এনাক্ৰ’নিষ্টিক,অ্যানাক্রোনিস্টিক
পূৰ্বপুৰুষ,পূর্বপুরুষ
পূৰ্বপুৰুষ পূজা,পূর্ব পুরুষের পুজা
বংশ,বংশ
বংশ,বংশ
বংশ,বংশ
বংশ,বংশ
Ancien শাসন ব্যৱস্থা,প্রাচীন শাসন
পৌৰাণিক,প্রাচীন
প্ৰাচীন বেলাড,প্রাচীন গীতিনাট্য
প্ৰাচীন বিশ্বাস,প্রাচীন বিশ্বাস
প্ৰাচীন প্ৰথা,প্রাচীন রীতি
প্ৰাচীন ইতিহাস,প্রাচীন ইতিহাস
প্ৰাচীন কীৰ্তিচিহ্ন,প্রাচীন স্মৃতিস্তম্ভ
উপাখ্যান,উপাখ্যান
এঞ্জেলট,অ্যাঞ্জেলট
