Odiya,Assamese
"1. ଆବାକସ୍, ୨। ଗଣନା","১.এবাকাছ, ২. গণনা কৰি আছে"
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,অস্বাভাৱিক অন্ত
ବାଧା,ইন্টাৰচেপ্ট
"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ","১.নিৰপেক্ষ, ২. পৰম"
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,নিৰপেক্ষ ঠিকনা
ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |,নিৰপেক্ষ ঠিকনাযোগ্যতা
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,নিৰপেক্ষ এছেম্বলাৰ
"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍","১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,নিৰপেক্ষ আদেশ
"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |","১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,নিৰপেক্ষ নিৰ্দেশনা
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,নিৰপেক্ষ ধৰণ
ସଂପୂର୍ଣ୍ଣ ପଥ,নিৰপেক্ষ পথ
"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |","1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং"
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,বিমূৰ্ত শ্ৰেণী
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,বিমূৰ্ত তথ্যৰ ধৰণ
ବିସ୍ତୃତ ମେସିନ୍ |,বিমূৰ্ত মেচিন
ବିସ୍ତୃତ ପ୍ରତୀକ |,বিমূৰ্ত চিহ্ন
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,বিমূৰ্ত বাক্যবিন্যাস
ଗ୍ରହଣ ପରୀକ୍ଷା,গ্ৰহণযোগ্যতা পৰীক্ষা
ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର,প্ৰৱেশ প্ৰমাণীকৰণ
"1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍","1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড"
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,প্ৰৱেশ নিয়ন্ত্ৰণ
ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |,অভিগম স্কেনিং
ଆନୁଷଙ୍ଗିକ,আনুষংগিক বস্তু
ହିସାବ,হিচাপ-নিকাচ
"1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ","1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ"
ଜମାକାରୀ,এক্যুলেটৰ
"1. ସଠିକତା, 2 ସଠିକତା","১/ সঠিকতা, ২. শুদ্ধতা"
ପ୍ରବେଶ,প্ৰৱেশাধিকাৰ
ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |,অভিগম নিয়ন্ত্ৰণ বাইটসমূহ
ପ୍ରବେଶ ସୂଚକ,প্ৰৱেশ সূচক
ପ୍ରବେଶ କୀ,অভিগম কি&#39;
"1. ଆକ୍ସେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ, 2 ମ୍ୟାଟ୍ରିକ୍ସ ଆକ୍ସେସ୍ କରନ୍ତୁ |","1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স"
ପ୍ରବେଶ ମୋଡ୍,অভিগম ধৰণ
ସୁବିଧା ପ୍ରବେଶ,অভিগম বিশেষাধিকাৰসমূহ
ସୁରକ୍ଷା ପ୍ରବେଶ କରନ୍ତୁ |,অভিগম সুৰক্ষা
"1. ଆକ୍ସେସ୍ ସର୍ଭର, 2 ସର୍ଭରକୁ ପ୍ରବେଶ କରନ୍ତୁ |","1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ"
ପ୍ରବେଶ ସମୟ,প্ৰৱেশ সময়
ସ୍ୱୀକୃତି,স্বীকৃতি
ଆକାଶବାଣୀ,শব্দবিজ্ঞান
"1. ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ, 2. ସଂକ୍ଷିପ୍ତକରଣ, 3 ଠାରୁ ଛୋଟ","১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি"
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,কাৰ্য্য বাৰ্তা
ସକ୍ରିୟ,সক্ৰিয়কৰণ
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା |,সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা
ସକ୍ରିୟ ସଂସ୍କରଣ |,সক্ৰিয় সংস্কৰণ
acyclic,অচক্ৰীয়
"1. ଆକାଇକ୍ଲିକ୍ ଗ୍ରାଫ୍, 2 acyclic ଗ୍ରାଫ୍ |","১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ"
ଅଦା କମ୍ପ୍ୟୁଟର ଭାଷା |,আদা কম্পিউটাৰ ভাষা
"1. ଅପ୍ଟିମାଇଜର୍, 2 ଅପ୍ଟିମାଇଜର୍","১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ"
to sum),to sum)
ରାଶି ଫାଇଲ୍ |,যোগফল নথিপত্ৰ
"1. ଯୋଗ କାର୍ଯ୍ୟ, 2 ରାଶି କାର୍ଯ୍ୟ","1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য"
ଆଡର୍,adder
ଜାଣନ୍ତୁ |,ঠিকনা
ଠିକଣା ବସ୍,ঠিকনা বাছ
ଠିକଣା ଫାଇଲ୍ |,ঠিকনা নথিপত্ৰ
ଠିକଣା ଫର୍ମାଟ୍,ঠিকনা বিন্যাস
ଠିକଣା ଜେନେରେଟର,ঠিকনা উৎপাদক
ଠିକଣା ରେଖା,ঠিকনা ৰেখা
ଠିକଣା ମ୍ୟାପିଂ,ঠিকনা মেপিং
ଠିକଣା ସୂଚକ,ঠিকনা সূচক
ଠିକଣା ରେଜିଷ୍ଟର,ঠিকনা পঞ্জীয়ন
ଠିକଣା ଭାଙ୍ଗିବା,ঠিকনা ভাঙি যোৱা
