Marathi,Telugu
गर्भपात,అబార్ట్
गर्भपात टाइमर,అబార్ట్ టైమర్
परिपूर्ण पत्ता,సంపూర్ణ చిరునామా
परिपूर्ण पत्ता,సంపూర్ణ చిరునామా
परिपूर्ण असेंबलर,సంపూర్ణ సమీకరించేవాడు
परिपूर्ण कोड,సంపూర్ణ కోడ్
परिपूर्ण कोडिंग,సంపూర్ణ కోడింగ్
परिपूर्ण आज्ञा,సంపూర్ణ ఆదేశం
परिपूर्ण समन्वय,సంపూర్ణ కోఆర్డినేట్
परिपूर्ण डेटा,సంపూర్ణ డేటా
परिपूर्ण त्रुटी,సంపూర్ణ లోపం
परिपूर्ण अभिव्यक्ती,సంపూర్ణ వ్యక్తీకరణ
परिपूर्ण सूचना,సంపూర్ణ సూచన
परिपूर्ण लोडर,సంపూర్ణ లోడర్
परिपूर्ण ऑर्डर,సంపూర్ణ క్రమం
परिपूर्ण प्रोग्रामिंग,సంపూర్ణ ప్రోగ్రామింగ్
परिपूर्ण संज्ञा,సంపూర్ణ పదం
परिपूर्ण मूल्य,సంపూర్ణ విలువ
परिपूर्ण वेक्टर,సంపూర్ణ వెక్టర్
गोषवारा,నైరూప్య
अमूर्त,సంగ్రహించడం
अमूर्त प्रतीक,నైరూప్య చిహ్నం
प्रवेग कालावधी,త్వరణం కాలం
प्रवेग वेळ,త్వరణం సమయం
उच्चारण,యాస
स्वीकृती चाचणी,అంగీకార పరీక్ష
प्रवेश,యాక్సెస్
प्रवेश आर्म,యాక్సెస్ ఆర్మ్
प्रवेश व्यवस्था,యాక్సెస్ అమరిక
प्रवेश प्राधिकरण,యాక్సెస్ అథారిటీ
प्रवेश शुल्क,యాక్సెస్ ఛార్జ్
प्रवेश वर्ग,యాక్సెస్ క్లాస్
प्रवेश डेटा बेस व्यवस्थापन,డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్
प्रवेश वातावरण,యాక్సెస్ ఎన్విరాన్మెంట్
प्रवेश अंतर,యాక్సెస్ గ్యాప్
प्रवेश निर्देशांक,ప్రాప్యత సూచిక
Line क्सेस लाइन,యాక్సెస్ లైన్
प्रवेश यंत्रणा,యాక్సెస్ మెకానిజం
प्रवेश पद्धत,యాక్సెస్ పద్ధతి
प्रवेश पद्धत दिनचर्या,యాక్సెస్ పద్ధతి దినచర్య
प्रवेश मोड,యాక్సెస్ మోడ్
प्रवेश बरोबर,హక్కును యాక్సెస్ చేయండి
प्रवेश स्कॅन,యాక్సెస్ స్కాన్
प्रवेश वेळ,ప్రాప్యత సమయం
लेखा,అకౌంటింగ్
लेखा वित्त प्रणाली,అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్
लेखा मशीन,అకౌంటింగ్ మెషిన్
खाते क्रमांक,ఖాతా సంఖ్య
पुनरुत्पादक संचय,పునరుత్పత్తిదారుని కూడబెట్టుకోవడం
संचयक,సంచితం
संचयक नोंदणी,సంచిత రిజిస్టర్
संचयक शिफ्ट सूचना,సంచిత షిఫ్ట్ సూచన
अचूकता,ఖచ్చితత్వం
अचूकता नियंत्रण वर्ण,ఖచ్చితత్వ నియంత్రణ పాత్ర
अचूकता नियंत्रण प्रणाली,ఖచ్చితత్వ నియంత్రణ వ్యవస్థ
ऐस पायलट,ఏస్ పైలట్
चरित्र कबूल करा,పాత్రను గుర్తించండి
ध्वनिक कपलर,ఎకౌస్టిక్ కప్లర్
ध्वनिक कपलिंग,శబ్ద కలపడం
ध्वनिक विलंब रेखा,శబ్ద ఆలస్యం రేఖ
