Kannada,English
ಆಂಪಿಯರ್ (ಘಟಕ),A (Ampere unit of current)
ಆಂಗ್ಸ್ಟ್ರಮ್,A (angstrom)
ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್,A amplifier
ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್,A-N radio range
ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ,A-scan presentation
a-ದರ್ಶ್,A-scope
ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ,A-scope display
A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್,A-T Cut crystal
"ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ",A.c-d.c. gain
ಬೆಳಗ್ಗೆ,A.M. (ante meridiem)
AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ),A.m.u. (atomic mass unit)
aard-vark*,Aard-vark
ಅಬ್-ಆಂಪಿಯರ್,Ab ampere
A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್,AB amplifier
ಅದಾ,Ab initio
ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ,AB power pack
abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್,Abac=alignment chart=nomograph
ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ),Abbe number (=Abbe constant)
ಅಬೆ ವಕ್ರೀಕಾರಕ,ABBE refractometer
ಅಬೆ ಸೈನ್ ರಾಜ್ಯ,Abbe sine condition
ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ,Abc (automatic bias compensation)
abcoulom,Abcoulomb
"ವಿಪಥನ, ವಿಪಥನ",Aberration
ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ,Aberration corrector lens
ಆಕಾಶ ವಿಪಥನ,Aberration of light
abfarad,Abfarad
ಎಬೆನ್ರಿ,Abhenry
ಎಬೊನಿ ಎಫೆಕ್ಟ್,Abney effect (=Abney law)
ಅಸಹಜ ಧ್ರುವೀಕರಣ,Abnormal polarisation
ಅಸಹಜ ಪ್ರಸರಣ,Abnormal propagation
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ,Abnormal reflection
ಅಸಹಜ ವಕ್ರೀಭವನ*,Abnormal refraction
ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ,Abnormal resistance
ab-om,Abohm
"ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ",Abortion
"ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ",Abrupt
ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು,Abrupt jump
ಕೈ*,Abscissa
ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ,Absent reflection
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,Absent spectrum
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ",Absolute
ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ,Absolute acceleration
ಸಂಪೂರ್ಣ ವಾಸ್ತವ,Absolute accuracy
ಸಂಪೂರ್ಣ ವಿಳಾಸ,Absolute address-specific address
ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್,Absolute altimeter
ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ,Absolute altitude
ಸಂಪೂರ್ಣ ಆಂಪಿಯರ್,Absolute ampere
ಸಂಪೂರ್ಣ ಕುದಿಯುವ ಬಿಂದು,Absolute boilling point
ಸಂಪೂರ್ಣ ಪ್ರಕಾಶಮಾನತೆ,Absolute bolometric luminosity
ಸಂಪೂರ್ಣ ಸಾಮರ್ಥ್ಯ,Absolute capacity
ಸಂಪೂರ್ಣ ಎತ್ತರ,Absolute ceiling
ಸಂಪೂರ್ಣ ವರ್ಣದ್ರವ್ಯ,Absolute colour index
"ಸಂಪೂರ್ಣ ಸಂರಚನೆ, ನಿಸ್ಸಂದಿಗ್ಧವಾದ ಸಂರಚನೆ",Absolute configuration
ಸಂಪೂರ್ಣ ಕೂಲಂಬ್,Absolute coulomb
ಸಂಪೂರ್ಣ ಕತ್ತಲೆ,Absolute darkness
ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ,Absolute dating
ಸಂಪೂರ್ಣ ಸಾಂದ್ರತೆ*,Absolute density
ಸಂಪೂರ್ಣ ಒಳಚರಂಡಿ,Absolute drift
ಸಂಪೂರ್ಣ EMU (ವಿದ್ಯುತ್ಕಾಂತೀಯ ಘಟಕ),Absolute e.m.u.
ಸಂಪೂರ್ಣ ESU (ಸ್ಥಾಯಿ ವಿದ್ಯುತ್ ಘಟಕ),Absolute e.s.u.
ಸಂಪೂರ್ಣ ದಕ್ಷತೆ,Absolute efficiency
ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋಮೀಟರ್,Absolute electrometer
ಸಂಪೂರ್ಣ ಆವರ್ತನ ಸಂಪೂರ್ಣ ಆವರ್ತನ,Absolute frequency
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,Absolute humidity
ಸಂಪೂರ್ಣ ಘಟನೆ,Absolute incidence
ಸಂಪೂರ್ಣ ವಕ್ರೀಕಾರಕ ಸೂಚ್ಯಂಕ,Absolute index of refraction
ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ,Absolute instability
ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ,Absolute intensity
"ಸಂಪೂರ್ಣ ತೀವ್ರತೆ, ಸಂಪೂರ್ಣ ತೀವ್ರತೆ",Absolute length
ಅಸ್ತೇನಿಯಾದ ಸಂಪೂರ್ಣ ಮಿತಿ,Absolute limit of hysteresis
ಸಂಪೂರ್ಣ ಪ್ರಕಾಶದ ಸಿಲ್,Absolute luminance threshold
ಸಂಪೂರ್ಣ ಬೆಳಕಿನ ಕರ್ವ್,Absolute luminosity curve
ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ,Absolute magnitude
ಸಂಪೂರ್ಣ ಮಾಪಕ,Absolute manometer
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,Absolute maximum
ಸಂಪೂರ್ಣ ವಿಪರೀತ,Absolute maximum rating
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,Absolute minimum
ಸಂಪೂರ್ಣ ಆವೇಗ,Absolute momentum
ಸಂಪೂರ್ಣ ವೇಗ,Absolute motion
ಸಂಪೂರ್ಣ ಸಂಗೀತ,Absolute music=pure music
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,Absolute observation
ಸಂಪೂರ್ಣ ಓಂ,Absolute ohm
ಸಂಪೂರ್ಣ ದೃಷ್ಟಿಕೋನ,Absolute orientation
ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋನೆಜಿಟಿವಿಟಿ,Absolute permittivity
ಸಂಪೂರ್ಣ ಗುರುತ್ವಾಕರ್ಷಣೆ,Absolute pitch
ಸಂಪೂರ್ಣ ಒತ್ತಡ,Absolute pressure = true pressure
ಸಂಪೂರ್ಣ ಆಸ್ತಿ,Absolute property
ಸಂಪೂರ್ಣ ಸ್ಕೇಲಾರ್,Absolute scalar
ತಾಪಮಾನದ ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ*,Absolute scale of temperature
"ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ, ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ",Absolute simultancity
ಸಂಪೂರ್ಣ ಒತ್ತಡ,Absolute stress
ಸಂಪೂರ್ಣ ಸಮ್ಮಿತಿ,Absolute symmetry
ಸಂಪೂರ್ಣ ಚಲನೆಯ ದೇಹ,Absolute system of motion
ಸಂಪೂರ್ಣ ಘಟಕ ವ್ಯವಸ್ಥೆ,Absolute system of units
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,Absolute temperature
ಸಂಪೂರ್ಣ ಸಮಯ,Absolute time
ಸಂಪೂರ್ಣ ಘಟಕಗಳು,Absolute unit
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,Absolute value
ಪೂರ್ಣಾಂಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್,Absolute value computer
ಸಂಪೂರ್ಣ ವೇಗ,Absolute velocity
ಸಂಪೂರ್ಣ ಸ್ನಿಗ್ಧತೆ,Absolute viscosity
ಸಂಪೂರ್ಣ ತೂಕ,Absolute weight
ಸಂಪೂರ್ಣ ಶೂನ್ಯ*,Absolute zero
ಶೂನ್ಯದ ಸಂಪೂರ್ಣ ಭಾಜಕ,Absolute zero devisor
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,Absorb
ಹೀರಿಕೊಳ್ಳುವ ಸೂಚ್ಯಂಕ*,Absorbance
