Tamil,Bengali
ஏசி சமமான சுற்று,এসি সমতুল্য সার্কিট
எண் மாற்றிக்கு ஒப்புமை,এনালগ থেকে সাংখ্যিক রূপান্তরকারী
முழுமையான பூஜ்ஜியம்,পরম শূন্য
உறிஞ்சுதல் குணகம்,শোষণ গুণাঙ্ক
உறிஞ்சுதல் நிறமாலை,শোষণ বর্ণালী
ஏற்பி அணு,রিসেপ্টর পরমাণু
மாற்று மின்னோட்ட இணைப்பு,বিকল্প বর্তমান যুগল
எலக்ட்ரான் அறுவடை,ইলেক্ট্রন সংগ্রহ
துளை சேமிப்பு,গর্ত স্টোরেজ
செயல்படுத்தும் ஆற்றல்,অ্যাক্টিভেশন শক্তি
செயலில் பெருக்கி,সক্রিয় পরিবর্ধক
செயலில் உள்ள டையோடு சுற்று,সক্রিয় ডায়োড সার্কিট
செயலில் வடிகட்டி,সক্রিয় ফিল্টার
செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி,সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার
செயலில் சுமை,সক্রিয় লোড
செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி,সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার
செயலில் உள்ள பகுதி,সক্রিয় এলাকা
தகவமைப்பு மின்னணுவியல்,অভিযোজিত ইলেকট্রনিক্স
சேர்ப்பான்,যোগকারী
சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு,সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন
ஊடுருவல்,অনুপ্রবেশ
ஏரியல்,এরিয়েল
பெப் அதிர்வெண்,পিপ ফ্রিকোয়েন্সি
காற்றுச்சீரமைப்பி,এয়ার কন্ডিশনার
சீரமைப்பு,প্রান্তিককরণ
அல்காரிதம்,অ্যালগরিদম
அனைத்து பாஸ் வடிகட்டி,সমস্ত পাস ফিল্টার
அலாய் சந்திப்பு,খাদ জংশন
தணிவு,ক্ষয়
மாறுதிசை மின்னோட்டம்,বিবর্তিত বিদ্যুৎ
சுற்றுப்புற வெப்பநிலை,পরিবেষ্টিত তাপমাত্রা
இருமுனை,বাইপোলার
பெருக்கம்,পরিবর্ধন
பெருக்கி,পরিবর্ধক
பெருக்கி செயல்திறன்,পরিবর্ধক দক্ষতা
பரிமாணங்கள்,মাত্রা
வீச்சு குறைதல்,প্রশস্ততা ক্ষয়
அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்,প্রশস্ততা মডুলেটেড এএম অসিলেটর
வீச்சு பண்பேற்றம்,প্রশস্ততা মড্যুলেশন
வீச்சு மாடுலேட்டர்,প্রশস্ততা মডুলেটর
angstrom அலகு,অ্যাংস্ট্রম ইউনিট
அனலாக் சுற்று,এনালগ সার্কিট
அனலாக் கணினி,এনালগ কম্পিউটার
அனலாக் வடிகட்டி,এনালগ ফিল্টার
அனலாக் மல்டிமீட்டர்,এনালগ মাল্টিমিটার
அனலாக் சுவிட்ச்,এনালগ সুইচ
மற்றும் வாயில்,এবং গেট
கோண அதிர்வெண்,কৌণিক কম্পাংক
"அயனி, அயனி","anion, anion"
அனீலிங் வெப்பநிலை,অ্যানিলিং তাপমাত্রা
நேர்மின்முனை,অ্যানোড
அனோட் பெருக்கி,অ্যানোড পরিবর্ধক
அனோடைன்,anodyne
ஆண்டெனா,অ্যান্টেনা
ஆண்டெனா கூறு,অ্যান্টেনা উপাদান
எதிர்ப்பு பிரதிபலிப்பு பூச்சு,বিরোধী প্রতিফলিত আবরণ
ஆன்டிலோகின் பெருக்கி,অ্যান্টিলগইন পরিবর্ধক
எதிரொலி சுற்று,অ্যান্টিরেজোন্যান্ট সার্কিট
துவாரகர் காலம்,দ্বারক যুগ
மெய்நிகர் சக்தி,ভার্চুয়াল শক্তি
கம்பி இணைப்பு,তারের সংযোগ
தோராயமான மின்னழுத்த ஆதாயம்,আনুমানিক ভোল্টেজ লাভ
ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்,আর্মস্ট্রং মডুলেটর
ஆண்டெனா வரிசை,অ্যান্টেনা অ্যারে
"அளவு விகிதம், தோற்ற விகிதம்","সাইজ রেশিও, অ্যাসপেক্ট রেশিও"
மிதக்கும் சுற்று (இலவச இயக்க சுற்று),ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট)
தானியங்கி மல்டிவிபிரேட்டர்,স্বয়ংক্রিয় মাল্টিভাইব্রেটর
மிதக்கும் மல்டிவிபிரேட்டர்,ভাসমান মাল্টিভাইব্রেটর
சமச்சீரற்ற சந்திப்பு,অপ্রতিসম জংশন
ஒத்திசைவற்ற கால்குலேட்டர்,অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর
அணுக்கரு,পারমাণবিক
அணு எண்,পারমাণবিক সংখ্যা
அணு அமைப்பு,পারমাণবিক গঠন
ஒலி பெருக்கி,অডিও পরিবর্ধক
ஒலி பெருக்கி,অডিও পরিবর্ধক
ஆடியோ கேசட்,অডিও ক্যাসেট
ஒலி சுற்று,অডিও সার্কিট
கேட்கக்கூடிய அதிர்வெண்,শ্রবণযোগ্য ফ্রিকোয়েন্সি
தானியங்கி மின்னழுத்த கட்டுப்பாடு,স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ
பனிச்சரிவு,তুষারপাত
சராசரி கண்டுபிடிப்பான்,গড় আবিষ্কারক
அச்சு முறை,অক্ষীয় মোড
அச்சு விகிதம்,অক্ষীয় অনুপাত
ஆண்டெனா,অ্যান্টেনা
பின் மின்னோட்ட விசை,ব্যাক ইলেক্ট্রোমোটিভ ফোর্স
பின் பகுதி,পিছনের এলাকা
மீண்டும் சிதறல்,ব্যাক স্ক্যাটার
பின்னணி கட்டணம்,ব্যাকগ্রাউন্ড চার্জ
பக்க சத்தம்,পার্শ্ব গোলমাল
பின்னடைவு,পশ্চাদপসরণ
பின்புற கதிர்வீச்சு,পোস্টেরিয়র বিকিরণ
பின்னோக்கி டையோடு / பின்தங்கிய டையோடு,ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড
பின்னோக்கி அலை ஆஸிலேட்டர்,ব্যাকওয়ার্ড ওয়েভ অসিলেটর
"தடை, தடை","বাধা, বাধা"
தடை,বাধা
சீரான பாலம்,সুষম সেতু
சமநிலை மாடுலேட்டர்,সুষম মডুলেটর
சமநிலை மாடுலேட்டர்,সুষম মডুলেটর
சமநிலை சுற்று,সুষম সার্কিট
சமச்சீர் சாய்வு கண்டறிதல்,সুষম গ্রেডিয়েন্ট ডিটেক্টর
தற்போதைய நிலைப்படுத்தி எதிர்ப்பு,বর্তমান স্টেবিলাইজার প্রতিরোধের
போலோமீட்டர்,বোলোমিটার
போலோமீட்டர் பாலம்,বোলোমিটার সেতু
பலூன்,বেলুন
வாழை பலா,কলা জ্যাক
வாழை பிளக்,কলা প্লাগ
"பட்டை, கட்டு","ব্যান্ড, ব্যান্ডেজ"
இசைக்குழு இயக்கி,ব্যান্ড ড্রাইভার
இசைக்குழு ஆற்றல்,ব্যান্ড শক্তি
பட்டை இடைவெளியை,ব্যান্ড ফাঁক
பேட்பார்க் பெருக்கி,ব্যাডপার্ক পরিবর্ধক
பேண்ட் பாஸ் வடிகட்டி,ব্যান্ড পাস ফিল্টার
பாட் ரேட் ஜெனரேட்டர்,বড রেট জেনারেটর
பட்டை பரவல்,banddispersion
இசைக்குழு மின்தடை,ব্যান্ড প্রতিরোধক
பேண்ட் பிரேக்கர் வடிகட்டி,ব্যান্ড ব্রেকার ফিল্টার
இசைக்குழு விரிவாக்கம்,ব্যান্ড সম্প্রসারণ
பேண்ட் ரிமூவர் வடிகட்டி,ব্যান্ড রিমুভার ফিল্টার
பேண்ட் விரிவாக்கம் விலகல் பெருக்கி,ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার
பேண்ட் நீட்டிப்பு தூரம் பெருக்கி,ব্যান্ড এক্সটেনশন দূরত্ব গুণক
"பீம் மின்தேக்கி, வங்கி மின்தேக்கி","বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর"
"குரைக்கும் குறியீடு, குரைக்கும் குறியீடு","বার্কার কোড, বার্কার কোড"
barravaugen அளவுகோல்,barravaugen মানদণ্ড
பார்ப்பனர்,বাধাদানকারী
தடை,বাধা
இன்சுலேடிங் மின்தேக்கி,অন্তরক ক্যাপাসিটর
தடை ஆற்றல்,বাধা শক্তি
மின்தடை மின்னழுத்தம்,প্রতিরোধক ভোল্টেজ
பார்ட்லெட் ஜன்னல்,বার্টলেট উইন্ডো
"அடிப்படை, அடிப்படை","ভিত্তি, ভিত্তি"
அடிப்படை இசைக்குழு,বেস ব্যান্ড
அடிப்படை இசைக்குழு பரிமாற்றம்,বেস ব্যান্ড ট্রান্সমিশন
அடிப்படை கட்டணம்,বেস চার্জ
அடிப்படை மின்னோட்டம்,ভিত্তি বর্তমান
அடிப்படை தற்போதைய ஆதாரம்,ভিত্তি বর্তমান উৎস
அடிப்படை வெட்டுதல்,বেস শিয়ারিং
ஆதார் மதன்,আধার মদন
அடிப்படை உமிழ்ப்பான் ஊட்டம்,বেস ইমিটার ফিড
அடிப்படை உமிழ்ப்பான் சந்திப்பு,বেস ইমিটার জংশন
அடிப்படை ஊசி,বেস ইনজেকশন
தரை வரி,স্থল লাইন
அடிப்படை எதிர்ப்பு,বেস প্রতিরোধের
அடிப்படை ஆதாரம்,ভিত্তি উৎস
அடிப்படை விரிவாக்க எதிர்ப்பு,বেস সম্প্রসারণ প্রতিরোধের
அடிப்படை விரிவாக்க எதிர்ப்பு,বেস সম্প্রসারণ প্রতিরোধের
அடிப்படை தடிமன்,ভিত্তি বেধ
அடிப்படை அணுகல்,বেস অ্যাক্সেস
"அடிப்படை அகல பண்பேற்றம், அடிப்படை விரிவாக்க மாடுலேஷன்","বেস উইথ মডুলেশন, বেস এক্সপেনশন মডুলেশন"
அடிப்படை சேகரிப்பாளர் ஒப்பந்தம்,বেস কালেক্টর চুক্তি
வாசனை,গন্ধ
பாஸ் அதிர்வெண்,খাদ ফ্রিকোয়েন্সি
மின்கலம்,ব্যাটারি
பாட்,বউড
பாட் விகிதம்,বড হার
பாட் ரேட் ஜெனரேட்டர்,বড রেট জেনারেটর
போடோ குறியீடு,বোডো কোড
