Bengali,Odiya
A B শ্রেণীর পরিবর্ধক,ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
বিকৃতি,ଘୃଣ୍ୟତା |
অস্বাভাবিক সংক্রমণ,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা","ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |"
অনুপস্থিত বর্ণালী,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"পরম, পরম, ধ্রুবক, নিখুঁত","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
পরম আর্দ্রতা,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
পরম গতি,ସଂପୂର୍ଣ୍ଣ ଗତି
পরম পর্যবেক্ষণ,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
পরম তাপমাত্রা,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
পরম শূন্য,ସଂପୂର୍ଣ୍ଣ ଶୂନ
শোষণ করা,ଶୋଷଣ
"শোষক, শোষক","ଶୋଷକ, ଶୋଷକ"
শোষণ ক্ষমতা,ଅବଶୋଷଣ କ୍ଷମତା |
শোষণ,ଅବସାଦ |
শোষক,ଶୋଷକ
শোষণ,ଶୋଷଣ
বহুগুণ অনুপাত,ବହୁଗୁଣ ଅନୁପାତ |
ত্বরান্বিত করা,ତ୍ୱରାନ୍ୱିତ କର |
তাড়াতাড়ি,ଶୀଘ୍ର ଶୀଘ୍ର
ত্বরণ,ତ୍ୱରଣ
অভিকর্ষের ত্বরণ,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
এক্সিলারেটর,ତ୍ୱରକ
এক্সিলারেটর,ତ୍ୱରକ
অ্যাক্সিলোমিটার,ଆକ୍ସିଲେରୋମିଟର
prestresser,ସମ୍ମାନ
গ্রহণযোগ্য পরীক্ষা,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
গ্রহণকারী,ଗ୍ରହଣକାରୀ
দাতা অণু,ଦାତା ଅଣୁ
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা","ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |"
অ্যাক্সেসযোগ্যতা,ଅଭିଗମ୍ୟତା
"অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)","ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)"
প্রবেশাধিকার সময়,ପ୍ରବେଶ ସମୟ
ভিজিটর ত্রুটি,ପରିଦର୍ଶକ ତ୍ରୁଟି |
সমন্বয়,ଆଡଜଷ୍ଟେସନ୍
পুঞ্জীভূত,ସଂଗୃହିତ
"accumulation, accumulation","ଜମା, ଜମା"
সঞ্চয়কারী,ଜମାକାରୀ
সঠিকতা,ସଠିକତା
বাস্তবতা,ବାସ୍ତବତା
অ্যাক্রোমেটিক লেন্স,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
অ্যাক্রোমেটিক,ଆକ୍ରୋମାଟିକ୍ |
বর্ণহীনতা,ଆକ୍ରୋମାଟିଟି
শাব্দিক,ଶବ୍ଦ
শব্দরোধী,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
শাব্দিক ফোনন,ଆକାଶବାଣୀ ଫୋନନ୍ |
শব্দ ইউনিট,ଧ୍ୱନି ଏକକ |
শাব্দিক,ଶବ୍ଦ
শব্দ জেনারেটর,ଶବ୍ଦ ଜେନେରେଟର
কর্ম এবং প্রতিক্রিয়া,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
সক্রিয়করণ,ସକ୍ରିୟ
অ্যাক্টিভেশন শক্তি,ସକ୍ରିୟ ଶକ୍ତି
"সক্রিয়কারী, সক্রিয়কারী","ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |"
সক্রিয়,ସକ୍ରିୟ |
সক্রিয়তা,ସକ୍ରିୟତା
প্রকৃত চাপ,ପ୍ରକୃତ ଚାପ
ফিসফিস,ଫୁସ୍ଫୁସ୍
যোগফল,ସଂକ୍ଷେପରେ
"যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)","ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)"
"সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)","ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)"
সংযোজনকারী,ଯୋଗୀ
আনুগত্য,ଆଡିଶିନ୍ |
আঠালো শক্তি,ଆଡେସିଭ୍ ଶକ୍ତି |
adiabat,adiabat
adiabatic,ଆଡିଆବାଟିକ୍ |
তাপ নিরোধক,ଉତ୍ତାପ ଇନସୁଲେଟିଂ
সংযুক্তি,ସଂଲଗ୍ନ
সামঞ্জস্যযোগ্য,ନିୟନ୍ତ୍ରିତ
অনুপ্রবেশ,ଅନୁପ୍ରବେଶ
শোষণ,ବିଜ୍ or ାପନ
এগিয়ে,ଆଗକୁ
প্রগতিশীল,ପ୍ରଗତିଶୀଳ |
"আকাশী, ভাইভা (v.), বায়বীয় (ed.)","akashi, air (v।), aerial (ed।)"
অ্যান্টেনা প্রবাহ,ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |
বায়বীয় জরিপ,ବାୟୁ ସର୍ବେକ୍ଷଣ |
বায়ু বেগ,ବାୟୁ ବେଗ
এরোডাইনামিক সহগ,ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
এরোডাইনামিক,ଏରୋଡାଇନାମିକ୍ |
বায়ুগতিবিদ্যা,ଏରୋଡାଇନାମିକ୍ସ |
বৈমানিক,ଏରୋନେଟିକାଲ୍ |
বৈমানিক,ଏରୋନେଟିକ୍ସ |
বায়ু নাড়ি,ବାୟୁ ନାଡ
"বায়ুমণ্ডল, গ্যাসোস্ফিয়ার","ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |"
ফোকাস সিস্টেম,ଫୋକସ୍ ସିଷ୍ଟମ୍ |
পিছনে ইগনিশন,ପଛ ଇଗ୍ନିସନ୍ |
পিছনের আলো,ପଛ ଆଲୋକ
আঘাত,ସଂକଟ
"বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া","ବୟସ, ବୟସ, ବୟସ, ଯୁଗ (ଏଡି।), ସମୟ (ver।), ସମୟ, ସମୟ ଦ୍ୱାରା ପ୍ରଭାବିତ ହେବା |"
সময় প্রভাবিত,ସମୟ ପ୍ରଭାବିତ |
"বার্ধক্য, বার্ধক্য","ବାର୍ଦ୍ଧକ୍ୟ, ବାର୍ଦ୍ଧକ୍ୟ"
সময়ের প্রভাব,ସମୟ ପ୍ରଭାବ
সময় প্রভাব পরীক্ষা,ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା
মাধ্যাকর্ষণহীন,ମାଧ୍ୟାକର୍ଷଣ |
