Odiya,Assamese
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,ৱেষ্টমিনিষ্টাৰৰ এবে
ଅବକ୍ଷୟ,এবডিটৰী
ଦାସତ୍ୱ ରଦ୍ଦ,দাসত্ব বিলুপ্ত কৰা
ଆଦିବାସୀ,আদিবাসী
ଅବ୍ରହାମ ଏରା,আব্ৰাহাম যুগ
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,অনুপস্থিত ঘৰৰ মালিক
ଏକାଡେମୀ |,একাডেমী
ଆକ୍ରା ସମ୍ମିଳନୀ |,আক্ৰা সন্মিলন
ଆକ୍ରୁଏଲ୍ |,এক্ৰুৱেল
ଆକଲଚ୍ୟୁଚର୍,সংস্কৃতিকৰণ
ଆକେଲଡାମା |,এচেলডামা
ଆଖିଆନ୍ (= ଆଚିଆନ୍),আখিয়ান (=আচিয়ান)
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),আচায়ান লীগ (=আচিয়ান লীগ)
ଆକ୍ରୋପଲିସ୍ |,এক্ৰ&#39;পলিছ
ଆକ୍ଟା ଡିଆର୍ନା |,এক্টা ডিউৰ্না
ଆକ୍ଟା ସେନାଟସ୍ |,এক্টা চেনেটাছ
ଆକ୍ଟ ଆଡେଲ୍ |,এক্টে এডিচনেল
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড)
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,প্ৰাপ্তিৰ কাৰ্য্য
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন
ସମାଧାନ ନିୟମ,বন্দোবস্তৰ আইন
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,এড কন্ট্ৰেক্টাছ ছীল
ଆଡୁଲାମାଇଟ୍ସ |,এডুলামাইটছ
ଶତ୍ରୁ,বিৰোধী
ଶତ୍ରୁ,বিৰোধী
ଆଓନ୍,ইয়ন
ଏରାରିୟମ୍ |,এৰেৰিয়াম
ବାୟୁ ଯୁଦ୍ଧ |,আকাশী যুদ্ধ
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,এটলিয়ান লীগ
ବୟସ,বয়স
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা)
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া
ଆଗେଲାଇ |,আগেলাই
Ival ିଭାଲିର ବୟସ |,অশ্বাৰোহীৰ যুগ
ଜ୍ଞାନର ବୟସ |,এজ অৱ ইংলাইটমেণ্ট
ପେରିକଲ୍ସର ବୟସ |,পেৰিক্লিছৰ বয়স
କାରଣର ବୟସ |,যুক্তিৰ বয়স
କୃଷିବାଦ,কৃষিবাদ
କୃଷି ଆନ୍ଦୋଳନ |,কৃষি আন্দোলন
ଆଲବିଅନ୍ |,এলবিয়ন
ଆଲବମ୍,এলবাম
ଆଲଡରମ୍ୟାନ୍ |,এলডাৰমেন
ଭ୍ରାନ୍ତ ବାହୁ |,আলোকসজ্জা বাহু
ବନ୍ଧୁତା,এমিটি
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,এম্ফিক্টয়নিক কাউন্সিল
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,এম্ফিক্টয়নিক লীগ
ଆମ୍ଫିଥେଟର,এম্ফিথিয়েটাৰ
ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର),অমৰি নল গোট (মৃৎশিল্পৰ)
ଆନାକ୍ରୋନିଜିମ୍ |,এনাক্ৰ’নিজম
ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |,এনাক্ৰ’নিষ্টিক
ପୂର୍ବପୁରୁଷ,পূৰ্বপুৰুষ
ପୂର୍ବପୁରୁଷ ପୂଜା |,পূৰ্বপুৰুষ পূজা
ପିତୃପୁରୁଷ,বংশ
ପିତୃପୁରୁଷ,বংশ
ପିତୃପୁରୁଷ,বংশ
ପିତୃପୁରୁଷ,বংশ
ପ୍ରାଚୀନ ଶାସନ,Ancien শাসন ব্যৱস্থা
ପ୍ରାଚୀନ,পৌৰাণিক
ପ୍ରାଚୀନ ବାଲାଡ୍ |,প্ৰাচীন বেলাড
ପ୍ରାଚୀନ ବିଶ୍ୱାସ,প্ৰাচীন বিশ্বাস
ପ୍ରାଚୀନ ପ୍ରଥା,প্ৰাচীন প্ৰথা
ପ୍ରାଚୀନ ଇତିହାସ,প্ৰাচীন ইতিহাস
ପ୍ରାଚୀନ ସ୍ମାରକୀ,প্ৰাচীন কীৰ্তিচিহ্ন
ଉପନ୍ୟାସ,উপাখ্যান
ଆଞ୍ଜେଲଟ୍ |,এঞ্জেলট
ଆଞ୍ଜେଲସ୍ |,এঞ্জেলছ
ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍),এঞ্জেভিন (=anjevin)
କୋଣ,কোণ
ଅଙ୍ଗଲିକାନ୍ |,এংলিকান
ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |,এংলিকান কমিউনিয়ন
ଅଙ୍ଗଲିକାନିଜିମ୍ |,এংলিকানিজম
ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |,এংলো-ফ’ব
ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |,এংলো-ফ’বিয়া
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |,এংলো-চেক্সন
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |,এংলো-চেক্সনবাদ
ଆନ୍ନାଲିଷ୍ଟ |,এনালিষ্ট
ବାର୍ଷିକ,এনালছ
ସଂଲଗ୍ନ,সংলগ্নকৰণ
ଆଣ୍ଟେ-ବେଲମ୍ |,এণ্টে-বেলাম
ଆଣ୍ଟେ ତାରିଖ |,এণ্টে তাৰিখ
ଧର୍ମ-ବିରୋଧୀ,কেৰাণীবাদ বিৰোধী
ଧର୍ମ-ବିରୋଧୀ ନିୟମ,কেৰাণী বিৰোধী আইন
ପ୍ରାଚୀନତା,প্ৰাচীনতা
ଆଣ୍ଟି-ଭଡା,ভাড়া বিৰোধী
ଆଣ୍ଟି-ଭଡା,ভাড়া বিৰোধী
ବିରୋଧୀ ଦଳ,চেমিটিজম বিৰোধী
ଅଞ୍ଜାକ |,এঞ্জেক
ଆପେଲା |,এপেলা
ଅରୁଲୁ |,আৰালু
ଆର୍ ବିଶପ୍ |,আৰ্ক বিচপ
ଆର୍ ଡୁଚି |,আৰ্ক ডাচি
ଆର୍ ଡ୍ୟୁକ୍ |,আৰ্ক ড্যুক
ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ),আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ)
ଆର୍କିପିସ୍କୋପେଟ୍ |,আৰ্কিপিস্কোপেট
ଆଭିମୁଖ୍ୟ,অভিজাত শ্ৰেণী
ଆରିଷ୍ଟୋକ୍ରାଟ୍ |,অভিজাত
ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |,অভিজাত স্নোবৰী
ଆରିଷ୍ଟୋଟେଲିଆନ୍ |,এৰিষ্ট&#39;টেলিয়ান
ଆର୍ମଡା |,আৰ্মাডা
ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା),আৰ্মাডা (=স্পেনিছ আৰ্মাডা)
ବାହୁବଳୀ (= ବାହୁବଳୀ),আৰ্মৰিষ্ট (=armourist)
ବାହୁବଳୀ (= ବାହୁବଳୀ),কৱচ (=কৱচ)
ବାହୁବଳୀ |,আৰ্মৰিষ্ট
ଆର୍ଯ୍ୟନ୍,আৰ্য্য
ଆର୍ଯ୍ୟନ୍,আৰ্য্য
ଆସ୍କାରି |,আস্কৰী
ନ୍ୟସ୍ତ କରନ୍ତୁ |,Assignat
Assize,Assize
Assize,Assize
Assize,Assize
ଆର୍ମସ୍ ଆକ୍ଟର ଆସାଇଜ୍ |,এছাইজ অৱ আৰ্মছ এক্ট
ଡାରେନ୍ ପ୍ରେଜେଣ୍ଟେସନ୍ ର ଆସାଇଜ୍ |,ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ
ମର୍ଟ &#39;ଡି&#39; ପୂର୍ବପୁରୁଷଙ୍କ ଅନୁଧ୍ୟାନ |,মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ
ନୋଭେଲ୍ ଡିସାଇସିନ୍ ର ଆସାଇଜ୍ |,নভেল ডিচেইচিনৰ এছাইজ
ଅତ୍ୟାଚାର,অত্যাচাৰ
ଆକ୍ରମଣ,আক্ৰমণ
ଆୟୁଲିକ୍ ପରିଷଦ |,অলিক কাউন্সিল
ଗେଡିର କୁରା (ି (= ଗେଡି କୁରା) ି),গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ)
ଆକ୍ସିସ୍ (= ରୋମ୍-ବର୍ଲିନ୍-ଟୋକିଓ ଆକ୍ସିସ୍),অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ)
ବାବିଲ,বেবিলন
ବାବିଲର ବନ୍ଦୀତା (= ବାବିଲୋନ ବନ୍ଦୀ),বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব)
ବ୍ୟାଚାନାଲ ଭକ୍ତ,বচনাল ভক্ত
ବ୍ୟାଚାନାଲିଆ |,বাচনালিয়া
ଅବିବାହିତ,অবিবাহিত লোক
ବାଗଦାଦ ଚୁକ୍ତି |,বাগদাদ চুক্তি
ବାଲକାନ୍ ଲିଗ୍ |,বাল্কন লীগ
ବାଲକାନ୍ ଚୁକ୍ତି |,বাল্কন চুক্তি
ବାଲକାନ ଯୁଦ୍ଧ |,বাল্কন যুদ্ধ
ବାଲ୍ଟିକ୍ ଚୁକ୍ତି |,বাল্টিক চুক্তি
ବୃନ୍ଦାବନ,ডাকাত
ବୃନ୍ଦାବନ ସମ୍ମିଳନୀ |,বাণ্ডুং সন্মিলন
ବହିଷ୍କାର |,নিৰ্বাসন
ବ୍ୟାନର |,বেনাৰ
ବର୍ବର,বৰ্বৰ
ବାର୍ବିକାନ୍ |,বাৰ্বিকান
ବାର୍ଡୋଲି ସତ୍ୟଗ୍ରାହ |,বৰদলৈ সত্যাগ্ৰহ
ବାର୍ ବର୍ନର୍ସ |,বাৰ্ন বাৰ্নাৰ্ছ
ବରୁଣ |,বেৰন
ବରୁଣ,বেৰনেজ
ବାରୋନସ୍ ମେଜୋରସ୍ |,বেৰনছ মেজৰ
ବାରୋନସ୍ ମାଇନୋରସ୍ |,বেৰনেছ নাবালক
ବରୁଣେସ୍ |,বেৰনেছ
ବରୁଣେଟ୍ |,বেৰনেট
ବରୁଣେଟେଜ୍ |,বেৰনেটেজ
ବରୁଣେଟେଜ୍ |,বেৰনেটেজ
ବାରୋନେଟସି |,বেৰনেটচি
ବାରୋନି |,বেৰনি
ବାରାକୁନ୍ |,বেৰাকুন
ବାରାକୁନ୍ |,বেৰাকুন
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),বেৰিকেড (=barricade)
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),বেৰিকেড (=barricade)
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),বেৰিকেড (=barricade)
ବେସ୍ କ୍ୟାମ୍ପ୍ |,বেচ কেম্প
ବେସିଲିକା |,বেচিলিকা
ବେସିଲିକା |,বেচিলিকা
ବସ୍ତିଲା |,বাষ্টিলা
ବସ୍ତିଲ୍ |,বেষ্টিল
ବସ୍ତିଲ୍ |,বেষ্টিল
ବ୍ୟାଟେରୀ,বেটাৰি
ଯୁଦ୍ଧ,যুদ্ধ
ବଟଲ୍-ଆରେ |,বাটলে-এৰে
ଯୁଦ୍ଧ କାନ୍ଦ |,যুদ্ধৰ চিঞৰ
ଯୁଦ୍ଧ ଡିନ |,যুদ্ধৰ ডিন
ଯୁଦ୍ଧ କ୍ଷେତ୍ର |,যুদ্ধক্ষেত্ৰ
ଯୁଦ୍ଧ ଭଜନ,যুদ্ধ গীত
ସ୍ପର୍ସର ଯୁଦ୍ଧ |,স্পাৰ্ছৰ যুদ্ধ
ମାନାଙ୍କ ଯୁଦ୍ଧ |,ষ্টেণ্ডাৰ্ডৰ যুদ্ধ
ଯୁଦ୍ଧ ଜାହାଜ |,যুদ্ধজাহাজ
ଯୁଦ୍ଧ-ଶକ୍ତି |,যুদ্ধজাহাজ-শক্তি
ବାୟକ୍ସ ଟେପେଷ୍ଟ୍ରି |,Bayeux টেপেষ্ট্ৰি
ବିକନ୍ |,বিকন
ବିକନ୍ ଟାୱାର୍ |,বিকন টাৱাৰ
ବିଭର୍ |,বিভাৰ
ବିଭର୍ |,বিভাৰ
ସମୁଦ୍ରର ଭିକାରୀ |,সাগৰৰ ভিক্ষাৰী
ବେଲିକୋଜ୍ |,বেলিকোজ
ବେଲିକୋଜ୍ |,বেলিকোজ
ବେଲିକୋଜ୍ |,বেলিকোজ
ବେଲିକୋସିଟି |,বেলিকোচিটি
ବେଲୋନା |,বেলোনা
ଉପକାର,বেনিফিচ
ପାଦ୍ରୀମାନଙ୍କର ଲାଭ,ধৰ্মগুৰুসকলৰ লাভ
ବେନେଲକ୍ସ |,বেনেলাক্স
ବର୍ଲିନ୍ ଆଦେଶ |,বাৰ্লিন ডিক্রী
ବର୍ସରକର |,Berserker
ବେସାଣ୍ଟ (= ବେଜାଣ୍ଟ),Besant (=বেজান্ট)
ବ Bethel ଥେଲ୍ |,বেথেল
Bibliolater,বিব্লিঅ&#39;লেটাৰ
ଗ୍ରନ୍ଥସମୂହ,গ্ৰন্থবিজ্ঞান
ବିଗ୍ ବର୍ଥା |,বিগ বাৰ্থা
ବିଗଟ୍ |,কুসংস্কাৰ
ବିଲିଂ,বিলেটিং
ଅଟ୍ଟାଇଣ୍ଡରର ବିଲ୍ |,বিল অৱ এটেইণ্ডাৰ
ଅଧିକାର ବିଲ୍ |,অধিকাৰৰ বিল
ଜୀବନୀ,জীৱনীকাৰ
ଜନ୍ମ କାହାଣୀ |,জন্মৰ কাহিনী
ବିଭିଆକ୍ |,বিভক
ବିଭିଆକ୍ |,বিভক
ବିଭିଆକ୍ |,বিভক
ବିଜୋନିଆ |,বিজোনিয়া
କଳା ପକ୍ଷୀ,ক&#39;লা চৰাই চোৱা
କଳା ପତାକା,ক&#39;লা পতাকা
ବ୍ଲାକ୍ ହୋଲ୍ |,ব্লেক হোল
ବ୍ଲାକ୍ ହୋଲ୍ |,ব্লেক হোল
କଳା ଗୋଡ (= ସ୍କାବ),ক&#39;লা ভৰি (=scab)
କଳା ସାର୍ଟ |,ক&#39;লা চাৰ্ট
ବ୍ଲାଜନ୍,ব্লেজন
ବ୍ଲାଜନ୍,ব্লেজন
ବ୍ଲାଜୋନ୍ରି |,ব্লেজনাৰী
ବ୍ଲାଜୋନ୍ରି |,ব্লেজনাৰী
ବ୍ଲିଟ୍ସ୍କ୍ରିଗ୍ |,ব্লিটজক্ৰিগ
ରକ୍ତହୀନ ବିପ୍ଳବ (= ଗ or ରବମୟ ବିପ୍ଳବ),ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ)
ରକ୍ତଚାପ,ব্লাডৱাইট
ରକ୍ତାକ୍ତ ମରିୟମ |,ব্লাডি মেৰী
ନୀଳ,নীলা
ନୀଳ ରକ୍ତ,নীলা তেজ
ନୀଳ ପୁସ୍ତକ |,নীলা কিতাপ
ନୀଳ ରିବନ୍ |,নীলা ফিতা
ନୀଳ ରିବନ୍ |,নীলা ফিতা
ବ୍ଲୁଜ୍ (= ରୟାଲ୍ ଘୋଡା ଗାର୍ଡ),ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড)
ନୀଳ ସାର୍ଟ |,নীলা চাৰ্ট
ନୀଳ ଜଳ ବିଦ୍ୟାଳୟ |,ব্লু ৱাটাৰ স্কুল
ନିୟନ୍ତ୍ରଣ ବୋର୍ଡ |,নিয়ন্ত্ৰণ ব’ৰ্ড
ଶରୀରର ଅସ୍ତ୍ରଶସ୍ତ୍ର |,শৰীৰৰ কৱচ
ବୋଇର୍,ব&#39;ৰ
ବୁଟି,লুটপাত
ବୋରୱୋ |,বৰো
ବୁଲୁଟେରିଅନ୍ |,Bouleuterion
ବୋର୍ବନ୍ |,বোৰ্বন
ବକ୍ସର ବିଦ୍ରୋହ |,বক্সাৰ বিদ্ৰোহ
ବନ୍ଧନୀ,ব্ৰেচ
ପିତ୍ତଳ |,ব্ৰাছাৰ্ড
ପିତ୍ତଳ |,ব্ৰাছাৰ্ড
ରୁଟି କଲୋନୀ |,ব্ৰেড কলনী
ସ୍ତନ ପ୍ଲେଟ୍ |,ব্ৰেষ্ট প্লেট
ସ୍ତନ କାମ,স্তনৰ কাম
ବ୍ରେଟୱାଲଡା |,ব্ৰেটৱাল্ডা
ବ୍ରିଗାଣ୍ଡ୍ |,ব্ৰিগাণ্ড
ବ୍ରିଗେଣ୍ଡେଜ୍,ব্ৰিগেণ্ডেজ
ବ୍ରିଟିଶ୍ କମନୱେଲଥ୍ ଅଫ୍ ନେସନ୍ସ |,ব্ৰিটিছ কমনৱেলথ অৱ নেচনছ
ବ୍ରାଉନ୍ ସାର୍ଟ (= ନାଜି),ব্ৰাউন চাৰ্ট (=নাজী)
ବ୍ରୁସେଲ୍ସ ଚୁକ୍ତି (ଚୁକ୍ତି) ସଂଗଠନ (= ପଶ୍ଚିମ ୟୁରୋପୀୟ ୟୁନିଅନ୍),ব্ৰাছেলছ সন্ধি (পেক্ট) সংগঠন (=পশ্চিম ইউৰোপীয় সংঘ)
ବଫ୍ |,বাফ
ବଫ୍ |,বাফ
ବଫ୍-କୋଟ୍ |,বাফ-কোট
ବଫସ୍ |,বাফছ
ବୁଲେ (= ପରିଷଦ),বুলে (=পৰিষদ)
ବନ୍ଧକ,বাৰ্গেজ
ବରଗଡ |,বাৰ্জেছ
ବାଇଜାଣ୍ଟାଇନ,বাইজেন্টাইন
ବ yz ଜୟନ୍ତ ଚର୍ଚ୍ଚ,বাইজেন্টাইন গীৰ্জা
ବ yz ଜୟନ୍ତ ସାମ୍ରାଜ୍ୟ |,বাইজেন্টাইন সাম্ৰাজ্য
ବାଇଜାଣ୍ଟାଇନ ଯୁଗ,বাইজেন্টাইন যুগ
ବ yz ଜୟନ୍ତ histor ତିହାସିକମାନେ |,বাইজেন্টাইন ইতিহাসবিদ
କ୍ୟାବଲ୍ |,কেবাল
କେଜରିଜିମ୍ |,ছিজাৰীজম
ଖଲିଫ୍ |,খলিফা
କଲିଗ୍ରାଫର୍ |,কেলিগ্ৰাফাৰ
କଲିଗ୍ରାଫିଷ୍ଟ |,কেলিগ্ৰাফিষ্ট
କାଲିଗ୍ରାଫି |,কেলিগ্ৰাফী
କାଲ୍ଟ୍ରପ୍ |,কেলট্ৰপ
କାମାଡେରି |,সতীৰ্থতা
କାମାରିଲା |,কেমাৰিলা
କାମାରିଲା |,কেমাৰিলা
କାମେଲାକମ୍ |,কেমেলাকম
କାମୁଫ୍ଲେଜ୍ |,ছদ্মবেশ
ଅଭିଯାନ |,অভিযান
କ୍ୟାମ୍ପ ଅନୁସରଣକାରୀ |,কেম্প অনুগামী
କ୍ୟାମ୍ପୋ ସାଣ୍ଟୋ |,কেম্পো ছান্টো
କ୍ୟାମ୍ପସ୍ ମାର୍ଟିସ୍,কেম্পাছ মাৰ্চিয়াছ
କାନେଫୋରା |,কেনেফোৰা
କଙ୍ଗୁ,কেংগু
କାନନେଡ୍ |,কেননেড
ତୋପ ଖାଇବା |,কামানৰ ঘাঁহ
କାନନ୍ |,কেনন
କାନନ୍ ନିୟମ |,কেনন আইন
କାନୋପସ୍ ଆଦେଶ |,কেন&#39;পাছৰ ডিক্রী
ବାହୁବଳୀ,কেনটিং আৰ্মছ
ବନ୍ଦୀ,বন্দী
କ୍ୟାପ୍ଟର,বন্দী
କାର୍ଡିନାଲ୍ |,কাৰ্ডিনেল
କାର୍ଲ |,কাৰ্ল
କାରୋଲିଙ୍ଗିଆନ୍ ରାଜବଂଶ |,কেৰ&#39;লিঞ্জিয়ান বংশ
କାର୍ଟୁସିଆନ୍ ସମ୍ପ୍ରଦାୟ |,কাৰ্থুছিয়ান পন্থা
କାର୍ଟୋସା |,কাৰ্টোছা
କାଷ୍ଟେଲିଆନ୍ |,কেষ্টেলিয়ান
କାଷ୍ଟେଲିଆନ୍ |,কেষ্টেলিয়ান
ଜାତି ପ୍ରଣାଳୀ |,জাতি ব্যৱস্থা
