Kannada,Malayalam
ಅಬೆಲಿ ಗುಂಪು,അബെലി ഗ്രൂപ്പ്
ಅಬೆಲಿ ಗುಂಪು,അബെലി ഗ്രൂപ്പ്
ಕೈ,കൈ
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ","കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ"
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,കേവലമായ ഒത്തുചേരൽ
ಸಂಪೂರ್ಣ ದೋಷ,സമ്പൂർണ്ണ പിശക്
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,പരമോന്നത പരമോന്നത
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,ഏറ്റവും താഴ്ന്നത്
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,യഥാർത്ഥ മൂല്യം
ಸಂಪೂರ್ಣ ವೇಗ,കേവല വേഗത
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,അമൂർത്ത ബീജഗണിതം
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
ವೇಗವರ್ಧನೆ,ത്വരണം
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ഗുരുത്വാകർഷണ ത്വരണം
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ,സ്വീകാര്യമായ സെലക്ടർ
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,സ്വീകാര്യമായ നിലവാരം
ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ,സ്വീകാര്യമായ പരിസരം
ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,സാധുവായ വിശ്വാസ്യത നില
ಸ್ವೀಕಾರ ಮಾದರಿ,സ്വീകാര്യത സാമ്പിൾ
ಸಂಚಿತ ದೋಷ,സഞ്ചിത പിശക്
ನಿಖರತೆ,കൃത്യത
ಅನ್ವಯಿಸಿದ ಬಲ,പ്രയോഗിച്ച ബലം
"ಕ್ರಿಯೆ, ಕಾರ್ಯ","പ്രവൃത്തി, പ്രവൃത്തി"
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,പ്രവർത്തനവും പ്രതികരണവും
ವಿಮಾ ವಿಜ್ಞಾನ,ഇൻഷുറൻസ് ശാസ്ത്രം
ತೀವ್ರ ತ್ರಿಕೋನ,നിശിത ത്രികോണം
ಅಸೈಕ್ಲಿಕ್,അസൈക്ലിക്
ಒಟ್ಟುಗೂಡಿಸಲು,സംഗ്രഹിക്കാനായി
ಸೇರಿಸುವವನು,ചേർക്കുന്നയാൾ
"ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)","തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)"
ಯೋಗದ ಸೂತ್ರ,യോഗയുടെ ഫോർമുല
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ,സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക
ಕಾರ್ಯಗಳ ಮೊತ್ತ,പ്രവർത്തനങ്ങളുടെ ആകെത്തുക
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ,മെട്രിക്സുകളുടെ ആകെത്തുക
ಬಹುಪದಗಳ ಮೊತ್ತ,ബഹുപദങ്ങളുടെ ആകെത്തുക
ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ,സാധ്യതകളുടെ ആകെത്തുക
ವಾಹಕಗಳ ಮೊತ್ತ,വെക്റ്ററുകളുടെ ആകെത്തുക
"ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ,","സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം"
ಸಂಯೋಜಕ ಗುಂಪು,സങ്കലന ഗ്രൂപ്പ്
ಸಂಯೋಜಕ ವಿಲೋಮ,വിപരീത വിപരീതം
ಸೇರಿಸುವಿಕೆ,കൂട്ടിച്ചേർക്കൽ
ಸೇರಿಸುವಿಕೆ,കൂട്ടിച്ചേർക്കൽ
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
"ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ","തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള"
ಪಕ್ಕದ ಕೋನ,അടുത്തുള്ള കോൺ
ಪಕ್ಕದ ಶೃಂಗ,തൊട്ടടുത്തുള്ള ശീർഷകം
ಸಂಯೋಜಿಸಲು,സഹകരിക്കാൻ
