Kannada,English
ಅಸಹಜ,Abnormal
ಸ್ಥಗಿತಗೊಳಿಸು,Abort
ಸವೆದುಹೋಗುವಿಕೆ,Abrasion
ಹಠಾತ್ತಾಗಿ,Abrupt
ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ,Absolute field strength
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,Absolute temperature
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,Absolute value
ಹೀರಿಕೊಳ್ಳಿ,Absorb
ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ,Absorption co-efficient
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,Absorption loss
ಅಮೂರ್ತ,Abstract
ವೇಗವರ್ಧಕ ಮಾಪಕ,Accelerometer
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,Acceptance test
ಪ್ರವೇಶ,Access
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,Access control
ಪ್ರವೇಶ,Access point
ಪ್ರವೇಶ ಸಮಯ,Access time
ಪ್ರವೇಶಿಸುವಿಕೆ,Accessibility
ಸಂಚಯಕ ಕೋಶ,Accumulator cell
ನಿಖರತೆ,Accuracy
ನಿಖರವಾದ,Accurate
ವರ್ಣರಂಜಿತ ಮಸೂರದ,Achromatic lens
ಆಮ್ಲ,Acid
ಆಮ್ಲ ಪುರಾವೆ,Acid proof
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,Acidity
ಸ್ವೀಕೃತ ಬಿಟ್,Acknowledgement bit
Acೇಳ್ಳರದ,Acoustic
ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ,Acoustic communication
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ,Acoustic diffusion
ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ,Acoustic equalizer
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,Acoustic feedback
ಕೊಳೆತ ಫಿಲ್ಟರ್,Acoustic filter
ಸಕಲಿಯ ಪ್ರತಿರೋಧ,Acoustic impedance
