Assamese,Gujarati
এ চি সমতুল্য বৰ্তনী,એસી સમકક્ષ સર્કિટ
এনালগ টু সংখ্যাগত ৰূপান্তৰক,આંકડાકીય કન્વર્ટર માટે એનાલોગ
নিৰপেক্ষ শূন্য,સંપૂર્ણ શૂન્ય
শোষণ সহগ,શોષણ ગુણાંક
শোষণ বৰ্ণালী,શોષણ સ્પેક્ટ્રમ
ৰিচেপ্টৰ পৰমাণু,રીસેપ્ટર અણુ
বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন,વૈકલ્પિક વર્તમાન જોડાણ
ইলেক্ট্ৰন সংগ্ৰহ কৰা,ઇલેક્ટ્રોન લણણી
ফুটা সংৰক্ষণ,છિદ્ર સંગ્રહ
সক্ৰিয়কৰণ শক্তি,સક્રિયકરણ ઊર્જા
সক্ৰিয় পৰিবৰ্ধক,સક્રિય એમ્પ્લીફાયર
সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী,સક્રિય ડાયોડ સર્કિટ
সক্ৰিয় ফিল্টাৰ,સક્રિય ફિલ્ટર
সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ,સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર
সক্ৰিয় লোড,સક્રિય લોડ
সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ,સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર
সক্ৰিয় অঞ্চল,સક્રિય વિસ્તાર
অভিযোজিত ইলেক্ট্ৰনিক্স,અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ
adder,ઉમેરનાર
এডজাষ্টেবল বেণ্ড এক্সটেনচন,એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન
ভেদ,પ્રવેશ
এৰিয়েল,એરિયલ
pep কম্পাঙ্ক,pep આવર્તન
এয়াৰ কণ্ডিচনাৰ,એર કન્ડીશનર
প্ৰান্তিককৰণ,ગોઠવણી
এলগৰিদম,અલ્ગોરિધમ
সকলো পাছ ফিল্টাৰ,બધા પાસ ફિલ્ટર
মিশ্ৰণ সংযোগ,એલોય જંકશન
ক্ষীণকৰণ,એટેન્યુએશન
বিকল্প বিদ্যুৎ প্ৰবাহ,વૈકલ્પિક પ્રવાહ
পৰিৱেশৰ উষ্ণতা,આસપાસનું તાપમાન
বাইপোলাৰ,દ્વિધ્રુવી
এম্প্লিফিকেশন,એમ્પ્લીફિકેશન
এম্প্লিফায়াৰ,એમ્પ્લીફાયર
এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা,એમ્પ્લીફાયર કાર્યક્ષમતા
মাত্ৰাসমূহ,પરિમાણો
প্ৰসাৰণ ক্ষীণকৰণ,કંપનવિસ્તાર એટેન્યુએશન
প্ৰসাৰণ মডুলেটেড AM দোলক,કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર
প্ৰসাৰণ মডুলেচন,કંપનવિસ્તાર મોડ્યુલેશન
প্ৰসাৰণ মডুলেটৰ,કંપનવિસ્તાર મોડ્યુલેટર
angstrom একক,એંગસ્ટ્રોમ એકમ
এনালগ বৰ্তনী,એનાલોગ સર્કિટ
