Odiya,Marathi
ଅସ୍ୱାଭାବିକ |,असामान्य
ପରିତ୍ୟାଗ,गर्भपात
ଅଳିଆ ଆବେଗ,घर्षण
ଆକସ୍ମିକ,अचानक
ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |,परिपूर्ण फील्ड सामर्थ्य
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,परिपूर्ण तापमान
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,परिपूर्ण मूल्य
ଶୋଷଣ,शोषून घ्या
ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |,शोषण सह-कार्यक्षम
ଶୋଷଣୀୟ କ୍ଷତି |,शोषण तोटा
ବିସ୍ତୃତ,गोषवारा
ଆକ୍ସଲେରୋମିଟର |,एक्सेलरोमीटर
ଗ୍ରହଣ ପରୀକ୍ଷା,स्वीकृती चाचणी
ପ୍ରବେଶ,प्रवेश
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,प्रवेश नियंत्रण
ପ୍ରବେଶ ବିନ୍ଦୁ,प्रवेश बिंदू
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,प्रवेश वेळ
ଅଭିଗମ୍ୟତା |,प्रवेशयोग्यता
ଆକ୍ୟୁଲେଟର କକ୍ଷ |,संचयक सेल
ସଠିକତା,अचूकता
ସଠିକ୍,अचूक
ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |,अ‍ॅक्रोमॅटिक लेन्स
ଏସିଡ୍ |,आम्ल
ଏସିଡ୍ ପ୍ରମାଣ |,आम्ल पुरावा
ଅମ୍ଳତା,आंबटपणा
ସ୍ୱୀକୃତି ବିଟ୍,पावती बिट
ଆକାଶବାଣୀ |,ध्वनिक
ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |,ध्वनिक संप्रेषण
ଆକାଶବାଣୀ ବିସ୍ତାର,ध्वनिक प्रसार
ଆକାଶବାଣୀ ସମାନତା |,ध्वनिक समतुल्य
ଆକାଶବାଣୀ ମତାମତ |,ध्वनिक अभिप्राय
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,ध्वनिक फिल्टर
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,ध्वनिक प्रतिबाधा
ଆକାଶବାଣୀ ମାସ୍କିଂ |,ध्वनिक मास्किंग
ଆକାଶବାଣୀ ଶକ୍ତି |,ध्वनिक शक्ती
ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |,ध्वनिक मालमत्ता
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,ध्वनिक प्रतिक्रिया
ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |,ध्वनिक प्रतिक्षेप
ଆକାଶବାଣୀ ଟାଇଲ୍ |,ध्वनिक टाइल
ଆକାଶବାଣୀ ତରଙ୍ଗ |,ध्वनिक लाट
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,ध्वनिक शोषण
ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |,ध्वनीविषयक क्षीणन स्थिर
ଆକାଶବାଣୀ ଡମ୍ପିଂ |,ध्वनिकी ओलसर
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,ध्वनिक विलंब रेखा
ଆକାଶବାଣୀ ବିକୃତି |,ध्वनिक विकृती
ଆକାଶବାଣୀ ନଳୀ |,ध्वनिक नलिका
ଆକାଶବାଣୀ ଶକ୍ତି |,ध्वनिक ऊर्जा
ଆକାଶବାଣୀ ମତାମତ |,ध्वनिक अभिप्राय
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,ध्वनिक फिल्टर
ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |,ध्वनीविषयक प्रतिबाधा
ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |,ध्वनीविषयक प्रसार स्थिर
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,ध्वनिक प्रतिकार
ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |,ध्वनिकरित्या इन्सुलेटेड
ଆକାଶବାଣୀ |,ध्वनिकी
ଅଧିଗ୍ରହଣ,संपादन
ଆକ୍ରୋନିମ୍ |,परिवर्णी शब्द
କ୍ରିୟା କ୍ଷେତ୍ର,कृती क्षेत्र
ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |,सक्रिय फिलामेंट
ସକ୍ରିୟ,सक्रिय
ସକ୍ରିୟ କ୍ଷେତ୍ର,सक्रिय क्षेत्र
ସକ୍ରିୟ ୱିଣ୍ଡୋ |,सक्रिय विंडो
ଅନୁକେତ,अनुकूलता
ଆଡାପ୍ଟର (ଆଡାପ୍ଟର),अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
ଠିକଣା ବହି,अॅड्रेस बुक
ଠିକଣା ବସ୍,अ‍ॅड्रेस बस
ଠିକଣା ରେଜୋଲୁସନ,पत्ता ठराव
ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |,लगतच चॅनेल हस्तक्षेप
ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ,लगतच चॅनेल निवड
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |,समीप वारंवारता
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,समीप फ्रिक्वेन्सी चॅनेल
ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |,लगतचे चित्र वाहक
ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |,समीप ध्वनी वाहक
ସଂଲଗ୍ନ ଷ୍ଟେସନ |,समीप स्टेशन
ନିୟନ୍ତ୍ରିତ,समायोज्य
ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |,समायोज्य कंडेन्सर
ଚାପକୁ ସଜାଡିବା |,दबाव समायोजित करणे
ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |,पाना समायोजित करणे
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,समायोजन
ପ୍ରଶାସକ,प्रशासक
ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |,आधुनिक तंत्रज्ञान
ବାୟୁ,हवाई
ଏରିଲ୍ ଆରେ |,एरियल अ‍ॅरे
ଏରିଲ୍ ବୁଷ୍ଟର୍ |,एरियल बूस्टर
ଏରିଲ୍ କରେଣ୍ଟ୍ |,एरियल करंट
ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |,एरियल अर्थिंग स्विच
ଏରିଲ୍ ଦକ୍ଷତା |,हवाई कार्यक्षमता
ଏରିଲ୍ ଇନପେଟେନ୍ସ |,हवाई प्रतिबाधा
ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |,एरियल इंडक्टन्स
ଏରିଆଲ୍ ଇନସୁଲେଟର |,एरियल इन्सुलेटर
ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |,एरियल लोडिंग कॉइल
ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |,एरियल फोटोग्राफी
ଏରିଲ୍ ଶକ୍ତି |,हवाई शक्ती
ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |,एरियल रेडिएशन रीस्टन्स
ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |,हवाई प्रतिक्रिया
ଏରୋଡାଇନାମିକ୍ସ,एरोडायनामिक्स
ସଂସ୍ଥା,एजन्सी
ବାୟୁ କମ୍ପ୍ରେସାକ୍ର,एअर कॉम्प्रेसर
ବାୟୁ କଣ୍ଡନସର୍ |,एअर कंडेन्सर
ବାୟୁ ଥଣ୍ଡା,वातानुकूलित
ବାୟୁ କୋଡ୍ କୋଇଲ୍ |,एअर कोर्ड कॉइल
Accometication,वातानुकुलीत
ଆଲବେଡୋ |,अल्बेडो
ଆଲଗୋରିଦମ,अल्गोरिदम
ଛଦ୍ମନାମ,अलियासिंग
ମିଶ୍ରଣ,संरेखित
ପରିଚାଳିତ,संरेखन
ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |,सर्व वेव्ह एरियल
ଆବଣ୍ଟନ,वाटप
