Assamese,Malayalam
এ চি সমতুল্য বৰ্তনী,എ.സി തുല്യമായ സർക്യൂട്ട്
এনালগ টু সংখ্যাগত ৰূপান্তৰক,അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ
নিৰপেক্ষ শূন্য,കേവല പൂജ്യം
শোষণ সহগ,ആഗിരണം ഗുണകം
শোষণ বৰ্ণালী,ആഗിരണം സ്പെക്ട്രം
ৰিচেপ্টৰ পৰমাণু,റിസപ്റ്റർ ആറ്റം
বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন,ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്
ইলেক্ট্ৰন সংগ্ৰহ কৰা,ഇലക്ട്രോൺ വിളവെടുപ്പ്
ফুটা সংৰক্ষণ,ദ്വാര സംഭരണം
সক্ৰিয়কৰণ শক্তি,സജീവമാക്കൽ ഊർജ്ജം
সক্ৰিয় পৰিবৰ্ধক,സജീവ ആംപ്ലിഫയർ
সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী,സജീവ ഡയോഡ് സർക്യൂട്ട്
সক্ৰিয় ফিল্টাৰ,സജീവ ഫിൽട്ടർ
সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ,സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ
সক্ৰিয় লোড,സജീവ ലോഡ്
সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ,സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ
সক্ৰিয় অঞ্চল,സജീവമായ പ്രദേശം
অভিযোজিত ইলেক্ট্ৰনিক্স,അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്
adder,ചേർക്കുന്നയാൾ
এডজাষ্টেবল বেণ্ড এক্সটেনচন,ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം
ভেদ,നുഴഞ്ഞുകയറ്റം
এৰিয়েল,ഏരിയൽ
pep কম্পাঙ্ক,പെപ് ആവൃത്തി
এয়াৰ কণ্ডিচনাৰ,എയർ കണ്ടീഷണർ
প্ৰান্তিককৰণ,വിന്യാസം
এলগৰিদম,അൽഗോരിതം
সকলো পাছ ফিল্টাৰ,എല്ലാ പാസ് ഫിൽട്ടറും
মিশ্ৰণ সংযোগ,അലോയ് ജംഗ്ഷൻ
ক্ষীণকৰণ,ശോഷണം
বিকল্প বিদ্যুৎ প্ৰবাহ,ആൾട്ടർനേറ്റിംഗ് കറന്റ്
পৰিৱেশৰ উষ্ণতা,അന്തരീക്ഷ ഊഷ്മാവ്
বাইপোলাৰ,ബൈപോളാർ
এম্প্লিফিকেশন,ആംപ്ലിഫിക്കേഷൻ
এম্প্লিফায়াৰ,ആംപ്ലിഫയർ
এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা,ആംപ്ലിഫയർ കാര്യക്ഷമത
মাত্ৰাসমূহ,അളവുകൾ
প্ৰসাৰণ ক্ষীণকৰণ,ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ
প্ৰসাৰণ মডুলেটেড AM দোলক,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ
প্ৰসাৰণ মডুলেচন,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ
প্ৰসাৰণ মডুলেটৰ,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ
angstrom একক,angstrom യൂണിറ്റ്
এনালগ বৰ্তনী,അനലോഗ് സർക്യൂട്ട്
এনালগ কম্পিউটাৰ,അനലോഗ് കമ്പ്യൂട്ടർ
এনালগ ফিল্টাৰ,അനലോഗ് ഫിൽട്ടർ
এনালগ মাল্টিমিটাৰ,അനലോഗ് മൾട്ടിമീറ്റർ
এনালগ চুইচ,അനലോഗ് സ്വിച്ച്
AND গেট,ഒപ്പം ഗേറ്റും
কৌণিক কম্পাঙ্ক,കോണീയ ആവൃത്തി
"এনিয়ন, এনিয়ন","അയോൺ, അയോൺ"
এনিয়েলিং উষ্ণতা,അനീലിംഗ് താപനില
এনোড,ആനോഡ്
এনোড এম্প্লিফায়াৰ,ആനോഡ് ആംപ്ലിഫയർ
এনোডাইন,അനോഡൈൻ
এন্টেনা,ആന്റിന
এন্টেনা উপাদান,ആന്റിന ഘടകം
এন্টি-ৰিফ্লেক্টিভ আৱৰণ,ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്
এন্টিলগিন এম্প্লিফায়াৰ,ആന്റിലോഗിൻ ആംപ്ലിഫയർ
এন্টিৰেজোনেণ্ট চাৰ্কিট,antiresonant സർക്യൂട്ട്
দ্বাৰক যুগ,ദ്വാരക കാലഘട്ടം
ভাৰ্চুৱেল শক্তি,വെർച്വൽ പവർ
তাঁৰৰ সংযোগ,വയർ കണക്ഷൻ
আনুমানিক ভোল্টেজ লাভ,ഏകദേശ വോൾട്ടേജ് നേട്ടം
আৰ্মষ্ট্ৰং মডুলেটৰ,ആംസ്ട്രോങ് മോഡുലേറ്റർ
এন্টেনা এৰে,ആന്റിന അറേ
"আকাৰৰ অনুপাত, দৃষ্টি অনুপাত","വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം"
ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী),ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്)
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ
ভাসমান মাল্টিভাইব্ৰেটৰ,ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ
অসমতাপূৰ্ণ সংযোগস্থল,അസമമായ ജംഗ്ഷൻ
এচিনক্ৰ&#39;নাছ কেলকুলেটৰ,അസിൻക്രണസ് കാൽക്കുലേറ്റർ
পাৰমাণৱিক,ആണവ
পাৰমাণৱিক সংখ্যা,ആറ്റോമിക നമ്പർ
পাৰমাণৱিক গঠন,ആറ്റോമിക് ഘടന
অডিঅ&#39; এম্প্লিফায়াৰ,ഓഡിയോ ആംപ്ലിഫയർ
অডিঅ&#39; এম্প্লিফায়াৰ,ഓഡിയോ ആംപ്ലിഫയർ
অডিঅ&#39; কেছেট,ഓഡിയോ കാസറ്റ്
অডিঅ&#39; বৰ্তনী,ഓഡിയോ സർക്യൂട്ട്
শ্ৰৱণযোগ্য কম্পাঙ্ক,കേൾക്കാവുന്ന ആവൃത്തി
স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം
হিমস্খলন,ഹിമപാതം
গড় ডিটেক্টৰ,ശരാശരി ഡിറ്റക്ടർ
অক্ষীয় ধৰণ,അക്ഷീയ മോഡ്
অক্ষীয় অনুপাত,അക്ഷീയ അനുപാതം
এন্টেনা,ആന്റിന
পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল,ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്
পিছফালৰ অঞ্চল,പിൻ പ്രദേശം
পিছলৈ বিক্ষিপ্ততা,തിരികെ ചിതറിക്കിടക്കുക
পটভূমি চাৰ্জ,പശ്ചാത്തല ചാർജ്
কাষৰ শব্দ,സൈഡ് ശബ്ദം
ৰেট্ৰ&#39;গ্ৰেছন,പിന്നോക്കാവസ്ഥ
পশ্চাৎ বিকিৰণ,പിൻഭാഗത്തെ വികിരണം
বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড,ബാക്ക്വേർഡ് ഡയോഡ് / ബാക്ക്വേർഡ് ഡയോഡ്
পিছলৈ তৰংগ দোলক,ബാക്ക്വേർഡ് വേവ് ഓസിലേറ്റർ
"বাধা, বাধা","തടസ്സം, തടസ്സം"
বাধাগ্ৰস্ততা,തടസ്സം
সুষম দলং,സമതുലിതമായ പാലം
সুষম মডুলেটৰ,സമതുലിതമായ മോഡുലേറ്റർ
সুষম মডুলেটৰ,സമതുലിതമായ മോഡുലേറ്റർ
সুষম বৰ্তনী,സമതുലിതമായ സർക്യൂട്ട്
ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ,സമതുലിതമായ ഗ്രേഡിയന്റ് ഡിറ്റക്ടർ
কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স,നിലവിലെ സ്റ്റെബിലൈസർ പ്രതിരോധം
বলোমিটাৰ,ബൊലോമീറ്റർ
বলোমিটাৰ দলং,ബോലോമീറ്റർ പാലം
বেলুন,ബലൂണ്
কল জেক,ബനാന ജാക്ക്
কল প্লাগ,ബനാന പ്ലഗ്
"বেণ্ড, বেণ্ডেজ","ബാൻഡ്, ബാൻഡേജ്"
বেণ্ড ড্ৰাইভাৰ,ബാൻഡ് ഡ്രൈവർ
বেণ্ড শক্তি,ബാൻഡ് ഊർജ്ജം
বেণ্ড গেপ,ബാൻഡ് വിടവ്
badpark এম্প্লিফায়াৰ,ബാഡ്പാർക്ക് ആംപ്ലിഫയർ
বেণ্ড পাছ ফিল্টাৰ,ബാൻഡ് പാസ് ഫിൽട്ടർ
বড হাৰ জেনেৰেটৰ,ബോഡ് റേറ്റ് ജനറേറ്റർ
banddispersion,ബാൻഡ് ഡിസ്പെർഷൻ
বেণ্ড ৰেজিষ্টৰ,ബാൻഡ് റെസിസ്റ്റർ
বেণ্ড ব্ৰেকাৰ ফিল্টাৰ,ബാൻഡ് ബ്രേക്കർ ഫിൽട്ടർ
বেণ্ড সম্প্ৰসাৰণ,ബാൻഡ് വിപുലീകരണം
বেণ্ড আঁতৰোৱা ফিল্টাৰ,ബാൻഡ് റിമൂവർ ഫിൽട്ടർ
বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ,ബാൻഡ് എക്സ്പാൻഷൻ ഡിഫ്ലെക്ഷൻ മൾട്ടിപ്ലയർ
বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক,ബാൻഡ് എക്സ്റ്റൻഷൻ ഡിസ്റ്റൻസ് മൾട്ടിപ്ലയർ
"ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ","ബീം കപ്പാസിറ്റർ, ബാങ്ക് കപ്പാസിറ്റർ"
"বাৰ্কাৰ কোড, বাৰ্কাৰ কোড","ബാർക്കർ കോഡ്, ബാർക്കർ കോഡ്"
barravaugen মাপকাঠী,barravaugen മാനദണ്ഡം
বেৰেটৰ,ബാരേറ്റർ
বাধা,തടസ്സം
ইনচুলেটিং কেপাচিটৰ,ഇൻസുലേറ്റിംഗ് കപ്പാസിറ്റർ
বাধা শক্তি,തടസ്സം ഊർജ്ജം
ৰেজিষ্টৰ ভল্টেজ,റെസിസ്റ്റർ വോൾട്ടേജ്
