Gujarati,English
"1.એબેકસ, 2. ગણતરી",abacus
અસામાન્ય અંત,abnormal termination
ઇન્ટરસેપ્ટ,abort
"1. સંપૂર્ણ, 2. સર્વોચ્ચ",absolute
સંપૂર્ણ સરનામું,absolute address
સંપૂર્ણ સંબોધનક્ષમતા,absolute addressing
સંપૂર્ણ એસેમ્બલર,absolute assembler
"1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ",absolute code
સંપૂર્ણ આદેશ,absolute command
"1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા",absolute data
સંપૂર્ણ સૂચના,absolute instruction
સંપૂર્ણ મોડ,absolute mode
સંપૂર્ણ માર્ગ,absolute path
"1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ",absolute programming
અમૂર્ત વર્ગ,abstract class
અમૂર્ત ડેટા પ્રકાર,abstract data type
અમૂર્ત મશીન,abstract machine
અમૂર્ત પ્રતીક,abstract symbol
અમૂર્ત વાક્યરચના,abstract syntax
સ્વીકૃતિ કસોટી,acceptance testing
પ્રવેશ પ્રમાણપત્ર,access authentication
"1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ",access code
વપરાશ નિયંત્રણ,access control
ઍક્સેસ સ્કેનિંગ,access scan
એસેસરીઝ,accessory
નામું,account
"1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ",account ID
સંચયક,accumulator
"1. ચોકસાઈ, 2. ચોકસાઈ",accuracy
ઍક્સેસ,acess
એક્સેસ કંટ્રોલ બાઇટ્સ,acess control byte
ઍક્સેસ સૂચક,acess index
ઍક્સેસ કી,acess key
"1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ",acess matrix
ઍક્સેસ મોડ,acess mode
ઍક્સેસ વિશેષાધિકારો,acess privilege
ઍક્સેસ સુરક્ષા,acess security
"1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો",acess server
ઍક્સેસ સમય,acess time
સ્વીકૃતિ,acknowledgement
ધ્વનિશાસ્ત્ર,acoustics
"1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું",acronym
ક્રિયા સંદેશ,action message
સક્રિયકરણ,activation
સક્રિય સર્વર પૃષ્ઠ,active server page (ASP)
સક્રિય સંસ્કરણ,active version
એસાયક્લિક,acyclic
"1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ",acyclic graph
અદા કોમ્પ્યુટર ભાષા,Ada language
"1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર",adapter
સરવાળે),add
સરવાળો ફાઇલ,add file
"1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી",add operation
ઉમેરનાર,adder
જાણો,address
સરનામું બસ,address bus
સરનામું ફાઇલ,address file
સરનામું ફોર્મેટ,address format
સરનામું જનરેટર,address generator
એડ્રેસ લાઇન,address line
સરનામું મેપિંગ,address mapping
સરનામું સૂચક,address pointer
સરનામું રજીસ્ટર,address register
સરનામું ભંગાણ,address resolution
સરનામા અનુવાદ,address translation
"1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી",addressed memory
