Kannada,Malayalam
ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ,അജിയോട്ടിക് പുനരുൽപാദനം
ಅಧಿಸಾಮಾನ್ಯ,അസാധാരണമായ
1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್,1. നാലാമത്തെ വയറ് 2. ഇവോമസോം
ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ,സ്റ്റോമറ്റൽ വളർച്ച അവയവം
ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ,വളർച്ച മുരടിച്ച വിത്ത്
1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ,1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം
1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು,1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್,ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ആഗിരണം
ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ,അബിസീനിയൻ കടുക്
1. ಅಕಾರಿಸೈಡ್,1. acaricide
ಕೇಂದ್ರಾಭಿಮುಖ,കേന്ദ്രാഭിമുഖം
ವರ್ಧನೆ (ಕೋಶ),ആംപ്ലിഫിക്കേഷൻ (സെൽ)
ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ,അനുവദിച്ച സഹിഷ്ണുത
1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ,1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി
ರೂಪಾಂತರ,പൊരുത്തപ്പെടുത്തൽ
ಶೇಖರಣೆ,ശേഖരണം
1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ,1. vaccuracy 2. കൃത്യത
1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್,1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്
1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್,1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ
