Malayalam,English
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,Abbey of Westminster
ഒഴിഞ്ഞുമാറുക,Abditory
അടിമത്തം നിർത്തലാക്കൽ,Abolition of slavery
ആദിവാസികൾ,Aboriginal
അബ്രഹാം യുഗം,Abraham Era
ഹാജരാകാത്ത ഭൂവുടമകൾ,Absentee landlords
അക്കാദമി,Academy
അക്ര സമ്മേളനം,Accra conference
സമാഹരണങ്ങൾ,Accruals
സംസ്കരണം,Acculturation
അസെൽഡാമ,Aceldama
അച്ചായൻ (=അച്ചിയൻ),Achaean (=Achian)
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),Achaean League (=Achian League)
അക്രോപോളിസ്,Acropolis
ആക്റ്റ ദിയുർന,Acta Diurna
ആക്റ്റ സെനറ്റസ്,Acta Senatus
ആക്റ്റ് അഡീഷണൽ,Acte Additionel
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),Active record (=current record)
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,Act of attainder
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,Act of Indemnity and oblivion
സെറ്റിൽമെന്റ് നിയമം,Act of Settlement
പരസ്യ കരാർ മുദ്ര,Ad contractus seal
അഡുല്ലമൈറ്റുകൾ,Adullamites
എതിരാളി,Adversary
എതിരാളി,Adversary
അയോൺ,Aeon
എയറേറിയം,Aerarium
ആകാശ യുദ്ധം,Aerial warfare
എറ്റോലിയൻ ലീഗ്,Aetolian League
വയസ്സ്,Age
വാർദ്ധക്യം (=വാർദ്ധക്യം),Ageing (=aging)
പ്രായമാകൽ പ്രക്രിയ,Ageing process
അഗെലൈ,Agelai
ധീരതയുടെ പ്രായം,Age of chivalry
എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം,Age of Englightment
പെരിക്കിൾസിന്റെ പ്രായം,Age of Pericles
യുക്തിയുടെ പ്രായം,Age of reason
കാർഷികവാദം,Agrarianism
കാർഷിക പ്രസ്ഥാനം,Agrarian movement
ആൽബിയോൺ,Albion
ആൽബം,Album
ആൽഡർമാൻ,Alderman
