Telugu,Assamese
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,ৱেষ্টমিনিষ্টাৰৰ এবে
పదవీ విరమణ,এবডিটৰী
బానిసత్వ నిర్మూలన,দাসত্ব বিলুপ্ত কৰা
ఆదివాసి,আদিবাসী
అబ్రహం యుగం,আব্ৰাহাম যুগ
గైర్హాజరు భూస్వాములు,অনুপস্থিত ঘৰৰ মালিক
అకాడమీ,একাডেমী
అక్ర సమావేశం,আক্ৰা সন্মিলন
సంపాదన,এক্ৰুৱেল
సంస్కారము,সংস্কৃতিকৰণ
అసెల్డామా,এচেলডামা
అచెయన్ (=అచియన్),আখিয়ান (=আচিয়ান)
అచీయన్ లీగ్ (=అచియన్ లీగ్),আচায়ান লীগ (=আচিয়ান লীগ)
అక్రోపోలిస్,এক্ৰ&#39;পলিছ
ఆక్టా డియుర్నా,এক্টা ডিউৰ্না
ఆక్టా సెనాటస్,এক্টা চেনেটাছ
యాక్టే అడిషనల్,এক্টে এডিচনেল
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড)
సాధించేవారి చర్య,প্ৰাপ্তিৰ কাৰ্য্য
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন
సెటిల్మెంట్ చట్టం,বন্দোবস্তৰ আইন
ప్రకటన ఒప్పంద ముద్ర,এড কন্ট্ৰেক্টাছ ছীল
అడుల్లామైట్స్,এডুলামাইটছ
విరోధి,বিৰোধী
విరోధి,বিৰোধী
అయాన్,ইয়ন
ఏరోరియం,এৰেৰিয়াম
వైమానిక యుద్ధం,আকাশী যুদ্ধ
ఏటోలియన్ లీగ్,এটলিয়ান লীগ
వయస్సు,বয়স
వృద్ధాప్యం (=వృద్ధాప్యం),বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা)
వృద్ధాప్య ప్రక్రియ,বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া
అగెలై,আগেলাই
శౌర్య యుగం,অশ্বাৰোহীৰ যুগ
జ్ఞానోదయం వయస్సు,এজ অৱ ইংলাইটমেণ্ট
పెరికిల్స్ వయస్సు,পেৰিক্লিছৰ বয়স
కారణం వయస్సు,যুক্তিৰ বয়স
వ్యవసాయం,কৃষিবাদ
వ్యవసాయ ఉద్యమం,কৃষি আন্দোলন
అల్బియాన్,এলবিয়ন
ఆల్బమ్,এলবাম
ఆల్డర్మాన్,এলডাৰমেন
అల్లుడు చేతులు,আলোকসজ্জা বাহু
సఖ్యత,এমিটি
యాంఫిక్యోనిక్ కౌన్సిల్,এম্ফিক্টয়নিক কাউন্সিল
యాంఫిక్యోనిక్ లీగ్,এম্ফিক্টয়নিক লীগ
యాంఫీ థియేటర్,এম্ফিথিয়েটাৰ
అమ్రి నల్ గ్రూప్ (కుండల),অমৰি নল গোট (মৃৎশিল্পৰ)
అనాక్రోనిజం,এনাক্ৰ’নিজম
అనాక్రోనిస్టిక్,এনাক্ৰ’নিষ্টিক
పూర్వీకుడు,পূৰ্বপুৰুষ
పూర్వీకుల ఆరాధన,পূৰ্বপুৰুষ পূজা
పూర్వీకులు,বংশ
పూర్వీకులు,বংশ
పూర్వీకులు,বংশ
పూర్వీకులు,বংশ
ప్రాచీన పాలన,Ancien শাসন ব্যৱস্থা
ప్రాచీన,পৌৰাণিক
పురాతన బల్లాడ్,প্ৰাচীন বেলাড
పురాతన నమ్మకం,প্ৰাচীন বিশ্বাস
ప్రాచీన ఆచారం,প্ৰাচীন প্ৰথা
పురాతన చరిత్ర,প্ৰাচীন ইতিহাস
పురాతన స్మారక చిహ్నాలు,প্ৰাচীন কীৰ্তিচিহ্ন
ఉదంతము,উপাখ্যান
ఏంజెలోట్,এঞ্জেলট
