Tamil,English
வெஸ்ட்மின்ஸ்டர் அபே,Abbey of Westminster
துறவு,Abditory
அடிமைத்தனத்தை ஒழித்தல்,Abolition of slavery
பழங்குடியினர்,Aboriginal
ஆபிரகாம் சகாப்தம்,Abraham Era
இல்லாத நில உரிமையாளர்கள்,Absentee landlords
கலைக்கூடம்,Academy
அக்ரா மாநாடு,Accra conference
திரட்டல்கள்,Accruals
வளர்ப்பு,Acculturation
அசெல்டாமா,Aceldama
அச்சேயன் (=ஆச்சியன்),Achaean (=Achian)
அச்சேயன் லீக் (=ஆச்சியன் லீக்),Achaean League (=Achian League)
அக்ரோபோலிஸ்,Acropolis
ஆக்டா டைர்னா,Acta Diurna
ஆக்டா செனடஸ்,Acta Senatus
Acte Additionel,Acte Additionel
செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),Active record (=current record)
அடையும் செயல்,Act of attainder
இழப்பீடு மற்றும் மறதியின் செயல்,Act of Indemnity and oblivion
தீர்வு சட்டம்,Act of Settlement
விளம்பர ஒப்பந்த முத்திரை,Ad contractus seal
அதுலமைட்டுகள்,Adullamites
எதிரி,Adversary
எதிரி,Adversary
ஏயோன்,Aeon
ஏரேரியம்,Aerarium
வான்வழிப் போர்,Aerial warfare
ஏட்டோலியன் லீக்,Aetolian League
வயது,Age
முதுமை (=வயதான),Ageing (=aging)
வயதான செயல்முறை,Ageing process
அகெலாய்,Agelai
வீரத்தின் வயது,Age of chivalry
அறிவாற்றல் வயது,Age of Englightment
பெரிக்கிள்ஸ் வயது,Age of Pericles
பகுத்தறிவு வயது,Age of reason
விவசாயம்,Agrarianism
விவசாய இயக்கம்,Agrarian movement
அல்பியன்,Albion
ஆல்பம்,Album
ஆல்டர்மேன்,Alderman
கவர்ச்சியான ஆயுதங்கள்,Allusive arms
அமிட்டி,Amity
ஆம்ஃபிக்டியோனிக் கவுன்சில்,Amphictyonic Council
ஆம்ஃபிக்டியோனிக் லீக்,Amphictyonic League
ஆம்பிதியேட்டர்,Amphitheatre
அம்ரி நல் குழு (மட்பாண்டங்கள்),Amri Nal group (of pottery)
அனாக்ரோனிசம்,Anachronism
காலமற்ற,Anachronistic
மூதாதையர்,Ancestor
முன்னோர் வழிபாடு,Ancestor Worship
பரம்பரை,Ancestry
பரம்பரை,Ancestry
பரம்பரை,Ancestry
பரம்பரை,Ancestry
பண்டைய ஆட்சி,Ancien regime
பண்டைய,Ancient
பழங்கால பாலாட்,Ancient ballad
பண்டைய நம்பிக்கை,Ancient belief
பண்டைய வழக்கம்,Ancient custom
பண்டைய வரலாறு,Ancient history
பழங்கால நினைவுச்சின்னங்கள்,Ancient monuments
சிறுகதை,Anecdote
ஏஞ்சலோட்,Angelot
ஏஞ்சலஸ்,Angelus
ஆஞ்செவின் (=அஞ்செவின்),Angevin (=anjevin)
கோணங்கள்,Angles
ஆங்கிலிகன்,Anglican
ஆங்கிலிகன் ஒற்றுமை,Anglican Communion
ஆங்கிலிக்கனிசம்,Anglicanism
ஆங்கிலோ-போப்,Anglo-phobe
ஆங்கிலோ-ஃபோபியா,Anglo-phobia
ஆங்கிலோ-சாக்சன்,Anglo-Saxon
ஆங்கிலோ-சாக்சோனிசம்,Anglo-Saxonism
அன்னாலிஸ்ட்,Annalist
அன்னல்,Annals
இணைப்பு,Annexation
ஆன்டி-பெல்லம்,Ante-bellum
முன் தேதி,Ante date
மதகுருத்துவத்திற்கு எதிரானது,Anti-clericalism
மதகுருவுக்கு எதிரான சட்டம்,Anti-clerical legislation
பழமை,Antiquity
எதிர்ப்பு வாடகை,Anti-rent
எதிர்ப்பு வாடகை,Anti-rent
யூத எதிர்ப்பு,Anti Semitism
அன்சாக்,Anzac
அப்பெல்லா,Apella
அரலு,Aralu
பேராயர்,Arch bishop
ஆர்ச் டச்சி,Arch duchy
ஆர்ச் டியூக்,Arch duke
காப்பகம் (=காப்பக சேகரிப்பு),Archief (=archival collection)
ஆர்க்கிபிஸ்கோபேட்,Archiepiscopate
பிரபுத்துவம்,Aristocracy
பிரபு,Aristocrat
பிரபுத்துவ ஸ்னோபரி,Aristocratic snobbery
அரிஸ்டாட்டிலியன்,Aristotelian
அர்மடா,Armada
அர்மடா (=ஸ்பானிய அர்மடா),Armada (=The Spanish Armada)
கவசக்காரர் (=கவசக்காரர்),Armorist (=armourist)
கவசம் (=கவசம்),Armour (=armor)
ஆயுதக்கடைக்காரர்,Armourist
ஆர்யன்,Aryan
ஆர்யன்,Aryan
அஸ்காரி,Askari
ஒதுக்கு,Assignat
உதவு,Assize
உதவு,Assize
உதவு,Assize
ஆயுதச் சட்டம்,Assize of Arms Act
அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்,Assize of Darrein Presentment
மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்,Assize of Mort 'D' Ancestor
நாவல் Disseisin Assize,Assize of Novel Disseisin
கொடுமை,Atrocity
தாக்குதல்,Attack
ஆலிக் கவுன்சில்,Aulic Council
கோடரியின் கோடாரி (=கெடெஸ் கோடாரி),Axe of the Geddess (=the Geddess axe)
அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு),Axis (=The Rome-Berlin-Tokyo Axis)
பாபிலோன்,Babylon
பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு),Babylonian captivity (=Babylonish captivity)
பச்சனல் பக்தர்,Bacchanal devotee
பச்சனாலியா,Bacchanalia
இளங்கலை,Bachelor
பாக்தாத் ஒப்பந்தம்,Baghdad Pact
பால்கன் லீக்,Balkan League
பால்கன் ஒப்பந்தம்,Balkan Pact
பால்கன் போர்கள்,Balkan Wars
பால்டிக் ஒப்பந்தம்,Baltic Pact
கொள்ளைக்காரன்,Bandit
பாண்டுங் மாநாடு,Bandung Conference
நாடுகடத்தல்,Banishment
பதாகை,Banner
காட்டுமிராண்டித்தனம்,Barbarian
பார்பிகன்,Barbican
பர்தோலி சத்தியாகிரகம்,Bardoli satyagraha
பார்ன் பர்னர்ஸ்,Barn Burners
பரோன்,Baron
பாரோனேஜ்,Baronage
பரோன்ஸ் மேஜர்கள்,Barones majores
பரோன்ஸ் மைனர்கள்,Barones minores
பரோனஸ்,Baroness
பரோனெட்,Baronet
பரோனேடேஜ்,Baronetage
பரோனேடேஜ்,Baronetage
பேரோனெட்டி,Baronetcy
பேரோனி,Barony
பாராகூன்,Barracoon
பாராகூன்,Barracoon
தடுப்பு (=பேரிகாடோ),Barricade (=barricado)
தடுப்பு (=பேரிகாடோ),Barricade (=barricado)
தடுப்பு (=பேரிகாடோ),Barricade (=barricado)
அடிப்படை முகாம்,Base camp
பேராலயம்,Basilica
பேராலயம்,Basilica
பஸ்திலா,Bastila
பாஸ்டில்,Bastille
பாஸ்டில்,Bastille
மின்கலம்,Battery
போர்,Battle
போர்-வரிசை,Batlle-array
யுத்த அழுகுரல்,Battle cry
போர் டின்,Battle din
போர்க்களம்,Battle field
போர் பாடல்,Battle hymn
ஸ்பர்ஸ் போர்,Battle of the Spurs
ஸ்டாண்டர்ட் போர்,Battle of the Standard
போர்க்கப்பல்,Battleship
போர்க்கப்பல்-வலிமை,Battleship-strength
பேயுக்ஸ் சீலை,Bayeux tapestry
கலங்கரை விளக்கம்,Beacon
கலங்கரை விளக்கம் கோபுரம்,Beacon tower
பீவர்,Beaver
பீவர்,Beaver
கடலின் பிச்சைக்காரர்கள்,Beggars of the sea
பெல்லிகோஸ்,Bellicose
பெல்லிகோஸ்,Bellicose
பெல்லிகோஸ்,Bellicose
பெல்கோசிட்டி,Bellicosity
பெல்லோனா,Bellona
நன்மை,Benefice
குருமார்களின் பலன்,Benefit of clergy
பெனலக்ஸ்,Benelux
பெர்லின் ஆணை,Berlin Decree
பெர்சர்கர்,Berserker
பெசன்ட் (=பெசண்ட்),Besant (=bezant)
பெத்தேல்,Bethel
நூலாசிரியர்,Bibliolater
புத்தக வழிபாடு,Bibliolatry
பெரிய பெர்தா,Big Bertha
மதவெறி,Bigot
பில்லெட்டிங்,Billeting
பில்,Bill of Attainder
உரிமைகள் மசோதா,Bill of Rights
வாழ்க்கை வரலாற்றாசிரியர்,Biographer
பிறப்பு கதைகள்,Birth stories
Bivouac,Bivouac
Bivouac,Bivouac
Bivouac,Bivouac
பிசோனியா,Bizonia
கருப்பு பறவைகள்,Black birding
கருப்பு கொடி,Black flag
கருந்துளை,Black Hole
கருந்துளை,Black Hole
கருப்பு கால் (=சிரங்கு),Black leg (=scab)
கருப்பு சட்டை,Black Shirt
பிளேசன்,Blazon
பிளேசன்,Blazon
பிரகாசம்,Blazonry
பிரகாசம்,Blazonry
பிளிட்ஸ்கிரீக்,Blitzkrieg
இரத்தமில்லாத புரட்சி (=புகழ்பெற்ற புரட்சி),Bloodless Revolution (=Glorious Revolution)
இரத்தம் கொண்டவர்,Bloodwite
ப்ளடி மேரி,Bloody Mary
நீலம்,Blue
நீல இரத்தம்,Blue blood
நீல புத்தகம்,Blue book
நீல தலைப்பட்டை,Blue ribbon
நீல தலைப்பட்டை,Blue ribbon
ப்ளூஸ் (=ராயல் குதிரை காவலர்கள்),Blues (=Royal Horse Guards)
