Marathi,Punjabi
ऍसिडॉइड,ਐਸਿਡੌਇਡ
एओलियन माती,ਏਓਲੀਅਨ ਮਿੱਟੀ
एकूण,ਕੁੱਲ
एकत्रीकरण,ਐਗਰੀਗੇਸ਼ਨ
कृषीशास्त्र,ਖੇਤੀ ਵਿਗਿਆਨ
कृषीशास्त्र,ਖੇਤੀ ਵਿਗਿਆਨ
A-क्षितिज,ਏ-ਹੋਰੀਜ਼ਨ
Ao-क्षितिज,ਆਉ-ਦਿਮਾਗ
Aoo-क्षितिज,ਆਉ—ਅੰਦਾਜ਼
मातीची हवेची क्षमता,ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ
मातीतील हवेचे प्रमाण,ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ
एअर पिकनोमीटर,ਏਅਰ ਪਿਕਨੋਮੀਟਰ
ऍलिटिक माती,ਐਲੀਟਿਕ ਮਿੱਟੀ
गाळाची माती,ਐਲਵੀਅਲ ਮਿੱਟੀ
अॅम्फोलायटॉइड,ਐਮਫੋਲੀਟੋਇਡ
आयन,ਐਨੀਅਨ
"स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;","ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;"
ऍरिस,ਅਰਿਸ
Ashlar दंड दगडी बांधकाम,ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ
Ashlar दगडी बांधकाम,ਐਸ਼ਲਰ ਚਿਣਾਈ
अझोनल माती,ਅਜੋਨਲ ਮਿੱਟੀ
मागचा अभिनेता,ਪਿਛਲਾ ਅਦਾਕਾਰ
मागची कमान,ਪਿਛਲਾ arch
बॅक बँड,ਬੈਕ ਬੈਂਡ
मागे ब्रश,ਪਿੱਛੇ ਬੁਰਸ਼
परत तपासणी,ਵਾਪਸ ਜਾਂਚ
मागे काउंटर,ਪਿੱਛੇ ਕਾਊਂਟਰ
परत कटिंग,ਵਾਪਸ ਕੱਟਣਾ
बॅक ड्राफ्ट डँपर,ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ
मागे निचरा,ਬੈਕ ਡਰੇਨ
बॅक ड्रॉप,ਬੈਕ ਡਰਾਪ
परत भरा,ਵਾਪਸ ਭਰੋ
बॅक फिलेट,ਬੈਕ ਫਿਲਲੇਟ
बॅक फ्लॅप बिजागर,ਬੈਕ ਫਲੈਪ ਹਿੰਗ
परत प्रवाह कनेक्शन,ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ
परत प्रवाह प्रतिबंधक,ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ
बॅक गेज,ਬੈਕ ਗੇਜ
मागे गटार,ਪਿਛਲਾ ਗਟਰ
मागे चूल,ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ
पाठीराखा,ਬੈਕਿੰਗ
बॅकिंग बोर्ड,ਬੈਕਿੰਗ ਬੋਰਡ
पाठीचा दाब,ਪਿੱਠ ਦਾ ਦਬਾਅ
बॅक प्रोप,ਬੈਕ ਪ੍ਰੋਪ
मागची दृष्टी,ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ
परत पाणी,ਵਾਪਸ ਪਾਣੀ
गोंधळ,ਘਬਰਾਹਟ
बॅगवर्क,ਬੈਗਵਰਕ
गिट्टी,ਬੈਲਸਟ
बॉल क्ले,ਬਾਲ ਮਿੱਟੀ
बॉल कोन क्लॅम्प,ਬਾਲ ਕੋਨ ਕਲੈਂਪ
काटेरी तार,ਕੰਡਿਆਲੀ ਤਾਰ
बार कुत्रा,ਬਾਰ ਕੁੱਤਾ
बार्ज बोर्ड,ਬਾਰਜ ਬੋਰਡ
बेरियम सल्फेट चाचणी,ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ
बॅरेज,ਬੈਰਾਜ
बॅरेट,ਬੈਰੇਟ
पाया,ਅਧਾਰ
बेस एक्सचेंज,ਬੇਸ ਐਕਸਚੇਂਜ
बेस लाइन,ਬੇਸ ਲਾਈਨ
