Gujarati,Odiya
A B વર્ગ એમ્પ્લીફાયર,ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
વિકૃતિ,ଘୃଣ୍ୟତା |
અસામાન્ય ટ્રાન્સમિશન,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ","ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |"
ગુમ થયેલ સ્પેક્ટ્રમ,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
સંપૂર્ણ ભેજ,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
સંપૂર્ણ ગતિ,ସଂପୂର୍ଣ୍ଣ ଗତି
સંપૂર્ણ અવલોકન,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
સંપૂર્ણ તાપમાન,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
સંપૂર્ણ શૂન્ય,ସଂପୂର୍ଣ୍ଣ ଶୂନ
શોષી લેવું,ଶୋଷଣ
"શોષક, શોષક","ଶୋଷକ, ଶୋଷକ"
શોષણ ક્ષમતા,ଅବଶୋଷଣ କ୍ଷମତା |
શોષણ,ଅବସାଦ |
શોષક,ଶୋଷକ
શોષકતા,ଶୋଷଣ
ગુણાકાર ગુણોત્તર,ବହୁଗୁଣ ଅନୁପାତ |
વેગ આપો,ତ୍ୱରାନ୍ୱିତ କର |
ઉતાવળ કરી,ଶୀଘ୍ର ଶୀଘ୍ର
પ્રવેગ,ତ୍ୱରଣ
ગુરુત્વાકર્ષણ પ્રવેગક,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
પ્રવેગક,ତ୍ୱରକ
પ્રવેગક,ତ୍ୱରକ
એક્સેલરોમીટર,ଆକ୍ସିଲେରୋମିଟର
prestresser,ସମ୍ମାନ
સ્વીકાર્ય પરીક્ષણ,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
સ્વીકારનાર,ଗ୍ରହଣକାରୀ
દાતા પરમાણુ,ଦାତା ଅଣୁ
"પ્રવેશ, રાહ, સુલભતા","ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |"
ઉપલ્બધતા,ଅଭିଗମ୍ୟତା
"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)","ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)"
ઍક્સેસ સમય,ପ୍ରବେଶ ସମୟ
મુલાકાતી ભૂલ,ପରିଦର୍ଶକ ତ୍ରୁଟି |
ગોઠવણ,ଆଡଜଷ୍ଟେସନ୍
સંચિત,ସଂଗୃହିତ
"સંચય, સંચય","ଜମା, ଜମା"
સંચયક,ଜମାକାରୀ
ચોકસાઈ,ସଠିକତା
વાસ્તવિકતા,ବାସ୍ତବତା
વર્ણહીન લેન્સ,ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |
વર્ણહીન,ଆକ୍ରୋମାଟିକ୍ |
વર્ણહીનતા,ଆକ୍ରୋମାଟିଟି
એકોસ્ટિક,ଶବ୍ଦ
સાઉન્ડપ્રૂફ,ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |
એકોસ્ટિક ફોનોન,ଆକାଶବାଣୀ ଫୋନନ୍ |
ધ્વનિ એકમ,ଧ୍ୱନି ଏକକ |
એકોસ્ટિક,ଶବ୍ଦ
અવાજ જનરેટર,ଶବ୍ଦ ଜେନେରେଟର
ક્રિયા અને પ્રતિક્રિયા,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
સક્રિયકરણ,ସକ୍ରିୟ
સક્રિયકરણ ઊર્જા,ସକ୍ରିୟ ଶକ୍ତି
"એક્ટિવેટર, એક્ટિવેટર","ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |"
સક્રિય,ସକ୍ରିୟ |
સક્રિયતા,ସକ୍ରିୟତା
વાસ્તવિક તણાવ,ପ୍ରକୃତ ଚାପ
બબડાટ,ଫୁସ୍ଫୁସ୍
સારાંશ માટે,ସଂକ୍ଷେପରେ
"સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)","ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)"
"સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)","ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)"
ઉમેરણ,ଯୋଗୀ
સંલગ્નતા,ଆଡିଶିନ୍ |
એડહેસિવ ઊર્જા,ଆଡେସିଭ୍ ଶକ୍ତି |
adiabat,adiabat
એડિબેટિક,ଆଡିଆବାଟିକ୍ |
હીટ ઇન્સ્યુલેટીંગ,ଉତ୍ତାପ ଇନସୁଲେଟିଂ
જોડાણ,ସଂଲଗ୍ନ
એડજસ્ટેબલ,ନିୟନ୍ତ୍ରିତ
પ્રવેશ,ଅନୁପ୍ରବେଶ
શોષણ,ବିଜ୍ or ାପନ
આગળ,ଆଗକୁ
પ્રગતિશીલ,ପ୍ରଗତିଶୀଳ |
"આકાશી, હવા (વિ.), હવાઈ (સં.)","akashi, air (v।), aerial (ed।)"
એન્ટેના સ્ટ્રીમ,ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |
હવાઈ સર્વેક્ષણ,ବାୟୁ ସର୍ବେକ୍ଷଣ |
હવાનો વેગ,ବାୟୁ ବେଗ
એરોડાયનેમિક ગુણાંક,ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
એરોડાયનેમિક,ଏରୋଡାଇନାମିକ୍ |
એરોડાયનેમિક્સ,ଏରୋଡାଇନାମିକ୍ସ |
એરોનોટિકલ,ଏରୋନେଟିକାଲ୍ |
એરોનોટિક્સ,ଏରୋନେଟିକ୍ସ |
