Kannada,Tamil
ಸ್ಥಗಿತಗೊಳಿಸು,கருக்கலைப்பு
ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ,டைமரை நிறுத்துங்கள்
ಸಂಪೂರ್ಣ ವಿಳಾಸ,முழுமையான முகவரி
ಸಂಪೂರ್ಣ ವಿಳಾಸ,முழுமையான முகவரி
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,முழுமையான அசெம்பிளர்
ಸಂಪೂರ್ಣ ಕೋಡ್,முழுமையான குறியீடு
ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್,முழுமையான குறியீட்டு முறை
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,முழுமையான கட்டளை
ಸಂಪೂರ್ಣ ಸಮನ್ವಯ,முழுமையான ஒருங்கிணைப்பு
ಸಂಪೂರ್ಣ ಡೇಟಾ,முழுமையான தரவு
ಸಂಪೂರ್ಣ ದೋಷ,முழுமையான பிழை
ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ,முழுமையான வெளிப்பாடு
ಸಂಪೂರ್ಣ ಸೂಚನೆ,முழுமையான அறிவுறுத்தல்
ಸಂಪೂರ್ಣ ಲೋಡರ್,முழுமையான ஏற்றி
ಸಂಪೂರ್ಣ ಕ್ರಮ,முழுமையான வரிசை
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,முழுமையான நிரலாக்க
ಸಂಪೂರ್ಣ ಪದ,முழுமையான சொல்
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,துல்லியமான மதிப்பு
ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್,முழுமையான திசையன்
ಅಮೂರ್ತ,சுருக்கம்
ಅಮೂರ್ತಗೊಳಿಸುವ,சுருக்கம்
ಅಮೂರ್ತ ಚಿಹ್ನೆ,சுருக்க சின்னம்
ವೇಗವರ್ಧನೆ ಅವಧಿ,முடுக்கம் காலம்
ವೇಗವರ್ಧಕ ಸಮಯ,முடுக்கம் நேரம்
ಉಚ್ಚಾರಣಾ,உச்சரிப்பு
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,ஏற்பு சோதனை
ಪ್ರವೇಶ,அணுகல்
ಪ್ರವೇಶ,அணுகல் கை
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,அணுகல் ஏற்பாடு
ಪ್ರವೇಶ,அணுகல் அதிகாரம்
ಪ್ರವೇಶ,அணுகல் கட்டணம்
ಪ್ರವೇಶ ವರ್ಗ,அணுகல் வகுப்பு
