Marathi,Punjabi
अ‍ॅबॅक्सियल पृष्ठभाग,ਐਬੈਕਸਿਅਲ ਸਤਹ
ओटीपोट,ਪੇਟ
ओटीपोटात महाधमनी,ਪੇਟ AORTA
ओटीपोटात गॅंग्लिया,ਪੇਟ ਗੰਗਾਲੀਆ
एबेलमोशस एस्क्युल्टस,ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ
विकृती,ਅਸਧਾਰਨ
अबीज,ਅੱਛਾ
अबिंगडॉन कासव,ਅਬਿੰਗਡਨ ਕਛੂਆ
अ‍ॅबिओजेनेसिस,ਅਬੀਓਜੀਨੇਸਿਸ
अ‍ॅबिओटिक,ਅਬੀਓਟਿਕ
अ‍ॅबिओटिक फॅक्टर,ਅਬੀਓਟਿਕ ਕਾਰਕ
असामान्य मूत्र,ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ
अबो ब्लड ग्रुप,ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ
अ‍ॅबसिसिक acid सिड,Abscisic ਐਸਿਡ
फलंदाजी,ਵਿਵੇਕ
शोषून घ्या,ਸੋਖਣਾ
शोषण शिखर,ਸਮਾਈ ਪੀਕ
शोषण,ਸਮਾਈ
बाभूळ कॅटेचू,ਅੱਕੀਆ ਕੈਟੂਯੂ
अकारिया अरबीका,ਅਕਾਰੀਆ ਅਰਬੀ
अकाप्रिन,ਐਕਾਪ੍ਰਿਨ
स्वीकार्य लैंगिक वर्तन,ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ
Ory क्सेसरी ग्रंथी,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
Ory क्सेसरी ग्रंथी,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
Ory क्सेसरीसाठी अवयव,ਸਹਾਇਕ ਅੰਗ
सहनशीलता,ਅਨੁਕੂਲਤਾ
अनुकूलित करा,ਅਹਿਮ
निवास (लक्ष केंद्रित करणे),ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ)
डोळ्याची निवासस्थान,ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼
संवर्धन वाढ,ਅਦਭੁਤ ਵਾਧਾ
संचय,ਇਕੱਠਾ
सेंद्रिय पदार्थाचे संचय,ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
मातीचे संचय,ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
सेल्युलर,ਐਸੀਲੂਲਰ
एसेल्युलर जीव,ਐਸੀਲੂਲਰ ਜੀਵ
एसीटाबुलम,ਐਸੀਟੌਮੂਲਮ
एसीटाल्डिहाइड,ਐਸੀਟਲਾਈਡਾਈਡ
एसिटिल कोएन्झाइम,ਐਸੀਟੇਲ ਰੀਜ਼ਨ
अकॅटिना,ਅਮੀਥਿਨਾ
