Malayalam,Tamil
ഉപേക്ഷിക്കുക,கருக்கலைப்பு
ടൈമർ നിർത്തുക,டைமரை நிறுத்துங்கள்
കേവല വിലാസം,முழுமையான முகவரி
കേവല വിലാസം,முழுமையான முகவரி
കേവല അസംബന്ധം,முழுமையான அசெம்பிளர்
കേവല കോഡ്,முழுமையான குறியீடு
കേവല കോഡിംഗ്,முழுமையான குறியீட்டு முறை
കേവല കമാൻഡ്,முழுமையான கட்டளை
കേവല കോർഡിനേറ്റ്,முழுமையான ஒருங்கிணைப்பு
കേവല ഡാറ്റ,முழுமையான தரவு
കേവല പിശക്,முழுமையான பிழை
കേവല പദപ്രയോഗം,முழுமையான வெளிப்பாடு
കേവല പ്രബോധനം,முழுமையான அறிவுறுத்தல்
കേവല ലോഡർ,முழுமையான ஏற்றி
കേവല ക്രമം,முழுமையான வரிசை
കേവല പ്രോഗ്രാമിംഗ്,முழுமையான நிரலாக்க
കേവല പദം,முழுமையான சொல்
യഥാർത്ഥ മൂല്യം,துல்லியமான மதிப்பு
കേവല വെക്റ്റർ,முழுமையான திசையன்
വേര്പെട്ടുനില്ക്കുന്ന,சுருக்கம்
അമൃതിയുള്ള,சுருக்கம்
അമൂർത്ത ചിഹ്നം,சுருக்க சின்னம்
ത്വരിതപ്പെടുത്തൽ കാലയളവ്,முடுக்கம் காலம்
ത്വരണം സമയം,முடுக்கம் நேரம்
സരഭാരം,உச்சரிப்பு
സ്വീകാര്യത പരിശോധന,ஏற்பு சோதனை
പ്രവേശനം,அணுகல்
കൈ,அணுகல் கை
ആക്സസ് ക്രമീകരണം,அணுகல் ஏற்பாடு
അതോറിറ്റി ആക്സസ് ചെയ്യുക,அணுகல் அதிகாரம்
ആക്സസ് ചാർജ്,அணுகல் கட்டணம்
ആക്സസ് ക്ലാസ്,அணுகல் வகுப்பு
ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക,தரவு அடிப்படை நிர்வாகத்தை அணுகவும்
പ്രവേശന അന്തരീക്ഷം,அணுகல் சூழல்
വിടവ് ആക്സസ് ചെയ്യുക,அணுகல் இடைவெளி
ആക്സസ് സൂചിക,அணுகல் அட்டவணை
ആക്സസ് ലൈൻ,அணுகல் வரி
