Bengali,Odiya
অ্যাসিডয়েড,ଏସିଡଏଡ୍ |
বায়বীয় মাটি,ଆଓଲିୟାନ୍ ମାଟି |
সমষ্টি,ସମୁଦାୟ
সমষ্টি,ଏକୀକରଣ
কৃষিবিদ্যা,ଏଗ୍ରୋଲୋଜି
কৃষিবিদ্যা,କୃଷି
A- দিগন্ত,ଏକ ରାଶି
আও-দিগন্ত,ଆଓ-ରାଶି
আও-দিগন্ত,ଆଓ-ରାଶି |
মাটির বায়ু ক্ষমতা,ମାଟିର ବାୟୁ କ୍ଷମତା |
মাটির বায়ু উপাদান,ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |
এয়ার পিকনোমিটার,ବାୟୁ ପିକନୋମିଟର |
অ্যালিটিক মাটি,ଆଲିଟିକ୍ ମାଟି |
পলিমাটি,ଆଲୁଭିଆଲ୍ ମାଟି |
অ্যামফোলাইটয়েড,ଆମ୍ଫୋଲାଇଟଏଡ୍ |
অ্যানিয়ন,ଆନିଅନ୍ |
"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;","ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;"
আরিস,ଆରିସ୍
আশলার সূক্ষ্ম গাঁথনি,ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |
আশলার রাজমিস্ত্রি,ଆଶଲାର୍ ରାଜକନିକା |
অ্যাজোনাল মাটি,ଆଜୋନାଲ ମାଟି |
পেছনের অভিনেতা,ପଛ ଆକ୍ଟର୍ |
পিছনের খিলান,ପଛ ଆର୍କ
ব্যাক ব্যান্ড,ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |
পিছনের ব্রাশ,ପଛ ବ୍ରଶ୍ |
ফিরে চেক,ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |
পিছনে কাউন্টার,ପଛ କାଉଣ୍ଟର |
পিছনে কাটা,ପଛ କାଟିବା |
ব্যাক ড্রাফ্ট ড্যাম্পার,ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |
পিছনের ড্রেন,ପଛ ଡ୍ରେନ୍ |
ব্যাকড্রপ,ବ୍ୟାକ୍ ଡ୍ରପ୍ |
ব্যাক ফিল,ପଛକୁ ପୁରଣ କରନ୍ତୁ |
ব্যাক ফিললেট,ପଛ ଫିଲେଟ୍ |
পিছনে ফ্ল্যাপ কবজা,ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |
পিছনে প্রবাহ সংযোগ,ପଛ ପ୍ରବାହ ସଂଯୋଗ |
পিছনে প্রবাহ প্রতিরোধক,ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |
ব্যাক গেজ,ବ୍ୟାକ୍ ଗେଜ୍ |
পিছনে নর্দমা,ପଛ ଗୁଟର୍ |
পিছনের চুলা,ପଛ ଚୁଲି
ব্যাকিং,ସମର୍ଥନ
ব্যাকিং বোর্ড,ବ୍ୟାକିଂ ବୋର୍ଡ |
ফিরতি চাপ,ପଛ ଚାପ |
পিছনে প্রপ,ପଛ ପ୍ରପ
পিছনের দৃষ্টি,ପଛ ଦୃଶ୍ୟ |
পিঠের জল,ପଛ ପାଣି |
বিভ্রান্ত,ବାଫଲ୍ |
ব্যাগওয়ার্ক,ବ୍ୟାଗୱାର୍କ |
ব্যালাস্ট,ବାଲାଷ୍ଟ
বল কাদামাটি,ବଲ୍ ମାଟି |
বল শঙ্কু বাতা,ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |
কাঁটাতার,କଣ୍ଟା ତାର
বার কুকুর,ବାର୍ କୁକୁର |
বার্জ বোর্ড,ବ୍ୟାରେଜ୍ ବୋର୍ଡ |
বেরিয়াম সালফেট পরীক্ষা,ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |
ব্যারেজ,ବ୍ୟାରେଜ୍
ব্যারেট,ବାରେଟ୍ |
বেস,ଆଧାର
বেস বিনিময়,ଆଧାର ବିନିମୟ |
বেস লাইন,ଆଧାର ରେଖା |
বেসমেন্ট,ବେସମେଣ୍ଟ୍ |
বেসমেন্ট প্রাচীর,ବେସମେଣ୍ଟ କାନ୍ଥ |
বেস প্লেট,ବେସ୍ ପ୍ଲେଟ୍ |
"বেস প্লেট, নিয়মিত","ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |"
বেস স্যাচুরেশন,ମୂଳ ପରିପୃଷ୍ଠା |
বেসয়েড,ବାସୋଏଡ୍ |
ব্যাট,ବ୍ୟାଟ୍
স্নান এবং WC,ସ୍ନାନ ଏବଂ WC
ব্যাটার পেগ,ବାଟା ପେଗ୍ |
ব্যাটার পিয়ার,ବାଟା ପାଇର୍ |
ব্যাটারের নিয়ম,ବ୍ୟାଟର ନିୟମ |
বাল্ক (বাল্ক),ବାଲ୍କ (ବାଲ୍କ)
বে,ବାଇ
বহনকারী,ଧାରକ
ভারবহন ক্ষমতা,ବହନ କରିବାର କ୍ଷମତା |
ভারবহন গাদা,ଗଦା ବହନ କରିବା |
ভারবহন স্তর,ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |
বিছানা,ଶଯ୍ୟା
বেডিং প্লেন,ବିଛଣା ବିମାନ |
বেড জয়েন্ট,ଶଯ୍ୟା ଗଣ୍ଠି |
বিছানা শিলা,ବେଡ୍ ପଥର |
শয়নকক্ষ,ବେଡ୍ ରୁମ୍ |
মোম,ମହୁମାଛି
বেল বক্স,ବେଲ୍ ବାକ୍ସ |
বেলিং বালতি,ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |
বেলোফ্রাম,ବେଲୋଫ୍ରାମ୍ |
বেঞ্চড ফাউন্ডেশন,ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |
বেঞ্চিং,ବେଞ୍ଚିଂ
মাপকাঠি,ବେଞ୍ଚ ମାର୍କ |
বেনিফিট খরচ বিশ্লেষণ,ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |
বারম,ବରମ
বেভেলড ক্লোজার,ବେଭେଲଡ୍ ବନ୍ଦ |
"বি-দিগন্ত,&quot;বি-","ବି-ରାଶି, &quot;B-"
বিয়াট,ବିଟ୍ |
বাইন্ডার,ବାଇଣ୍ଡର୍ |
বাঁধাই উপাদান,ବାନ୍ଧିବା ସାମଗ୍ରୀ |
বায়োটের তত্ত্ব,ବାୟୋଟ ସିଦ୍ଧାନ୍ତ |
বিটুমেন,ବିଟୁମେନ |
কালো তুলার মাটি,କଳା ସୂତା ମାଟି |
কালো পৃথিবী,କଳା ପୃଥିବୀ |
কালো টার্ফ মাটি,କଳା ଟର୍ଫ ମାଟି |
ব্লেড,ବ୍ଲେଡ୍ |
ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট,ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ ସିମେଣ୍ଟ |
অবরুদ্ধ কাঠামো,ଅବରୋଧ ସଂରଚନା |
বগি প্রতিরোধ,ବଗି ପ୍ରତିରୋଧ |
বগ-লোহা আকরিক,ବଗ୍-ଲୁହାପଥର |
বন্ধন,ବନ୍ଧ
বন্ডেড সদস্য,ବନ୍ଧିତ ସଦସ୍ୟ |
বন্ধন পোস্ট উত্তেজনা,ବନ୍ଧିତ ପୋଷ୍ଟ ଟେନସିଂ |
বন্ড পাথর,ବନ୍ଧ ପଥର |
আবদ্ধ জল,ସୀମା ଜଳ |
বক্স নর্দমা,ବାକ୍ସ ଗୁଟର୍ |
বন্ধনী,ବନ୍ଧନୀ
ইট-অন-এজ,ଇଟା-ଧାର
লাগাম,ବ୍ରିଡଲ୍ |
উজ্জ্বলতা,ଉଜ୍ଜ୍ୱଳତା |
বাদামী মাটি,ବାଦାମୀ ମାଟି |
বিল্ডিং,ବିଲଡିଂ
বিল্ডিং সার্ভেয়ার,ବିଲ୍ଡିଂ ସର୍ବେକ୍ଷଣକାରୀ |
বাফার,ବଫର୍ |
বাফার বক্ররেখা,ବଫର୍ ବକ୍ର
বাফারিং,ବଫରିଂ |
বাফার ক্ষমতা,ବଫରିଂ କ୍ଷମତା |
বান্দর,ବଣ୍ଡର୍ |
বাট্রেস,ଦୁର୍ଗ
সি-দিগন্ত,ସି-ରାଶି
তারের,କେବୁଲ୍ |
তারের ছাঁচনির্মাণ,କେବୁଲ୍ ମୋଲିଡିଂ |
ক্যাবলিং,କ୍ୟାବଲିଂ |
কেবিন,କ୍ୟାବିନ
কেবিন হুক,କ୍ୟାବିନ ହୁକ୍ |
মন্ত্রিসভা,କ୍ୟାବିନେଟ୍
ক্যাবল্টের পদত্যাগ,କ୍ୟାବୋଲ୍ଟଙ୍କ ବିଦାୟ
ক্যাফেটারিয়া,କାଫେରିଆ |
খাঁচা,କେଜ୍ |
খাঁচা নির্মাণ,କେଜ୍ ନିର୍ମାଣ
কেইনের সূত্র,କ ain ନଙ୍କ ସୂତ୍ର |
কাইসন,କେସନ୍ |
ক্যাসন রোগ,କେସନ୍ ରୋଗ |
ক্যাসন ফাউন্ডেশন,କେସନ୍ ଫାଉଣ୍ଡେସନ୍ |
Caisson pile,କେସନ୍ ଗଦା |
চুনযুক্ত ইট,କାଲ୍କେରିସ୍ ଇଟା |
চুনযুক্ত কাদামাটি,କାଲକେୟାର ମାଟି |
চুনযুক্ত ভূত্বক,କାଲ୍କେରିସ୍ କ୍ରଷ୍ଟ୍ |
ক্যালসিফিকেশন,ଗଣନା
ক্যালসিনেশন,ଗଣନା
ক্যালসিন,କାଲସିନ୍
ক্যালসাইট,କାଲସିଟ୍ |
ক্যালসিয়াম-অ্যালুমিনেট সিমেন্ট,କ୍ୟାଲସିୟମ୍-ଆଲୁମିନିଟ୍ ସିମେଣ୍ଟ |
ক্যালসিয়াম-সিলিকেট ইট,କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ଇଟା |
ক্যালসিয়াম-সিলিকেট হাইড্রেট,କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ହାଇଡ୍ରେଟ୍ |
ক্যালিছে,କାଲିଚେ |
ক্যালিফোর্নিয়া ভারবহন অনুপাত,କାଲିଫର୍ନିଆର ଅନୁପାତ ଅନୁପାତ |
ক্যালিপার,କାଲିପର୍ |
ক্যালোরিমিটার,କ୍ୟାଲୋରିମିଟର |
ক্যাম্বার,କ୍ୟାମ୍ବର |
খাল,କେନାଲ |
ক্যানোপি,କାନୋପି |
ক্যান্টিলিভার ফুটিং,କ୍ୟାଣ୍ଟିଲାଇଭର ଫୁଟିଂ |
ক্যাপ,କ୍ୟାପ୍
ক্ষমতা,ସାମର୍ଥ୍ୟ |
আইল ট্র্যাকের ক্ষমতা,ସମସ୍ତ ଟ୍ରାକର କ୍ଷମତା |
ক্যাপ তারের,କ୍ୟାପ୍ କେବୁଲ୍ |
কৈশিকতা,କ୍ଷମତା
কৈশিক বিরতি,କ୍ୟାପିଲାରୀ ବ୍ରେକ୍ |
কৈশিক প্রবাহ,କ୍ୟାପିଲାରୀ ପ୍ରବାହ |
